Timepoints 3,Timepoints,Timepoints 2,Early,On Time,Late
11,Mandan Rd at Hanover Pkwy,To Greenbelt Metro Station,159,382,33
11,Crescent Rd at Gardenway,To Greenbelt Metro Station,119,399,58
11,Cherrywood Ln at Greenbelt Federal Courthouse,To Greenbelt Metro Station,94,372,115
11,Greenbelt Metro Station (Arrival),To Greenbelt Metro Station,121,346,91
11,Greenbelt Metro Station Bus Bay A,Mandan Ct,305,291,6
11,Cherrywood Ln at Greenbelt Federal Courthouse,Mandan Ct,46,508,21
11,Crescent Rd at Gardenway,Mandan Ct,117,428,21
11,Hanover Pkwy at Greenway Center Dr,Mandan Ct,50,478,42
12,West Hyattsville Station,Mt Rainier Loop,56,292,103
12,28th Pl at Russell Ave,Mt Rainier Loop,50,254,133
12,Cora B. Wood Senior Center,Mt Rainier Loop,38,249,151
12,Gwendolyn Britt Center,Mt Rainier Loop,89,213,140
12,38th St at Hamilton St,Mt Rainier Loop,66,197,153
12,West Hyattsville Station (Arrival),Mt Rainier Loop,61,196,141
12,West Hyattsville Station,Chillum Loop,71,285,51
12,Sargent Rd at Rollingcrest Commons,Chillum Loop,59,304,74
13,West Hyattsville Station,To PG Plaza,57,325,21
13,Hamilton St at 38th Ave,To PG Plaza,48,325,30
13,County Service Building,To PG Plaza,121,250,30
13,42nd Ave at Oglethorpe St,To PG Plaza,180,193,26
13,West Hyattsville Station,To PG Plaza,62,336,21
13,Ager Rd at Nicholson,To PG Plaza,44,353,21
13,Belcrest Rd at PG Plaza Sta Entrance,To West Hyattsville Station,28,291,83
13,PG Plaza Station,To West Hyattsville Station,136,221,44
13,Ager Rd at Nicholson St,To West Hyattsville Station,124,227,54
13,West Hyattsville Station - Arrival,To West Hyattsville Station,176,175,47
13,PG Plaza Station,To West Hyattsville Station,157,237,19
13,Belcrest Rd at 6505 Belcrest Rd,To West Hyattsville Station,108,279,35
13,42nd Ave at Oglethorpe St,To West Hyattsville Station,9,291,122
13,County Service Building,To West Hyattsville Station,15,287,121
13,Hamilton St at 38th Ave,To West Hyattsville Station,18,290,115
13,West Hyattsville Station - Arrival,To West Hyattsville Station,61,273,87
14,PG Plaza Station Bus Bay H,To College Park Station,129,123,72
14,Taylor Rd at Riverdale Rd,To College Park Station,5,106,270
14,Riverdale Rd at 57th Ave,To College Park Station,63,101,225
14,Auburn Ave at Riverdale Rd,To College Park Station,53,103,233
14,River Rd at Rivertech Ct,To College Park Station,81,98,216
14,College Park Station - Arrival,To College Park Station,90,91,210
14,College Park Station,To PG Plaza,46,215,114
14,River Rd at Rivertech Ct,To PG Plaza,54,209,115
14,Auburn Ave at Riverdale Rd,To PG Plaza,69,216,89
14,Riverdale Rd at 57th Ave,To PG Plaza,99,166,105
14,Riverdale Rd at Taylor Rd,To PG Plaza,175,126,77
14,Belcrest Rd at PG Plaza Entrance,To PG Plaza,27,176,185
14,Prince George's Plaza - Arrival,To PG Plaza,35,79,205
15 Express,New Carrollton Station Bay K,Northbound,16,215,44
15 Express,Goddard Space Flight Center Visitors Center (Northbound),Northbound,97,141,50
15 Express,Greenbelt Station Parkway at S. Center Drive,Northbound,86,57,2
15 Express,Greenbelt Metro Station (Arrival),Northbound,7,51,84
15 Express,Greenbelt Metro Station Bus Bay A,Southbound,60,177,16
15 Express,Greenbelt Station Parkway at S. Center Drive,Southbound,73,56,11
15 Express,Goddard Space Flight Center Visitors Center (Southbound),Southbound,56,198,30
15 Express,New Carrollton Station (Arrival),Southbound,31,142,92
16,New Carrollton Station,Northbound,15,367,38
16,Riverdale Rd at Carrollton Mall,Northbound,205,218,14
16,Lamont Dr at Donoghue Dr,Northbound,131,291,22
16,Doctors Community Hospital,Northbound,219,216,12
16,Hanover Pkwy at Ora Glen Dr,Northbound,284,161,8
16,57th Ave at Berwyn Rd,Northbound,239,210,13
16,Beltway Plaza Shopping Center,Northbound,160,279,24
16,Greenbelt Metro Station (Arrival),Northbound,160,235,32
16,Greenbelt Metro Station Bus Bay A,Southbound,121,236,7
16,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),Southbound,71,367,33
16,57th Ave at Berwyn Rd,Southbound,68,369,39
16,Hanover Pkwy at Greenway Center Dr,Southbound,86,328,68
16,Doctors Community Hospital,Southbound,116,311,60
16,Lamont Dr at Lamont Pl,Southbound,76,327,84
16,Riverdale Rd at Carrollton Mall,Southbound,166,273,51
16,New Carrollton Station - Arrival,Southbound,183,200,75
17 (Route 1 Ride),Rhode Island (US RTE 1) at Mount Rainer Terminal,Northbound,7,457,61
17 (Route 1 Ride),Rhode Island Ave at County Service Building - NB,Northbound,154,336,50
17 (Route 1 Ride),Baltimore Ave at East-West Hwy,Northbound,188,308,44
17 (Route 1 Ride),Campus Drive at Baltimore Ave,Northbound,98,363,77
17 (Route 1 Ride),College Park Metro Station at Bus Bay B,Northbound,206,275,68
17 (Route 1 Ride),Ikea at Bus Bay 3,Northbound,7,2,495
17 (Route 1 Ride),Ikea at Bus Bay 3,Southbound,10,435,99
17 (Route 1 Ride),College Park Metro Station at Bus Bay B,Southbound,4,215,330
17 (Route 1 Ride),Baltimore Ave at Campus Dr,Southbound,37,372,136
17 (Route 1 Ride),Baltimore Ave at East-West Hwy,Southbound,27,261,264
17 (Route 1 Ride),Rhode Island Ave at County Service Building - SB,Southbound,76,292,184
17 (Route 1 Ride),Mt Rainier Terminal - Arrival,Southbound,64,155,296
18,Addison Rd Metrorail Station,Northbound,89,139,9
18,Columbia Park Rd at Marshall Pl,Northbound,8,214,75
18,Cheverly Metrorail Station Bay D,Northbound,10,231,68
18,Bladensburg Rd at 38th St,Northbound,37,195,94
18,Hamilton St at 38th St,Northbound,31,182,110
18,East-West Hwy at Prince George's Mall Ent.,Northbound,35,175,114
18,23rd Ave at Lewisdale Dr,Northbound,36,155,133
18,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),Northbound,36,118,169
18,Takoma Langley Park Transit Center Bus Bay B,Southbound,20,264,29
18,23rd Ave at Lewisdale Dr,Southbound,37,240,55
18,PG Plaza,Southbound,41,238,58
18,Hamilton St at 38th St,Southbound,55,220,63
18,Bladensburg Rd at 38th St,Southbound,59,213,64
18,Cheverly Metrorail Station Bay D,Southbound,66,191,82
18,Columbia Park Rd at Marshall Pl,Southbound,90,164,86
18,Addison Rd Metrorail - Arrival,Southbound,83,180,157
20,Addison Rd Metrorail Station,Eastbound,240,249,22
20,Donnell Drive at Target Store,Eastbound,218,294,29
20,Melwood Training Center,Eastbound,80,297,88
20,Marlboro Pike at Melwood Mall,Eastbound,161,268,117
20,Old Marlboro Pike at Roblee Dr,Eastbound,157,270,124
20,Old Marlboro Pike at John Rogers Blvd,Eastbound,102,281,167
20,Courthouse,Eastbound,73,251,209
20,CAB - Arrival,Eastbound,83,198,160
20,County Administration Building,Westbound,14,411,52
20,Courthouse,Westbound,37,420,67
20,Old Marlboro Pike at John Rogers Blvd,Westbound,30,387,90
20,Old Marlboro Pike at Roblee Dr,Westbound,9,391,127
20,Marlboro Pike at Melwood Mall,Westbound,25,392,115
20,Melwood Training Center,Westbound,52,316,94
20,Donnell Dr at Marlboro Pike,Westbound,106,275,159
20,Addison Rd Metrorail - Arrival,Westbound,244,165,132
21,New Carrollton Station,County Courthouse,74,326,29
21,9400 Peppercorn Pl,County Courthouse,94,277,53
21,Largo Town Center Station,County Courthouse,118,274,49
21,Campus Way South at College Station Dr (PGCC),County Courthouse,162,246,40
21,Largo Rd at Hancock Dr,County Courthouse,114,274,65
21,County Courthouse,County Courthouse,91,211,96
21,Equestrian Center Lot 1,To Equestrian Center,1,2,0
21,County Courthouse,To New Carrollton Station,66,283,31
21,Elm St at Gov Oden Bowie Dr,To New Carrollton Station,229,166,26
21,Largo Rd at Black Swan Dr,To New Carrollton Station,90,266,33
21,Campus Way South at College Station Dr (PGCC),To New Carrollton Station,18,300,81
21,Largo Town Center Station,To New Carrollton Station,30,281,101
21,9400 Peppercorn Pl,To New Carrollton Station,59,262,79
21,New Carrollton Station - Arrival,To New Carrollton Station,140,207,61
21 Express,Motor Vehicle Administration,Northbound,93,322,23
21 Express,Campus Way South at College Station Dr (PGCC),Northbound,26,394,99
21 Express,New Carrollton Station - Arrival,Northbound,159,289,69
21 Express,New Carrollton Station Bay F,Southbound,135,486,29
21 Express,Campus Way South at College Station Dr (PGCC),Southbound,288,214,30
21 Express,Motor Vehicle Administration - Arrival,Southbound,228,249,62
22,Morgan Blvd Metro Station,To Landover Mall,36,264,7
22,Valley Trail Ln at Catesby Ct,To Landover Mall,21,335,9
22,Chatsfield Way at Reading Ter,To Landover Mall,72,284,9
22,Fieldstone Way,To Landover Mall,8,327,18
22,Centre Pointe Office Park,To Landover Mall,3,312,38
22,Lansdowne Village Apts,To Landover Mall,17,300,34
22,PG Sports Complex Front Ent.,To Landover Mall,28,282,38
22,Brightseat Rd at Evarts St,To Morgan Blvd Metro Center,16,295,30
22,PG Sports Complex Front Ent.,To Morgan Blvd Metro Center,102,227,18
22,Lansdowne Village Apts,To Morgan Blvd Metro Center,207,127,12
22,Centre Pointe Office Park,To Morgan Blvd Metro Center,171,159,16
22,Fieldstone Way,To Morgan Blvd Metro Center,157,164,26
22,Valley Trail Ln at Catesby Ct,To Morgan Blvd Metro Center,116,201,31
22,Chatsfield Way at Reading Ter,To Morgan Blvd Metro Center,159,164,26
22,Morgan Blvd Metro Station,To Morgan Blvd Metro Center,68,143,80
23,Cheverly Station Bay D,To Addison Road Station,38,376,18
23,Sheriff Rd at Glen Willow Dr - South Side,To Addison Road Station,37,426,28
23,Sheriff Rd at MLK Highway,To Addison Road Station,34,420,34
23,PG Sports Complex Front Ent.,To Addison Road Station,69,390,32
23,Nalley Rd at Capital View Dr,To Addison Road Station,77,370,41
23,Willow Hill Dr at Stevenson Ln,To Addison Road Station,107,343,44
23,Possum Ct at Walker Mill Dr,To Addison Road Station,109,339,54
23,Addison Rd Metrorail - Arrival,To Addison Road Station,118,257,100
23,Addison Rd Metrorail Station,To Cheverly Metro Station,293,178,10
23,Possum Ct at Walker Mill Dr,To Cheverly Metro Station,3,322,144
23,Willow Hill Dr at Hill Rd,To Cheverly Metro Station,6,347,122
23,Nalley Rd at Capital View Dr,To Cheverly Metro Station,5,319,150
23,PG Sports Complex Front Ent.,To Cheverly Metro Station,35,318,126
23,Sheriff Rd at MLK Highway,To Cheverly Metro Station,17,327,132
23,Sheriff Rd at Glen Willow Dr - South Side,To Cheverly Metro Station,56,290,130
23,Cheverly Station Bay D,To Cheverly Metro Station,64,236,206
24,Morgan Blvd Metro Station,To Capitol Heights Metro,59,420,11
24,Old Forestville Rd at Forestville Rd,To Capitol Heights Metro,76,460,35
24,District Heights Municipal Bldg,To Capitol Heights Metro,265,230,15
24,Council Dr at Kipling Pkwy,To Capitol Heights Metro,143,403,27
24,Silver Hill Rd at Pennsylvania Ave,To Capitol Heights Metro,169,377,27
