Timepoints 3,Timepoints,Timepoints 2,Early,On Time,Late
11,Mandan Rd at Hanover Pkwy,To Greenbelt Metro Station,241,299,13
11,Crescent Rd at Gardenway,To Greenbelt Metro Station,201,334,22
11,Cherrywood Ln at Greenbelt Federal Courthouse,To Greenbelt Metro Station,151,357,44
11,Greenbelt Metro Station (Arrival),To Greenbelt Metro Station,219,298,36
11,Greenbelt Metro Station Bus Bay A,Mandan Ct,314,227,4
11,Cherrywood Ln at Greenbelt Federal Courthouse,Mandan Ct,105,431,14
11,Crescent Rd at Gardenway,Mandan Ct,192,342,13
11,Hanover Pkwy at Greenway Center Dr,Mandan Ct,106,430,21
12,West Hyattsville Station,Mt Rainier Loop,53,235,131
12,28th Pl at Russell Ave,Mt Rainier Loop,55,217,154
12,Rhode Island Ave at 34th Street,Mt Rainier Loop,116,225,75
12,Gwendolyn Britt Center,Mt Rainier Loop,158,201,74
12,Hamilton St at 36th Ave,Mt Rainier Loop,73,243,114
12,West Hyattsville Station (Arrival),Mt Rainier Loop,96,182,125
12,West Hyattsville Station,Chillum Loop,106,276,23
12,Sargent Rd at Rollingcrest Commons,Chillum Loop,72,292,54
13,West Hyattsville Station,Loop A,100,185,23
13,Ager Rd at Nicholson,Loop A,91,200,28
13,PG Plaza Station,Loop A,155,146,24
13,Belcrest Rd at 6505 Belcrest Rd,Loop A,113,165,51
13,42nd Ave at Oglethorpe St,Loop A,21,195,102
13,County Service Building,Loop A,20,196,101
13,Hamilton St at 38th Ave,Loop A,21,196,100
13,West Hyattsville Station - Arrival,Loop A,65,173,80
13,West Hyattsville Station,Loop B,137,138,48
13,Hamilton St at 38th Ave,Loop B,95,183,59
13,County Service Building,Loop B,155,128,53
13,42nd Ave at Oglethorpe St,Loop B,169,117,52
13,Belcrest Rd at PG Plaza,Loop B,72,189,80
13,PG Plaza Station,Loop B,107,145,78
13,Ager Rd at Nicholson St,Loop B,114,141,83
13,West Hyattsville Station - Arrival,Loop B,139,112,77
14,PG Plaza Station Bus Bay H,To College Park Station,93,113,80
14,Taylor Rd at Riverdale Rd,To College Park Station,5,109,226
14,Riverdale Rd at 57th Ave,To College Park Station,56,100,185
14,Auburn Ave at Riverdale Rd,To College Park Station,57,93,190
14,River Rd at Rivertech Ct,To College Park Station,0,0,2
14,College Park Station - Arrival,To College Park Station,19,25,5
14,College Park Station,To PG Plaza,148,21,16
14,River Rd at Rivertech Ct,To PG Plaza,122,117,113
14,Auburn Ave at Riverdale Rd,To PG Plaza,74,180,90
14,Riverdale Rd at 57th Ave,To PG Plaza,117,131,96
14,Riverdale Rd at Taylor Rd,To PG Plaza,167,110,72
14,Belcrest Rd at PG Plaza Entrance,To PG Plaza,45,144,170
14,Prince George's Plaza - Arrival,To PG Plaza,30,63,173
 15 Express,New Carrollton Station Bay K,Northbound,10,169,44
 15 Express,Goddard Space Flight Center Visitors Center (Northbound),Northbound,93,97,43
 15 Express,Greenbelt Station Parkway at S. Center Drive,Northbound,96,24,2
 15 Express,Greenbelt Metro Station (Arrival),Northbound,4,37,63
 15 Express,Greenbelt Metro Station Bus Bay A,Southbound,14,183,18
 15 Express,Greenbelt Station Parkway at S. Center Drive,Southbound,65,38,9
 15 Express,Goddard Space Flight Center Visitors Center (Southbound),Southbound,63,152,25
 15 Express,New Carrollton Station (Arrival),Southbound,30,120,68
16,New Carrollton Station,Northbound,16,305,46
16,Riverdale Rd at Carrollton Mall,Northbound,167,198,10
16,Lamont Dr at Donoghue Dr,Northbound,106,254,19
16,Doctors Community Hospital,Northbound,167,210,14
16,Hanover Pkwy at Ora Glen Dr,Northbound,250,134,12
16,57th Ave at Berwyn Rd,Northbound,178,198,19
16,Beltway Plaza Shopping Center,Northbound,140,225,30
16,Greenbelt Metro Station (Arrival),Northbound,143,199,35
16,Greenbelt Metro Station Bus Bay A,Southbound,144,216,12
16,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),Southbound,54,331,26
16,57th Ave at Berwyn Rd,Southbound,46,342,25
16,Hanover Pkwy at Greenway Center Dr,Southbound,64,309,51
16,Doctors Community Hospital,Southbound,110,279,38
16,Lamont Dr at Lamont Pl,Southbound,65,292,61
16,Riverdale Rd at Carrollton Mall,Southbound,165,208,45
16,New Carrollton Station - Arrival,Southbound,175,150,68
 17 (Route 1 Ride),Rhode Island (US RTE 1) at Mount Rainer Terminal,Northbound,7,381,100
 17 (Route 1 Ride),Rhode Island Ave at County Service Building - NB,Northbound,101,312,79
 17 (Route 1 Ride),Baltimore Ave at East-West Hwy,Northbound,133,290,75
 17 (Route 1 Ride),Campus Drive at Baltimore Ave,Northbound,69,313,124
