Timepoints 3,Timepoints,Timepoints 2,Early,On Time,Late
11,Mandan Rd at Hanover Pkwy,To Greenbelt Metro Station,232,304,9
11,Crescent Rd at Gardenway,To Greenbelt Metro Station,180,344,23
11,Cherrywood Ln at Greenbelt Federal Courthouse,To Greenbelt Metro Station,112,381,51
11,Greenbelt Metro Station (Arrival),To Greenbelt Metro Station,178,324,33
11,Greenbelt Metro Station Bus Bay A,Mandan Ct,315,237,2
11,Cherrywood Ln at Greenbelt Federal Courthouse,Mandan Ct,108,430,8
11,Crescent Rd at Gardenway,Mandan Ct,171,363,8
11,Hanover Pkwy at Greenway Center Dr,Mandan Ct,87,444,11
12,West Hyattsville Station,Mt Rainier Loop,32,218,152
12,28th Pl at Russell Ave,Mt Rainier Loop,24,200,181
12,Rainier Ave at 34th St,Mt Rainier Loop,125,95,39
12,Rhode Island Ave at 34th Street,Mt Rainier Loop,30,84,31
12,Gwendolyn Britt Center,Mt Rainier Loop,120,198,93
12,Hamilton St at 36th Ave,Mt Rainier Loop,54,217,134
12,West Hyattsville Station (Arrival),Mt Rainier Loop,79,189,107
12,West Hyattsville Station,Chillum Loop,64,280,26
12,Sargent Rd at Rollingcrest Commons,Chillum Loop,53,284,61
13,West Hyattsville Station,Loop A,64,245,36
13,Ager Rd at Nicholson,Loop A,52,269,40
13,PG Plaza Station,Loop A,123,194,40
13,Belcrest Rd at 6505 Belcrest Rd,Loop A,91,212,60
13,42nd Ave at Oglethorpe St,Loop A,16,215,124
13,County Service Building,Loop A,17,204,123
13,Hamilton St at 38th Ave,Loop A,26,201,118
13,West Hyattsville Station - Arrival,Loop A,50,178,111
13,West Hyattsville Station,Loop B,51,203,41
13,Hamilton St at 38th Ave,Loop B,31,224,47
13,County Service Building,Loop B,84,166,41
13,42nd Ave at Oglethorpe St,Loop B,107,147,39
13,Belcrest Rd at PG Plaza,Loop B,44,187,65
13,PG Plaza Station,Loop B,69,156,64
13,Ager Rd at Nicholson St,Loop B,72,152,74
13,West Hyattsville Station - Arrival,Loop B,85,138,67
14,PG Plaza Station Bus Bay H,To College Park Station,74,107,87
14,Taylor Rd at Riverdale Rd,To College Park Station,3,94,233
14,Riverdale Rd at 57th Ave,To College Park Station,32,124,177
14,Auburn Ave at Riverdale Rd,To College Park Station,35,97,203
14,River Rd at Rivertech Ct,To College Park Station,0,0,4
14,College Park Station - Arrival,To College Park Station,22,41,7
14,College Park Station,To PG Plaza,144,22,30
14,River Rd at Rivertech Ct,To PG Plaza,99,126,115
14,Auburn Ave at Riverdale Rd,To PG Plaza,99,143,85
14,Riverdale Rd at 57th Ave,To PG Plaza,115,113,94
14,Riverdale Rd at Taylor Rd,To PG Plaza,154,97,77
14,Belcrest Rd at PG Plaza Entrance,To PG Plaza,37,129,171
14,Prince George's Plaza - Arrival,To PG Plaza,24,52,184
15 Express,New Carrollton Station Bay K,Northbound,10,153,49
15 Express,Goddard Space Flight Center Visitors Center (Northbound),Northbound,81,110,54
15 Express,Greenbelt Station Parkway at S. Center Drive,Northbound,65,64,0
15 Express,Greenbelt Metro Station (Arrival),Northbound,0,33,68
15 Express,Greenbelt Metro Station Bus Bay A,Southbound,19,173,21
15 Express,Greenbelt Station Parkway at S. Center Drive,Southbound,52,45,12
15 Express,Goddard Space Flight Center Visitors Center (Southbound),Southbound,48,160,33
15 Express,New Carrollton Station (Arrival),Southbound,28,107,87
16,New Carrollton Station,Northbound,31,287,53
16,Riverdale Rd at Carrollton Mall,Northbound,140,226,17
16,Lamont Dr at Donoghue Dr,Northbound,85,275,27
16,Doctors Community Hospital,Northbound,120,248,23
16,Hanover Pkwy at Ora Glen Dr,Northbound,216,162,14
16,57th Ave at Berwyn Rd,Northbound,137,229,28
16,Beltway Plaza Shopping Center,Northbound,91,255,48
16,Greenbelt Metro Station (Arrival),Northbound,103,217,44
16,Greenbelt Metro Station Bus Bay A,Southbound,157,197,19
16,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),Southbound,49,311,45
16,57th Ave at Berwyn Rd,Southbound,43,312,49
16,Hanover Pkwy at Greenway Center Dr,Southbound,51,288,73
16,Doctors Community Hospital,Southbound,99,264,52
16,Lamont Dr at Lamont Pl,Southbound,57,277,81
16,Riverdale Rd at Carrollton Mall,Southbound,151,214,52
16,New Carrollton Station - Arrival,Southbound,139,151,80
17 (Route 1 Ride),Rhode Island (US RTE 1) at Mount Rainer Terminal,Northbound,10,341,133
17 (Route 1 Ride),Rhode Island Ave at County Service Building - NB,Northbound,98,278,111
17 (Route 1 Ride),Baltimore Ave at East-West Hwy,Northbound,104,278,108
17 (Route 1 Ride),Campus Drive at Baltimore Ave,Northbound,38,295,162
17 (Route 1 Ride),College Park Metro Station at Bus Bay B,Northbound,47,37,34
17 (Route 1 Ride),Ikea at Bus Bay 3,Northbound,5,4,459
17 (Route 1 Ride),Ikea at Bus Bay 3,Southbound,7,331,151
17 (Route 1 Ride),College Park Metro Station at Bus Bay B,Southbound,11,23,54
17 (Route 1 Ride),Baltimore Ave at Campus Dr,Southbound,5,228,264
17 (Route 1 Ride),Baltimore Ave at East-West Hwy,Southbound,3,82,414
17 (Route 1 Ride),Rhode Island Ave at County Service Building - SB,Southbound,10,185,301
17 (Route 1 Ride),Mt Rainier Terminal - Arrival,Southbound,11,80,386
18,Addison Rd Metrorail Station,Northbound,82,143,11
18,Columbia Park Rd at Marshall Pl,Northbound,10,177,64
18,Cheverly Metrorail Station Bay D,Northbound,17,167,87
18,Bladensburg Rd at 38th St,Northbound,32,154,94
18,Hamilton St at 38th St,Northbound,28,136,107
18,East-West Hwy at Prince George's Mall Ent.,Northbound,43,124,115
18,23rd Ave at Lewisdale Dr,Northbound,33,115,136
18,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),Northbound,19,58,177
18,Takoma Langley Park Transit Center Bus Bay B,Southbound,21,186,37
18,23rd Ave at Lewisdale Dr,Southbound,21,173,90
18,PG Plaza,Southbound,32,168,90
18,Hamilton St at 38th St,Southbound,35,156,98
18,Bladensburg Rd at 38th St,Southbound,49,144,100
18,Cheverly Metrorail Station Bay D,Southbound,50,147,97
18,Columbia Park Rd at Marshall Pl,Southbound,56,130,97
18,Addison Rd Metrorail - Arrival,Southbound,42,116,166
20,Addison Rd Metrorail Station,Eastbound,150,217,25
20,Donnell Drive at Target Store,Eastbound,186,243,35
20,Melwood Training Center,Eastbound,59,226,85
20,Marlboro Pike at Melwood Mall,Eastbound,132,220,106
20,Old Marlboro Pike at Roblee Dr,Eastbound,120,221,121
20,Old Marlboro Pike at John Rogers Blvd,Eastbound,82,232,145
20,Courthouse,Eastbound,54,214,167
20,CAB - Arrival,Eastbound,57,176,129
20,County Administration Building,Westbound,15,318,36
20,Courthouse,Westbound,43,340,52
20,Old Marlboro Pike at John Rogers Blvd,Westbound,23,327,67
20,Old Marlboro Pike at Roblee Dr,Westbound,5,323,103
20,Marlboro Pike at Melwood Mall,Westbound,22,324,97
20,Melwood Training Center,Westbound,55,212,74
20,Donnell Dr at Marlboro Pike,Westbound,78,249,132
20,Addison Rd Metrorail - Arrival,Westbound,170,169,122
21,New Carrollton Station,County Courthouse,53,230,86
21,9400 Peppercorn Pl,County Courthouse,23,149,67
21,Largo Town Center Station,County Courthouse,57,250,80
21,Campus Way South at College Station Dr (PGCC),County Courthouse,80,234,94
21,Largo Rd at Hancock Dr,County Courthouse,68,216,123
21,County Courthouse,County Courthouse,45,142,120
21,Equestrian Center Lot 1,To Equestrian Center,0,1,0
21,County Courthouse,To New Carrollton Station,45,208,41
21,Elm St at Gov Oden Bowie Dr,To New Carrollton Station,151,167,39
21,Largo Rd at Black Swan Dr,To New Carrollton Station,60,230,71
21,Campus Way South at College Station Dr (PGCC),To New Carrollton Station,24,241,105
21,Largo Town Center Station,To New Carrollton Station,16,188,164
21,9400 Peppercorn Pl,To New Carrollton Station,15,107,89
21,New Carrollton Station - Arrival,To New Carrollton Station,93,171,110
21 Express,Motor Vehicle Administration,Northbound,117,261,35
21 Express,Campus Way South at College Station Dr (PGCC),Northbound,17,280,194
21 Express,New Carrollton Station - Arrival,Northbound,88,318,101
21 Express,New Carrollton Station Bay F,Southbound,134,435,50
21 Express,Campus Way South at College Station Dr (PGCC),Southbound,230,225,53
21 Express,Motor Vehicle Administration - Arrival,Southbound,162,278,78
22,Morgan Blvd Metro Station,To Landover Mall,55,233,1
22,Valley Trail Ln at Catesby Ct,To Landover Mall,19,321,2
22,Chatsfield Way at Reading Ter,To Landover Mall,63,279,2
22,Fieldstone Way,To Landover Mall,2,316,12
22,Centre Pointe Office Park,To Landover Mall,1,298,25
22,Lansdowne Village Apts,To Landover Mall,10,286,26
22,PG Sports Complex Front Ent.,To Landover Mall,25,270,28
22,Brightseat Rd at Evarts St,To Morgan Blvd Metro Center,18,280,8
22,PG Sports Complex Front Ent.,To Morgan Blvd Metro Center,117,198,6
