,stops,route,early,on_time,late
0,CHAPMAN AVE & BOUIC AVE,46,1.0,4.0,0.0
1,CHRISTOPHER AVE & FEATHERTREE WAY,55,251.0,453.0,44.0
2,CHRISTOPHER AVE & GALLOP HILL RD,55,279.0,761.0,57.0
3,CHRISTOPHER AVE & HELLINGLY PL,55,32.0,270.0,76.0
4,CHRISTOPHER AVE & MONTGOMERY VILLAG,55,207.0,939.0,222.0
5,CHRISTOPHER AVE & RUSSELL AVE,55,184.0,607.0,149.0
6,CHRISTOPHER AVE & VILLAGE OVERLOOK,55,35.0,213.0,56.0
7,CONTOUR RD & HORIZON RUN RD,55,126.0,405.0,82.0
8,CONTOUR RD & LOST KNIFE RD,55,150.0,679.0,150.0
9,CONTOUR RD & ODENDHAL AVE,55,58.0,296.0,66.0
10,CONTOUR RD & TUNSTALL DR,55,48.0,201.0,71.0
11,E JEFFERSON ST & MARYLAND AVE,46,90.0,159.0,50.0
12,E MIDDLE LN & MARYLAND AVE,55,134.0,615.0,34.0
13,E MIDDLE LN & MONROE ST,55,62.0,357.0,10.0
14,E MIDDLE LN & WASHINGTON ST,55,8.0,22.0,24.0
15,FREDERICK RD & @15,55,4.0,5.0,1.0
16,FREDERICK RD & @15501,55,2.0,25.0,0.0
17,FREDERICK RD & @20010,55,88.0,468.0,46.0
18,FREDERICK RD & APPLEDOWRE WAY,55,431.0,1428.0,212.0
19,FREDERICK RD & ARCHDALE RD,55,98.0,508.0,35.0
20,FREDERICK RD & COLLEGE PKWY,55,165.0,603.0,134.0
21,FREDERICK RD & GERMANTOWN RD,55,92.0,339.0,20.0
22,FREDERICK RD & GUDE DR,55,31.0,125.0,14.0
23,FREDERICK RD & GUNNERS BRANCH RD,55,299.0,1571.0,278.0
24,FREDERICK RD & GUNNERS DR,55,33.0,77.0,16.0
25,FREDERICK RD & HIGH POINT DR,55,25.0,162.0,22.0
26,FREDERICK RD & INDIANOLA DR,55,17.0,106.0,9.0
27,FREDERICK RD & MAGNOLIA DR,55,16.0,84.0,21.0
28,FREDERICK RD & MIDDLEBROOK RD,55,52.0,319.0,35.0
29,FREDERICK RD & MIDWAY CENTER,55,18.0,152.0,23.0
30,FREDERICK RD & NEELSVILLE CHURCH RD,55,6.0,17.0,8.0
31,FREDERICK RD & OXBRIDGE DR,55,163.0,1095.0,136.0
32,FREDERICK RD & PLUMMER DR,55,180.0,801.0,87.0
33,FREDERICK RD & REDLAND RD,55,149.0,499.0,84.0
34,FREDERICK RD & RIDGEMONT AVE,55,1.0,4.0,0.0
35,FREDERICK RD & SCENERY DR,55,136.0,484.0,139.0
36,FREDERICK RD & SHADY GROVE RD,55,156.0,975.0,172.0
37,FREDERICK RD & WATKINS POND BLVD,55,44.0,149.0,30.0
38,FREDERICK RD & WHEATFIELD DR,55,30.0,106.0,14.0
39,GERMANTOWN RD & GOLDENROD LN,55,4.0,11.0,1.0
40,GERMANTOWN RD & OBSERVATION DR,55,34.0,135.0,53.0
41,GERMANTOWN TRANSIT CENTER  & BAY B,55,243.0,269.0,80.0
42,GERMANTOWN TRANSIT CENTER  & BAY B,100,10737.0,14939.0,3737.0
43,GROSVENOR STATION  & BAY E,46,292.0,363.0,59.0
44,HALPINE RD & ROCKVILLE PIKE,46,39.0,65.0,13.0
45,HUNGERFORD DR & FREDERICK AVE,46,812.0,1227.0,168.0
46,HUNGERFORD DR & FREDERICK AVE,55,169.0,1075.0,134.0
47,HUNGERFORD DR & MANNAKEE ST,55,7.0,107.0,15.0
48,HUNGERFORD DR & N CAMPUS DR,55,5.0,81.0,7.0
49,KING FARM BLVD & FREDERICK RD,55,5.0,11.0,9.0
50,LAKEFOREST TRANSIT CENTER  & ODENDH,55,3817.0,10924.0,3153.0
51,LOST KNIFE RD & CIDER MILL APTS,55,162.0,690.0,140.0
52,LOST KNIFE RD & CONTOUR RD,55,120.0,296.0,25.0
53,LOST KNIFE RD & MONTGOMERY VILLAGE,55,163.0,516.0,41.0
54,MANNAKEE ST & CAMPUS (E) DR,46,4.0,28.0,29.0
55,MANNAKEE ST & CAMPUS (E) DR,55,0.0,2.0,0.0
56,MANNAKEE ST & CAMPUS DR,46,30.0,92.0,40.0
57,MANNAKEE ST & CAMPUS DR,55,14.0,36.0,29.0
58,MANNAKEE ST & HUNGERFORD DR,46,133.0,207.0,15.0
59,MANNAKEE ST & HUNGERFORD DR,55,38.0,182.0,107.0
60,MEDICAL CENTER STATION  & BAY D,46,5336.0,9088.0,5984.0
61,MONROE ST & MONROE PL,46,972.0,1231.0,396.0
62,N FREDERICK AVE & BROOKS AVE,55,289.0,702.0,141.0
63,N FREDERICK AVE & CHESTNUT ST,55,123.0,342.0,68.0
64,N FREDERICK AVE & MARYLAND AVE,55,88.0,263.0,44.0
65,N FREDERICK AVE & MONTGOMERY AVE,55,186.0,469.0,114.0
66,N FREDERICK AVE & PROFESSIONAL DR,55,126.0,449.0,161.0
67,N FREDERICK AVE & TRAVIS AVE,55,1.0,4.0,4.0
68,N FREDERICK AVE & WHETSTONE DR,55,131.0,429.0,61.0
69,N FREDERICK RD & GUNNERS BRANCH RD,55,5.0,32.0,5.0
70,N WASHINGTON ST & BEALL AVE,46,509.0,565.0,125.0
71,N WASHINGTON ST & BEALL AVE,55,9.0,19.0,2.0
72,N WASHINGTON ST & DAWSON AVE,46,785.0,798.0,137.0
73,N WASHINGTON ST & DAWSON AVE,55,3.0,11.0,2.0
74,N WASHINGTON ST & MARTINS LN,46,519.0,553.0,94.0
