,stops,route,early,on_time,late
0,CHRISTOPHER AVE & FEATHERTREE WAY,55,33,43,10
1,CHRISTOPHER AVE & GALLOP HILL RD,55,26,99,12
2,CHRISTOPHER AVE & HELLINGLY PL,55,8,69,17
3,CHRISTOPHER AVE & MONTGOMERY VILLAG,55,54,176,58
4,CHRISTOPHER AVE & RUSSELL AVE,55,37,128,27
5,CHRISTOPHER AVE & VILLAGE OVERLOOK,55,2,31,7
6,CONTOUR RD & HORIZON RUN RD,55,29,47,16
7,CONTOUR RD & LOST KNIFE RD,55,47,113,34
8,CONTOUR RD & ODENDHAL AVE,55,7,56,14
9,CONTOUR RD & TUNSTALL DR,55,17,56,10
10,E JEFFERSON ST & MARYLAND AVE,46,15,38,8
11,E MIDDLE LN & MARYLAND AVE,55,15,138,3
12,E MIDDLE LN & MONROE ST,55,12,100,4
13,E MIDDLE LN & WASHINGTON ST,55,0,1,0
14,FREDERICK RD & @15,55,1,1,0
15,FREDERICK RD & @15501,55,1,9,0
16,FREDERICK RD & @20010,55,20,66,8
17,FREDERICK RD & APPLEDOWRE WAY,55,51,146,29
18,FREDERICK RD & ARCHDALE RD,55,13,74,7
19,FREDERICK RD & COLLEGE PKWY,55,22,128,31
20,FREDERICK RD & COLLINS DR,55,4,10,0
21,FREDERICK RD & GERMANTOWN RD,55,21,67,10
22,FREDERICK RD & GUDE DR,55,1,28,3
23,FREDERICK RD & GUNNERS BRANCH RD,55,63,260,58
24,FREDERICK RD & GUNNERS DR,55,8,17,1
25,FREDERICK RD & HIGH POINT DR,55,7,24,2
26,FREDERICK RD & INDIANOLA DR,55,2,20,1
27,FREDERICK RD & MAGNOLIA DR,55,3,14,4
28,FREDERICK RD & MIDDLEBROOK RD,55,21,114,26
29,FREDERICK RD & MIDWAY CENTER,55,7,26,2
30,FREDERICK RD & NEELSVILLE CHURCH RD,55,0,1,6
31,FREDERICK RD & OXBRIDGE DR,55,28,141,17
32,FREDERICK RD & PLUMMER DR,55,21,98,17
33,FREDERICK RD & REDLAND RD,55,19,76,9
34,FREDERICK RD & RIDGEMONT AVE,55,4,16,4
35,FREDERICK RD & SCENERY DR,55,28,80,18
36,FREDERICK RD & SHADY GROVE RD,55,24,221,34
37,FREDERICK RD & SHAKESPEARE BLVD,55,6,49,4
38,FREDERICK RD & WATKINS POND BLVD,55,9,13,1
39,FREDERICK RD & WHEATFIELD DR,55,8,39,5
40,GERMANTOWN RD & GOLDENROD LN,55,2,9,2
41,GERMANTOWN RD & OBSERVATION DR,55,12,12,6
42,GERMANTOWN TRANSIT CENTER  & BAY B,55,1392,1442,746
43,GERMANTOWN TRANSIT CENTER  & BAY B,100,1725,2480,690
44,GROSVENOR STATION  & BAY E,46,22,56,19
45,HALPINE RD & ROCKVILLE PIKE,46,5,19,1
46,HUNGERFORD DR & FREDERICK AVE,46,80,343,23
47,HUNGERFORD DR & FREDERICK AVE,55,27,178,26
48,HUNGERFORD DR & MANNAKEE ST,55,6,23,0
49,HUNGERFORD DR & N CAMPUS DR,55,1,36,3
50,KING FARM BLVD & FREDERICK RD,55,1,3,2
51,LAKEFOREST TRANSIT CENTER  & ODENDH,55,808,1883,678
52,LOST KNIFE RD & CIDER MILL APTS,55,35,128,28
53,LOST KNIFE RD & CONTOUR RD,55,11,22,4
54,LOST KNIFE RD & MONTGOMERY VILLAGE,55,15,68,5
55,MANNAKEE ST & CAMPUS (E) DR,46,1,10,0
56,MANNAKEE ST & CAMPUS (E) DR,55,0,7,1
57,MANNAKEE ST & HUNGERFORD DR,46,17,33,3
58,MANNAKEE ST & HUNGERFORD DR,55,9,41,37
