Timepoints 3,Timepoints,Timepoints 2,Early,On Time,Late
11,Mandan Rd at Hanover Pkwy,To Greenbelt Metro Station,182,291,9
11,Crescent Rd at Gardenway,To Greenbelt Metro Station,157,313,16
11,Cherrywood Ln at Greenbelt Federal Courthouse,To Greenbelt Metro Station,131,335,38
11,Greenbelt Metro Station (Arrival),To Greenbelt Metro Station,161,345,106
11,Greenbelt Metro Station Bus Bay A,Mandan Ct,260,232,5
11,Cherrywood Ln at Greenbelt Federal Courthouse,Mandan Ct,89,391,10
11,Crescent Rd at Gardenway,Mandan Ct,132,330,6
11,Hanover Pkwy at Greenway Center Dr,Mandan Ct,102,381,10
12,West Hyattsville Station,Mt Rainier Loop,75,277,103
12,28th Pl at Russell Ave,Mt Rainier Loop,57,276,123
12,Rhode Island Ave at 34th Street,Mt Rainier Loop,147,222,58
12,Gwendolyn Britt Center,Mt Rainier Loop,189,212,61
12,Hamilton St at 36th Ave,Mt Rainier Loop,85,290,81
12,West Hyattsville Station,Mt Rainier Loop,106,193,120
12,West Hyattsville Station,Chillum Loop,127,286,18
12,Sargent Rd at Rollingcrest Commons,Chillum Loop,68,336,39
13,West Hyattsville Station,Loop A,92,195,18
13,Ager Rd at Nicholson,Loop A,80,210,22
13,PG Plaza Station,Loop A,101,183,27
13,Belcrest Rd at 6505 Belcrest Rd,Loop A,121,155,42
13,42nd Ave at Oglethorpe St,Loop A,16,210,85
13,County Service Building,Loop A,16,208,90
13,Hamilton St at 38th Ave,Loop A,24,199,87
13,West Hyattsville Station - Arrival,Loop A,56,168,85
13,West Hyattsville Station,Loop B,47,235,33
13,Hamilton St at 38th Ave,Loop B,97,198,34
13,County Service Building,Loop B,144,152,31
13,42nd Ave at Oglethorpe St,Loop B,167,125,36
13,Belcrest Rd at PG Plaza,Loop B,73,208,53
13,PG Plaza Station,Loop B,76,193,54
13,Ager Rd at Nicholson St,Loop B,152,124,57
13,West Hyattsville Station - Arrival,Loop B,152,113,53
14,PG Plaza Station Bus Bay H,To College Park Station,88,113,67
14,Taylor Rd at Riverdale Rd,To College Park Station,10,110,206
14,Riverdale Rd at 57th Ave,To College Park Station,58,104,151
14,Auburn Ave at Riverdale Rd,To College Park Station,65,93,170
14,College Park Station - Arrival,To College Park Station,62,54,91
14,River Rd at Rivertech Ct,To College Park Station,0,1,1
14,College Park Station,To PG Plaza,158,56,48
14,River Rd at Rivertech Ct,To PG Plaza,138,101,83
14,Auburn Ave at Riverdale Rd,To PG Plaza,117,125,79
14,Riverdale Rd at 57th Ave,To PG Plaza,123,98,73
14,Riverdale Rd at Taylor Rd,To PG Plaza,162,90,74
14,Belcrest Rd at PG Plaza,To PG Plaza,57,122,153
14,Prince George's Plaza - Arrival,To PG Plaza,20,72,172
15 Express,New Carrollton Station Bay K,Northbound,11,191,17
15 Express,Goddard Space Flight Center Visitors Center (Northbound),Northbound,76,133,16
15 Express,Greenbelt Station Parkway at S. Center Drive,Northbound,72,39,1
15 Express,Greenbelt Metro Station (Arrival),Northbound,1,15,92
15 Express,Greenbelt Metro Station Bus Bay A,Southbound,18,182,8
15 Express,Greenbelt Station Parkway at S. Center Drive,Southbound,86,15,4
15 Express,Goddard Space Flight Center Visitors Center (Southbound),Southbound,77,139,15
15 Express,New Carrollton Station (Arrival),Southbound,31,117,74
16,New Carrollton Station,Northbound,26,289,33
16,Riverdale Rd at Carrollton Mall,Northbound,150,203,12
16,Lamont Dr at Donoghue Dr,Northbound,101,250,24
16,Doctors Community Hospital,Northbound,163,201,16
16,Hanover Pkwy at Ora Glen Dr,Northbound,246,128,10
16,57th Ave at Berwyn Rd,Northbound,178,186,24
16,Beltway Plaza Shopping Center,Northbound,122,224,42
16,Greenbelt Metro Station (Arrival),Northbound,115,169,124
16,Greenbelt Metro Station Bus Bay A,Southbound,163,158,11
16,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),Southbound,47,312,22
16,57th Ave at Berwyn Rd,Southbound,48,314,30
16,Hanover Pkwy at Greenway Center Dr,Southbound,62,309,39
16,Doctors Community Hospital,Southbound,129,264,23
16,Lamont Dr at Lamont Pl,Southbound,75,297,48
16,Riverdale Rd at Carrollton Mall,Southbound,179,203,39
16,New Carrollton Station - Arrival,Southbound,156,135,128
17 (Route 1 Ride),Rhode Island (US RTE 1) at Mount Rainer Terminal,Northbound,9,366,120
17 (Route 1 Ride),Rhode Island Ave at County Service Building - NB,Northbound,160,252,90
17 (Route 1 Ride),Baltimore Ave at East-West Hwy,Northbound,145,272,85
17 (Route 1 Ride),Campus Drive at Baltimore Ave,Northbound,68,310,117
17 (Route 1 Ride),College Park Metro Station at Bus Bay B,Northbound,52,44,23
17 (Route 1 Ride),Ikea at Bus Bay 3,Northbound,3,7,468
17 (Route 1 Ride),Ikea at Bus Bay 3,Southbound,6,373,116
17 (Route 1 Ride),College Park Metro Station at Bus Bay B,Southbound,8,36,58
17 (Route 1 Ride),Baltimore Ave at Campus Dr,Southbound,5,261,246
17 (Route 1 Ride),Baltimore Ave at East-West Hwy,Southbound,4,101,408
17 (Route 1 Ride),Rhode Island Ave at County Service Building - SB,Southbound,15,192,310
17 (Route 1 Ride),Mt Rainier Terminal - Arrival,Southbound,12,99,364
18,Addison Rd Metrorail Station,Northbound,100,126,3
18,Columbia Park Rd at Marshall Pl,Northbound,15,188,49
18,Cheverly Metrorail Station Bay D,Northbound,16,171,80
18,Bladensburg Rd at 38th St,Northbound,32,143,95
18,Hamilton St at 38th St,Northbound,32,134,107
18,East-West Hwy at Prince George's Mall Ent.,Northbound,37,143,100
18,23rd Ave at Lewisdale Dr,Northbound,29,119,131
18,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),Northbound,19,75,157
18,Takoma Langley Park Transit Center Bus Bay B,Southbound,24,186,23
18,23rd Ave at Lewisdale Dr,Southbound,57,184,34
18,PG Plaza,Southbound,73,161,49
18,Hamilton St at 38th St,Southbound,75,154,54
18,Bladensburg Rd at 38th St,Southbound,72,156,54
18,Cheverly Metrorail Station Bay D,Southbound,70,162,58
18,Columbia Park Rd at Marshall Pl,Southbound,60,161,62
18,Addison Rd Metrorail - Arrival,Southbound,54,143,156
20,Addison Rd Metrorail Station,Eastbound,175,244,8
20,Donnell Drive at Target Store,Eastbound,242,204,16
20,Melwood Training Center,Eastbound,95,233,45
20,Marlboro Pike at Melwood Mall,Eastbound,155,238,76
20,Old Marlboro Pike at Roblee Dr,Eastbound,157,230,84
20,Old Marlboro Pike at John Rogers Blvd,Eastbound,105,252,117
20,Courthouse,Eastbound,58,248,145
20,CAB - Arrival,Eastbound,90,168,114
20,County Administration Building,Westbound,11,351,27
20,Courthouse,Westbound,38,358,42
20,Old Marlboro Pike at John Rogers Blvd,Westbound,22,359,44
20,Old Marlboro Pike at Roblee Dr,Westbound,3,369,62
20,Marlboro Pike at Melwood Mall,Westbound,22,364,60
20,Melwood Training Center,Westbound,56,236,45
20,Donnell Dr at Marlboro Pike,Westbound,89,283,90
20,Addison Rd Metrorail - Arrival,Westbound,224,158,111
21,New Carrollton Station,County Courthouse,45,291,49
21,9400 Peppercorn Pl,County Courthouse,37,167,48
21,Largo Town Center Station,County Courthouse,70,304,46
21,Campus Way South at College Station Dr (PGCC),County Courthouse,96,290,46
21,Largo Rd at Hancock Dr,County Courthouse,81,273,75
21,County Courthouse,County Courthouse,47,175,103
21,County Courthouse,To New Carrollton Station,57,236,26
21,Elm St at Gov Oden Bowie Dr,To New Carrollton Station,174,184,24
21,Largo Rd at Black Swan Dr,To New Carrollton Station,62,258,35
21,Campus Way South at College Station Dr (PGCC),To New Carrollton Station,37,260,70
21,Largo Town Center Station,To New Carrollton Station,13,207,151
21,9400 Peppercorn Pl,To New Carrollton Station,17,126,74
21,New Carrollton Station - Arrival,To New Carrollton Station,78,194,102
21 Express,Motor Vehicle Administration,Northbound,86,258,30
21 Express,Campus Way South at College Station Dr (PGCC),Northbound,16,256,178
21 Express,New Carrollton Station - Arrival,Northbound,70,263,106
21 Express,New Carrollton Station Bay F,Southbound,143,326,57
21 Express,Campus Way South at College Station Dr (PGCC),Southbound,215,182,60
21 Express,Motor Vehicle Administration - Arrival,Southbound,117,218,95
22,Morgan Blvd Metro Station,To Landover Mall,59,217,0
22,Valley Trail Ln at Catesby Ct,To Landover Mall,26,320,4
22,Chatsfield Way at Reading Ter,To Landover Mall,66,283,3
22,Fieldstone Way,To Landover Mall,10,301,20
22,Centre Pointe Office Park,To Landover Mall,0,266,54
22,Lansdowne Village Apts,To Landover Mall,4,263,54
22,PG Sports Complex Front Ent.,To Landover Mall,12,263,51
22,Brightseat Rd at Evarts St,To Morgan Blvd Metro Center,18,284,13
22,PG Sports Complex Front Ent.,To Morgan Blvd Metro Center,98,214,12
22,Lansdowne Village Apts,To Morgan Blvd Metro Center,182,131,9
22,Centre Pointe Office Park,To Morgan Blvd Metro Center,149,161,12
22,Fieldstone Way,To Morgan Blvd Metro Center,106,201,18
22,Valley Trail Ln at Catesby Ct,To Morgan Blvd Metro Center,69,229,26
22,Chatsfield Way at Reading Ter,To Morgan Blvd Metro Center,109,200,19
22,Morgan Blvd Metro Station,To Morgan Blvd Metro Center,35,110,126
23,Cheverly Station Bay D,To Addison Road Station,43,349,10
23,Sheriff Rd at Glen Willow Dr - South Side,To Addison Road Station,36,377,13
23,Sheriff Rd at MLK Highway,To Addison Road Station,40,374,14
23,PG Sports Complex Front Ent.,To Addison Road Station,80,341,21
23,Nalley Rd at Capital View Dr,To Addison Road Station,90,326,20
23,Willow Hill Dr at Stevenson Ln,To Addison Road Station,131,290,16
23,Possum Ct at Walker Mill Dr,To Addison Road Station,98,318,24
23,Addison Rd Metrorail - Arrival,To Addison Road Station,115,223,94
23,Addison Rd Metrorail Station,To Cheverly Metro Station,241,166,2
23,Possum Ct at Walker Mill Dr,To Cheverly Metro Station,1,317,90
23,Willow Hill Dr at Hill Rd,To Cheverly Metro Station,6,326,84
23,Nalley Rd at Capital View Dr,To Cheverly Metro Station,3,310,106
23,PG Sports Complex Front Ent.,To Cheverly Metro Station,21,305,98
23,Sheriff Rd at MLK Highway,To Cheverly Metro Station,23,303,92
23,Sheriff Rd at Glen Willow Dr - South Side,To Cheverly Metro Station,57,269,89
23,Cheverly Station Bay D,To Cheverly Metro Station,52,187,200
24,Morgan Blvd Metro Station,To Capitol Heights Metro,62,313,14
24,Old Forestville Rd at Forestville Rd,To Capitol Heights Metro,73,339,38
24,District Heights Municipal Bldg,To Capitol Heights Metro,180,206,23
24,Council Dr at Kipling Pkwy,To Capitol Heights Metro,81,341,34
24,Brooks Dr at Marlboro Pike,To Capitol Heights Metro,164,265,29
24,Denise Dr at Rollins Ave,To Capitol Heights Metro,186,201,17
24,Capitol Heights - Arrival,To Capitol Heights Metro,130,152,161
24,Capitol Heights Station Bay B,To Morgan Blvd Metro Center,36,370,34
24,Denise Dr at Rollins Ave,To Morgan Blvd Metro Center,113,265,27
24,Brooks Drive at Marlboro Pike,To Morgan Blvd Metro Center,87,303,31
24,Kipling Pkwy at Council Dr,To Morgan Blvd Metro Center,159,238,33
24,District Heights Municipal Bldg,To Morgan Blvd Metro Center,69,299,32
24,Old Forestville Rd at Forestville Rd,To Morgan Blvd Metro Center,222,195,20
24,Morgan Blvd Metro Station,To Morgan Blvd Metro Center,112,175,89
25,Capitol Heights Station,Eastbound Loop,18,298,22
25,East Capital Street at Old Central Ave,Eastbound Loop,21,302,31
25,Highview Pl at Sunbury Ct,Eastbound Loop,26,257,24
25,Marlboro Pike at Nova Ave,Eastbound Loop,24,269,45
25,Benning Rd at Abel Ave,Eastbound Loop,162,175,11
25,Southern Ave at C St,Eastbound Loop,131,203,15
25,Capitol Heights - Arrival,Eastbound Loop,85,93,153
25,Capitol Heights Station,Westbound Loop,3,322,10
25,Southern Ave at C St,Westbound Loop,158,178,6
25,Benning Rd at Southern Ave,Westbound Loop,158,178,7
25,Nova Ave at Marlboro Pike,Westbound Loop,286,57,5
25,Highview Pl at Sunbury Ct,Westbound Loop,119,216,13
25,East Capitol St at Yost Pl,Westbound Loop,108,229,19
25,Capitol Heights - Arrival,Westbound Loop,62,147,152
26,Morgan Blvd Metro Station,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,40,234,26
26,Hampton Park Boulevard at Steeplechase,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,130,179,20
26,Campus Way South at College Station Dr (PGCC),To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,143,152,33
26,Motor Vehicle Administration,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,126,134,25
26,Largo Town Center Station,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,35,90,196
26,Largo Town Center Station,To Morgan Blvd Metro Center,41,259,24
26,Motor Vehicle Administration,To Morgan Blvd Metro Center,41,202,25
26,Campus Way South at College Station Dr (PGCC),To Morgan Blvd Metro Center,58,191,76
26,Hampton Park Boulevard at Steeplechase,To Morgan Blvd Metro Center,70,175,87
26,Morgan Blvd Metro Station,To Morgan Blvd Metro Center,27,45,225
27,Landover Metrorail Station,Northbound,187,139,1
27,Pennsy Dr at 75th Ave,Northbound,209,203,13
27,Dodge Park Rd at Landover Rd,Northbound,202,206,22
27,Hubbard Rd at Martin Luther King,Northbound,165,243,22
27,Landover Metro Station - Arrival,Northbound,13,150,143
27,Landover Metrorail Station,Southbound,41,190,2
27,Hubbard Rd at Martin Luther King,Southbound,264,120,4
27,Dodge Park Rd at Landover Rd,Southbound,208,177,7
27,Pennsy Dr at 75th Ave,Southbound,235,154,12
27,Landover Metro Station - Arrival,Southbound,3,20,183
28,Largo Town Center Station at Bus Bay E,To Campus Way at Grey Gables - Loop A,83,225,12
28,Arena Dr at Captial Center Blvd,To Campus Way at Grey Gables - Loop A,8,278,26
28,Jericho Residences,To Campus Way at Grey Gables - Loop A,7,253,43
28,1400 Merchantile Ln,To Campus Way at Grey Gables - Loop A,16,245,41
28,9400 Peppercorn Pl,To Campus Way at Grey Gables - Loop A,8,113,14
28,RUBY LOCKHART BLVD AT CAMPUS WAY NORTH,To Campus Way at Grey Gables - Loop A,70,203,20
28,Campus Way North at Grey Gables Ct,To Campus Way at Grey Gables - Loop A,112,166,20
28,Largo Town Center Station at Bus Bay E,To Campus Way at Grey Gables - Loop A,60,113,159
28,Largo Town Center Station at Bus Bay E,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,34,234,9
28,Campus Way North at Grey Gables Ct,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,1,219,32
28,RUBY LOCKHART BLVD AT CAMPUS WAY NORTH,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,4,213,39
28,9400 Peppercorn Pl,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,6,101,24
28,1400 Merchantile Ln,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,95,147,28
28,Jericho Residences (Southbound),To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,25,186,55
28,Arena Dr at Shoppers Way (Largo),To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,139,116,25
28,Largo Town Center Station at Bus Bay E,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,70,187,24
30,Southern Maryland Hospital,To Branch Ave Station,40,194,16
30,Clinton Fringe Lot,To Branch Ave Station,53,168,36
30,Piscataway Rd at Old Branch Ave,To Branch Ave Station,48,176,44
30,Temple Hill Rd at Piscataway Rd,To Branch Ave Station,75,158,36
30,Padgett's Corner,To Branch Ave Station,60,171,44
30,Old Branch Ave at Allentown Way,To Branch Ave Station,73,155,46
30,Maxwell Dr at Morris Ave,To Branch Ave Station,67,155,51
30,Branch Ave Station - Arrival,To Branch Ave Station,139,87,40
30,Branch Ave Station Bus Bay J,Southern Maryland Hospital,57,200,9
30,Morris Ave at Maxwell Dr,Southern Maryland Hospital,122,141,7
30,Old Branch Ave at Allentown Way,Southern Maryland Hospital,113,135,14
