Timepoints 3,Timepoints,Timepoints 2,Early,On Time,Late
11,Mandan Rd at Hanover Pkwy,To Greenbelt Metro Station,253,243,7
11,Crescent Rd at Gardenway,To Greenbelt Metro Station,219,246,9
11,Cherrywood Ln at Greenbelt Federal Courthouse,To Greenbelt Metro Station,208,258,49
11,Greenbelt Metro Station (Arrival),To Greenbelt Metro Station,252,367,120
11,Greenbelt Metro Station Bus Bay A,Mandan Ct,356,163,2
11,Cherrywood Ln at Greenbelt Federal Courthouse,Mandan Ct,217,304,16
11,Crescent Rd at Gardenway,Mandan Ct,176,266,6
11,Hanover Pkwy at Greenway Center Dr,Mandan Ct,222,327,6
12,West Hyattsville Station,Mt Rainier Loop,74,256,90
12,28th Pl at Russell Ave,Mt Rainier Loop,70,229,121
12,Rhode Island Ave at 34th Street,Mt Rainier Loop,135,203,53
12,Gwendolyn Britt Center,Mt Rainier Loop,169,206,57
12,Hamilton St at 36th Ave,Mt Rainier Loop,72,268,84
12,West Hyattsville Station (Arrival),Mt Rainier Loop,98,187,113
12,West Hyattsville Station,Chillum Loop,102,269,19
12,Sargent Rd at Rollingcrest Commons,Chillum Loop,78,302,30
13,West Hyattsville Station,Loop A,104,180,26
13,Ager Rd at Nicholson,Loop A,99,190,36
13,PG Plaza Station,Loop A,168,119,34
13,Belcrest Rd at 6505 Belcrest Rd,Loop A,119,161,46
13,42nd Ave at Oglethorpe St,Loop A,18,213,93
13,County Service Building,Loop A,16,207,102
13,Hamilton St at 38th Ave,Loop A,22,197,92
13,West Hyattsville Station - Arrival,Loop A,57,183,70
13,West Hyattsville Station,Loop B,155,141,41
13,Hamilton St at 38th Ave,Loop B,113,172,58
13,County Service Building,Loop B,159,131,53
13,42nd Ave at Oglethorpe St,Loop B,188,99,56
13,Belcrest Rd at PG Plaza,Loop B,96,176,75
13,PG Plaza Station,Loop B,140,124,61
13,Ager Rd at Nicholson St,Loop B,146,116,79
13,West Hyattsville Station - Arrival,Loop B,170,89,70
14,PG Plaza Station Bus Bay H,To College Park Station,92,124,46
14,Taylor Rd at Riverdale Rd,To College Park Station,4,121,202
14,Riverdale Rd at 57th Ave,To College Park Station,58,115,154
14,Auburn Ave at Riverdale Rd,To College Park Station,64,102,159
14,River Rd at Rivertech Ct,To College Park Station,1,1,0
14,College Park Station - Arrival,To College Park Station,32,56,9
14,College Park Station,To PG Plaza,154,24,9
14,River Rd at Rivertech Ct,To PG Plaza,133,110,81
14,Auburn Ave at Riverdale Rd,To PG Plaza,95,159,64
14,Riverdale Rd at 57th Ave,To PG Plaza,137,106,73
14,Riverdale Rd at Taylor Rd,To PG Plaza,170,104,44
14,Belcrest Rd at PG Plaza Entrance,To PG Plaza,68,113,140
14,Prince George's Plaza - Arrival,To PG Plaza,23,73,163
