Timepoints 3,Timepoints,Timepoints 2,Early,On Time,Late
13,West Hyattsville Station,Loop A,161,85,118
13,Ager Rd at Nicholson,Loop A,161,90,188
13,PG Plaza Station,Loop A,207,59,191
13,Belcrest Rd at 6505 Belcrest Rd,Loop A,170,76,219
13,42nd Ave at Oglethorpe St,Loop A,138,94,229
13,County Service Building,Loop A,83,47,125
13,Hamilton St at 38th Ave,Loop A,160,74,205
13,West Hyattsville Station - Arrival,Loop A,149,65,172
13,West Hyattsville Station,Loop B,92,161,217
13,Hamilton St at 38th Ave,Loop B,136,101,202
13,County Service Building,Loop B,119,72,127
13,42nd Ave at Oglethorpe St,Loop B,190,106,221
13,Belcrest Rd at PG Plaza,Loop B,178,118,233
13,PG Plaza Station,Loop B,111,140,273
13,Ager Rd at Nicholson St,Loop B,185,120,213
13,West Hyattsville Station - Arrival,Loop B,194,118,264
16,New Carrollton Station,Northbound,8,304,100
16,Riverdale Rd at Carrollton Mall,Northbound,17,324,110
16,Lamont Dr at Donoghue Dr,Northbound,25,341,102
16,Doctors Community Hospital,Northbound,39,344,86
16,Hanover Pkwy at Ora Glen Dr,Northbound,59,333,81
16,57th Ave at Berwyn Rd,Northbound,203,227,24
16,Beltway Plaza Shopping Center,Northbound,149,282,31
16,Greenbelt Metro Station (Arrival),Northbound,152,177,126
16,Greenbelt Metro Station Bus Bay A,Southbound,116,229,66
16,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),Southbound,61,315,81
16,57th Ave at Berwyn Rd,Southbound,24,317,113
16,Hanover Pkwy at Greenway Center Dr,Southbound,157,283,38
16,Doctors Community Hospital,Southbound,251,206,23
16,Lamont Dr at Lamont Pl,Southbound,266,188,23
16,Riverdale Rd at Carrollton Mall,Southbound,327,142,13
16,New Carrollton Station - Arrival,Southbound,171,88,143
17 (Route 1 Ride),Rhode Island (US RTE 1) at Mount Rainer Terminal,Northbound,32,317,18
17 (Route 1 Ride),Rhode Island Ave at County Service Building - NB,Northbound,182,189,24
17 (Route 1 Ride),Baltimore Ave at East-West Hwy,Northbound,67,303,32
17 (Route 1 Ride),College Park Metro Station - Bus Bay T8,Northbound,144,207,32
17 (Route 1 Ride),Campus Drive (EB) at Baltimore Ave,Northbound,0,11,6
17 (Route 1 Ride),College Park Metro Station at Bus Bay B,Northbound,2,13,2
17 (Route 1 Ride),Baltimore Ave at Lakeland Rd,Northbound,25,295,65
17 (Route 1 Ride),Ikea at Bus Bay 3,Northbound,1,9,339
17 (Route 1 Ride),Ikea at Bus Bay 3,Southbound,10,353,18
