,stops,route,early,on_time,late
0,CHAPMAN AVE & BOUIC AVE,46,1,1,1
1,CHRISTOPHER AVE & FEATHERTREE WAY,55,218,212,121
2,CHRISTOPHER AVE & GALLOP HILL RD,55,281,338,177
3,CHRISTOPHER AVE & HELLINGLY PL,55,99,284,47
4,CHRISTOPHER AVE & MONTGOMERY VILLAG,55,250,697,159
5,CHRISTOPHER AVE & RUSSELL AVE,55,519,1135,251
6,CHRISTOPHER AVE & VILLAGE OVERLOOK,55,67,177,35
7,CONTOUR RD & HORIZON RUN RD,55,178,330,55
8,CONTOUR RD & LOST KNIFE RD,55,356,788,148
9,CONTOUR RD & ODENDHAL AVE,55,122,344,30
10,CONTOUR RD & TUNSTALL DR,55,121,319,54
11,E JEFFERSON ST & MARYLAND AVE,46,83,108,15
12,E MIDDLE LN & MARYLAND AVE,55,22,568,75
13,E MIDDLE LN & MONROE ST,55,7,349,53
14,E MIDDLE LN & WASHINGTON ST,55,22,9,24
15,FREDERICK RD & @15,55,13,18,2
16,FREDERICK RD & @15501,55,25,31,7
17,FREDERICK RD & @20010,55,107,364,74
18,FREDERICK RD & APPLEDOWRE WAY,55,419,1215,227
19,FREDERICK RD & ARCHDALE RD,55,122,752,82
20,FREDERICK RD & COLLEGE PKWY,55,278,678,201
21,FREDERICK RD & COLLINS DR,55,5,62,6
22,FREDERICK RD & GERMANTOWN RD,55,72,435,65
23,FREDERICK RD & GUDE DR,55,70,130,55
24,FREDERICK RD & GUNNERS BRANCH RD,55,649,1860,443
25,FREDERICK RD & GUNNERS DR,55,20,69,11
26,FREDERICK RD & HIGH POINT DR,55,20,67,7
27,FREDERICK RD & INDIANOLA DR,55,66,94,33
28,FREDERICK RD & MAGNOLIA DR,55,70,88,47
29,FREDERICK RD & MIDDLEBROOK RD,55,315,852,217
30,FREDERICK RD & MIDWAY CENTER,55,84,374,50
31,FREDERICK RD & NEELSVILLE CHURCH RD,55,6,4,4
32,FREDERICK RD & OXBRIDGE DR,55,287,1059,227
33,FREDERICK RD & PLUMMER DR,55,205,640,132
34,FREDERICK RD & REDLAND RD,55,315,579,140
35,FREDERICK RD & RIDGEMONT AVE,55,66,177,40
36,FREDERICK RD & SCENERY DR,55,198,382,106
37,FREDERICK RD & SHADY GROVE RD,55,686,1973,364
38,FREDERICK RD & SHAKESPEARE BLVD,55,34,406,35
39,FREDERICK RD & WATKINS POND BLVD,55,79,97,25
40,FREDERICK RD & WHEATFIELD DR,55,31,58,26
41,GERMANTOWN RD & GOLDENROD LN,55,22,142,38
42,GERMANTOWN RD & OBSERVATION DR,55,47,59,29
43,GERMANTOWN TRANSIT CENTER  & BAY B,55,9237,18754,10518
44,GERMANTOWN TRANSIT CENTER  & BAY B,100,3925,7555,3812
45,GROSVENOR STATION  & BAY E,46,327,368,110
46,HALPINE RD & ROCKVILLE PIKE,46,19,32,11
