,stops,route,early,on_time,late
0,CHRISTOPHER AVE & FEATHERTREE WAY,55,57.0,83.0,21.0
1,CHRISTOPHER AVE & GALLOP HILL RD,55,64.0,154.0,12.0
2,CHRISTOPHER AVE & HELLINGLY PL,55,33.0,145.0,50.0
3,CHRISTOPHER AVE & MONTGOMERY VILLAG,55,63.0,314.0,69.0
4,CHRISTOPHER AVE & RUSSELL AVE,55,87.0,250.0,37.0
5,CHRISTOPHER AVE & VILLAGE OVERLOOK,55,17.0,99.0,41.0
6,CONTOUR RD & HORIZON RUN RD,55,58.0,157.0,31.0
7,CONTOUR RD & LOST KNIFE RD,55,76.0,227.0,75.0
8,CONTOUR RD & ODENDHAL AVE,55,21.0,93.0,33.0
9,CONTOUR RD & TUNSTALL DR,55,22.0,94.0,34.0
10,E JEFFERSON ST & MARYLAND AVE,46,26.0,29.0,7.0
11,E MIDDLE LN & MARYLAND AVE,55,38.0,263.0,22.0
12,E MIDDLE LN & MONROE ST,55,30.0,144.0,18.0
13,E MIDDLE LN & WASHINGTON ST,55,2.0,3.0,2.0
14,FREDERICK RD & @15,55,3.0,3.0,0.0
15,FREDERICK RD & @15501,55,1.0,9.0,3.0
16,FREDERICK RD & @20010,55,21.0,149.0,20.0
17,FREDERICK RD & APPLEDOWRE WAY,55,123.0,421.0,73.0
18,FREDERICK RD & ARCHDALE RD,55,24.0,128.0,14.0
19,FREDERICK RD & COLLEGE PKWY,55,61.0,206.0,59.0
20,FREDERICK RD & GERMANTOWN RD,55,20.0,136.0,16.0
21,FREDERICK RD & GUDE DR,55,8.0,68.0,25.0
22,FREDERICK RD & GUNNERS BRANCH RD,55,155.0,499.0,115.0
23,FREDERICK RD & GUNNERS DR,55,15.0,24.0,4.0
24,FREDERICK RD & HIGH POINT DR,55,10.0,81.0,5.0
25,FREDERICK RD & INDIANOLA DR,55,8.0,39.0,10.0
26,FREDERICK RD & MAGNOLIA DR,55,30.0,49.0,18.0
27,FREDERICK RD & MIDDLEBROOK RD,55,60.0,194.0,48.0
28,FREDERICK RD & MIDWAY CENTER,55,11.0,46.0,11.0
29,FREDERICK RD & NEELSVILLE CHURCH RD,55,2.0,7.0,1.0
30,FREDERICK RD & OXBRIDGE DR,55,93.0,390.0,53.0
31,FREDERICK RD & PLUMMER DR,55,82.0,193.0,42.0
32,FREDERICK RD & REDLAND RD,55,54.0,187.0,33.0
33,FREDERICK RD & SCENERY DR,55,50.0,109.0,42.0
