,stops,route,early,on_time,late
0,CHAPMAN AVE & BOUIC AVE,46,0.0,0.0,0.0
1,CHRISTOPHER AVE & FEATHERTREE WAY,55,110.0,197.0,19.0
2,CHRISTOPHER AVE & GALLOP HILL RD,55,109.0,238.0,12.0
3,CHRISTOPHER AVE & HELLINGLY PL,55,30.0,184.0,63.0
4,CHRISTOPHER AVE & MONTGOMERY VILLAG,55,109.0,449.0,131.0
5,CHRISTOPHER AVE & RUSSELL AVE,55,95.0,378.0,61.0
6,CHRISTOPHER AVE & VILLAGE OVERLOOK,55,24.0,186.0,62.0
7,CONTOUR RD & HORIZON RUN RD,55,65.0,244.0,56.0
8,CONTOUR RD & LOST KNIFE RD,55,86.0,433.0,120.0
9,CONTOUR RD & ODENDHAL AVE,55,30.0,170.0,53.0
10,CONTOUR RD & TUNSTALL DR,55,38.0,152.0,37.0
11,E JEFFERSON ST & MARYLAND AVE,46,56.0,65.0,11.0
12,E MIDDLE LN & MARYLAND AVE,55,79.0,448.0,30.0
13,E MIDDLE LN & MONROE ST,55,38.0,217.0,45.0
14,E MIDDLE LN & WASHINGTON ST,55,3.0,1.0,5.0
15,FREDERICK RD & @15,55,2.0,7.0,0.0
16,FREDERICK RD & @15501,55,1.0,21.0,6.0
17,FREDERICK RD & @20010,55,33.0,169.0,37.0
18,FREDERICK RD & APPLEDOWRE WAY,55,157.0,709.0,110.0
19,FREDERICK RD & ARCHDALE RD,55,35.0,310.0,21.0
20,FREDERICK RD & COLLEGE PKWY,55,78.0,342.0,53.0
21,FREDERICK RD & GERMANTOWN RD,55,8.0,94.0,5.0
22,FREDERICK RD & GUDE DR,55,17.0,110.0,29.0
23,FREDERICK RD & GUNNERS BRANCH RD,55,172.0,870.0,188.0
24,FREDERICK RD & GUNNERS DR,55,20.0,55.0,11.0
25,FREDERICK RD & HIGH POINT DR,55,8.0,66.0,9.0
26,FREDERICK RD & INDIANOLA DR,55,10.0,55.0,10.0
27,FREDERICK RD & MAGNOLIA DR,55,11.0,87.0,35.0
28,FREDERICK RD & MIDDLEBROOK RD,55,22.0,161.0,1.0
29,FREDERICK RD & MIDWAY CENTER,55,12.0,130.0,19.0
30,FREDERICK RD & NEELSVILLE CHURCH RD,55,3.0,10.0,3.0
31,FREDERICK RD & OXBRIDGE DR,55,95.0,542.0,69.0
32,FREDERICK RD & PLUMMER DR,55,98.0,391.0,47.0
33,FREDERICK RD & REDLAND RD,55,81.0,253.0,29.0
34,FREDERICK RD & SCENERY DR,55,50.0,202.0,78.0
35,FREDERICK RD & SHADY GROVE RD,55,91.0,627.0,120.0
