Timepoints 3,Timepoints,Timepoints 2,Early,On Time,Late
11,Mandan Rd at Hanover Pkwy,To Greenbelt Metro Station,248,358,30
11,Crescent Rd at Gardenway,To Greenbelt Metro Station,215,388,37
11,Cherrywood Ln at Greenbelt Federal Courthouse,To Greenbelt Metro Station,166,418,56
11,Greenbelt Metro Station (Arrival),To Greenbelt Metro Station,270,626,233
11,Greenbelt Metro Station Bus Bay A,Mandan Ct,343,273,2
11,Cherrywood Ln at Greenbelt Federal Courthouse,Mandan Ct,133,461,37
11,Crescent Rd at Gardenway,Mandan Ct,219,383,31
11,Hanover Pkwy at Greenway Center Dr,Mandan Ct,131,468,36
12,West Hyattsville Station,Mt Rainier Loop,27,304,128
12,28th Pl at Russell Ave,Mt Rainier Loop,28,262,167
12,Cora B. Wood Senior Center,Mt Rainier Loop,22,244,191
12,Rhode Island Ave at Mt Rainier,Mt Rainier Loop,28,224,204
12,Gwendolyn Britt Center,Mt Rainier Loop,42,237,194
12,38th St at Hamilton St,Mt Rainier Loop,36,208,200
12,West Hyattsville Station (Arrival),Mt Rainier Loop,32,203,201
12,West Hyattsville Station,Chillum Loop,51,350,49
12,Sargent Rd at Rollingcrest Commons,Chillum Loop,28,327,100
13,West Hyattsville Station,pgplaza,92,313,19
13,Hamilton St at 38th Ave,pgplaza,80,313,36
13,County Service Building,pgplaza,153,242,32
13,42nd Ave at Oglethorpe St,pgplaza,219,189,20
13,West Hyattsville Station,pgplaza,95,319,12
13,Ager Rd at Nicholson,pgplaza,97,314,17
13,Belcrest Rd at PG Plaza Sta Entrance,To West Hyattsville Station,47,301,83
13,PG Plaza Station,To West Hyattsville Station,162,215,55
13,Ager Rd at Nicholson St,To West Hyattsville Station,175,203,53
13,West Hyattsville Station - Arrival,To West Hyattsville Station,237,148,38
13,PG Plaza Station,To West Hyattsville Station,210,203,12
13,Belcrest Rd at 6505 Belcrest Rd,To West Hyattsville Station,150,247,30
13,42nd Ave at Oglethorpe St,To West Hyattsville Station,28,313,89
13,County Service Building,To West Hyattsville Station,28,312,90
13,Hamilton St at 38th Ave,To West Hyattsville Station,38,309,83
13,West Hyattsville Station - Arrival,To West Hyattsville Station,98,270,62
14,PG Plaza Station Bus Bay H,To College Park Station,87,136,80
14,Lafayette Ave at Queensbury Rd,To College Park Station,13,126,199
14,Riverdale Rd at 57th Ave,To College Park Station,20,133,219
14,Auburn Ave at Riverdale Rd,To College Park Station,26,126,221
14,River Rd at Rivertech Ct,To College Park Station,44,129,204
14,College Park Station - Arrival,To College Park Station,49,133,199
14,College Park Station,pgplaza,20,235,107
14,River Rd at Rivertech Ct,pgplaza,38,222,107
14,Auburn Ave at Riverdale Rd,pgplaza,100,171,93
14,Riverdale Rd at 57th Ave,pgplaza,88,165,115
14,Lafayette Ave at Queensbury Rd,pgplaza,134,127,76
14,Belcrest Rd at PG Plaza Entrance,pgplaza,56,154,166
14,Prince George's Plaza - Arrival,pgplaza,23,84,179
 15 Express,New Carrollton Station Bay K,Northbound,16,225,28
 15 Express,Goddard Space Flight Center Visitors Center (Northbound),Northbound,103,151,25
 15 Express,Greenbelt Station Parkway at S. Center Drive,Northbound,96,65,0
 15 Express,Greenbelt Metro Station (Arrival),Northbound,3,65,62
 15 Express,Greenbelt Metro Station Bus Bay A,Southbound,74,185,2
 15 Express,Greenbelt Station Parkway at S. Center Drive,Southbound,101,19,2
 15 Express,Goddard Space Flight Center Visitors Center (Southbound),Southbound,96,179,6
 15 Express,New Carrollton Station (Arrival),Southbound,48,169,53
16,New Carrollton Station,Northbound,4,298,79
16,Riverdale Rd at Carrollton Mall,Northbound,152,222,16
16,Lamont Dr at Donoghue Dr,Northbound,87,264,31
16,Doctors Community Hospital,Northbound,129,257,21
16,Hanover Pkwy at Ora Glen Dr,Northbound,240,159,11
16,57th Ave at Berwyn Rd,Northbound,211,180,20
16,Beltway Plaza Shopping Center,Northbound,132,246,35
16,Greenbelt Metro Station (Arrival),Northbound,140,232,44
16,Greenbelt Metro Station Bus Bay A,Southbound,47,289,31
16,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),Southbound,35,326,68
16,57th Ave at Berwyn Rd,Southbound,31,317,83
16,Hanover Pkwy at Greenway Center Dr,Southbound,35,331,72
16,Doctors Community Hospital,Southbound,51,313,78
16,Lamont Dr at Lamont Pl,Southbound,48,305,91
16,Riverdale Rd at Carrollton Mall,Southbound,129,246,59
16,New Carrollton Station - Arrival,Southbound,187,204,47
 17 (Route 1 Ride),Rhode Island (US RTE 1) at Mount Rainer Terminal,Northbound,11,528,43
 17 (Route 1 Ride),Rhode Island Ave at County Service Building - NB,Northbound,143,410,37
 17 (Route 1 Ride),Baltimore Ave at East-West Hwy,Northbound,200,359,33
 17 (Route 1 Ride),Paint branch Parkway at Baltimore Ave,Northbound,81,434,74
 17 (Route 1 Ride),College Park Metro Station at Bus Bay B,Northbound,196,342,54
 17 (Route 1 Ride),Ikea - Arrival,Northbound,6,10,468
 17 (Route 1 Ride),Ikea at Bus Bay 3,Southbound,5,522,79
 17 (Route 1 Ride),College Park Metro Station at Bus Bay B,Southbound,1,234,371
 17 (Route 1 Ride),Baltimore Ave at Campus Dr,Southbound,43,445,121
 17 (Route 1 Ride),Baltimore Ave at East-West Hwy,Southbound,28,298,283
