Timepoints 3,Timepoints,Timepoints 2,Early,On Time,Late
11,Mandan Rd at Hanover Pkwy,To Greenbelt Metro Station,224,407,13
11,Crescent Rd at Gardenway,To Greenbelt Metro Station,180,437,27
11,Cherrywood Ln at Greenbelt Federal Courthouse,To Greenbelt Metro Station,122,461,61
11,Greenbelt Metro Station (Arrival),To Greenbelt Metro Station,210,724,204
11,Greenbelt Metro Station Bus Bay A,Mandan Ct,358,261,3
11,Cherrywood Ln at Greenbelt Federal Courthouse,Mandan Ct,88,545,11
11,Crescent Rd at Gardenway,Mandan Ct,185,447,10
11,Hanover Pkwy at Greenway Center Dr,Mandan Ct,84,543,17
12,West Hyattsville Station,Mt Rainier Loop,64,306,106
12,28th Pl at Russell Ave,Mt Rainier Loop,68,264,144
12,Cora B. Wood Senior Center,Mt Rainier Loop,64,249,160
12,Rhode Island Ave at Mt Rainier,Mt Rainier Loop,81,239,159
12,Gwendolyn Britt Center,Mt Rainier Loop,93,221,161
12,38th St at Hamilton St,Mt Rainier Loop,92,207,164
12,West Hyattsville Station (Arrival),Mt Rainier Loop,99,194,164
12,West Hyattsville Station,Chillum Loop,75,355,36
12,Sargent Rd at Rollingcrest Commons,Chillum Loop,54,337,82
13,West Hyattsville Station,pgplaza,35,318,36
13,Hamilton St at 38th Ave,pgplaza,43,299,48
13,County Service Building,pgplaza,126,216,50
13,42nd Ave at Oglethorpe St,pgplaza,178,162,48
13,West Hyattsville Station,pgplaza,85,347,7
13,Ager Rd at Nicholson,pgplaza,120,312,16
13,Belcrest Rd at PG Plaza Sta Entrance,To West Hyattsville Station,37,257,101
13,PG Plaza Station,To West Hyattsville Station,112,201,78
13,Ager Rd at Nicholson St,To West Hyattsville Station,123,184,87
13,West Hyattsville Station - Arrival,To West Hyattsville Station,176,143,69
13,PG Plaza Station,To West Hyattsville Station,255,177,15
13,Belcrest Rd at 6505 Belcrest Rd,To West Hyattsville Station,178,250,20
13,42nd Ave at Oglethorpe St,To West Hyattsville Station,26,336,83
13,County Service Building,To West Hyattsville Station,30,326,86
13,Hamilton St at 38th Ave,To West Hyattsville Station,56,308,82
13,West Hyattsville Station - Arrival,To West Hyattsville Station,120,264,53
14,PG Plaza Station Bus Bay H,To College Park Station,138,126,57
14,Lafayette Ave at Queensbury Rd,To College Park Station,37,178,199
14,Riverdale Rd at 57th Ave,To College Park Station,84,154,180
14,Auburn Ave at Riverdale Rd,To College Park Station,90,147,181
14,River Rd at Rivertech Ct,To College Park Station,117,132,172
14,College Park Station - Arrival,To College Park Station,130,121,170
14,College Park Station,pgplaza,35,283,96
14,River Rd at Rivertech Ct,pgplaza,76,247,96
14,Auburn Ave at Riverdale Rd,pgplaza,86,248,82
14,Riverdale Rd at 57th Ave,pgplaza,85,227,107
14,Lafayette Ave at Queensbury Rd,pgplaza,182,156,89
14,Belcrest Rd at PG Plaza Entrance,pgplaza,78,204,149
14,Prince George's Plaza - Arrival,pgplaza,25,94,155
 15 Express,New Carrollton Station Bay K,Northbound,8,179,78
 15 Express,Goddard Space Flight Center Visitors Center (Northbound),Northbound,114,92,73
 15 Express,Greenbelt Station Parkway at S. Center Drive,Northbound,84,75,1
 15 Express,Greenbelt Metro Station (Arrival),Northbound,2,37,89
 15 Express,Greenbelt Metro Station Bus Bay A,Southbound,27,188,40
 15 Express,Greenbelt Station Parkway at S. Center Drive,Southbound,54,28,39
 15 Express,Goddard Space Flight Center Visitors Center (Southbound),Southbound,50,176,56
 15 Express,New Carrollton Station (Arrival),Southbound,25,124,123
16,New Carrollton Station,Northbound,6,282,68
16,Riverdale Rd at Carrollton Mall,Northbound,155,227,21
16,Lamont Dr at Donoghue Dr,Northbound,68,287,47
16,Doctors Community Hospital,Northbound,109,278,31
16,Hanover Pkwy at Ora Glen Dr,Northbound,248,153,20
16,57th Ave at Berwyn Rd,Northbound,191,195,35
16,Beltway Plaza Shopping Center,Northbound,124,253,48
16,Greenbelt Metro Station (Arrival),Northbound,129,238,53
16,Greenbelt Metro Station Bus Bay A,Southbound,66,274,23
16,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),Southbound,28,363,38
16,57th Ave at Berwyn Rd,Southbound,30,350,47
16,Hanover Pkwy at Greenway Center Dr,Southbound,56,348,44
16,Doctors Community Hospital,Southbound,68,333,50
16,Lamont Dr at Lamont Pl,Southbound,58,329,63
16,Riverdale Rd at Carrollton Mall,Southbound,148,250,42
16,New Carrollton Station - Arrival,Southbound,206,215,35
 17 (Route 1 Ride),Rhode Island (US RTE 1) at Mount Rainer Terminal,Northbound,4,554,48
 17 (Route 1 Ride),Rhode Island Ave at County Service Building - NB,Northbound,122,455,39
 17 (Route 1 Ride),Baltimore Ave at East-West Hwy,Northbound,184,392,42
 17 (Route 1 Ride),Paint branch Parkway at Baltimore Ave,Northbound,77,463,78
