Timepoints 3,Timepoints,Timepoints 2,Early,On Time,Late
11,Mandan Rd at Hanover Pkwy,To Greenbelt Metro Station,173,327,16
11,Crescent Rd at Gardenway,To Greenbelt Metro Station,135,350,30
11,Cherrywood Ln at Greenbelt Federal Courthouse,To Greenbelt Metro Station,80,370,64
11,Greenbelt Metro Station (Arrival),To Greenbelt Metro Station,156,488,167
11,Greenbelt Metro Station Bus Bay A,Mandan Ct,331,270,10
11,Cherrywood Ln at Greenbelt Federal Courthouse,Mandan Ct,70,423,11
11,Crescent Rd at Gardenway,Mandan Ct,145,353,10
11,Hanover Pkwy at Greenway Center Dr,Mandan Ct,78,414,21
12,West Hyattsville Station,Mt Rainier Loop,63,296,97
12,28th Pl at Russell Ave,Mt Rainier Loop,77,249,123
12,Cora B. Wood Senior Center,Mt Rainier Loop,68,244,135
12,Rhode Island Ave at Mt Rainier,Mt Rainier Loop,82,237,132
12,Gwendolyn Britt Center,Mt Rainier Loop,98,215,136
12,38th St at Hamilton St,Mt Rainier Loop,96,210,133
12,West Hyattsville Station (Arrival),Mt Rainier Loop,112,189,141
12,West Hyattsville Station,Chillum Loop,67,347,29
12,Sargent Rd at Rollingcrest Commons,Chillum Loop,65,327,59
13,West Hyattsville Station,pgplaza,34,325,52
13,Hamilton St at 38th Ave,pgplaza,55,286,73
13,County Service Building,pgplaza,137,204,69
13,42nd Ave at Oglethorpe St,pgplaza,174,170,69
13,West Hyattsville Station,pgplaza,79,339,6
13,Ager Rd at Nicholson,pgplaza,107,312,9
13,Belcrest Rd at PG Plaza Sta Entrance,To West Hyattsville Station,36,255,126
13,PG Plaza Station,To West Hyattsville Station,125,188,99
13,Ager Rd at Nicholson St,To West Hyattsville Station,134,173,105
13,West Hyattsville Station - Arrival,To West Hyattsville Station,192,125,92
13,PG Plaza Station,To West Hyattsville Station,256,164,7
13,Belcrest Rd at 6505 Belcrest Rd,To West Hyattsville Station,196,227,11
13,42nd Ave at Oglethorpe St,To West Hyattsville Station,29,347,52
13,County Service Building,To West Hyattsville Station,32,337,59
13,Hamilton St at 38th Ave,To West Hyattsville Station,52,322,54
13,West Hyattsville Station - Arrival,To West Hyattsville Station,116,274,30
14,PG Plaza Station Bus Bay H,To College Park Station,175,138,49
14,Lafayette Ave at Queensbury Rd,To College Park Station,30,186,181
14,Riverdale Rd at 57th Ave,To College Park Station,66,169,169
14,Auburn Ave at Riverdale Rd,To College Park Station,66,163,177
14,River Rd at Rivertech Ct,To College Park Station,97,146,163
14,College Park Station - Arrival,To College Park Station,103,147,155
14,College Park Station,pgplaza,26,300,76
14,River Rd at Rivertech Ct,pgplaza,51,276,81
14,Auburn Ave at Riverdale Rd,pgplaza,67,274,65
14,Riverdale Rd at 57th Ave,pgplaza,66,255,90
14,Lafayette Ave at Queensbury Rd,pgplaza,180,165,68
14,Belcrest Rd at PG Plaza Entrance,pgplaza,62,215,137
14,Prince George's Plaza - Arrival,pgplaza,53,110,157
 15 Express,New Carrollton Station Bay K,Northbound,11,173,57
 15 Express,Goddard Space Flight Center Visitors Center (Northbound),Northbound,105,108,58
 15 Express,Greenbelt Station Parkway at S. Center Drive,Northbound,72,75,5
 15 Express,Greenbelt Metro Station (Arrival),Northbound,5,51,70
 15 Express,Greenbelt Metro Station Bus Bay A,Southbound,47,181,34
 15 Express,Greenbelt Station Parkway at S. Center Drive,Southbound,60,30,31
 15 Express,Goddard Space Flight Center Visitors Center (Southbound),Southbound,73,161,43
 15 Express,New Carrollton Station (Arrival),Southbound,31,131,90
16,New Carrollton Station,Northbound,5,265,48
16,Riverdale Rd at Carrollton Mall,Northbound,184,141,10
16,Lamont Dr at Donoghue Dr,Northbound,93,217,26
16,Doctors Community Hospital,Northbound,133,196,16
16,Hanover Pkwy at Ora Glen Dr,Northbound,235,99,9
16,57th Ave at Berwyn Rd,Northbound,168,151,21
16,Beltway Plaza Shopping Center,Northbound,116,207,29
16,Greenbelt Metro Station (Arrival),Northbound,118,200,34
16,Greenbelt Metro Station Bus Bay A,Southbound,74,308,21
16,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),Southbound,51,336,29
16,57th Ave at Berwyn Rd,Southbound,49,325,39
16,Hanover Pkwy at Greenway Center Dr,Southbound,71,304,43
16,Doctors Community Hospital,Southbound,88,289,46
16,Lamont Dr at Lamont Pl,Southbound,77,292,51
16,Riverdale Rd at Carrollton Mall,Southbound,157,229,27
16,New Carrollton Station - Arrival,Southbound,211,175,29
 17 (Route 1 Ride),Rhode Island (US RTE 1) at Mount Rainer Terminal,Northbound,6,534,29
