Timepoints 3,Timepoints,Timepoints 2,Early,On Time,Late
11,Mandan Rd at Hanover Pkwy,To Greenbelt Metro Station,108,375,35
11,Crescent Rd at Gardenway,To Greenbelt Metro Station,80,352,89
11,Cherrywood Ln at Greenbelt Federal Courthouse,To Greenbelt Metro Station,54,324,144
11,Greenbelt Metro Station (Arrival),To Greenbelt Metro Station,77,311,114
11,Greenbelt Metro Station Bus Bay A,Mandan Ct,253,276,5
11,Cherrywood Ln at Greenbelt Federal Courthouse,Mandan Ct,47,464,15
11,Crescent Rd at Gardenway,Mandan Ct,83,415,18
11,Hanover Pkwy at Greenway Center Dr,Mandan Ct,30,452,40
12,West Hyattsville Station,Mt Rainier Loop,42,201,175
12,28th Pl at Russell Ave,Mt Rainier Loop,29,176,188
12,Cora B. Wood Senior Center,Mt Rainier Loop,23,166,204
12,Gwendolyn Britt Center,Mt Rainier Loop,51,169,185
12,38th St at Hamilton St,Mt Rainier Loop,43,154,186
12,West Hyattsville Station (Arrival),Mt Rainier Loop,43,136,194
12,West Hyattsville Station,Chillum Loop,57,256,70
12,Sargent Rd at Rollingcrest Commons,Chillum Loop,49,244,107
13,West Hyattsville Station,To PG Plaza,90,249,26
13,Hamilton St at 38th Ave,To PG Plaza,53,275,36
13,County Service Building,To PG Plaza,134,195,35
13,42nd Ave at Oglethorpe St,To PG Plaza,151,180,33
13,West Hyattsville Station,To PG Plaza,50,272,31
13,Ager Rd at Nicholson,To PG Plaza,36,286,37
13,Belcrest Rd at PG Plaza Sta Entrance,To West Hyattsville Station,32,242,91
13,PG Plaza Station,To West Hyattsville Station,118,188,58
13,Ager Rd at Nicholson St,To West Hyattsville Station,106,190,73
13,West Hyattsville Station - Arrival,To West Hyattsville Station,159,143,64
13,PG Plaza Station,To West Hyattsville Station,117,202,33
13,Belcrest Rd at 6505 Belcrest Rd,To West Hyattsville Station,74,229,52
13,42nd Ave at Oglethorpe St,To West Hyattsville Station,21,209,130
13,County Service Building,To West Hyattsville Station,22,203,133
13,Hamilton St at 38th Ave,To West Hyattsville Station,29,197,137
13,West Hyattsville Station - Arrival,To West Hyattsville Station,52,201,106
14,PG Plaza Station Bus Bay H,To College Park Station,109,98,89
14,Taylor Rd at Riverdale Rd,To College Park Station,8,91,234
14,Riverdale Rd at 57th Ave,To College Park Station,51,86,199
14,Auburn Ave at Riverdale Rd,To College Park Station,48,80,214
14,River Rd at Rivertech Ct,To College Park Station,0,9,6
14,College Park Station - Arrival,To College Park Station,20,22,15
14,College Park Station,To PG Plaza,132,29,47
14,River Rd at Rivertech Ct,To PG Plaza,117,114,108
14,Auburn Ave at Riverdale Rd,To PG Plaza,95,154,86
14,Riverdale Rd at 57th Ave,To PG Plaza,62,142,130
14,Riverdale Rd at Taylor Rd,To PG Plaza,128,120,96
14,Belcrest Rd at PG Plaza Entrance,To PG Plaza,26,120,201
14,Prince George's Plaza - Arrival,To PG Plaza,29,73,180
15 Express,New Carrollton Station Bay K,Northbound,11,153,46
15 Express,Goddard Space Flight Center Visitors Center (Northbound),Northbound,63,103,57
15 Express,Greenbelt Station Parkway at S. Center Drive,Northbound,55,52,2
15 Express,Greenbelt Metro Station (Arrival),Northbound,2,44,67
15 Express,Greenbelt Metro Station Bus Bay A,Southbound,46,147,10
15 Express,Greenbelt Station Parkway at S. Center Drive,Southbound,68,31,12
15 Express,Goddard Space Flight Center Visitors Center (Southbound),Southbound,47,150,28
15 Express,New Carrollton Station (Arrival),Southbound,29,90,92
16,New Carrollton Station,Northbound,26,323,26
16,Riverdale Rd at Carrollton Mall,Northbound,197,169,9
16,Lamont Dr at Donoghue Dr,Northbound,117,251,21
16,Doctors Community Hospital,Northbound,170,214,14
16,Hanover Pkwy at Ora Glen Dr,Northbound,254,138,11
16,57th Ave at Berwyn Rd,Northbound,160,225,20
16,Beltway Plaza Shopping Center,Northbound,98,279,30
16,Greenbelt Metro Station (Arrival),Northbound,86,258,35
16,Greenbelt Metro Station Bus Bay A,Southbound,84,241,16
16,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),Southbound,60,324,39
16,57th Ave at Berwyn Rd,Southbound,56,319,49
16,Hanover Pkwy at Greenway Center Dr,Southbound,69,296,68
16,Doctors Community Hospital,Southbound,83,291,58
16,Lamont Dr at Lamont Pl,Southbound,53,292,86
16,Riverdale Rd at Carrollton Mall,Southbound,117,253,61
16,New Carrollton Station - Arrival,Southbound,125,196,70
17 (Route 1 Ride),Rhode Island (US RTE 1) at Mount Rainer Terminal,Northbound,2,378,113
17 (Route 1 Ride),Rhode Island Ave at County Service Building - NB,Northbound,140,259,106
17 (Route 1 Ride),Baltimore Ave at East-West Hwy,Northbound,154,247,107
