Timepoints 3,Timepoints,Timepoints 2,Early,On Time,Late
13,West Hyattsville Station,Loop A,37,67,8
13,Ager Rd at Nicholson,Loop A,36,66,20
13,PG Plaza Station,Loop A,81,23,21
13,Belcrest Rd at 6505 Belcrest Rd,Loop A,55,44,28
13,42nd Ave at Oglethorpe St,Loop A,28,69,29
13,County Service Building,Loop A,32,64,27
13,Hamilton St at 38th Ave,Loop A,46,51,25
13,West Hyattsville Station - Arrival,Loop A,49,38,29
13,West Hyattsville Station,Loop B,44,191,38
13,Hamilton St at 38th Ave,Loop B,75,181,41
13,County Service Building,Loop B,66,191,34
13,42nd Ave at Oglethorpe St,Loop B,59,197,37
13,Belcrest Rd at PG Plaza,Loop B,48,200,48
13,PG Plaza Station,Loop B,16,179,94
13,Ager Rd at Nicholson St,Loop B,72,171,53
13,West Hyattsville Station - Arrival,Loop B,66,144,86
16,New Carrollton Station,Northbound,38,144,63
16,Riverdale Rd at Carrollton Mall,Northbound,18,163,70
16,Lamont Dr at Donoghue Dr,Northbound,31,164,65
16,Doctors Community Hospital,Northbound,32,180,50
16,Hanover Pkwy at Ora Glen Dr,Northbound,40,178,46
16,57th Ave at Berwyn Rd,Northbound,60,45,3
16,Beltway Plaza Shopping Center,Northbound,176,69,9
16,Greenbelt Metro Station (Arrival),Northbound,163,48,65
16,Greenbelt Metro Station Bus Bay A,Southbound,56,134,33
16,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),Southbound,36,141,63
16,57th Ave at Berwyn Rd,Southbound,7,70,14
16,Hanover Pkwy at Greenway Center Dr,Southbound,132,123,7
16,Doctors Community Hospital,Southbound,171,88,8
16,Lamont Dr at Lamont Pl,Southbound,180,80,6
16,Riverdale Rd at Carrollton Mall,Southbound,209,51,6
16,New Carrollton Station - Arrival,Southbound,136,43,69
17 (Route 1 Ride),Rhode Island (US RTE 1) at Mount Rainer Terminal,Northbound,14,232,17
17 (Route 1 Ride),Rhode Island Ave at County Service Building - NB,Northbound,138,119,17
17 (Route 1 Ride),Baltimore Ave at East-West Hwy,Northbound,45,209,23
17 (Route 1 Ride),College Park Metro Station - Bus Bay T8,Northbound,58,96,13
17 (Route 1 Ride),Campus Drive (EB) at Baltimore Ave,Northbound,0,53,61
17 (Route 1 Ride),College Park Metro Station at Bus Bay B,Northbound,13,80,21
17 (Route 1 Ride),Baltimore Ave at Lakeland Rd,Northbound,80,68,20
17 (Route 1 Ride),Ikea at Bus Bay 3,Northbound,12,23,221
17 (Route 1 Ride),Ikea at Bus Bay 3,Southbound,11,225,21
17 (Route 1 Ride),Baltimore Ave at Lakeland Rd,Southbound,37,118,16
17 (Route 1 Ride),College Park Metro Station at Bus Bay B,Southbound,95,20,0
17 (Route 1 Ride),Baltimore Ave at Campus Dr,Southbound,110,5,1
17 (Route 1 Ride),College Park Metro Station - Bus Bay T8,Southbound,55,104,13
17 (Route 1 Ride),Baltimore Ave at East-West Hwy,Southbound,107,147,34
17 (Route 1 Ride),Rhode Island Ave at County Service Building - SB,Southbound,192,76,20
17 (Route 1 Ride),Mt Rainier Terminal - Arrival,Southbound,102,21,137
18,Addison Rd Metrorail Station,Northbound,78,182,5
18,Columbia Park Rd at Marshall Pl,Northbound,109,237,30
18,Cheverly Metrorail Station Bay D,Northbound,186,173,24
18,Bladensburg Rd at 38th St,Northbound,192,169,29
18,Hamilton St at 38th St,Northbound,193,164,33
18,East-West Hwy at Prince George's Mall Ent.,Northbound,195,160,38
18,23rd Ave at Lewisdale Dr,Northbound,204,149,38
18,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),Northbound,75,118,172
18,Takoma Langley Park Transit Center Bus Bay B,Southbound,39,268,26
18,23rd Ave at Lewisdale Dr,Southbound,8,264,128
18,PG Plaza,Southbound,8,210,193
18,Hamilton St at 38th St,Southbound,31,261,122
18,Bladensburg Rd at 38th St,Southbound,24,252,139
18,Cheverly Metrorail Station Bay D,Southbound,71,224,124
18,Columbia Park Rd at Marshall Pl,Southbound,167,186,58
18,Addison Rd Metrorail - Arrival,Southbound,153,143,196
20,Addison Rd Metrorail Station,Eastbound,179,199,20
20,Donnell Drive at Target Store,Eastbound,17,314,84
20,Melwood Training Center,Eastbound,96,267,57
20,Marlboro Pike at Melwood Mall,Eastbound,65,262,91
20,Old Marlboro Pike at Roblee Dr,Eastbound,309,68,16
20,Old Marlboro Pike at John Rogers Blvd,Eastbound,297,90,12
