Timepoints 3,Timepoints,Timepoints 2,Early,On Time,Late
13,West Hyattsville Station,Loop A,52,204,9
13,Ager Rd at Nicholson,Loop A,65,182,4
13,PG Plaza Station,Loop A,67,174,8
13,Belcrest Rd at 6505 Belcrest Rd,Loop A,111,130,12
13,42nd Ave at Oglethorpe St,Loop A,16,180,57
13,County Service Building,Loop A,22,150,62
13,Hamilton St at 38th Ave,Loop A,54,140,63
13,West Hyattsville Station - Arrival,Loop A,72,104,93
13,West Hyattsville Station,Loop B,79,123,14
13,Hamilton St at 38th Ave,Loop B,88,109,19
13,County Service Building,Loop B,93,90,19
13,42nd Ave at Oglethorpe St,Loop B,128,77,11
13,Belcrest Rd at PG Plaza,Loop B,91,98,26
13,PG Plaza Station,Loop B,93,96,33
13,Ager Rd at Nicholson St,Loop B,132,65,27
13,West Hyattsville Station - Arrival,Loop B,128,58,28
16,New Carrollton Station,Northbound,6,194,24
16,Riverdale Rd at Carrollton Mall,Northbound,19,190,29
16,Lamont Dr at Donoghue Dr,Northbound,44,177,24
16,Doctors Community Hospital,Northbound,75,155,18
16,Hanover Pkwy at Ora Glen Dr,Northbound,87,147,15
16,57th Ave at Berwyn Rd,Northbound,182,59,9
16,Beltway Plaza Shopping Center,Northbound,147,96,12
16,Greenbelt Metro Station (Arrival),Northbound,127,59,76
16,Greenbelt Metro Station Bus Bay A,Southbound,61,165,9
16,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),Southbound,93,157,13
16,57th Ave at Berwyn Rd,Southbound,39,205,21
16,Hanover Pkwy at Greenway Center Dr,Southbound,139,126,5
16,Doctors Community Hospital,Southbound,188,80,4
16,Lamont Dr at Lamont Pl,Southbound,183,85,2
16,Riverdale Rd at Carrollton Mall,Southbound,222,48,3
16,New Carrollton Station - Arrival,Southbound,67,23,114
17 (Route 1 Ride),Rhode Island (US RTE 1) at Mount Rainer Terminal,Northbound,21,148,3
17 (Route 1 Ride),Rhode Island Ave at County Service Building - NB,Northbound,116,63,1
17 (Route 1 Ride),Baltimore Ave at East-West Hwy,Northbound,55,122,1
17 (Route 1 Ride),College Park Metro Station - Bus Bay T8,Northbound,152,24,2
17 (Route 1 Ride),Baltimore Ave at Lakeland Rd,Northbound,13,19,4
17 (Route 1 Ride),Ikea at Bus Bay 3,Northbound,24,24,85
17 (Route 1 Ride),Ikea at Bus Bay 3,Southbound,16,120,4
17 (Route 1 Ride),Baltimore Ave at Lakeland Rd,Southbound,45,4,0
17 (Route 1 Ride),College Park Metro Station - Bus Bay T8,Southbound,36,113,22
17 (Route 1 Ride),Baltimore Ave at East-West Hwy,Southbound,103,55,8
17 (Route 1 Ride),Rhode Island Ave at County Service Building - SB,Southbound,102,57,9
17 (Route 1 Ride),Mt Rainier Terminal - Arrival,Southbound,27,14,97
18,Addison Rd Metrorail Station,Northbound,16,99,8
18,Columbia Park Rd at Marshall Pl,Northbound,48,120,19
18,Cheverly Metrorail Station Bay D,Northbound,84,90,10
18,Bladensburg Rd at 38th St,Northbound,130,56,10
18,Hamilton St at 38th St,Northbound,119,64,17
18,East-West Hwy at Prince George's Mall Ent.,Northbound,115,64,21
18,23rd Ave at Lewisdale Dr,Northbound,116,64,21
18,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),Northbound,39,44,95
18,Takoma Langley Park Transit Center Bus Bay B,Southbound,4,124,10
18,23rd Ave at Lewisdale Dr,Southbound,2,97,91
18,PG Plaza,Southbound,0,91,102
18,Hamilton St at 38th St,Southbound,11,110,75
18,Bladensburg Rd at 38th St,Southbound,18,104,68
18,Cheverly Metrorail Station Bay D,Southbound,46,97,51
18,Columbia Park Rd at Marshall Pl,Southbound,84,73,37
18,Addison Rd Metrorail - Arrival,Southbound,85,33,117
20,Addison Rd Metrorail Station,Eastbound,74,123,2
20,Donnell Drive at Target Store,Eastbound,27,176,23
20,Melwood Training Center,Eastbound,58,156,16
20,Marlboro Pike at Melwood Mall,Eastbound,31,168,26
20,Old Marlboro Pike at Roblee Dr,Eastbound,117,105,8
20,Old Marlboro Pike at John Rogers Blvd,Eastbound,168,56,5
20,Courthouse,Eastbound,156,61,9
20,CAB - Arrival,Eastbound,93,73,38
20,County Administration Building,Westbound,7,214,7
20,Courthouse,Westbound,6,236,22
20,Old Marlboro Pike at John Rogers Blvd,Westbound,0,233,23
20,Old Marlboro Pike at Roblee Dr,Westbound,59,195,5
20,Marlboro Pike at Melwood Mall,Westbound,126,131,1
20,Melwood Training Center,Westbound,186,74,3
20,Donnell Dr at Marlboro Pike,Westbound,151,105,5
20,Addison Rd Metrorail - Arrival,Westbound,135,76,21
21,New Carrollton Station,County Courthouse,31,158,14
21,Largo Town Center Station,County Courthouse,29,164,32
21,Campus Way South at College Station Dr (PGCC),County Courthouse,1,135,86
21,Largo Rd at Hancock Dr,County Courthouse,105,97,28
21,Equestrian Center Lot 1,County Courthouse,6,9,58
21,County Courthouse,To New Carrollton Station,16,89,7
21,Largo Rd at Black Swan Dr,To New Carrollton Station,74,135,19
21,Campus Way South at College Station Dr (PGCC),To New Carrollton Station,182,23,9
21,Largo Town Center Station,To New Carrollton Station,98,118,14
21,New Carrollton Station - Arrival,To New Carrollton Station,106,79,30
24,Morgan Blvd Metro Station,To Capitol Heights Metro,18,82,25
24,Old Forestville Rd at Forestville Rd,To Capitol Heights Metro,71,91,53
