Timepoints 3,Timepoints,Timepoints 2,Early,On Time,Late
11,Mandan Rd at Hanover Pkwy,To Greenbelt Metro Station,123,204,4
11,Crescent Rd at Gardenway,To Greenbelt Metro Station,107,221,5
11,Cherrywood Ln at Greenbelt Federal Courthouse,To Greenbelt Metro Station,82,234,23
11,Greenbelt Metro Station (Arrival),To Greenbelt Metro Station,107,228,55
11,Greenbelt Metro Station Bus Bay A,Mandan Ct,165,145,1
11,Cherrywood Ln at Greenbelt Federal Courthouse,Mandan Ct,52,273,5
11,Crescent Rd at Gardenway,Mandan Ct,111,216,2
11,Hanover Pkwy at Greenway Center Dr,Mandan Ct,66,259,7
12,West Hyattsville Station,Mt Rainier Loop,54,189,55
12,28th Pl at Russell Ave,Mt Rainier Loop,45,169,82
12,Rhode Island Ave at 34th Street,Mt Rainier Loop,105,151,31
12,Gwendolyn Britt Center,Mt Rainier Loop,139,134,28
12,Hamilton St at 36th Ave,Mt Rainier Loop,72,177,44
12,West Hyattsville Station,Mt Rainier Loop,69,120,85
12,West Hyattsville Station,Chillum Loop,81,185,13
12,Sargent Rd at Rollingcrest Commons,Chillum Loop,50,218,24
13,West Hyattsville Station,Loop A,95,169,22
13,Ager Rd at Nicholson,Loop A,91,169,29
13,PG Plaza Station,Loop A,84,169,39
13,Belcrest Rd at 6505 Belcrest Rd,Loop A,121,133,37
13,42nd Ave at Oglethorpe St,Loop A,27,178,84
13,County Service Building,Loop A,30,167,89
13,Hamilton St at 38th Ave,Loop A,47,159,81
13,West Hyattsville Station - Arrival,Loop A,65,132,96
13,West Hyattsville Station,Loop B,17,225,21
13,Hamilton St at 38th Ave,Loop B,82,179,18
13,County Service Building,Loop B,120,141,15
13,42nd Ave at Oglethorpe St,Loop B,158,111,14
13,Belcrest Rd at PG Plaza,Loop B,101,161,26
13,PG Plaza Station,Loop B,92,149,39
13,Ager Rd at Nicholson St,Loop B,164,93,29
13,West Hyattsville Station - Arrival,Loop B,147,106,34
14,PG Plaza Station Bus Bay H,To College Park Station,68,76,25
14,Taylor Rd at Riverdale Rd,To College Park Station,4,74,145
14,Riverdale Rd at 57th Ave,To College Park Station,32,92,97
14,Auburn Ave at Riverdale Rd,To College Park Station,38,82,103
14,College Park Station - Arrival,To College Park Station,65,71,67
