Timepoints 3,Timepoints,Timepoints 2,Early,On Time,Late
13,West Hyattsville Station,Loop B,35,111,2
13,Hamilton St at 38th Ave,Loop B,65,99,13
13,County Service Building,Loop B,52,112,5
13,42nd Ave at Oglethorpe St,Loop B,46,121,4
13,Belcrest Rd at PG Plaza,Loop B,39,131,4
13,PG Plaza Station,Loop B,15,131,25
13,Ager Rd at Nicholson St,Loop B,55,108,10
13,West Hyattsville Station - Arrival,Loop B,50,97,15
16,New Carrollton Station,Northbound,25,90,20
16,Riverdale Rd at Carrollton Mall,Northbound,18,100,25
16,Lamont Dr at Donoghue Dr,Northbound,39,88,20
16,Doctors Community Hospital,Northbound,42,91,20
16,Hanover Pkwy at Ora Glen Dr,Northbound,74,66,10
16,57th Ave at Berwyn Rd,Northbound,120,28,4
16,Beltway Plaza Shopping Center,Northbound,111,36,5
16,Greenbelt Metro Station (Arrival),Northbound,96,25,42
16,Greenbelt Metro Station Bus Bay A,Southbound,37,74,19
16,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),Southbound,27,96,29
16,57th Ave at Berwyn Rd,Southbound,16,102,35
16,Hanover Pkwy at Greenway Center Dr,Southbound,79,70,11
16,Doctors Community Hospital,Southbound,117,51,5
16,Lamont Dr at Lamont Pl,Southbound,112,45,4
16,Riverdale Rd at Carrollton Mall,Southbound,134,26,2
16,New Carrollton Station - Arrival,Southbound,86,22,39
17 (Route 1 Ride),Rhode Island (US RTE 1) at Mount Rainer Terminal,Northbound,7,81,4
17 (Route 1 Ride),Rhode Island Ave at County Service Building - NB,Northbound,70,28,4
17 (Route 1 Ride),Baltimore Ave at East-West Hwy,Northbound,33,65,5
17 (Route 1 Ride),College Park Metro Station - Bus Bay T8,Northbound,77,33,2
17 (Route 1 Ride),Baltimore Ave at Lakeland Rd,Northbound,91,20,1
17 (Route 1 Ride),Ikea at Bus Bay 3,Northbound,4,0,75
17 (Route 1 Ride),Ikea at Bus Bay 3,Southbound,1,72,13
17 (Route 1 Ride),Baltimore Ave at Lakeland Rd,Southbound,32,59,11
17 (Route 1 Ride),College Park Metro Station - Bus Bay T8,Southbound,63,41,5
17 (Route 1 Ride),Baltimore Ave at East-West Hwy,Southbound,60,43,4
17 (Route 1 Ride),Rhode Island Ave at County Service Building - SB,Southbound,95,8,0
17 (Route 1 Ride),Mt Rainier Terminal - Arrival,Southbound,46,3,23
18,Addison Rd Metrorail Station,Northbound,2,3,0
18,Columbia Park Rd at Marshall Pl,Northbound,0,2,1
18,Cheverly Metrorail Station Bay D,Northbound,0,3,90
18,Bladensburg Rd at 38th St,Northbound,1,3,3
18,Hamilton St at 38th St,Northbound,0,1,2
18,East-West Hwy at Prince George's Mall Ent.,Northbound,2,1,0
18,23rd Ave at Lewisdale Dr,Northbound,2,1,0
18,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),Northbound,2,0,1
18,Takoma Langley Park Transit Center Bus Bay B,Southbound,0,2,0
18,23rd Ave at Lewisdale Dr,Southbound,2,0,0
18,PG Plaza,Southbound,2,0,4
18,Hamilton St at 38th St,Southbound,9,0,0
18,Cheverly Metrorail Station Bay D,Southbound,2,0,1
18,Columbia Park Rd at Marshall Pl,Southbound,2,0,0
18,Addison Rd Metrorail - Arrival,Southbound,8,0,5
20,Melwood Training Center,Eastbound,109,74,10
20,Marlboro Pike at Melwood Mall,Eastbound,0,1,0
20,Old Marlboro Pike at Roblee Dr,Eastbound,1,0,0
20,Old Marlboro Pike at John Rogers Blvd,Eastbound,1,0,0
20,CAB - Arrival,Eastbound,18,0,0
20,Courthouse,Westbound,0,0,30
20,Melwood Training Center,Westbound,107,50,7
20,Addison Rd Metrorail - Arrival,Westbound,5,0,0
21,New Carrollton Station,County Courthouse,13,155,0
21,Largo Town Center Station,County Courthouse,42,131,10
21,Campus Way South at College Station Dr (PGCC),County Courthouse,14,127,11
21,Largo Rd at Hancock Dr,County Courthouse,151,28,4
21,County Courthouse,County Courthouse,125,13,33
21,County Courthouse,To New Carrollton Station,34,118,8
21,Largo Rd at Black Swan Dr,To New Carrollton Station,44,113,4
21,Campus Way South at College Station Dr (PGCC),To New Carrollton Station,142,13,0
21,Largo Town Center Station,To New Carrollton Station,78,84,1
21,New Carrollton Station - Arrival,To New Carrollton Station,81,68,11
24,Morgan Blvd Metro Station,To Capitol Heights Metro,29,125,3
24,Old Forestville Rd at Forestville Rd,To Capitol Heights Metro,154,38,3
24,District Heights Municipal Bldg,To Capitol Heights Metro,177,15,3
24,Council Dr at Kipling Pkwy,To Capitol Heights Metro,161,33,3
24,Brooks Dr at Marlboro Pike,To Capitol Heights Metro,124,71,4
24,Denise Dr at Rollins Ave,To Capitol Heights Metro,146,48,3
24,Capitol Heights - Arrival,To Capitol Heights Metro,78,37,73
24,Capitol Heights Station Bay B,To Morgan Blvd Metro Center,37,153,3
24,Denise Dr at Rollins Ave,To Morgan Blvd Metro Center,120,62,1
24,Brooks Drive at Marlboro Pike,To Morgan Blvd Metro Center,76,115,2
24,Kipling Pkwy at Council Dr,To Morgan Blvd Metro Center,60,131,3
24,District Heights Municipal Bldg,To Morgan Blvd Metro Center,35,158,3
24,Old Forestville Rd at Forestville Rd,To Morgan Blvd Metro Center,96,102,3
24,Morgan Blvd Metro Station,To Morgan Blvd Metro Center,34,53,65
26,Morgan Blvd Metro Station,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,11,71,2
26,Hampton Park Boulevard at Steeplechase,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,55,119,1
26,Campus Way South at College Station Dr (PGCC),To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,122,47,1
26,Largo Town Center Station,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,66,22,113
26,Largo Town Center Station,To Morgan Blvd Metro Center,21,144,5
26,Campus Way South at College Station Dr (PGCC),To Morgan Blvd Metro Center,124,46,0
26,Hampton Park Boulevard at Steeplechase,To Morgan Blvd Metro Center,167,23,1
26,Morgan Blvd Metro Station,To Morgan Blvd Metro Center,8,4,64
28,Largo Town Center Station at Bus Bay E,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,2,136,7
28,Campus Way North at Grey Gables Ct,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,2,113,16
28,RUBY LOCKHART BLVD AT CAMPUS WAY NORTH,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,8,120,16
28,1400 Merchantile Ln,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,42,108,8
28,Jericho Residences (Southbound),To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,19,140,14
28,Arena Dr at Shoppers Way (Largo),To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,135,43,3
28,Largo Town Center Station at Bus Bay E,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,62,18,92
30,Southern Maryland Hospital,To Branch Ave Station,66,118,3
30,Clinton Fringe Lot,To Branch Ave Station,11,172,13
30,Piscataway Rd at Old Branch Ave,To Branch Ave Station,0,131,72
30,Temple Hill Rd at Piscataway Rd,To Branch Ave Station,16,159,29
30,Padgett's Corner,To Branch Ave Station,75,122,9
30,Old Branch Ave at Allentown Way,To Branch Ave Station,121,83,6
30,Maxwell Dr at Morris Ave,To Branch Ave Station,108,91,12
30,Branch Ave Station - Arrival,To Branch Ave Station,129,34,84
30,Branch Ave Station Bus Bay J,Southern Maryland Hospital,18,162,1
30,Morris Ave at Maxwell Dr,Southern Maryland Hospital,58,150,1
30,Old Branch Ave at Allentown Way,Southern Maryland Hospital,50,150,5
30,Padgett's Corner,Southern Maryland Hospital,68,137,6
30,Temple Hill Rd at Piscataway Rd,Southern Maryland Hospital,162,46,2
30,Piscataway Rd at Brandywine Rd,Southern Maryland Hospital,191,17,1
30,Southern Maryland Hospital (Hidden Arrival),Southern Maryland Hospital,14,16,143
32,Naylor Rd Station Bay H,To Clinton Fringe Lot,6,131,25
32,Iverson Mall,To Clinton Fringe Lot,4,132,25
32,Temple Hill Rd at St Barnabas Rd,To Clinton Fringe Lot,0,130,35
32,Manor at Victoria Park,To Clinton Fringe Lot,0,128,37
32,Brinkley Rd at Temple Hill Rd,To Clinton Fringe Lot,35,128,2
32,Old Branch Ave at Allentown Way,To Clinton Fringe Lot,53,109,2
32,Old Branch Ave at Coventry Way,To Clinton Fringe Lot,93,73,2
32,Branchwood Towers,To Clinton Fringe Lot,162,6,0
