Timepoints 3,Timepoints,Timepoints 2,Early,On Time,Late
13,West Hyattsville Station,Loop A,29,169,3
13,Ager Rd at Nicholson,Loop A,35,167,3
13,PG Plaza Station,Loop A,12,186,12
13,Belcrest Rd at 6505 Belcrest Rd,Loop A,78,121,12
13,42nd Ave at Oglethorpe St,Loop A,4,148,57
13,County Service Building,Loop A,5,140,66
13,Hamilton St at 38th Ave,Loop A,9,141,60
13,West Hyattsville Station - Arrival,Loop A,20,97,89
13,West Hyattsville Station,Loop B,44,165,4
13,Hamilton St at 38th Ave,Loop B,71,141,5
13,County Service Building,Loop B,82,118,7
13,42nd Ave at Oglethorpe St,Loop B,120,90,4
13,Belcrest Rd at PG Plaza,Loop B,79,125,15
13,PG Plaza Station,Loop B,87,111,27
13,Ager Rd at Nicholson St,Loop B,128,75,13
13,West Hyattsville Station - Arrival,Loop B,127,68,19
16,New Carrollton Station,Northbound,7,87,15
16,Riverdale Rd at Carrollton Mall,Northbound,17,89,11
16,Lamont Dr at Donoghue Dr,Northbound,27,77,11
16,Doctors Community Hospital,Northbound,44,65,112
16,Hanover Pkwy at Ora Glen Dr,Northbound,49,64,6
16,57th Ave at Berwyn Rd,Northbound,90,23,6
16,Beltway Plaza Shopping Center,Northbound,72,41,7
16,Greenbelt Metro Station (Arrival),Northbound,63,17,38
16,Greenbelt Metro Station Bus Bay A,Southbound,21,80,8
16,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),Southbound,36,76,10
16,57th Ave at Berwyn Rd,Southbound,24,87,13
16,Hanover Pkwy at Greenway Center Dr,Southbound,65,53,8
16,Doctors Community Hospital,Southbound,169,39,2
16,Lamont Dr at Lamont Pl,Southbound,78,43,2
16,Riverdale Rd at Carrollton Mall,Southbound,107,21,2
16,New Carrollton Station - Arrival,Southbound,28,15,61
17 (Route 1 Ride),Rhode Island (US RTE 1) at Mount Rainer Terminal,Northbound,25,194,8
17 (Route 1 Ride),Rhode Island Ave at County Service Building - NB,Northbound,150,87,5
17 (Route 1 Ride),Baltimore Ave at East-West Hwy,Northbound,77,157,7
17 (Route 1 Ride),College Park Metro Station - Bus Bay T8,Northbound,216,21,4
17 (Route 1 Ride),Ikea at Bus Bay 3,Northbound,33,20,125
17 (Route 1 Ride),Ikea at Bus Bay 3,Southbound,21,154,4
17 (Route 1 Ride),College Park Metro Station - Bus Bay T8,Southbound,15,163,32
17 (Route 1 Ride),Baltimore Ave at East-West Hwy,Southbound,136,64,10
17 (Route 1 Ride),Rhode Island Ave at County Service Building - SB,Southbound,145,57,10
17 (Route 1 Ride),Mt Rainier Terminal - Arrival,Southbound,40,24,122
18,Addison Rd Metrorail Station,Northbound,11,56,16
18,Columbia Park Rd at Marshall Pl,Northbound,10,59,41
18,Cheverly Metrorail Station Bay D,Northbound,45,48,75
18,Bladensburg Rd at 38th St,Northbound,47,33,40
18,Hamilton St at 38th St,Northbound,39,37,40
18,East-West Hwy at Prince George's Mall Ent.,Northbound,40,35,42
18,23rd Ave at Lewisdale Dr,Northbound,45,32,41
18,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),Northbound,59,18,62
18,Takoma Langley Park Transit Center Bus Bay B,Southbound,1,57,27
18,23rd Ave at Lewisdale Dr,Southbound,0,46,62
18,PG Plaza,Southbound,1,32,76
18,Hamilton St at 38th St,Southbound,10,48,56
18,Bladensburg Rd at 38th St,Southbound,8,43,54
18,Cheverly Metrorail Station Bay D,Southbound,20,45,75
18,Columbia Park Rd at Marshall Pl,Southbound,37,33,39
18,Addison Rd Metrorail - Arrival,Southbound,57,24,79
20,Addison Rd Metrorail Station,Eastbound,26,58,39
20,Donnell Drive at Target Store,Eastbound,10,76,52
20,Melwood Training Center,Eastbound,93,98,99
20,Marlboro Pike at Melwood Mall,Eastbound,25,66,54
20,Old Marlboro Pike at Roblee Dr,Eastbound,63,29,54
20,Old Marlboro Pike at John Rogers Blvd,Eastbound,84,10,55
20,Courthouse,Eastbound,99,17,49
20,CAB - Arrival,Eastbound,52,21,45
20,County Administration Building,Westbound,15,72,20
20,Courthouse,Westbound,4,98,63
20,Old Marlboro Pike at John Rogers Blvd,Westbound,1,94,47
20,Old Marlboro Pike at Roblee Dr,Westbound,29,69,46
20,Marlboro Pike at Melwood Mall,Westbound,67,34,46
20,Melwood Training Center,Westbound,131,68,101
20,Donnell Dr at Marlboro Pike,Westbound,77,31,44
20,Addison Rd Metrorail - Arrival,Westbound,77,20,51
21,New Carrollton Station,County Courthouse,34,126,44
21,Largo Town Center Station,County Courthouse,26,133,100
21,Campus Way South at College Station Dr (PGCC),County Courthouse,1,101,114
21,Largo Rd at Hancock Dr,County Courthouse,82,84,75
21,Equestrian Center Lot 1,County Courthouse,14,10,78
21,County Courthouse,To New Carrollton Station,20,86,46
21,Largo Rd at Black Swan Dr,To New Carrollton Station,65,98,66
21,Campus Way South at College Station Dr (PGCC),To New Carrollton Station,134,26,51
21,Largo Town Center Station,To New Carrollton Station,87,85,97
21,New Carrollton Station - Arrival,To New Carrollton Station,87,69,74
24,Morgan Blvd Metro Station,To Capitol Heights Metro,19,90,29
24,Old Forestville Rd at Forestville Rd,To Capitol Heights Metro,23,116,89
24,Council Dr at Kipling Pkwy,To Capitol Heights Metro,64,77,82
24,Silver Hill Rd at Pennsylvania Ave,To Capitol Heights Metro,78,64,85
24,Brooks Dr at Marlboro Pike,To Capitol Heights Metro,101,45,83
24,Denise Dr at Rollins Ave,To Capitol Heights Metro,182,35,83
24,Capitol Heights - Arrival,To Capitol Heights Metro,40,39,133
24,Capitol Heights Station Bay B,To Morgan Blvd Metro Center,13,133,63
24,Denise Dr at Rollins Ave,To Morgan Blvd Metro Center,47,115,74
24,Brooks Drive at Marlboro Pike,To Morgan Blvd Metro Center,45,110,75
24,Old Silver Hill Rd at Library,To Morgan Blvd Metro Center,37,112,79
24,Kipling Pkwy at Council Dr,To Morgan Blvd Metro Center,73,81,75
24,Old Forestville Rd at Forestville Rd,To Morgan Blvd Metro Center,132,65,103
24,Morgan Blvd Metro Station,To Morgan Blvd Metro Center,10,24,85
26,Morgan Blvd Metro Station,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,23,92,3
26,Hampton Park Boulevard at Steeplechase,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,57,115,70
26,Campus Way South at College Station Dr (PGCC),To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,85,80,77
26,Motor Vehicle Administration,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,94,76,108
26,Largo Town Center Station,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,37,27,134
26,Largo Town Center Station,To Morgan Blvd Metro Center,8,140,23
26,Motor Vehicle Administration,To Morgan Blvd Metro Center,13,141,70
26,Campus Way South at College Station Dr (PGCC),To Morgan Blvd Metro Center,27,128,70
26,Hampton Park Boulevard at Steeplechase,To Morgan Blvd Metro Center,31,127,73
26,Morgan Blvd Metro Station,To Morgan Blvd Metro Center,6,5,80
28,Largo Town Center Station at Bus Bay E,To Campus Way at Grey Gables - Loop A,28,109,4
28,Arena Dr at Captial Center Blvd,To Campus Way at Grey Gables - Loop A,10,127,12
28,Jericho Residences,To Campus Way at Grey Gables - Loop A,7,120,15
28,1400 Merchantile Ln,To Campus Way at Grey Gables - Loop A,14,117,11
28,9400 Peppercorn Pl,To Campus Way at Grey Gables - Loop A,25,32,0
28,RUBY LOCKHART BLVD AT CAMPUS WAY NORTH,To Campus Way at Grey Gables - Loop A,44,78,15
28,Campus Way North at Grey Gables Ct,To Campus Way at Grey Gables - Loop A,41,88,14
28,Largo Town Center Station at Bus Bay E,To Campus Way at Grey Gables - Loop A,12,30,97
28,Largo Town Center Station at Bus Bay E,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,25,119,6
28,Campus Way North at Grey Gables Ct,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,3,121,23
28,RUBY LOCKHART BLVD AT CAMPUS WAY NORTH,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,8,122,11
28,9400 Peppercorn Pl,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,21,39,4
28,1400 Merchantile Ln,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,70,64,10
28,Jericho Residences (Southbound),To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,43,88,16
28,Arena Dr at Shoppers Way (Largo),To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,109,39,9
28,Largo Town Center Station at Bus Bay E,To Largo Metro Station via Campus Way N/Woodmore Towne Center - Loop B,30,72,54
30,Southern Maryland Hospital,To Branch Ave Station,31,124,40
30,Clinton Fringe Lot,To Branch Ave Station,10,114,100
30,Piscataway Rd at Old Branch Ave,To Branch Ave Station,0,1,0
30,Temple Hill Rd at Piscataway Rd,To Branch Ave Station,0,1,0
