,stops,boardings
124,ROCKVILLE STATION  & BAY A - WEST,36829.0
43,GERMANTOWN TRANSIT CENTER  & BAY B,29052.0
157,TWINBROOK STATION  & BAY A - WEST,22561.0
128,S CAMPUS DR & CAMPUS DR,22558.0
58,MEDICAL CENTER STATION  & BAY D,22028.0
51,LAKEFOREST TRANSIT CENTER  & ODENDH,20221.0
145,SHADY GROVE STATION  & BAY C - EAST,19847.0
101,ROCKVILLE PIKE & MARINELLI RD,14746.0
89,ROCKVILLE PIKE & EDMONSTON DR,11357.0
120,ROCKVILLE PIKE & TUCKERMAN LN,7472.0
96,ROCKVILLE PIKE & HALPINE RD,7076.0
47,HUNGERFORD DR & FREDERICK AVE,6454.0
87,ROCKVILLE PIKE & CONGRESSIONAL LN,6068.0
77,ODENDHAL AVE & FREDERICK AVE,6057.0
83,ROCKVILLE PIKE & BOU AVE,5694.0
110,ROCKVILLE PIKE & RANDOLPH RD,5689.0
158,UNKNOWN,5038.0
59,MONROE ST & MONROE PL,4666.0
24,FREDERICK RD & GUNNERS BRANCH RD,4085.0
109,ROCKVILLE PIKE & POOKS HILL RD,4080.0
74,OBSERVATION DR & MONTGOMERY COLLEGE,4066.0
139,S FREDERICK AVE & SUMMIT AVE,3864.0
125,ROCKVILLE STATION  & BAY B - WEST,3837.0
18,FREDERICK RD & APPLEDOWRE WAY,3806.0
133,S FREDERICK AVE & EDUCATION BLVD,3738.0
69,N WASHINGTON ST & DAWSON AVE,3466.0
118,ROCKVILLE PIKE & TEMPLETON PL,3412.0
144,SHADY GROVE STATION  & BAY A - WEST,3008.0
107,ROCKVILLE PIKE & OLD GEORGETOWN RD,2913.0
112,ROCKVILLE PIKE & ROLLINS AVE,2836.0
79,ROCKVILLE PIKE & @1001,2791.0
4,CHRISTOPHER AVE & MONTGOMERY VILLAG,2733.0
114,ROCKVILLE PIKE & SECURITY LN,2731.0
68,N WASHINGTON ST & BEALL AVE,2731.0
84,ROCKVILLE PIKE & BOUIC AVE,2722.0
37,FREDERICK RD & SHADY GROVE RD,2714.0
111,ROCKVILLE PIKE & RICHARD MONTGOMERY,2577.0
32,FREDERICK RD & OXBRIDGE DR,2452.0
117,ROCKVILLE PIKE & TALBOTT ST,2416.0
123,ROCKVILLE PIKE & WOOTTON PKWY,2293.0
60,N FREDERICK AVE & BROOKS AVE,2225.0
