,hour,route_id,boardings,alightings
35,14,46,31265.0,29912.0
38,15,46,23479.0,26240.0
32,13,46,23025.0,19570.0
23,10,46,20437.0,18790.0
26,11,46,17496.0,18061.0
20,9,46,17587.0,16620.0
41,16,46,15549.0,16561.0
29,12,46,17449.0,16533.0
39,15,55,14442.0,14918.0
36,14,55,13694.0,12531.0
17,8,46,12878.0,11710.0
27,11,55,12461.0,11558.0
14,7,46,11774.0,11244.0
44,17,46,10623.0,10656.0
33,13,55,11388.0,10156.0
12,6,55,11473.0,9369.0
42,16,55,7911.0,8552.0
47,18,46,6977.0,7211.0
21,9,55,7353.0,6743.0
15,7,55,7254.0,6506.0
16,7,100,7136.0,6423.0
30,12,55,6786.0,6303.0
45,17,55,5602.0,6216.0
11,6,46,6590.0,5950.0
18,8,55,5719.0,5838.0
24,10,55,6616.0,5661.0
10,5,100,6451.0,5618.0
50,19,46,5279.0,5288.0
9,5,55,8575.0,5118.0
37,14,100,3602.0,4996.0
13,6,100,5194.0,4760.0
53,20,46,4630.0,4466.0
56,21,46,3327.0,3690.0
43,16,100,4874.0,3480.0
48,18,55,2949.0,3258.0
19,8,100,1097.0,3121.0
8,5,46,3655.0,2928.0
46,17,100,1649.0,2790.0
34,13,100,4801.0,2732.0
40,15,100,2372.0,2708.0
51,19,55,1755.0,2030.0
59,22,46,1435.0,1538.0
7,4,100,2414.0,1522.0
57,21,55,1202.0,1404.0
54,20,55,1284.0,1243.0
22,9,100,1641.0,1173.0
60,22,55,673.0,1111.0
28,11,100,627.0,1098.0
62,23,46,1027.0,1043.0
25,10,100,1764.0,957.0
6,4,55,2920.0,884.0
63,23,55,620.0,812.0
0,0,46,404.0,556.0
31,12,100,624.0,470.0
49,18,100,1703.0,458.0
52,19,100,428.0,436.0
55,20,100,361.0,358.0
1,0,55,42.0,107.0
58,21,100,100.0,92.0
3,1,55,13.0,75.0
61,22,100,20.0,72.0
5,4,46,162.0,46.0
2,1,46,18.0,33.0
64,23,100,8.0,0.0
4,3,55,0.0,0.0
