route,stops,early,on_time,late,total,early %,on_time %,late %
46,ROCKVILLE PIKE & LOCUST HILL RD,0.0,18.0,0.0,18.0,0.0,1.0,0.0
46,ROCKVILLE PIKE & BROAD BROOK DR,8.0,47.0,2.0,57.0,0.14,0.82,0.04
46,ROCKVILLE PIKE & SOUTH WOOD RD,72.0,445.0,38.0,555.0,0.13,0.8,0.07
46,CHAPMAN AVE & BOUIC AVE,1.0,4.0,0.0,5.0,0.2,0.8,0.0
46,ROCKVILLE PIKE & CEDAR LN,66.0,312.0,23.0,401.0,0.16,0.78,0.06
46,ROCKVILLE PIKE & GROSVENOR STATION,11.0,65.0,12.0,88.0,0.12,0.74,0.14
46,ROCKVILLE PIKE & BELLEVUE DR,27.0,72.0,4.0,103.0,0.26,0.7,0.04
46,ROCKVILLE PIKE & OLD GEORGETOWN RD,369.0,1121.0,152.0,1642.0,0.22,0.68,0.09
46,ROCKVILLE PIKE & RICHARD MONTGOMERY,425.0,1199.0,136.0,1760.0,0.24,0.68,0.08
46,ROCKVILLE PIKE & COUNTRY CLUB RD,65.0,174.0,23.0,262.0,0.25,0.66,0.09
46,ROCKVILLE PIKE & HALPINE RD,948.0,2682.0,461.0,4091.0,0.23,0.66,0.11
46,ROCKVILLE PIKE & ROSE AVE,68.0,184.0,29.0,281.0,0.24,0.65,0.1
46,ROCKVILLE PIKE & HUBBARD DR,219.0,591.0,100.0,910.0,0.24,0.65,0.11
46,ROCKVILLE PIKE & MT VERNON PL,283.0,712.0,115.0,1110.0,0.25,0.64,0.1
46,ROCKVILLE PIKE & NORTH WOOD DR,148.0,380.0,65.0,593.0,0.25,0.64,0.11
46,ROCKVILLE PIKE & WOOTTON PKWY,316.0,779.0,135.0,1230.0,0.26,0.63,0.11
46,ROCKVILLE PIKE & PIKE CENTER,252.0,696.0,160.0,1108.0,0.23,0.63,0.14
46,ROCKVILLE PIKE & BOU AVE,781.0,1928.0,342.0,3051.0,0.26,0.63,0.11
46,ROCKVILLE PIKE & MARINELLI RD,2357.0,5148.0,750.0,8255.0,0.29,0.62,0.09
46,ROCKVILLE PIKE & FLANDERS AVE,60.0,106.0,5.0,171.0,0.35,0.62,0.03
46,ROCKVILLE PIKE & WOODMONT STATION,138.0,380.0,95.0,613.0,0.23,0.62,0.15
46,ROCKVILLE PIKE & ROLLINS AVE,440.0,1013.0,190.0,1643.0,0.27,0.62,0.12
46,ROCKVILLE PIKE & FIRST ST,229.0,513.0,89.0,831.0,0.28,0.62,0.11
46,ROCKVILLE PIKE & POOKS HILL RD,600.0,1275.0,170.0,2045.0,0.29,0.62,0.08
46,ROCKVILLE PIKE & HILLERY WAY,24.0,59.0,12.0,95.0,0.25,0.62,0.13
46,ROCKVILLE PIKE & TEMPLETON PL,473.0,1113.0,225.0,1811.0,0.26,0.61,0.12
46,ROCKVILLE PIKE & TALBOTT ST,384.0,778.0,112.0,1274.0,0.3,0.61,0.09
46,ROCKVILLE PIKE & EDMONSTON DR,1964.0,4033.0,638.0,6635.0,0.3,0.61,0.1
46,ROCKVILLE PIKE & RANDOLPH RD,891.0,1870.0,371.0,3132.0,0.28,0.6,0.12
46,ROCKVILLE PIKE & NICHOLSON LN,253.0,518.0,90.0,861.0,0.29,0.6,0.1
46,ROCKVILLE PIKE & STRATHMORE AVE,87.0,161.0,21.0,269.0,0.32,0.6,0.08
