,stops,alightings
43,GERMANTOWN TRANSIT CENTER  & BAY B,28415
125,ROCKVILLE STATION  & BAY B - WEST,24100
58,MEDICAL CENTER STATION  & BAY D,20981
51,LAKEFOREST TRANSIT CENTER  & ODENDH,17560
124,ROCKVILLE STATION  & BAY A - WEST,14903
144,SHADY GROVE STATION  & BAY A - WEST,12797
158,UNKNOWN,10796
151,SHAKESPEARE BLVD & OBSERVATION DR,9706
157,TWINBROOK STATION  & BAY A - WEST,9364
145,SHADY GROVE STATION  & BAY C - EAST,8499
128,S CAMPUS DR & CAMPUS DR,6351
77,ODENDHAL AVE & FREDERICK AVE,5816
89,ROCKVILLE PIKE & EDMONSTON DR,5582
101,ROCKVILLE PIKE & MARINELLI RD,5212
47,HUNGERFORD DR & FREDERICK AVE,5134
24,FREDERICK RD & GUNNERS BRANCH RD,4020
149,SHAKESPEARE BLVD & FREDERICK RD,3568
37,FREDERICK RD & SHADY GROVE RD,3547
87,ROCKVILLE PIKE & CONGRESSIONAL LN,3433
69,N WASHINGTON ST & DAWSON AVE,2881
83,ROCKVILLE PIKE & BOU AVE,2676
5,CHRISTOPHER AVE & RUSSELL AVE,2363
112,ROCKVILLE PIKE & ROLLINS AVE,2316
110,ROCKVILLE PIKE & RANDOLPH RD,2285
63,N FREDERICK AVE & MONTGOMERY AVE,2227
60,N FREDERICK AVE & BROOKS AVE,2160
44,GROSVENOR STATION  & BAY E,2154
99,ROCKVILLE PIKE & HUBBARD DR,2040
120,ROCKVILLE PIKE & TUCKERMAN LN,2029
150,SHAKESPEARE BLVD & MILESTONE PARK &,2003
117,ROCKVILLE PIKE & TALBOTT ST,1931
53,LOST KNIFE RD & CONTOUR RD,1786
70,N WASHINGTON ST & MARTINS LN,1772
139,S FREDERICK AVE & SUMMIT AVE,1759
109,ROCKVILLE PIKE & POOKS HILL RD,1701
153,TRAVIS AVE & TRAVIS LN,1672
84,ROCKVILLE PIKE & BOUIC AVE,1573
59,MONROE ST & MONROE PL,1570
68,N WASHINGTON ST & BEALL AVE,1549
18,FREDERICK RD & APPLEDOWRE WAY,1529
133,S FREDERICK AVE & EDUCATION BLVD,1528
64,N FREDERICK AVE & PROFESSIONAL DR,1525
36,FREDERICK RD & SCENERY DR,1444
29,FREDERICK RD & MIDDLEBROOK RD,1440
62,N FREDERICK AVE & MARYLAND AVE,1426
20,FREDERICK RD & COLLEGE PKWY,1411
129,S FREDERICK AVE & CEDAR AVE,1409
32,FREDERICK RD & OXBRIDGE DR,1402
4,CHRISTOPHER AVE & MONTGOMERY VILLAG,1386
78,ODENDHAL AVE & RUSSELL AVE,1357
137,S FREDERICK AVE & ROSEMONT DR,1312
91,ROCKVILLE PIKE & EXECUTIVE BLVD,1307
154,TRAVIS AVE & TRAVIS VIEW CT,1296
134,S FREDERICK AVE & FULKS CORNER AVE,1202
67,N FREDERICK RD & GUNNERS BRANCH RD,1186
105,ROCKVILLE PIKE & NORTH DR,1175
45,HALPINE RD & ROCKVILLE PIKE,1175
61,N FREDERICK AVE & CHESTNUT ST,1160
55,MANNAKEE ST & CAMPUS (E) DR,1142
104,ROCKVILLE PIKE & NICHOLSON LN,1140
102,ROCKVILLE PIKE & MT VERNON PL,1130
138,S FREDERICK AVE & S WESTLAND DR,1119
14,E MIDDLE LN & WASHINGTON ST,1094
96,ROCKVILLE PIKE & HALPINE RD,1083
34,FREDERICK RD & REDLAND RD,1069
33,FREDERICK RD & PLUMMER DR,1056
118,ROCKVILLE PIKE & TEMPLETON PL,997
141,S FREDERICK AVE & WESTLAND DR,930
6,CHRISTOPHER AVE & VILLAGE OVERLOOK,929
7,CONTOUR RD & HORIZON RUN RD,906
54,LOST KNIFE RD & MONTGOMERY VILLAGE,879
135,S FREDERICK AVE & N WESTLAND DR,867
108,ROCKVILLE PIKE & PIKE CENTER,821
123,ROCKVILLE PIKE & WOOTTON PKWY,795
22,FREDERICK RD & GERMANTOWN RD,792
92,ROCKVILLE PIKE & FIRST ST,776
131,S FREDERICK AVE & DEER PARK DR,774
114,ROCKVILLE PIKE & SECURITY LN,770
28,FREDERICK RD & MAGNOLIA DR,767
147,SHAKESPEARE BLVD & AMBER RIDGE DR,692
