,stops,boardings,alightings
43,GERMANTOWN TRANSIT CENTER  & BAY B,30980,28415
58,MEDICAL CENTER STATION  & BAY D,24992,20981
125,ROCKVILLE STATION  & BAY B - WEST,22126,24100
51,LAKEFOREST TRANSIT CENTER  & ODENDH,18238,17560
124,ROCKVILLE STATION  & BAY A - WEST,16682,14903
144,SHADY GROVE STATION  & BAY A - WEST,15581,12797
157,TWINBROOK STATION  & BAY A - WEST,9320,9364
145,SHADY GROVE STATION  & BAY C - EAST,8597,8499
151,SHAKESPEARE BLVD & OBSERVATION DR,8508,9706
158,UNKNOWN,8414,10796
128,S CAMPUS DR & CAMPUS DR,6879,6351
101,ROCKVILLE PIKE & MARINELLI RD,5871,5212
89,ROCKVILLE PIKE & EDMONSTON DR,5737,5582
77,ODENDHAL AVE & FREDERICK AVE,5546,5816
47,HUNGERFORD DR & FREDERICK AVE,4688,5134
37,FREDERICK RD & SHADY GROVE RD,3526,3547
24,FREDERICK RD & GUNNERS BRANCH RD,3260,4020
120,ROCKVILLE PIKE & TUCKERMAN LN,3006,2029
96,ROCKVILLE PIKE & HALPINE RD,2888,1083
87,ROCKVILLE PIKE & CONGRESSIONAL LN,2739,3433
69,N WASHINGTON ST & DAWSON AVE,2697,2881
110,ROCKVILLE PIKE & RANDOLPH RD,2683,2285
83,ROCKVILLE PIKE & BOU AVE,2323,2676
5,CHRISTOPHER AVE & RUSSELL AVE,2193,2363
135,S FREDERICK AVE & N WESTLAND DR,2151,867
18,FREDERICK RD & APPLEDOWRE WAY,2149,1529
67,N FREDERICK RD & GUNNERS BRANCH RD,2090,1186
63,N FREDERICK AVE & MONTGOMERY AVE,2081,2227
148,SHAKESPEARE BLVD & ETON MANOR DR,2056,641
139,S FREDERICK AVE & SUMMIT AVE,1985,1759
153,TRAVIS AVE & TRAVIS LN,1948,1672
60,N FREDERICK AVE & BROOKS AVE,1875,2160
133,S FREDERICK AVE & EDUCATION BLVD,1726,1528
32,FREDERICK RD & OXBRIDGE DR,1720,1402
68,N WASHINGTON ST & BEALL AVE,1558,1549
64,N FREDERICK AVE & PROFESSIONAL DR,1547,1525
109,ROCKVILLE PIKE & POOKS HILL RD,1530,1701
29,FREDERICK RD & MIDDLEBROOK RD,1520,1440
59,MONROE ST & MONROE PL,1514,1570
84,ROCKVILLE PIKE & BOUIC AVE,1482,1573
138,S FREDERICK AVE & S WESTLAND DR,1463,1119
79,ROCKVILLE PIKE & @1001,1453,516
8,CONTOUR RD & LOST KNIFE RD,1383,408
112,ROCKVILLE PIKE & ROLLINS AVE,1330,2316
20,FREDERICK RD & COLLEGE PKWY,1318,1411
70,N WASHINGTON ST & MARTINS LN,1317,1772
107,ROCKVILLE PIKE & OLD GEORGETOWN RD,1305,482
4,CHRISTOPHER AVE & MONTGOMERY VILLAG,1268,1386
147,SHAKESPEARE BLVD & AMBER RIDGE DR,1266,692
52,LOST KNIFE RD & CIDER MILL APTS,1236,686
78,ODENDHAL AVE & RUSSELL AVE,1184,1357
131,S FREDERICK AVE & DEER PARK DR,1179,774
104,ROCKVILLE PIKE & NICHOLSON LN,1175,1140
61,N FREDERICK AVE & CHESTNUT ST,1144,1160
134,S FREDERICK AVE & FULKS CORNER AVE,1129,1202
34,FREDERICK RD & REDLAND RD,1109,1069
44,GROSVENOR STATION  & BAY E,1094,2154
150,SHAKESPEARE BLVD & MILESTONE PARK &,1084,2003
118,ROCKVILLE PIKE & TEMPLETON PL,1077,997
19,FREDERICK RD & ARCHDALE RD,1067,272
117,ROCKVILLE PIKE & TALBOTT ST,1055,1931
129,S FREDERICK AVE & CEDAR AVE,1054,1409
123,ROCKVILLE PIKE & WOOTTON PKWY,1047,795
54,LOST KNIFE RD & MONTGOMERY VILLAGE,1037,879
33,FREDERICK RD & PLUMMER DR,1036,1056
98,ROCKVILLE PIKE & HOYA ST,1035,275
114,ROCKVILLE PIKE & SECURITY LN,1009,770
132,S FREDERICK AVE & DEER PARK RD,1000,546
154,TRAVIS AVE & TRAVIS VIEW CT,987,1296
102,ROCKVILLE PIKE & MT VERNON PL,973,1130
2,CHRISTOPHER AVE & GALLOP HILL RD,874,317
36,FREDERICK RD & SCENERY DR,819,1444
62,N FREDERICK AVE & MARYLAND AVE,802,1426
99,ROCKVILLE PIKE & HUBBARD DR,790,2040
141,S FREDERICK AVE & WESTLAND DR,783,930
66,N FREDERICK AVE & WHETSTONE DR,782,672
12,E MIDDLE LN & MARYLAND AVE,752,97
108,ROCKVILLE PIKE & PIKE CENTER,734,821
91,ROCKVILLE PIKE & EXECUTIVE BLVD,693,1307
75,OBSERVATION DR & OBSERVATION CT,671,563
1,CHRISTOPHER AVE & FEATHERTREE WAY,660,451
7,CONTOUR RD & HORIZON RUN RD,645,906
115,ROCKVILLE PIKE & SOUTH WOOD RD,634,20
22,FREDERICK RD & GERMANTOWN RD,627,792
17,FREDERICK RD & @20010,624,379
10,CONTOUR RD & TUNSTALL DR,551,413
30,FREDERICK RD & MIDWAY CENTER,541,207
149,SHAKESPEARE BLVD & FREDERICK RD,536,3568
71,N WASHINGTON ST & MIDDLE LN,531,628
9,CONTOUR RD & ODENDHAL AVE,529,344
