,hour,route_id,boardings,alightings
29,13,46,5532.0,5290.0
32,14,46,5290.0,5637.0
26,12,46,4747.0,4027.0
20,10,46,4526.0,4247.0
17,9,46,4294.0,3936.0
23,11,46,4069.0,4298.0
38,16,46,3984.0,4006.0
35,15,46,3615.0,3687.0
33,14,55,3240.0,3185.0
30,13,55,3079.0,3151.0
18,9,55,2980.0,2782.0
39,16,55,2689.0,3144.0
41,17,46,2643.0,3078.0
24,11,55,2584.0,2849.0
6,5,55,2452.0,1277.0
9,6,55,2437.0,2048.0
27,12,55,2412.0,2524.0
36,15,55,2293.0,2758.0
14,8,46,2290.0,2089.0
11,7,46,2151.0,2101.0
44,18,46,1910.0,1999.0
21,10,55,1827.0,2184.0
40,16,100,1721.0,1484.0
7,5,100,1475.0,1040.0
47,19,46,1395.0,1496.0
50,20,46,1345.0,1148.0
53,21,46,1299.0,1561.0
8,6,46,1298.0,1196.0
37,15,100,1201.0,963.0
12,7,55,1153.0,1274.0
43,17,100,1014.0,1259.0
31,13,100,991.0,781.0
42,17,55,971.0,1090.0
10,6,100,884.0,1073.0
56,22,46,817.0,714.0
5,5,46,789.0,658.0
3,4,55,775.0,126.0
34,14,100,755.0,1373.0
4,4,100,608.0,403.0
15,8,55,469.0,521.0
22,10,100,407.0,109.0
58,23,46,392.0,590.0
45,18,55,360.0,495.0
13,7,100,330.0,99.0
28,12,100,299.0,77.0
51,20,55,268.0,360.0
16,8,100,201.0,23.0
49,19,100,200.0,209.0
48,19,55,170.0,156.0
46,18,100,99.0,251.0
57,22,55,73.0,137.0
54,21,55,69.0,84.0
59,23,55,68.0,78.0
0,0,46,64.0,96.0
2,4,46,63.0,11.0
55,21,100,38.0,41.0
19,9,100,35.0,223.0
25,11,100,32.0,74.0
52,20,100,28.0,19.0
1,3,55,0.0,0.0
