route,stops,early,on_time,late,total,early %,on_time %,late %
46,TUCKERMAN LN & ROCKVILLE PIKE,0.0,2.0,0.0,2.0,0.0,1.0,0.0
46,ROCKVILLE PIKE & SOUTH WOOD RD,14.0,201.0,9.0,224.0,0.06,0.9,0.04
46,MANNAKEE ST & CAMPUS (E) DR,0.0,18.0,4.0,22.0,0.0,0.82,0.18
46,ROCKVILLE PIKE & CEDAR LN,34.0,133.0,3.0,170.0,0.2,0.78,0.02
46,S WASHINGTON ST & COURT HOUSE SQ,3.0,16.0,2.0,21.0,0.14,0.76,0.1
46,ROCKVILLE PIKE & BELLEVUE DR,9.0,24.0,1.0,34.0,0.26,0.71,0.03
46,ROCKVILLE PIKE & GROSVENOR STATION,7.0,20.0,1.0,28.0,0.25,0.71,0.04
46,ROCKVILLE PIKE & HOYA ST,52.0,186.0,26.0,264.0,0.2,0.7,0.1
46,ROCKVILLE PIKE & NORTH WOOD DR,38.0,111.0,10.0,159.0,0.24,0.7,0.06
46,ROCKVILLE PIKE & BROAD BROOK DR,6.0,14.0,0.0,20.0,0.3,0.7,0.0
46,ROCKVILLE PIKE & HUBBARD DR,72.0,226.0,28.0,326.0,0.22,0.69,0.09
46,ROCKVILLE PIKE & HILLERY WAY,6.0,26.0,6.0,38.0,0.16,0.68,0.16
46,ROCKVILLE PIKE & HALPINE RD,323.0,950.0,122.0,1395.0,0.23,0.68,0.09
46,ROCKVILLE PIKE & WOOTTON PKWY,102.0,274.0,31.0,407.0,0.25,0.67,0.08
46,ROCKVILLE PIKE & ROLLINS AVE,137.0,368.0,44.0,549.0,0.25,0.67,0.08
46,ROCKVILLE PIKE & BOU AVE,308.0,744.0,79.0,1131.0,0.27,0.66,0.07
46,ROCKVILLE PIKE & WICKSHIRE WAY,5.0,11.0,1.0,17.0,0.29,0.65,0.06
46,ROCKVILLE PIKE & OLD GEORGETOWN RD,114.0,297.0,48.0,459.0,0.25,0.65,0.1
46,ROCKVILLE PIKE & FIRST ST,41.0,132.0,31.0,204.0,0.2,0.65,0.15
46,ROCKVILLE PIKE & WOODMONT STATION,48.0,119.0,19.0,186.0,0.26,0.64,0.1
46,ROCKVILLE PIKE & PIKE CENTER,59.0,165.0,34.0,258.0,0.23,0.64,0.13
46,ROCKVILLE PIKE & POOKS HILL RD,225.0,458.0,45.0,728.0,0.31,0.63,0.06
46,HALPINE RD & ROCKVILLE PIKE,8.0,17.0,2.0,27.0,0.3,0.63,0.07
46,ROCKVILLE PIKE & MT VERNON PL,121.0,261.0,36.0,418.0,0.29,0.62,0.09
46,ROCKVILLE PIKE & @1001,156.0,316.0,40.0,512.0,0.3,0.62,0.08
46,ROCKVILLE PIKE & NICHOLSON LN,106.0,204.0,19.0,329.0,0.32,0.62,0.06
46,ROCKVILLE PIKE & BOUIC AVE,173.0,342.0,41.0,556.0,0.31,0.62,0.07
46,MANNAKEE ST & HUNGERFORD DR,66.0,114.0,6.0,186.0,0.35,0.61,0.03
46,ROCKVILLE PIKE & RICHARD MONTGOMERY,67.0,193.0,54.0,314.0,0.21,0.61,0.17
46,ROCKVILLE PIKE & TUCKERMAN LN,418.0,800.0,83.0,1301.0,0.32,0.61,0.06
46,ROCKVILLE PIKE & FLANDERS AVE,18.0,30.0,2.0,50.0,0.36,0.6,0.04
46,ROCKVILLE PIKE & MARINELLI RD,1030.0,1860.0,229.0,3119.0,0.33,0.6,0.07
46,S CAMPUS DR & CAMPUS DR,2084.0,4076.0,616.0,6776.0,0.31,0.6,0.09
46,ROCKVILLE PIKE & NORTH DR,3.0,6.0,1.0,10.0,0.3,0.6,0.1
46,ROCKVILLE PIKE & THOMPSON AVE,75.0,127.0,9.0,211.0,0.36,0.6,0.04
46,ROCKVILLE PIKE & STRATHMORE AVE,42.0,69.0,4.0,115.0,0.37,0.6,0.03
46,ROCKVILLE PIKE & COUNTRY CLUB RD,35.0,64.0,10.0,109.0,0.32,0.59,0.09
46,ROCKVILLE PIKE & EDMONSTON DR,633.0,1160.0,170.0,1963.0,0.32,0.59,0.09
46,ROCKVILLE PIKE & TALBOTT ST,129.0,244.0,43.0,416.0,0.31,0.59,0.1
46,ROCKVILLE PIKE & TEMPLETON PL,172.0,325.0,65.0,562.0,0.31,0.58,0.12
46,ROCKVILLE PIKE & CONGRESSIONAL LN,339.0,634.0,125.0,1098.0,0.31,0.58,0.11
46,ROCKVILLE PIKE & RANDOLPH RD,386.0,672.0,107.0,1165.0,0.33,0.58,0.09
46,HUNGERFORD DR & FREDERICK AVE,265.0,422.0,63.0,750.0,0.35,0.56,0.08
46,S WASHINGTON ST & MONTGOMERY AVE,33.0,47.0,4.0,84.0,0.39,0.56,0.05
46,ROCKVILLE PIKE & EXECUTIVE BLVD,79.0,132.0,29.0,240.0,0.33,0.55,0.12
46,ROCKVILLE PIKE & SECURITY LN,163.0,237.0,31.0,431.0,0.38,0.55,0.07
46,ROCKVILLE PIKE & ELSMERE AVE,15.0,23.0,5.0,43.0,0.35,0.53,0.12
46,N WASHINGTON ST & MIDDLE LN,72.0,102.0,21.0,195.0,0.37,0.52,0.11
46,N WASHINGTON ST & MARTINS LN,197.0,248.0,30.0,475.0,0.41,0.52,0.06
46,TWINBROOK STATION  & BAY A - WEST,1858.0,3758.0,1939.0,7555.0,0.25,0.5,0.26
46,ROCKVILLE PIKE & GROSVENOR LN,16.0,19.0,3.0,38.0,0.42,0.5,0.08
46,N WASHINGTON ST & BEALL AVE,195.0,224.0,30.0,449.0,0.43,0.5,0.07
46,ROCKVILLE STATION  & BAY A - WEST,3343.0,6339.0,3155.0,12837.0,0.26,0.49,0.25
46,ROCKVILLE PIKE & NEW ST,71.0,111.0,45.0,227.0,0.31,0.49,0.2
46,MONROE ST & MONROE PL,269.0,348.0,113.0,730.0,0.37,0.48,0.15
46,E JEFFERSON ST & MARYLAND AVE,26.0,29.0,7.0,62.0,0.42,0.47,0.11
46,ROCKVILLE PIKE & BETH MED PRK DR,72.0,81.0,20.0,173.0,0.42,0.47,0.12
46,N WASHINGTON ST & DAWSON AVE,261.0,269.0,41.0,571.0,0.46,0.47,0.07
