,stops,boardings
128,S CAMPUS DR & CAMPUS DR,14945
43,GERMANTOWN TRANSIT CENTER  & BAY B,14600
58,MEDICAL CENTER STATION  & BAY D,14494
124,ROCKVILLE STATION  & BAY A - WEST,13501
125,ROCKVILLE STATION  & BAY B - WEST,8059
157,TWINBROOK STATION  & BAY A - WEST,7766
145,SHADY GROVE STATION  & BAY C - EAST,6436
144,SHADY GROVE STATION  & BAY A - WEST,6221
51,LAKEFOREST TRANSIT CENTER  & ODENDH,6108
101,ROCKVILLE PIKE & MARINELLI RD,5205
89,ROCKVILLE PIKE & EDMONSTON DR,4022
120,ROCKVILLE PIKE & TUCKERMAN LN,2720
151,SHAKESPEARE BLVD & OBSERVATION DR,2596
96,ROCKVILLE PIKE & HALPINE RD,2555
87,ROCKVILLE PIKE & CONGRESSIONAL LN,2258
83,ROCKVILLE PIKE & BOU AVE,2195
110,ROCKVILLE PIKE & RANDOLPH RD,2183
77,ODENDHAL AVE & FREDERICK AVE,2148
47,HUNGERFORD DR & FREDERICK AVE,2082
158,UNKNOWN,2018
69,N WASHINGTON ST & DAWSON AVE,1608
74,OBSERVATION DR & MONTGOMERY COLLEGE,1559
109,ROCKVILLE PIKE & POOKS HILL RD,1492
59,MONROE ST & MONROE PL,1492
68,N WASHINGTON ST & BEALL AVE,1415
118,ROCKVILLE PIKE & TEMPLETON PL,1405
139,S FREDERICK AVE & SUMMIT AVE,1348
24,FREDERICK RD & GUNNERS BRANCH RD,1342
133,S FREDERICK AVE & EDUCATION BLVD,1297
111,ROCKVILLE PIKE & RICHARD MONTGOMERY,1164
70,N WASHINGTON ST & MARTINS LN,1146
84,ROCKVILLE PIKE & BOUIC AVE,1073
79,ROCKVILLE PIKE & @1001,1057
117,ROCKVILLE PIKE & TALBOTT ST,1000
18,FREDERICK RD & APPLEDOWRE WAY,998
114,ROCKVILLE PIKE & SECURITY LN,987
107,ROCKVILLE PIKE & OLD GEORGETOWN RD,959
112,ROCKVILLE PIKE & ROLLINS AVE,958
37,FREDERICK RD & SHADY GROVE RD,955
4,CHRISTOPHER AVE & MONTGOMERY VILLAG,935
123,ROCKVILLE PIKE & WOOTTON PKWY,855
153,TRAVIS AVE & TRAVIS LN,839
148,SHAKESPEARE BLVD & ETON MANOR DR,831
102,ROCKVILLE PIKE & MT VERNON PL,792
67,N FREDERICK RD & GUNNERS BRANCH RD,788
135,S FREDERICK AVE & N WESTLAND DR,719
131,S FREDERICK AVE & DEER PARK DR,707
108,ROCKVILLE PIKE & PIKE CENTER,701
52,LOST KNIFE RD & CIDER MILL APTS,696
104,ROCKVILLE PIKE & NICHOLSON LN,659
138,S FREDERICK AVE & S WESTLAND DR,657
32,FREDERICK RD & OXBRIDGE DR,634
60,N FREDERICK AVE & BROOKS AVE,633
5,CHRISTOPHER AVE & RUSSELL AVE,613
20,FREDERICK RD & COLLEGE PKWY,595
98,ROCKVILLE PIKE & HOYA ST,592
99,ROCKVILLE PIKE & HUBBARD DR,588
2,CHRISTOPHER AVE & GALLOP HILL RD,569
71,N WASHINGTON ST & MIDDLE LN,561
29,FREDERICK RD & MIDDLEBROOK RD,561
8,CONTOUR RD & LOST KNIFE RD,550
33,FREDERICK RD & PLUMMER DR,534
63,N FREDERICK AVE & MONTGOMERY AVE,532
134,S FREDERICK AVE & FULKS CORNER AVE,532
91,ROCKVILLE PIKE & EXECUTIVE BLVD,522
92,ROCKVILLE PIKE & FIRST ST,508
78,ODENDHAL AVE & RUSSELL AVE,497
12,E MIDDLE LN & MARYLAND AVE,495
57,MANNAKEE ST & HUNGERFORD DR,478
64,N FREDERICK AVE & PROFESSIONAL DR,473
36,FREDERICK RD & SCENERY DR,468
132,S FREDERICK AVE & DEER PARK RD,466
129,S FREDERICK AVE & CEDAR AVE,448
122,ROCKVILLE PIKE & WOODMONT STATION,447
44,GROSVENOR STATION  & BAY E,417
54,LOST KNIFE RD & MONTGOMERY VILLAGE,386
147,SHAKESPEARE BLVD & AMBER RIDGE DR,379
7,CONTOUR RD & HORIZON RUN RD,374
13,E MIDDLE LN & MONROE ST,374
34,FREDERICK RD & REDLAND RD,370
82,ROCKVILLE PIKE & BETH MED PRK DR,369
106,ROCKVILLE PIKE & NORTH WOOD DR,365
150,SHAKESPEARE BLVD & MILESTONE PARK &,364
61,N FREDERICK AVE & CHESTNUT ST,363
1,CHRISTOPHER AVE & FEATHERTREE WAY,362
17,FREDERICK RD & @20010,350
22,FREDERICK RD & GERMANTOWN RD,343
115,ROCKVILLE PIKE & SOUTH WOOD RD,341
154,TRAVIS AVE & TRAVIS VIEW CT,320
103,ROCKVILLE PIKE & NEW ST,313
19,FREDERICK RD & ARCHDALE RD,313
119,ROCKVILLE PIKE & THOMPSON AVE,310
9,CONTOUR RD & ODENDHAL AVE,280
62,N FREDERICK AVE & MARYLAND AVE,278
86,ROCKVILLE PIKE & CEDAR LN,268
66,N FREDERICK AVE & WHETSTONE DR,268
10,CONTOUR RD & TUNSTALL DR,253
3,CHRISTOPHER AVE & HELLINGLY PL,248
75,OBSERVATION DR & OBSERVATION CT,237
160,WATKINS MILL RD & TRAVIS LN,236
11,E JEFFERSON ST & MARYLAND AVE,225
141,S FREDERICK AVE & WESTLAND DR,221
143,S WASHINGTON ST & MONTGOMERY AVE,221
149,SHAKESPEARE BLVD & FREDERICK RD,221
6,CHRISTOPHER AVE & VILLAGE OVERLOOK,207
116,ROCKVILLE PIKE & STRATHMORE AVE,206
88,ROCKVILLE PIKE & COUNTRY CLUB RD,205
155,TRAVIS AVE & WATKINS MILL RD,203
38,FREDERICK RD & SHAKESPEARE BLVD,197
127,RUSSELL AVE & WATKINS MILL RD,191
113,ROCKVILLE PIKE & ROSE AVE,189
53,LOST KNIFE RD & CONTOUR RD,184
23,FREDERICK RD & GUDE DR,184
159,WATKINS MILL RD & TRAVIS AVE,165
80,ROCKVILLE PIKE & ALTA VISTA RD,161
94,ROCKVILLE PIKE & GROSVENOR LN,159
137,S FREDERICK AVE & ROSEMONT DR,128
30,FREDERICK RD & MIDWAY CENTER,127
40,FREDERICK RD & WHEATFIELD DR,120
130,S FREDERICK AVE & CENTRAL AVE,119
49,HUNGERFORD DR & N CAMPUS DR,119
56,MANNAKEE ST & CAMPUS DR,119
136,S FREDERICK AVE & O'NEILL DR,119
26,FREDERICK RD & HIGH POINT DR,118
73,OBSERVATION DR & BOLAND FARM RD,116
42,GERMANTOWN RD & OBSERVATION DR,111
76,OBSERVATION DR & PANTHER RIDGE DR,106
48,HUNGERFORD DR & MANNAKEE ST,99
65,N FREDERICK AVE & TRAVIS AVE,98
152,SOMERVILLE DR & REDLAND RD,94
27,FREDERICK RD & INDIANOLA DR,87
121,ROCKVILLE PIKE & WICKSHIRE WAY,86
39,FREDERICK RD & WATKINS POND BLVD,84
35,FREDERICK RD & RIDGEMONT AVE,83
90,ROCKVILLE PIKE & ELSMERE AVE,79
93,ROCKVILLE PIKE & FLANDERS AVE,79
25,FREDERICK RD & GUNNERS DR,73
55,MANNAKEE ST & CAMPUS (E) DR,69
45,HALPINE RD & ROCKVILLE PIKE,62
28,FREDERICK RD & MAGNOLIA DR,60
126,RUSSELL AVE & CHRISTOPHER AVE,57
16,FREDERICK RD & @15501,54
81,ROCKVILLE PIKE & BELLEVUE DR,54
140,S FREDERICK AVE & VIRGINIA DR,51
97,ROCKVILLE PIKE & HILLERY WAY,49
72,OBSERVATION DR & @20457 (SENECA MEA,46
21,FREDERICK RD & COLLINS DR,41
31,FREDERICK RD & NEELSVILLE CHURCH RD,38
41,GERMANTOWN RD & GOLDENROD LN,36
142,S WASHINGTON ST & COURT HOUSE SQ,34
85,ROCKVILLE PIKE & BROAD BROOK DR,29
105,ROCKVILLE PIKE & NORTH DR,29
95,ROCKVILLE PIKE & GROSVENOR STATION,27
50,KING FARM BLVD & FREDERICK RD,21
14,E MIDDLE LN & WASHINGTON ST,14
156,TUCKERMAN LN & ROCKVILLE PIKE,11
100,ROCKVILLE PIKE & LOCUST HILL RD,9
146,SHADYGROVE METRO LOT  & METRO LOT,9
46,HUNGERFORD DR & @700,4
0,CHAPMAN AVE & BOUIC AVE,4
15,FREDERICK RD & @15,3
