,stops,boardings,alightings
128,S CAMPUS DR & CAMPUS DR,14945,10618
43,GERMANTOWN TRANSIT CENTER  & BAY B,14600,11217
58,MEDICAL CENTER STATION  & BAY D,14494,13183
124,ROCKVILLE STATION  & BAY A - WEST,13501,12847
125,ROCKVILLE STATION  & BAY B - WEST,8059,6230
157,TWINBROOK STATION  & BAY A - WEST,7766,7629
145,SHADY GROVE STATION  & BAY C - EAST,6436,10683
144,SHADY GROVE STATION  & BAY A - WEST,6221,6848
51,LAKEFOREST TRANSIT CENTER  & ODENDH,6108,6228
101,ROCKVILLE PIKE & MARINELLI RD,5205,4184
89,ROCKVILLE PIKE & EDMONSTON DR,4022,4355
120,ROCKVILLE PIKE & TUCKERMAN LN,2720,1599
151,SHAKESPEARE BLVD & OBSERVATION DR,2596,3553
96,ROCKVILLE PIKE & HALPINE RD,2555,799
87,ROCKVILLE PIKE & CONGRESSIONAL LN,2258,2734
83,ROCKVILLE PIKE & BOU AVE,2195,2143
110,ROCKVILLE PIKE & RANDOLPH RD,2183,1984
77,ODENDHAL AVE & FREDERICK AVE,2148,2412
47,HUNGERFORD DR & FREDERICK AVE,2082,2595
158,UNKNOWN,2018,2782
69,N WASHINGTON ST & DAWSON AVE,1608,1413
74,OBSERVATION DR & MONTGOMERY COLLEGE,1559,867
109,ROCKVILLE PIKE & POOKS HILL RD,1492,1290
59,MONROE ST & MONROE PL,1492,1462
68,N WASHINGTON ST & BEALL AVE,1415,1534
118,ROCKVILLE PIKE & TEMPLETON PL,1405,1422
139,S FREDERICK AVE & SUMMIT AVE,1348,793
24,FREDERICK RD & GUNNERS BRANCH RD,1342,1720
133,S FREDERICK AVE & EDUCATION BLVD,1297,881
111,ROCKVILLE PIKE & RICHARD MONTGOMERY,1164,245
70,N WASHINGTON ST & MARTINS LN,1146,1173
84,ROCKVILLE PIKE & BOUIC AVE,1073,937
79,ROCKVILLE PIKE & @1001,1057,490
117,ROCKVILLE PIKE & TALBOTT ST,1000,1532
18,FREDERICK RD & APPLEDOWRE WAY,998,737
114,ROCKVILLE PIKE & SECURITY LN,987,636
107,ROCKVILLE PIKE & OLD GEORGETOWN RD,959,343
112,ROCKVILLE PIKE & ROLLINS AVE,958,2071
37,FREDERICK RD & SHADY GROVE RD,955,903
4,CHRISTOPHER AVE & MONTGOMERY VILLAG,935,804
123,ROCKVILLE PIKE & WOOTTON PKWY,855,697
153,TRAVIS AVE & TRAVIS LN,839,677
148,SHAKESPEARE BLVD & ETON MANOR DR,831,205
102,ROCKVILLE PIKE & MT VERNON PL,792,979
67,N FREDERICK RD & GUNNERS BRANCH RD,788,319
135,S FREDERICK AVE & N WESTLAND DR,719,294
131,S FREDERICK AVE & DEER PARK DR,707,345
108,ROCKVILLE PIKE & PIKE CENTER,701,716
52,LOST KNIFE RD & CIDER MILL APTS,696,282
104,ROCKVILLE PIKE & NICHOLSON LN,659,784
138,S FREDERICK AVE & S WESTLAND DR,657,575
32,FREDERICK RD & OXBRIDGE DR,634,631
60,N FREDERICK AVE & BROOKS AVE,633,701
5,CHRISTOPHER AVE & RUSSELL AVE,613,622
20,FREDERICK RD & COLLEGE PKWY,595,722
98,ROCKVILLE PIKE & HOYA ST,592,235
99,ROCKVILLE PIKE & HUBBARD DR,588,1584
2,CHRISTOPHER AVE & GALLOP HILL RD,569,74
71,N WASHINGTON ST & MIDDLE LN,561,658
29,FREDERICK RD & MIDDLEBROOK RD,561,608
8,CONTOUR RD & LOST KNIFE RD,550,160
33,FREDERICK RD & PLUMMER DR,534,384
63,N FREDERICK AVE & MONTGOMERY AVE,532,612
134,S FREDERICK AVE & FULKS CORNER AVE,532,438
91,ROCKVILLE PIKE & EXECUTIVE BLVD,522,860
92,ROCKVILLE PIKE & FIRST ST,508,818
78,ODENDHAL AVE & RUSSELL AVE,497,682
12,E MIDDLE LN & MARYLAND AVE,495,63
57,MANNAKEE ST & HUNGERFORD DR,478,883
64,N FREDERICK AVE & PROFESSIONAL DR,473,635
36,FREDERICK RD & SCENERY DR,468,617
132,S FREDERICK AVE & DEER PARK RD,466,169
129,S FREDERICK AVE & CEDAR AVE,448,492
122,ROCKVILLE PIKE & WOODMONT STATION,447,407
44,GROSVENOR STATION  & BAY E,417,1515
54,LOST KNIFE RD & MONTGOMERY VILLAGE,386,364
147,SHAKESPEARE BLVD & AMBER RIDGE DR,379,156
7,CONTOUR RD & HORIZON RUN RD,374,375
13,E MIDDLE LN & MONROE ST,374,241
34,FREDERICK RD & REDLAND RD,370,591
82,ROCKVILLE PIKE & BETH MED PRK DR,369,96
106,ROCKVILLE PIKE & NORTH WOOD DR,365,15
150,SHAKESPEARE BLVD & MILESTONE PARK &,364,879
61,N FREDERICK AVE & CHESTNUT ST,363,350
1,CHRISTOPHER AVE & FEATHERTREE WAY,362,148
17,FREDERICK RD & @20010,350,189
22,FREDERICK RD & GERMANTOWN RD,343,418
115,ROCKVILLE PIKE & SOUTH WOOD RD,341,16
154,TRAVIS AVE & TRAVIS VIEW CT,320,525
103,ROCKVILLE PIKE & NEW ST,313,490
19,FREDERICK RD & ARCHDALE RD,313,56
119,ROCKVILLE PIKE & THOMPSON AVE,310,561
9,CONTOUR RD & ODENDHAL AVE,280,159
62,N FREDERICK AVE & MARYLAND AVE,278,267
86,ROCKVILLE PIKE & CEDAR LN,268,148
66,N FREDERICK AVE & WHETSTONE DR,268,314
10,CONTOUR RD & TUNSTALL DR,253,154
3,CHRISTOPHER AVE & HELLINGLY PL,248,298
75,OBSERVATION DR & OBSERVATION CT,237,162
160,WATKINS MILL RD & TRAVIS LN,236,123
11,E JEFFERSON ST & MARYLAND AVE,225,312
141,S FREDERICK AVE & WESTLAND DR,221,253
143,S WASHINGTON ST & MONTGOMERY AVE,221,85
149,SHAKESPEARE BLVD & FREDERICK RD,221,1654
6,CHRISTOPHER AVE & VILLAGE OVERLOOK,207,602
