,stops,alightings
116,ROCKVILLE STATION  & BAY A - WEST,8096.0
40,GERMANTOWN TRANSIT CENTER  & BAY B,5095.0
144,TWINBROOK STATION  & BAY A - WEST,4558.0
48,LAKEFOREST TRANSIT CENTER  & ODENDH,4284.0
55,MEDICAL CENTER STATION  & BAY D,4174.0
135,SHADY GROVE STATION  & BAY C - EAST,4087.0
119,S CAMPUS DR & CAMPUS DR,3335.0
93,ROCKVILLE PIKE & MARINELLI RD,2760.0
81,ROCKVILLE PIKE & EDMONSTON DR,2397.0
138,SHAKESPEARE BLVD & OBSERVATION DR,2082.0
44,HUNGERFORD DR & FREDERICK AVE,1933.0
68,ODENDHAL AVE & FREDERICK AVE,1636.0
79,ROCKVILLE PIKE & CONGRESSIONAL LN,1627.0
145,UNKNOWN,1609.0
75,ROCKVILLE PIKE & BOU AVE,1297.0
102,ROCKVILLE PIKE & RANDOLPH RD,1274.0
104,ROCKVILLE PIKE & ROLLINS AVE,1226.0
23,FREDERICK RD & GUNNERS BRANCH RD,1191.0
91,ROCKVILLE PIKE & HUBBARD DR,1110.0
64,N WASHINGTON ST & DAWSON AVE,1103.0
41,GROSVENOR STATION  & BAY E,1088.0
136,SHAKESPEARE BLVD & FREDERICK RD,1034.0
63,N WASHINGTON ST & BEALL AVE,945.0
56,MONROE ST & MONROE PL,889.0
99,ROCKVILLE PIKE & OLD GEORGETOWN RD,880.0
109,ROCKVILLE PIKE & TALBOTT ST,868.0
65,N WASHINGTON ST & MARTINS LN,861.0
112,ROCKVILLE PIKE & TUCKERMAN LN,856.0
101,ROCKVILLE PIKE & POOKS HILL RD,806.0
35,FREDERICK RD & SHADY GROVE RD,796.0
137,SHAKESPEARE BLVD & MILESTONE PARK &,696.0
110,ROCKVILLE PIKE & TEMPLETON PL,691.0
42,HALPINE RD & ROCKVILLE PIKE,669.0
70,ODENDHAL AVE & RUSSELL AVE,644.0
5,CHRISTOPHER AVE & RUSSELL AVE,643.0
54,MANNAKEE ST & HUNGERFORD DR,623.0
67,OBSERVATION DR & MONTGOMERY COLLEGE,616.0
76,ROCKVILLE PIKE & BOUIC AVE,601.0
96,ROCKVILLE PIKE & NICHOLSON LN,596.0
83,ROCKVILLE PIKE & EXECUTIVE BLVD,571.0
88,ROCKVILLE PIKE & HALPINE RD,564.0
94,ROCKVILLE PIKE & MT VERNON PL,543.0
84,ROCKVILLE PIKE & FIRST ST,543.0
130,S FREDERICK AVE & SUMMIT AVE,527.0
20,FREDERICK RD & COLLEGE PKWY,510.0
4,CHRISTOPHER AVE & MONTGOMERY VILLAG,502.0
140,TRAVIS AVE & TRAVIS LN,484.0
100,ROCKVILLE PIKE & PIKE CENTER,481.0
124,S FREDERICK AVE & EDUCATION BLVD,473.0
66,N WASHINGTON ST & MIDDLE LN,463.0
34,FREDERICK RD & SCENERY DR,462.0
97,ROCKVILLE PIKE & NORTH DR,457.0
50,LOST KNIFE RD & CONTOUR RD,449.0
18,FREDERICK RD & APPLEDOWRE WAY,445.0
31,FREDERICK RD & OXBRIDGE DR,439.0
60,N FREDERICK AVE & MONTGOMERY AVE,429.0
106,ROCKVILLE PIKE & SECURITY LN,426.0
57,N FREDERICK AVE & BROOKS AVE,426.0
129,S FREDERICK AVE & S WESTLAND DR,393.0
28,FREDERICK RD & MIDDLEBROOK RD,384.0
61,N FREDERICK AVE & PROFESSIONAL DR,383.0
111,ROCKVILLE PIKE & THOMPSON AVE,370.0
33,FREDERICK RD & REDLAND RD,348.0
141,TRAVIS AVE & TRAVIS VIEW CT,327.0
14,E MIDDLE LN & WASHINGTON ST,320.0
128,S FREDERICK AVE & ROSEMONT DR,319.0
80,ROCKVILLE PIKE & COUNTRY CLUB RD,308.0
120,S FREDERICK AVE & CEDAR AVE,307.0
115,ROCKVILLE PIKE & WOOTTON PKWY,306.0
59,N FREDERICK AVE & MARYLAND AVE,282.0
71,ROCKVILLE PIKE & @1001,277.0
6,CHRISTOPHER AVE & VILLAGE OVERLOOK,274.0
122,S FREDERICK AVE & DEER PARK DR,273.0
21,FREDERICK RD & GERMANTOWN RD,267.0
27,FREDERICK RD & MAGNOLIA DR,250.0
7,CONTOUR RD & HORIZON RUN RD,247.0
114,ROCKVILLE PIKE & WOODMONT STATION,243.0
62,N FREDERICK AVE & WHETSTONE DR,233.0
125,S FREDERICK AVE & FULKS CORNER AVE,230.0
32,FREDERICK RD & PLUMMER DR,224.0
133,S WASHINGTON ST & COURT HOUSE SQ,220.0
49,LOST KNIFE RD & CIDER MILL APTS,216.0
3,CHRISTOPHER AVE & HELLINGLY PL,212.0
58,N FREDERICK AVE & CHESTNUT ST,210.0
51,LOST KNIFE RD & MONTGOMERY VILLAGE,203.0
95,ROCKVILLE PIKE & NEW ST,202.0
13,E MIDDLE LN & MONROE ST,201.0
89,ROCKVILLE PIKE & HILLERY WAY,195.0
132,S FREDERICK AVE & WESTLAND DR,193.0
22,FREDERICK RD & GUDE DR,188.0
126,S FREDERICK AVE & N WESTLAND DR,187.0
52,MANNAKEE ST & CAMPUS (E) DR,173.0
108,ROCKVILLE PIKE & STRATHMORE AVE,166.0
11,E JEFFERSON ST & MARYLAND AVE,161.0
123,S FREDERICK AVE & DEER PARK RD,158.0
26,FREDERICK RD & INDIANOLA DR,155.0
103,ROCKVILLE PIKE & RICHARD MONTGOMERY,151.0
8,CONTOUR RD & LOST KNIFE RD,147.0
118,RUSSELL AVE & WATKINS MILL RD,137.0
142,TRAVIS AVE & WATKINS MILL RD,134.0
90,ROCKVILLE PIKE & HOYA ST,129.0
17,FREDERICK RD & @20010,124.0
86,ROCKVILLE PIKE & GROSVENOR LN,123.0
143,TUCKERMAN LN & ROCKVILLE PIKE,103.0
9,CONTOUR RD & ODENDHAL AVE,102.0
127,S FREDERICK AVE & O'NEILL DR,97.0
1,CHRISTOPHER AVE & FEATHERTREE WAY,94.0
46,HUNGERFORD DR & N CAMPUS DR,84.0
10,CONTOUR RD & TUNSTALL DR,83.0
78,ROCKVILLE PIKE & CEDAR LN,80.0
30,FREDERICK RD & NEELSVILLE CHURCH RD,76.0
117,RUSSELL AVE & CHRISTOPHER AVE,75.0
73,ROCKVILLE PIKE & BELLEVUE DR,74.0
113,ROCKVILLE PIKE & WICKSHIRE WAY,70.0
47,KING FARM BLVD & FREDERICK RD,69.0
74,ROCKVILLE PIKE & BETH MED PRK DR,67.0
139,SOMERVILLE DR & REDLAND RD,65.0
36,FREDERICK RD & WATKINS POND BLVD,64.0
24,FREDERICK RD & GUNNERS DR,63.0
45,HUNGERFORD DR & MANNAKEE ST,61.0
37,FREDERICK RD & WHEATFIELD DR,57.0
38,GERMANTOWN RD & GOLDENROD LN,56.0
77,ROCKVILLE PIKE & BROAD BROOK DR,54.0
134,S WASHINGTON ST & MONTGOMERY AVE,51.0
85,ROCKVILLE PIKE & FLANDERS AVE,50.0
29,FREDERICK RD & MIDWAY CENTER,49.0
2,CHRISTOPHER AVE & GALLOP HILL RD,45.0
16,FREDERICK RD & @15501,45.0
12,E MIDDLE LN & MARYLAND AVE,45.0
25,FREDERICK RD & HIGH POINT DR,44.0
146,WATKINS MILL RD & TRAVIS AVE,36.0
72,ROCKVILLE PIKE & ALTA VISTA RD,35.0
39,GERMANTOWN RD & OBSERVATION DR,29.0
121,S FREDERICK AVE & CENTRAL AVE,27.0
19,FREDERICK RD & ARCHDALE RD,26.0
98,ROCKVILLE PIKE & NORTH WOOD DR,24.0
131,S FREDERICK AVE & VIRGINIA DR,23.0
53,MANNAKEE ST & CAMPUS DR,23.0
0,CHAPMAN AVE & BOUIC AVE,22.0
107,ROCKVILLE PIKE & SOUTH WOOD RD,19.0
69,ODENDHAL AVE & LOST KNIFE RD,17.0
82,ROCKVILLE PIKE & ELSMERE AVE,16.0
15,FREDERICK RD & @15,16.0
87,ROCKVILLE PIKE & GROSVENOR STATION,15.0
92,ROCKVILLE PIKE & LOCUST HILL RD,8.0
105,ROCKVILLE PIKE & ROSE AVE,7.0
43,HUNGERFORD DR & @700,3.0
