,stops,boardings
116,ROCKVILLE STATION  & BAY A - WEST,8623.0
135,SHADY GROVE STATION  & BAY C - EAST,5132.0
40,GERMANTOWN TRANSIT CENTER  & BAY B,5120.0
144,TWINBROOK STATION  & BAY A - WEST,5103.0
55,MEDICAL CENTER STATION  & BAY D,4733.0
48,LAKEFOREST TRANSIT CENTER  & ODENDH,4609.0
119,S CAMPUS DR & CAMPUS DR,4051.0
93,ROCKVILLE PIKE & MARINELLI RD,3720.0
81,ROCKVILLE PIKE & EDMONSTON DR,2452.0
88,ROCKVILLE PIKE & HALPINE RD,1667.0
68,ODENDHAL AVE & FREDERICK AVE,1619.0
112,ROCKVILLE PIKE & TUCKERMAN LN,1608.0
44,HUNGERFORD DR & FREDERICK AVE,1577.0
75,ROCKVILLE PIKE & BOU AVE,1414.0
102,ROCKVILLE PIKE & RANDOLPH RD,1395.0
79,ROCKVILLE PIKE & CONGRESSIONAL LN,1354.0
145,UNKNOWN,1237.0
64,N WASHINGTON ST & DAWSON AVE,1101.0
138,SHAKESPEARE BLVD & OBSERVATION DR,1048.0
124,S FREDERICK AVE & EDUCATION BLVD,965.0
56,MONROE ST & MONROE PL,959.0
63,N WASHINGTON ST & BEALL AVE,942.0
23,FREDERICK RD & GUNNERS BRANCH RD,891.0
130,S FREDERICK AVE & SUMMIT AVE,875.0
101,ROCKVILLE PIKE & POOKS HILL RD,852.0
65,N WASHINGTON ST & MARTINS LN,806.0
67,OBSERVATION DR & MONTGOMERY COLLEGE,797.0
18,FREDERICK RD & APPLEDOWRE WAY,724.0
110,ROCKVILLE PIKE & TEMPLETON PL,713.0
76,ROCKVILLE PIKE & BOUIC AVE,697.0
104,ROCKVILLE PIKE & ROLLINS AVE,680.0
35,FREDERICK RD & SHADY GROVE RD,672.0
140,TRAVIS AVE & TRAVIS LN,660.0
99,ROCKVILLE PIKE & OLD GEORGETOWN RD,631.0
31,FREDERICK RD & OXBRIDGE DR,631.0
71,ROCKVILLE PIKE & @1001,607.0
126,S FREDERICK AVE & N WESTLAND DR,549.0
106,ROCKVILLE PIKE & SECURITY LN,533.0
4,CHRISTOPHER AVE & MONTGOMERY VILLAG,531.0
49,LOST KNIFE RD & CIDER MILL APTS,526.0
122,S FREDERICK AVE & DEER PARK DR,522.0
94,ROCKVILLE PIKE & MT VERNON PL,518.0
57,N FREDERICK AVE & BROOKS AVE,518.0
109,ROCKVILLE PIKE & TALBOTT ST,504.0
115,ROCKVILLE PIKE & WOOTTON PKWY,482.0
70,ODENDHAL AVE & RUSSELL AVE,478.0
8,CONTOUR RD & LOST KNIFE RD,463.0
41,GROSVENOR STATION  & BAY E,448.0
5,CHRISTOPHER AVE & RUSSELL AVE,446.0
20,FREDERICK RD & COLLEGE PKWY,408.0
91,ROCKVILLE PIKE & HUBBARD DR,405.0
96,ROCKVILLE PIKE & NICHOLSON LN,405.0
66,N WASHINGTON ST & MIDDLE LN,392.0
32,FREDERICK RD & PLUMMER DR,368.0
60,N FREDERICK AVE & MONTGOMERY AVE,365.0
12,E MIDDLE LN & MARYLAND AVE,363.0
28,FREDERICK RD & MIDDLEBROOK RD,356.0
125,S FREDERICK AVE & FULKS CORNER AVE,353.0
54,MANNAKEE ST & HUNGERFORD DR,350.0
103,ROCKVILLE PIKE & RICHARD MONTGOMERY,346.0
90,ROCKVILLE PIKE & HOYA ST,335.0
123,S FREDERICK AVE & DEER PARK RD,334.0
100,ROCKVILLE PIKE & PIKE CENTER,327.0
120,S FREDERICK AVE & CEDAR AVE,325.0
33,FREDERICK RD & REDLAND RD,324.0
129,S FREDERICK AVE & S WESTLAND DR,317.0
83,ROCKVILLE PIKE & EXECUTIVE BLVD,311.0
61,N FREDERICK AVE & PROFESSIONAL DR,306.0
2,CHRISTOPHER AVE & GALLOP HILL RD,296.0
7,CONTOUR RD & HORIZON RUN RD,289.0
62,N FREDERICK AVE & WHETSTONE DR,282.0
84,ROCKVILLE PIKE & FIRST ST,274.0
111,ROCKVILLE PIKE & THOMPSON AVE,263.0
51,LOST KNIFE RD & MONTGOMERY VILLAGE,262.0
3,CHRISTOPHER AVE & HELLINGLY PL,256.0
50,LOST KNIFE RD & CONTOUR RD,255.0
58,N FREDERICK AVE & CHESTNUT ST,250.0
95,ROCKVILLE PIKE & NEW ST,250.0
74,ROCKVILLE PIKE & BETH MED PRK DR,237.0
17,FREDERICK RD & @20010,236.0
34,FREDERICK RD & SCENERY DR,234.0
141,TRAVIS AVE & TRAVIS VIEW CT,231.0
114,ROCKVILLE PIKE & WOODMONT STATION,231.0
107,ROCKVILLE PIKE & SOUTH WOOD RD,231.0
13,E MIDDLE LN & MONROE ST,230.0
1,CHRISTOPHER AVE & FEATHERTREE WAY,219.0
21,FREDERICK RD & GERMANTOWN RD,195.0
19,FREDERICK RD & ARCHDALE RD,193.0
78,ROCKVILLE PIKE & CEDAR LN,192.0
132,S FREDERICK AVE & WESTLAND DR,191.0
59,N FREDERICK AVE & MARYLAND AVE,185.0
6,CHRISTOPHER AVE & VILLAGE OVERLOOK,184.0
10,CONTOUR RD & TUNSTALL DR,177.0
98,ROCKVILLE PIKE & NORTH WOOD DR,174.0
9,CONTOUR RD & ODENDHAL AVE,172.0
137,SHAKESPEARE BLVD & MILESTONE PARK &,155.0
127,S FREDERICK AVE & O'NEILL DR,140.0
22,FREDERICK RD & GUDE DR,139.0
108,ROCKVILLE PIKE & STRATHMORE AVE,137.0
80,ROCKVILLE PIKE & COUNTRY CLUB RD,135.0
39,GERMANTOWN RD & OBSERVATION DR,122.0
134,S WASHINGTON ST & MONTGOMERY AVE,118.0
27,FREDERICK RD & MAGNOLIA DR,117.0
136,SHAKESPEARE BLVD & FREDERICK RD,115.0
128,S FREDERICK AVE & ROSEMONT DR,113.0
25,FREDERICK RD & HIGH POINT DR,110.0
142,TRAVIS AVE & WATKINS MILL RD,100.0
146,WATKINS MILL RD & TRAVIS AVE,90.0
29,FREDERICK RD & MIDWAY CENTER,88.0
46,HUNGERFORD DR & N CAMPUS DR,86.0
37,FREDERICK RD & WHEATFIELD DR,78.0
11,E JEFFERSON ST & MARYLAND AVE,78.0
