route,stops,early,on_time,late,total,early %,on_time %,late %
46,CHAPMAN AVE & BOUIC AVE,0,3,0,3,0.0,1.0,0.0
46,MANNAKEE ST & CAMPUS DR,4,93,1,98,0.04,0.95,0.01
46,ROCKVILLE PIKE & SOUTH WOOD RD,44,246,9,299,0.15,0.82,0.03
46,ROCKVILLE PIKE & BROAD BROOK DR,6,19,1,26,0.23,0.73,0.04
46,ROCKVILLE PIKE & NORTH WOOD DR,84,247,8,339,0.25,0.73,0.02
46,ROCKVILLE PIKE & BELLEVUE DR,10,36,3,49,0.2,0.73,0.06
46,TUCKERMAN LN & ROCKVILLE PIKE,0,5,2,7,0.0,0.71,0.29
46,ROCKVILLE PIKE & CEDAR LN,53,180,22,255,0.21,0.71,0.09
46,ROCKVILLE PIKE & TALBOTT ST,159,571,90,820,0.19,0.7,0.11
46,MANNAKEE ST & CAMPUS (E) DR,6,29,7,42,0.14,0.69,0.17
46,ROCKVILLE PIKE & POOKS HILL RD,317,871,96,1284,0.25,0.68,0.07
46,ROCKVILLE PIKE & HALPINE RD,503,1512,218,2233,0.23,0.68,0.1
46,HUNGERFORD DR & FREDERICK AVE,281,764,71,1116,0.25,0.68,0.06
46,ROCKVILLE PIKE & GROSVENOR STATION,2,18,7,27,0.07,0.67,0.26
46,ROCKVILLE PIKE & HOYA ST,119,345,50,514,0.23,0.67,0.1
46,S WASHINGTON ST & COURT HOUSE SQ,6,18,3,27,0.22,0.67,0.11
46,ROCKVILLE PIKE & WOOTTON PKWY,175,486,63,724,0.24,0.67,0.09
46,ROCKVILLE PIKE & TEMPLETON PL,235,766,160,1161,0.2,0.66,0.14
46,MANNAKEE ST & HUNGERFORD DR,75,173,13,261,0.29,0.66,0.05
46,ROCKVILLE PIKE & RICHARD MONTGOMERY,309,714,53,1076,0.29,0.66,0.05
46,ROCKVILLE PIKE & MT VERNON PL,165,470,73,708,0.23,0.66,0.1
46,ROCKVILLE PIKE & ALTA VISTA RD,40,85,6,131,0.31,0.65,0.05
46,ROCKVILLE PIKE & OLD GEORGETOWN RD,202,529,89,820,0.25,0.65,0.11
46,ROCKVILLE PIKE & CONGRESSIONAL LN,419,1219,277,1915,0.22,0.64,0.14
46,S CAMPUS DR & CAMPUS DR,4842,12823,2444,20109,0.24,0.64,0.12
46,ROCKVILLE PIKE & EDMONSTON DR,902,2166,343,3411,0.26,0.64,0.1
46,ROCKVILLE PIKE & RANDOLPH RD,507,1163,173,1843,0.28,0.63,0.09
46,ROCKVILLE PIKE & @1001,284,582,60,926,0.31,0.63,0.06
46,E JEFFERSON ST & MARYLAND AVE,51,121,21,193,0.26,0.63,0.11
46,ROCKVILLE PIKE & BOUIC AVE,248,573,93,914,0.27,0.63,0.1
46,ROCKVILLE PIKE & MARINELLI RD,1250,2758,424,4432,0.28,0.62,0.1
46,HALPINE RD & ROCKVILLE PIKE,10,30,8,48,0.21,0.62,0.17
46,ROCKVILLE PIKE & TUCKERMAN LN,690,1463,198,2351,0.29,0.62,0.08
46,ROCKVILLE PIKE & HUBBARD DR,107,314,83,504,0.21,0.62,0.16
46,ROCKVILLE PIKE & HILLERY WAY,9,22,5,36,0.25,0.61,0.14
46,ROCKVILLE PIKE & NORTH DR,7,14,2,23,0.3,0.61,0.09
46,ROCKVILLE PIKE & THOMPSON AVE,67,161,35,263,0.25,0.61,0.13
46,ROCKVILLE PIKE & WOODMONT STATION,88,220,50,358,0.25,0.61,0.14
46,ROCKVILLE PIKE & FLANDERS AVE,20,41,6,67,0.3,0.61,0.09
46,ROCKVILLE PIKE & PIKE CENTER,153,358,79,590,0.26,0.61,0.13
46,ROCKVILLE PIKE & STRATHMORE AVE,53,107,19,179,0.3,0.6,0.11
46,ROCKVILLE PIKE & BOU AVE,540,1124,197,1861,0.29,0.6,0.11
46,ROCKVILLE PIKE & BETH MED PRK DR,115,189,11,315,0.37,0.6,0.03
46,N WASHINGTON ST & MARTINS LN,254,423,43,720,0.35,0.59,0.06
46,ROCKVILLE PIKE & ROLLINS AVE,231,480,113,824,0.28,0.58,0.14
46,ROCKVILLE PIKE & EXECUTIVE BLVD,123,246,58,427,0.29,0.58,0.14
46,ROCKVILLE PIKE & NEW ST,91,163,28,282,0.32,0.58,0.1
46,ROCKVILLE PIKE & FIRST ST,118,232,56,406,0.29,0.57,0.14
46,ROCKVILLE PIKE & SECURITY LN,256,442,75,773,0.33,0.57,0.1
46,N WASHINGTON ST & MIDDLE LN,105,189,37,331,0.32,0.57,0.11
46,N WASHINGTON ST & DAWSON AVE,291,508,89,888,0.33,0.57,0.1
46,ROCKVILLE PIKE & NICHOLSON LN,184,296,48,528,0.35,0.56,0.09
46,TWINBROOK STATION  & BAY A - WEST,2404,6568,3012,11984,0.2,0.55,0.25
46,ROCKVILLE PIKE & COUNTRY CLUB RD,53,92,23,168,0.32,0.55,0.14
46,ROCKVILLE PIKE & ROSE AVE,42,87,30,159,0.26,0.55,0.19
