,stops,boardings,alightings
116,ROCKVILLE STATION  & BAY A - WEST,15930.0,14255.0
40,GERMANTOWN TRANSIT CENTER  & BAY B,10676.0,9042.0
134,SHADY GROVE STATION  & BAY C - EAST,9611.0,8632.0
48,LAKEFOREST TRANSIT CENTER  & ODENDH,9030.0,8520.0
140,TWINBROOK STATION  & BAY A - WEST,8869.0,8265.0
55,MEDICAL CENTER STATION  & BAY D,8370.0,7078.0
119,S CAMPUS DR & CAMPUS DR,7242.0,6046.0
93,ROCKVILLE PIKE & MARINELLI RD,6839.0,4999.0
81,ROCKVILLE PIKE & EDMONSTON DR,4434.0,4216.0
44,HUNGERFORD DR & FREDERICK AVE,2851.0,3423.0
68,ODENDHAL AVE & FREDERICK AVE,3220.0,3235.0
141,UNKNOWN,2357.0,3172.0
79,ROCKVILLE PIKE & CONGRESSIONAL LN,2395.0,2909.0
23,FREDERICK RD & GUNNERS BRANCH RD,1799.0,2254.0
75,ROCKVILLE PIKE & BOU AVE,2576.0,2247.0
104,ROCKVILLE PIKE & ROLLINS AVE,1240.0,2225.0
102,ROCKVILLE PIKE & RANDOLPH RD,2380.0,2173.0
91,ROCKVILLE PIKE & HUBBARD DR,864.0,1878.0
41,GROSVENOR STATION  & BAY E,620.0,1774.0
56,MONROE ST & MONROE PL,2024.0,1723.0
112,ROCKVILLE PIKE & TUCKERMAN LN,2964.0,1690.0
109,ROCKVILLE PIKE & TALBOTT ST,948.0,1537.0
35,FREDERICK RD & SHADY GROVE RD,1357.0,1414.0
101,ROCKVILLE PIKE & POOKS HILL RD,1651.0,1387.0
64,N WASHINGTON ST & DAWSON AVE,1556.0,1324.0
70,ODENDHAL AVE & RUSSELL AVE,994.0,1241.0
110,ROCKVILLE PIKE & TEMPLETON PL,1286.0,1239.0
99,ROCKVILLE PIKE & OLD GEORGETOWN RD,1174.0,1211.0
42,HALPINE RD & ROCKVILLE PIKE,80.0,1208.0
4,CHRISTOPHER AVE & MONTGOMERY VILLAG,1051.0,1150.0
65,N WASHINGTON ST & MARTINS LN,1066.0,1122.0
63,N WASHINGTON ST & BEALL AVE,1252.0,1089.0
76,ROCKVILLE PIKE & BOUIC AVE,1264.0,1053.0
129,S FREDERICK AVE & SUMMIT AVE,1784.0,1050.0
96,ROCKVILLE PIKE & NICHOLSON LN,808.0,1043.0
124,S FREDERICK AVE & EDUCATION BLVD,1890.0,1027.0
57,N FREDERICK AVE & BROOKS AVE,985.0,1016.0
97,ROCKVILLE PIKE & NORTH DR,37.0,1015.0
94,ROCKVILLE PIKE & MT VERNON PL,875.0,1001.0
83,ROCKVILLE PIKE & EXECUTIVE BLVD,577.0,988.0
67,OBSERVATION DR & MONTGOMERY COLLEGE,1424.0,974.0
20,FREDERICK RD & COLLEGE PKWY,792.0,959.0
54,MANNAKEE ST & HUNGERFORD DR,525.0,948.0
18,FREDERICK RD & APPLEDOWRE WAY,1500.0,946.0
5,CHRISTOPHER AVE & RUSSELL AVE,832.0,930.0
34,FREDERICK RD & SCENERY DR,560.0,893.0
88,ROCKVILLE PIKE & HALPINE RD,2816.0,890.0
60,N FREDERICK AVE & MONTGOMERY AVE,700.0,885.0
31,FREDERICK RD & OXBRIDGE DR,1057.0,885.0
136,TRAVIS AVE & TRAVIS LN,1307.0,871.0
84,ROCKVILLE PIKE & FIRST ST,530.0,830.0
100,ROCKVILLE PIKE & PIKE CENTER,752.0,828.0
128,S FREDERICK AVE & S WESTLAND DR,649.0,792.0
61,N FREDERICK AVE & PROFESSIONAL DR,691.0,784.0
66,N WASHINGTON ST & MIDDLE LN,575.0,743.0
50,LOST KNIFE RD & CONTOUR RD,334.0,724.0
106,ROCKVILLE PIKE & SECURITY LN,1147.0,722.0
33,FREDERICK RD & REDLAND RD,590.0,686.0
115,ROCKVILLE PIKE & WOOTTON PKWY,891.0,650.0
127,S FREDERICK AVE & ROSEMONT DR,238.0,615.0
111,ROCKVILLE PIKE & THOMPSON AVE,359.0,582.0
120,S FREDERICK AVE & CEDAR AVE,518.0,564.0
14,E MIDDLE LN & WASHINGTON ST,22.0,563.0
6,CHRISTOPHER AVE & VILLAGE OVERLOOK,389.0,559.0
80,ROCKVILLE PIKE & COUNTRY CLUB RD,249.0,556.0
62,N FREDERICK AVE & WHETSTONE DR,668.0,525.0
27,FREDERICK RD & MAGNOLIA DR,197.0,522.0
7,CONTOUR RD & HORIZON RUN RD,574.0,512.0
51,LOST KNIFE RD & MONTGOMERY VILLAGE,460.0,512.0
114,ROCKVILLE PIKE & WOODMONT STATION,450.0,511.0
32,FREDERICK RD & PLUMMER DR,732.0,506.0
71,ROCKVILLE PIKE & @1001,944.0,491.0
122,S FREDERICK AVE & DEER PARK DR,782.0,479.0
105,ROCKVILLE PIKE & ROSE AVE,84.0,475.0
59,N FREDERICK AVE & MARYLAND AVE,405.0,460.0
58,N FREDERICK AVE & CHESTNUT ST,554.0,450.0
95,ROCKVILLE PIKE & NEW ST,451.0,437.0
3,CHRISTOPHER AVE & HELLINGLY PL,414.0,415.0
125,S FREDERICK AVE & N WESTLAND DR,1009.0,369.0
11,E JEFFERSON ST & MARYLAND AVE,185.0,350.0
131,S FREDERICK AVE & WESTLAND DR,437.0,341.0
132,S WASHINGTON ST & COURT HOUSE SQ,31.0,340.0
13,E MIDDLE LN & MONROE ST,408.0,330.0
49,LOST KNIFE RD & CIDER MILL APTS,877.0,323.0
89,ROCKVILLE PIKE & HILLERY WAY,135.0,312.0
137,TRAVIS AVE & TRAVIS VIEW CT,416.0,304.0
22,FREDERICK RD & GUDE DR,230.0,299.0
108,ROCKVILLE PIKE & STRATHMORE AVE,235.0,292.0
26,FREDERICK RD & INDIANOLA DR,122.0,291.0
103,ROCKVILLE PIKE & RICHARD MONTGOMERY,617.0,284.0
138,TRAVIS AVE & WATKINS MILL RD,216.0,262.0
123,S FREDERICK AVE & DEER PARK RD,629.0,260.0
90,ROCKVILLE PIKE & HOYA ST,606.0,256.0
52,MANNAKEE ST & CAMPUS (E) DR,35.0,252.0
17,FREDERICK RD & @20010,335.0,242.0
139,TUCKERMAN LN & ROCKVILLE PIKE,6.0,239.0
8,CONTOUR RD & LOST KNIFE RD,936.0,226.0
118,RUSSELL AVE & WATKINS MILL RD,153.0,222.0
28,FREDERICK RD & MIDDLEBROOK RD,311.0,209.0
126,S FREDERICK AVE & O'NEILL DR,229.0,206.0
73,ROCKVILLE PIKE & BELLEVUE DR,115.0,201.0
1,CHRISTOPHER AVE & FEATHERTREE WAY,520.0,195.0
9,CONTOUR RD & ODENDHAL AVE,384.0,186.0
78,ROCKVILLE PIKE & CEDAR LN,301.0,177.0
46,HUNGERFORD DR & N CAMPUS DR,193.0,167.0
10,CONTOUR RD & TUNSTALL DR,343.0,166.0
117,RUSSELL AVE & CHRISTOPHER AVE,67.0,155.0
45,HUNGERFORD DR & MANNAKEE ST,137.0,154.0
135,SOMERVILLE DR & REDLAND RD,144.0,153.0
47,KING FARM BLVD & FREDERICK RD,37.0,152.0
30,FREDERICK RD & NEELSVILLE CHURCH RD,38.0,150.0
86,ROCKVILLE PIKE & GROSVENOR LN,120.0,150.0
24,FREDERICK RD & GUNNERS DR,124.0,149.0
113,ROCKVILLE PIKE & WICKSHIRE WAY,50.0,139.0
37,FREDERICK RD & WHEATFIELD DR,131.0,128.0
29,FREDERICK RD & MIDWAY CENTER,234.0,113.0
74,ROCKVILLE PIKE & BETH MED PRK DR,403.0,100.0
133,S WASHINGTON ST & MONTGOMERY AVE,224.0,99.0
2,CHRISTOPHER AVE & GALLOP HILL RD,641.0,97.0
12,E MIDDLE LN & MARYLAND AVE,795.0,97.0
77,ROCKVILLE PIKE & BROAD BROOK DR,43.0,88.0
36,FREDERICK RD & WATKINS POND BLVD,186.0,85.0
38,GERMANTOWN RD & GOLDENROD LN,14.0,85.0
85,ROCKVILLE PIKE & FLANDERS AVE,117.0,83.0
19,FREDERICK RD & ARCHDALE RD,530.0,79.0
16,FREDERICK RD & @15501,43.0,77.0
25,FREDERICK RD & HIGH POINT DR,134.0,76.0
72,ROCKVILLE PIKE & ALTA VISTA RD,137.0,72.0
21,FREDERICK RD & GERMANTOWN RD,179.0,64.0
82,ROCKVILLE PIKE & ELSMERE AVE,87.0,61.0
121,S FREDERICK AVE & CENTRAL AVE,148.0,58.0
15,FREDERICK RD & @15,17.0,42.0
130,S FREDERICK AVE & VIRGINIA DR,109.0,35.0
39,GERMANTOWN RD & OBSERVATION DR,202.0,29.0
69,ODENDHAL AVE & LOST KNIFE RD,38.0,28.0
107,ROCKVILLE PIKE & SOUTH WOOD RD,392.0,27.0
53,MANNAKEE ST & CAMPUS DR,126.0,26.0
98,ROCKVILLE PIKE & NORTH WOOD DR,340.0,25.0
0,CHAPMAN AVE & BOUIC AVE,0.0,25.0
87,ROCKVILLE PIKE & GROSVENOR STATION,55.0,22.0
92,ROCKVILLE PIKE & LOCUST HILL RD,0.0,12.0
43,HUNGERFORD DR & @700,6.0,3.0
