route,stops,early,on_time,late,total,early %,on_time %,late %
46,ROCKVILLE PIKE & BELLEVUE DR,9.0,65.0,1.0,75.0,0.12,0.87,0.01
46,MANNAKEE ST & CAMPUS DR,7.0,51.0,2.0,60.0,0.12,0.85,0.03
46,ROCKVILLE PIKE & SOUTH WOOD RD,40.0,245.0,8.0,293.0,0.14,0.84,0.03
46,ROCKVILLE PIKE & ROSE AVE,3.0,18.0,2.0,23.0,0.13,0.78,0.09
46,ROCKVILLE PIKE & CEDAR LN,32.0,151.0,13.0,196.0,0.16,0.77,0.07
46,ROCKVILLE PIKE & NORTH WOOD DR,37.0,155.0,18.0,210.0,0.18,0.74,0.09
46,ROCKVILLE PIKE & MT VERNON PL,127.0,419.0,46.0,592.0,0.21,0.71,0.08
46,ROCKVILLE PIKE & RICHARD MONTGOMERY,91.0,301.0,41.0,433.0,0.21,0.7,0.09
46,ROCKVILLE PIKE & HUBBARD DR,111.0,448.0,78.0,637.0,0.17,0.7,0.12
46,S CAMPUS DR & CAMPUS DR,2577.0,7907.0,944.0,11428.0,0.23,0.69,0.08
46,ROCKVILLE PIKE & PIKE CENTER,108.0,349.0,50.0,507.0,0.21,0.69,0.1
46,ROCKVILLE PIKE & THOMPSON AVE,66.0,177.0,17.0,260.0,0.25,0.68,0.07
46,ROCKVILLE PIKE & HOYA ST,85.0,287.0,58.0,430.0,0.2,0.67,0.13
46,ROCKVILLE PIKE & WOOTTON PKWY,157.0,422.0,49.0,628.0,0.25,0.67,0.08
46,ROCKVILLE PIKE & POOKS HILL RD,316.0,717.0,48.0,1081.0,0.29,0.66,0.04
46,ROCKVILLE PIKE & BOU AVE,469.0,1151.0,148.0,1768.0,0.27,0.65,0.08
46,ROCKVILLE PIKE & COUNTRY CLUB RD,41.0,108.0,19.0,168.0,0.24,0.64,0.11
46,ROCKVILLE PIKE & NORTH DR,8.0,16.0,1.0,25.0,0.32,0.64,0.04
46,ROCKVILLE PIKE & OLD GEORGETOWN RD,199.0,441.0,63.0,703.0,0.28,0.63,0.09
46,ROCKVILLE PIKE & HALPINE RD,530.0,1271.0,204.0,2005.0,0.26,0.63,0.1
46,MANNAKEE ST & HUNGERFORD DR,74.0,138.0,7.0,219.0,0.34,0.63,0.03
46,S WASHINGTON ST & COURT HOUSE SQ,5.0,12.0,2.0,19.0,0.26,0.63,0.11
46,ROCKVILLE PIKE & ROLLINS AVE,249.0,545.0,74.0,868.0,0.29,0.63,0.09
46,ROCKVILLE PIKE & ALTA VISTA RD,29.0,50.0,2.0,81.0,0.36,0.62,0.02
46,ROCKVILLE PIKE & FLANDERS AVE,27.0,48.0,3.0,78.0,0.35,0.62,0.04
46,ROCKVILLE PIKE & ELSMERE AVE,14.0,30.0,4.0,48.0,0.29,0.62,0.08
46,ROCKVILLE PIKE & @1001,202.0,418.0,58.0,678.0,0.3,0.62,0.09
46,HALPINE RD & ROCKVILLE PIKE,12.0,26.0,4.0,42.0,0.29,0.62,0.1
46,ROCKVILLE PIKE & EDMONSTON DR,917.0,1847.0,265.0,3029.0,0.3,0.61,0.09
46,ROCKVILLE PIKE & NICHOLSON LN,183.0,334.0,33.0,550.0,0.33,0.61,0.06
46,ROCKVILLE PIKE & RANDOLPH RD,508.0,1012.0,148.0,1668.0,0.3,0.61,0.09
46,ROCKVILLE PIKE & TUCKERMAN LN,674.0,1189.0,113.0,1976.0,0.34,0.6,0.06
46,ROCKVILLE PIKE & GROSVENOR STATION,9.0,21.0,5.0,35.0,0.26,0.6,0.14
46,MANNAKEE ST & CAMPUS (E) DR,2.0,9.0,4.0,15.0,0.13,0.6,0.27
46,ROCKVILLE PIKE & TALBOTT ST,192.0,377.0,64.0,633.0,0.3,0.6,0.1
46,ROCKVILLE PIKE & CONGRESSIONAL LN,469.0,984.0,203.0,1656.0,0.28,0.59,0.12
46,ROCKVILLE PIKE & BETH MED PRK DR,89.0,161.0,21.0,271.0,0.33,0.59,0.08
46,ROCKVILLE PIKE & BOUIC AVE,277.0,522.0,85.0,884.0,0.31,0.59,0.1
46,S WASHINGTON ST & MONTGOMERY AVE,49.0,83.0,11.0,143.0,0.34,0.58,0.08
46,HUNGERFORD DR & FREDERICK AVE,420.0,657.0,47.0,1124.0,0.37,0.58,0.04
46,ROCKVILLE PIKE & WOODMONT STATION,85.0,179.0,43.0,307.0,0.28,0.58,0.14
46,ROCKVILLE PIKE & TEMPLETON PL,258.0,493.0,98.0,849.0,0.3,0.58,0.12
46,ROCKVILLE PIKE & MARINELLI RD,1667.0,2742.0,385.0,4794.0,0.35,0.57,0.08
46,ROCKVILLE PIKE & BROAD BROOK DR,13.0,16.0,0.0,29.0,0.45,0.55,0.0
46,ROCKVILLE PIKE & FIRST ST,121.0,199.0,41.0,361.0,0.34,0.55,0.11
46,ROCKVILLE PIKE & NEW ST,67.0,172.0,78.0,317.0,0.21,0.54,0.25
46,ROCKVILLE PIKE & STRATHMORE AVE,68.0,80.0,3.0,151.0,0.45,0.53,0.02
46,N WASHINGTON ST & BEALL AVE,303.0,374.0,33.0,710.0,0.43,0.53,0.05
46,ROCKVILLE PIKE & EXECUTIVE BLVD,152.0,204.0,33.0,389.0,0.39,0.52,0.08
46,ROCKVILLE PIKE & HILLERY WAY,36.0,46.0,9.0,91.0,0.4,0.51,0.1
46,ROCKVILLE PIKE & SECURITY LN,318.0,399.0,64.0,781.0,0.41,0.51,0.08
46,N WASHINGTON ST & MARTINS LN,308.0,342.0,26.0,676.0,0.46,0.51,0.04
46,ROCKVILLE PIKE & WICKSHIRE WAY,9.0,15.0,6.0,30.0,0.3,0.5,0.2
46,ROCKVILLE STATION  & BAY A - WEST,5246.0,10000.0,4764.0,20010.0,0.26,0.5,0.24
46,TWINBROOK STATION  & BAY A - WEST,2998.0,5557.0,2620.0,11175.0,0.27,0.5,0.23
46,TUCKERMAN LN & ROCKVILLE PIKE,0.0,1.0,1.0,2.0,0.0,0.5,0.5
46,E JEFFERSON ST & MARYLAND AVE,56.0,65.0,11.0,132.0,0.42,0.49,0.08
46,MONROE ST & MONROE PL,532.0,651.0,155.0,1338.0,0.4,0.49,0.12
46,GROSVENOR STATION  & BAY E,166.0,183.0,35.0,384.0,0.43,0.48,0.09
46,N WASHINGTON ST & MIDDLE LN,147.0,153.0,19.0,319.0,0.46,0.48,0.06
46,N WASHINGTON ST & DAWSON AVE,418.0,408.0,34.0,860.0,0.49,0.47,0.04
46,ROCKVILLE PIKE & GROSVENOR LN,33.0,26.0,4.0,63.0,0.52,0.41,0.06
46,MEDICAL CENTER STATION  & BAY D,3380.0,4390.0,3687.0,11457.0,0.3,0.38,0.32
