,stops,alightings
58,MEDICAL CENTER STATION  & BAY D,4578
43,GERMANTOWN TRANSIT CENTER  & BAY B,4004
124,ROCKVILLE STATION  & BAY A - WEST,3893
145,SHADY GROVE STATION  & BAY C - EAST,3399
128,S CAMPUS DR & CAMPUS DR,3007
158,UNKNOWN,2606
157,TWINBROOK STATION  & BAY A - WEST,2301
144,SHADY GROVE STATION  & BAY A - WEST,2084
51,LAKEFOREST TRANSIT CENTER  & ODENDH,2058
125,ROCKVILLE STATION  & BAY B - WEST,1649
89,ROCKVILLE PIKE & EDMONSTON DR,1348
101,ROCKVILLE PIKE & MARINELLI RD,1224
151,SHAKESPEARE BLVD & OBSERVATION DR,1190
47,HUNGERFORD DR & FREDERICK AVE,864
87,ROCKVILLE PIKE & CONGRESSIONAL LN,775
77,ODENDHAL AVE & FREDERICK AVE,759
83,ROCKVILLE PIKE & BOU AVE,626
24,FREDERICK RD & GUNNERS BRANCH RD,559
112,ROCKVILLE PIKE & ROLLINS AVE,559
110,ROCKVILLE PIKE & RANDOLPH RD,556
149,SHAKESPEARE BLVD & FREDERICK RD,513
99,ROCKVILLE PIKE & HUBBARD DR,485
120,ROCKVILLE PIKE & TUCKERMAN LN,450
69,N WASHINGTON ST & DAWSON AVE,432
68,N WASHINGTON ST & BEALL AVE,418
59,MONROE ST & MONROE PL,411
118,ROCKVILLE PIKE & TEMPLETON PL,403
109,ROCKVILLE PIKE & POOKS HILL RD,388
44,GROSVENOR STATION  & BAY E,388
117,ROCKVILLE PIKE & TALBOTT ST,383
70,N WASHINGTON ST & MARTINS LN,350
113,ROCKVILLE PIKE & ROSE AVE,335
84,ROCKVILLE PIKE & BOUIC AVE,309
37,FREDERICK RD & SHADY GROVE RD,297
4,CHRISTOPHER AVE & MONTGOMERY VILLAG,285
45,HALPINE RD & ROCKVILLE PIKE,277
91,ROCKVILLE PIKE & EXECUTIVE BLVD,270
150,SHAKESPEARE BLVD & MILESTONE PARK &,264
102,ROCKVILLE PIKE & MT VERNON PL,262
