,hour,route_id,boardings,alightings
34,14,46,3755,3650
38,15,55,2680,2918
37,15,46,2888,2904
35,14,55,2940,2741
32,13,55,2879,2583
22,10,46,2358,2427
31,13,46,2676,2381
28,12,46,2391,2238
25,11,46,2169,2226
40,16,46,2270,2149
29,12,55,2368,2046
11,6,55,1766,1737
43,17,46,1682,1621
19,9,46,1670,1568
44,17,55,1383,1421
41,16,55,1472,1418
23,10,55,1497,1306
15,7,100,1017,1241
16,8,46,1087,1227
26,11,55,1372,1225
8,5,55,1350,1120
46,18,46,1110,1116
13,7,46,1024,1027
14,7,55,710,959
49,19,46,983,853
9,5,100,994,747
10,6,46,760,738
18,8,100,557,700
33,13,100,893,698
55,21,46,610,685
52,20,46,712,590
12,6,100,406,522
47,18,55,412,512
20,9,55,647,487
42,16,100,430,455
58,22,46,421,440
7,5,46,440,432
17,8,55,205,328
36,14,100,116,316
6,4,100,223,278
27,11,100,110,245
5,4,55,292,183
30,12,100,139,182
61,23,46,188,178
56,21,55,157,167
50,19,55,133,163
39,15,100,207,156
59,22,55,115,138
24,10,100,263,133
53,20,55,169,129
62,23,55,153,121
45,17,100,218,61
21,9,100,37,39
0,0,46,38,34
48,18,100,33,30
54,20,100,7,8
51,19,100,2,4
4,4,46,11,3
57,21,100,3,3
63,23,100,3,2
60,22,100,2,2
3,1,55,2,2
2,0,100,1,2
1,0,55,0,2
