,hour,route_id,boardings,alightings
34,14,46,3755,3650
35,14,55,2940,2741
37,15,46,2888,2904
32,13,55,2879,2583
38,15,55,2680,2918
31,13,46,2676,2381
28,12,46,2391,2238
29,12,55,2368,2046
22,10,46,2358,2427
40,16,46,2270,2149
25,11,46,2169,2226
11,6,55,1766,1737
43,17,46,1682,1621
19,9,46,1670,1568
23,10,55,1497,1306
41,16,55,1472,1418
44,17,55,1383,1421
26,11,55,1372,1225
8,5,55,1350,1120
46,18,46,1110,1116
16,8,46,1087,1227
13,7,46,1024,1027
15,7,100,1017,1241
9,5,100,994,747
49,19,46,983,853
33,13,100,893,698
10,6,46,760,738
52,20,46,712,590
14,7,55,710,959
20,9,55,647,487
55,21,46,610,685
18,8,100,557,700
7,5,46,440,432
42,16,100,430,455
58,22,46,421,440
47,18,55,412,512
12,6,100,406,522
5,4,55,292,183
24,10,100,263,133
6,4,100,223,278
45,17,100,218,61
39,15,100,207,156
17,8,55,205,328
61,23,46,188,178
53,20,55,169,129
56,21,55,157,167
62,23,55,153,121
30,12,100,139,182
50,19,55,133,163
36,14,100,116,316
59,22,55,115,138
27,11,100,110,245
0,0,46,38,34
21,9,100,37,39
48,18,100,33,30
4,4,46,11,3
54,20,100,7,8
57,21,100,3,3
63,23,100,3,2
51,19,100,2,4
60,22,100,2,2
3,1,55,2,2
2,0,100,1,2
1,0,55,0,2
