route,stops,early,on_time,late,total,early %,on_time %,late %
46,ROCKVILLE PIKE & SOUTH WOOD RD,24,460,72,556,0.04,0.83,0.13
46,ROCKVILLE PIKE & NORTH WOOD DR,25,338,47,410,0.06,0.82,0.11
46,ROCKVILLE PIKE & LOCUST HILL RD,3,22,2,27,0.11,0.81,0.07
46,ROCKVILLE PIKE & BROAD BROOK DR,3,22,2,27,0.11,0.81,0.07
46,ROCKVILLE PIKE & RICHARD MONTGOMERY,36,213,17,266,0.14,0.8,0.06
46,ROCKVILLE PIKE & CEDAR LN,23,122,9,154,0.15,0.79,0.06
46,ROCKVILLE PIKE & OLD GEORGETOWN RD,220,845,64,1129,0.19,0.75,0.06
46,ROCKVILLE PIKE & BELLEVUE DR,20,57,1,78,0.26,0.73,0.01
46,ROCKVILLE PIKE & BOU AVE,391,1315,144,1850,0.21,0.71,0.08
46,MANNAKEE ST & HUNGERFORD DR,15,78,17,110,0.14,0.71,0.15
46,ROCKVILLE PIKE & PIKE CENTER,130,436,45,611,0.21,0.71,0.07
46,ROCKVILLE PIKE & POOKS HILL RD,309,896,77,1282,0.24,0.7,0.06
46,ROCKVILLE PIKE & @1001,269,840,85,1194,0.23,0.7,0.07
46,ROCKVILLE PIKE & HUBBARD DR,154,448,47,649,0.24,0.69,0.07
46,ROCKVILLE PIKE & NICHOLSON LN,238,661,80,979,0.24,0.68,0.08
46,ROCKVILLE PIKE & MT VERNON PL,162,534,88,784,0.21,0.68,0.11
46,ROCKVILLE PIKE & TUCKERMAN LN,646,1679,148,2473,0.26,0.68,0.06
46,N WASHINGTON ST & MARTINS LN,107,420,87,614,0.17,0.68,0.14
46,HUNGERFORD DR & FREDERICK AVE,195,989,268,1452,0.13,0.68,0.18
46,ROCKVILLE PIKE & MARINELLI RD,1222,3082,307,4611,0.27,0.67,0.07
46,ROCKVILLE PIKE & HALPINE RD,599,1608,192,2399,0.25,0.67,0.08
46,ROCKVILLE PIKE & BETH MED PRK DR,95,218,11,324,0.29,0.67,0.03
46,ROCKVILLE PIKE & WOOTTON PKWY,194,557,98,849,0.23,0.66,0.12
46,N WASHINGTON ST & DAWSON AVE,241,722,134,1097,0.22,0.66,0.12
