route,stops,early,on_time,late,total,early %,on_time %,late %
55,MANNAKEE ST & CAMPUS (E) DR,0.0,2.0,0.0,2.0,0.0,1.0,0.0
55,FREDERICK RD & @15501,2.0,25.0,0.0,27.0,0.07,0.93,0.0
55,HUNGERFORD DR & N CAMPUS DR,5.0,81.0,7.0,93.0,0.05,0.87,0.08
55,SHAKESPEARE BLVD & ETON MANOR DR,4.0,33.0,2.0,39.0,0.1,0.85,0.05
55,E MIDDLE LN & MONROE ST,62.0,357.0,10.0,429.0,0.14,0.83,0.02
55,HUNGERFORD DR & MANNAKEE ST,7.0,107.0,15.0,129.0,0.05,0.83,0.12
55,FREDERICK RD & INDIANOLA DR,17.0,106.0,9.0,132.0,0.13,0.8,0.07
55,FREDERICK RD & RIDGEMONT AVE,1.0,4.0,0.0,5.0,0.2,0.8,0.0
55,WATKINS MILL RD & TRAVIS LN,2.0,8.0,0.0,10.0,0.2,0.8,0.0
55,FREDERICK RD & MIDDLEBROOK RD,52.0,319.0,35.0,406.0,0.13,0.79,0.09
55,FREDERICK RD & MIDWAY CENTER,18.0,152.0,23.0,193.0,0.09,0.79,0.12
55,SHAKESPEARE BLVD & AMBER RIDGE DR,3.0,15.0,1.0,19.0,0.16,0.79,0.05
55,E MIDDLE LN & MARYLAND AVE,134.0,615.0,34.0,783.0,0.17,0.79,0.04
55,FREDERICK RD & OXBRIDGE DR,163.0,1095.0,136.0,1394.0,0.12,0.79,0.1
55,FREDERICK RD & ARCHDALE RD,98.0,508.0,35.0,641.0,0.15,0.79,0.05
55,HUNGERFORD DR & FREDERICK AVE,169.0,1075.0,134.0,1378.0,0.12,0.78,0.1
55,FREDERICK RD & @20010,88.0,468.0,46.0,602.0,0.15,0.78,0.08
55,FREDERICK RD & HIGH POINT DR,25.0,162.0,22.0,209.0,0.12,0.78,0.11
55,N FREDERICK RD & GUNNERS BRANCH RD,5.0,32.0,5.0,42.0,0.12,0.76,0.12
55,S FREDERICK AVE & DEER PARK DR,122.0,777.0,127.0,1026.0,0.12,0.76,0.12
55,S FREDERICK AVE & S WESTLAND DR,83.0,586.0,103.0,772.0,0.11,0.76,0.13
55,RUSSELL AVE & WATKINS MILL RD,31.0,149.0,19.0,199.0,0.16,0.75,0.1
55,FREDERICK RD & GERMANTOWN RD,92.0,339.0,20.0,451.0,0.2,0.75,0.04
55,FREDERICK RD & SHADY GROVE RD,156.0,975.0,172.0,1303.0,0.12,0.75,0.13
55,FREDERICK RD & PLUMMER DR,180.0,801.0,87.0,1068.0,0.17,0.75,0.08
55,FREDERICK RD & GUDE DR,31.0,125.0,14.0,170.0,0.18,0.74,0.08
55,S FREDERICK AVE & CENTRAL AVE,24.0,138.0,25.0,187.0,0.13,0.74,0.13
55,FREDERICK RD & GUNNERS BRANCH RD,299.0,1571.0,278.0,2148.0,0.14,0.73,0.13
55,SOMERVILLE DR & REDLAND RD,18.0,54.0,3.0,75.0,0.24,0.72,0.04
55,LOST KNIFE RD & MONTGOMERY VILLAGE,163.0,516.0,41.0,720.0,0.23,0.72,0.06
55,S FREDERICK AVE & N WESTLAND DR,118.0,667.0,144.0,929.0,0.13,0.72,0.16
55,CHRISTOPHER AVE & HELLINGLY PL,32.0,270.0,76.0,378.0,0.08,0.71,0.2
55,S FREDERICK AVE & EDUCATION BLVD,367.0,1332.0,190.0,1889.0,0.19,0.71,0.1
55,FREDERICK RD & WHEATFIELD DR,30.0,106.0,14.0,150.0,0.2,0.71,0.09
55,S FREDERICK AVE & SUMMIT AVE,448.0,1426.0,167.0,2041.0,0.22,0.7,0.08
55,CONTOUR RD & ODENDHAL AVE,58.0,296.0,66.0,420.0,0.14,0.7,0.16
55,CHRISTOPHER AVE & VILLAGE OVERLOOK,35.0,213.0,56.0,304.0,0.12,0.7,0.18
55,LOST KNIFE RD & CIDER MILL APTS,162.0,690.0,140.0,992.0,0.16,0.7,0.14
55,N WASHINGTON ST & DAWSON AVE,3.0,11.0,2.0,16.0,0.19,0.69,0.12
55,CONTOUR RD & LOST KNIFE RD,150.0,679.0,150.0,979.0,0.15,0.69,0.15
55,CHRISTOPHER AVE & MONTGOMERY VILLAG,207.0,939.0,222.0,1368.0,0.15,0.69,0.16
55,FREDERICK RD & APPLEDOWRE WAY,431.0,1428.0,212.0,2071.0,0.21,0.69,0.1
55,CHRISTOPHER AVE & GALLOP HILL RD,279.0,761.0,57.0,1097.0,0.25,0.69,0.05
55,N FREDERICK AVE & WHETSTONE DR,131.0,429.0,61.0,621.0,0.21,0.69,0.1
55,FREDERICK RD & MAGNOLIA DR,16.0,84.0,21.0,121.0,0.13,0.69,0.17
55,GERMANTOWN RD & GOLDENROD LN,4.0,11.0,1.0,16.0,0.25,0.69,0.06
55,RUSSELL AVE & CHRISTOPHER AVE,1.0,29.0,12.0,42.0,0.02,0.69,0.29
55,TRAVIS AVE & TRAVIS LN,96.0,283.0,29.0,408.0,0.24,0.69,0.07
55,FREDERICK RD & REDLAND RD,149.0,499.0,84.0,732.0,0.2,0.68,0.11
55,S FREDERICK AVE & O'NEILL DR,70.0,183.0,17.0,270.0,0.26,0.68,0.06
55,N FREDERICK AVE & MARYLAND AVE,88.0,263.0,44.0,395.0,0.22,0.67,0.11
55,FREDERICK RD & COLLEGE PKWY,165.0,603.0,134.0,902.0,0.18,0.67,0.15
55,FREDERICK RD & WATKINS POND BLVD,44.0,149.0,30.0,223.0,0.2,0.67,0.13
55,TRAVIS AVE & WATKINS MILL RD,11.0,59.0,18.0,88.0,0.12,0.67,0.2
55,LOST KNIFE RD & CONTOUR RD,120.0,296.0,25.0,441.0,0.27,0.67,0.06
55,CONTOUR RD & HORIZON RUN RD,126.0,405.0,82.0,613.0,0.21,0.66,0.13
55,CHRISTOPHER AVE & RUSSELL AVE,184.0,607.0,149.0,940.0,0.2,0.65,0.16
55,FREDERICK RD & SCENERY DR,136.0,484.0,139.0,759.0,0.18,0.64,0.18
55,N FREDERICK AVE & CHESTNUT ST,123.0,342.0,68.0,533.0,0.23,0.64,0.13
55,S FREDERICK AVE & WESTLAND DR,110.0,274.0,45.0,429.0,0.26,0.64,0.1
55,S FREDERICK AVE & ROSEMONT DR,57.0,148.0,26.0,231.0,0.25,0.64,0.11
55,CONTOUR RD & TUNSTALL DR,48.0,201.0,71.0,320.0,0.15,0.63,0.22
55,ODENDHAL AVE & FREDERICK AVE,643.0,1576.0,301.0,2520.0,0.26,0.63,0.12
55,N WASHINGTON ST & BEALL AVE,9.0,19.0,2.0,30.0,0.3,0.63,0.07
55,N FREDERICK AVE & BROOKS AVE,289.0,702.0,141.0,1132.0,0.26,0.62,0.12
55,ODENDHAL AVE & RUSSELL AVE,162.0,390.0,83.0,635.0,0.26,0.61,0.13
55,SHAKESPEARE BLVD & OBSERVATION DR,28.0,107.0,40.0,175.0,0.16,0.61,0.23
55,N FREDERICK AVE & PROFESSIONAL DR,126.0,449.0,161.0,736.0,0.17,0.61,0.22
55,N FREDERICK AVE & MONTGOMERY AVE,186.0,469.0,114.0,769.0,0.24,0.61,0.15
55,CHRISTOPHER AVE & FEATHERTREE WAY,251.0,453.0,44.0,748.0,0.34,0.61,0.06
55,S FREDERICK AVE & VIRGINIA DR,41.0,82.0,12.0,135.0,0.3,0.61,0.09
55,LAKEFOREST TRANSIT CENTER  & ODENDH,3817.0,10924.0,3153.0,17894.0,0.21,0.61,0.18
55,FREDERICK RD & GUNNERS DR,33.0,77.0,16.0,126.0,0.26,0.61,0.13
55,GERMANTOWN RD & OBSERVATION DR,34.0,135.0,53.0,222.0,0.15,0.61,0.24
55,OBSERVATION DR & OBSERVATION CT,1.0,3.0,1.0,5.0,0.2,0.6,0.2
55,TRAVIS AVE & TRAVIS VIEW CT,44.0,84.0,11.0,139.0,0.32,0.6,0.08
