,stop,alightings
902,New Carrollton Station - Arrival,29762
160,Addison Rd Metrorail - Arrival,24119
620,Gov. Oden Bowie Dr at Rear C.A.B.,18743
623,Greenbelt Metro Station (Arrival),18642
885,Morgan Blvd Metro Station,17363
1258,Suitland Metro - Arrival,16998
898,Naylor Rd Station Bay H,15140
418,Campus Way South at College Station Dr (PGCC),12231
804,Largo Town Center Station,12147
1202,Southern Ave Station Bay E - Arrival,10773
424,Capitol Heights - Arrival,10567
317,Branch Ave Station - Arrival,9448
578,Equestrian Center Lot 4,8968
1349,Woody Terrace at Woodyard Rd,8849
1341,West Hyattsville Station,7856
1200,Southern Ave Metro Rail Station at Bus Bay F,7115
767,Landover Metrorail Station - Arrival,7021
805,Largo Town Center Station at Bus Bay E,6388
577,Equestrian Center Lot 3,6388
435,Capitol Heights Station Bay B,5565
161,Addison Rd Metrorail Station,5149
1343,West Hyattsville Station - Arrival,4865
478,Cheverly Station Bay D,4492
1165,SOUTHERN AVENUE METRO STATION & BUS BAY K,4479
714,Ikea at Bus Bay 2,4188
1342,West Hyattsville Station (Arrival),4186
522,Courthouse,4183
1264,Suitland Rd at Shadyside Ave,4066
889,Mt Rainier Terminal - Arrival,3893
516,County Courthouse,3753
642,Greenway Center,3683
903,New Carrollton Station Bay F,3604
491,Clinton Fringe Parking Lot,3566
1028,Padgett's Corner,3455
901,New Carrollton Station (Arrival),3413
888,Motor Vehicle Administration - Arrival,3264
1277,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),3173
724,Iverson Mall,3170
65,3930 Capitol Crossing Apts,3134
575,Equestrian Center Lot 1 (Arrival),3098
930,Old Forestville Rd at Forestville Rd,3076
554,Donnell Dr at Pennsylvania Ave,3021
362,Brightseat Rd at Opp. Maple Ridge Apts #2,2977
624,Greenbelt Metro Station Bus Bay A,2964
1050,Prince George's Plaza - Arrival,2958
872,McCormick Dr at Basil Ct,2851
361,Brightseat Rd at Opp. Maple Ridge Apts #1,2845
740,Judge's Dr at Pratt St,2760
925,Old Branch Ave at Coventry Way,2741
202,Allentown Rd at Temple Hill Rd,2716
490,Clinton Fringe Lot,2689
493,College Park Metro Station at Bus Bay B,2619
464,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),2558
1355,Woodyard Rd at Pine View Ln,2496
1255,Stuart Ln at Woodyard Rd,2389
1065,RUBY LOCKHART BLVD AT CAMPUS WAY NORTH,2388
477,Cheverly Metrorail Station Bay D,2373
549,Doctors Community Hospital,2360
555,Donnell Drive at Marlboro Pike,2352
650,Hamilton St at 31st Ave,2291
1105,Ritchie Rd at Forest Park Dr,2270
358,Brightseat Rd at Maple Ridge Apts #2,2248
761,Lamont Dr at Powhatan St,2240
955,Old Silver Hill Rd at Library,2127
922,Old Branch Ave at Allentown Way,2115
937,Old Marlboro Pike at John Rogers Blvd,2111
566,East-West Hwy at Prince George's Mall Ent.,2085
174,Addison Rd at Walker Mill Rd,2077
291,Belcrest Rd at PG Plaza Entrance,2071
1025,PGCC Perimeter Rd at Largo Rd,2063
1276,Takoma Langley Park Transit Center Bus Bay B,2045
1003,Oxon Hill Rd at Oxon Hill Fringe Parking Lot,2036
608,Goddard Space Flight Center Main Gate (Southbound),2025
190,Allentown Rd at Brinkley Rd,1996
1248,St Clair Dr at 28th Ave,1986
215,Annapolis Rd at 85th Ave,1982
76,4192 Whitehall Square Apts,1971
837,MONUMENT AVE @ MGM CASINO,1942
1118,Ritchie Station Court Bus Stop #1,1937
1020,PG Plaza Station,1895
1267,Suitland Rd at Towne Square Blvd,1889
866,Mattawoman Beantown Rd at Pinefield Center,1831
1235,Springhill Ln at Breezewood Dr,1823
879,Mercantile Ln at Technology Way,1815
387,Brinkley Rd at Rosecroft Shopping Center,1808
1249,St George Blvd at Waterfront St,1799
78,4258 Whitehall Square Apts,1784
519,County Rd at Foster St,1734
1210,Southern Ave at Chesapeake St SE,1673
1136,Riverdale Rd at Carrollton Mall,1667
277,Baltimore Ave at Queensbury Rd,1617
763,Lamont Dr at Westbrook Dr,1614
243,Auburn Ave at Riverdale Rd,1553
375,Brinkley Rd at Huntley Square Dr,1540
217,Annapolis Rd at Edmonston Rd,1540
1196,Silver Hill Rd at Pennsylvania Ave,1536
1284,Temple Hill Rd at Farmer Dr,1534
1356,Woodyard Rd at Pineview Ln,1529
