,stop,boardings,alightings
902,New Carrollton Station - Arrival,573,29762
160,Addison Rd Metrorail - Arrival,977,24119
620,Gov. Oden Bowie Dr at Rear C.A.B.,1545,18743
623,Greenbelt Metro Station (Arrival),2070,18642
885,Morgan Blvd Metro Station,20805,17363
1258,Suitland Metro - Arrival,473,16998
898,Naylor Rd Station Bay H,16864,15140
418,Campus Way South at College Station Dr (PGCC),13147,12231
804,Largo Town Center Station,12358,12147
1202,Southern Ave Station Bay E - Arrival,10,10773
424,Capitol Heights - Arrival,2642,10567
317,Branch Ave Station - Arrival,10,9448
578,Equestrian Center Lot 4,11436,8968
1349,Woody Terrace at Woodyard Rd,3460,8849
1341,West Hyattsville Station,12894,7856
1200,Southern Ave Metro Rail Station at Bus Bay F,8633,7115
767,Landover Metrorail Station - Arrival,834,7021
577,Equestrian Center Lot 3,6982,6388
805,Largo Town Center Station at Bus Bay E,6665,6388
435,Capitol Heights Station Bay B,8317,5565
161,Addison Rd Metrorail Station,27441,5149
1343,West Hyattsville Station - Arrival,152,4865
478,Cheverly Station Bay D,5373,4492
1165,SOUTHERN AVENUE METRO STATION & BUS BAY K,3825,4479
714,Ikea at Bus Bay 2,2153,4188
1342,West Hyattsville Station (Arrival),74,4186
522,Courthouse,5225,4183
1264,Suitland Rd at Shadyside Ave,3010,4066
889,Mt Rainier Terminal - Arrival,94,3893
516,County Courthouse,3553,3753
642,Greenway Center,4761,3683
903,New Carrollton Station Bay F,13332,3604
491,Clinton Fringe Parking Lot,4327,3566
1028,Padgett's Corner,3797,3455
901,New Carrollton Station (Arrival),152,3413
888,Motor Vehicle Administration - Arrival,37,3264
1277,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),424,3173
724,Iverson Mall,3879,3170
65,3930 Capitol Crossing Apts,5794,3134
575,Equestrian Center Lot 1 (Arrival),336,3098
930,Old Forestville Rd at Forestville Rd,2115,3076
554,Donnell Dr at Pennsylvania Ave,3413,3021
362,Brightseat Rd at Opp. Maple Ridge Apts #2,2230,2977
624,Greenbelt Metro Station Bus Bay A,19659,2964
1050,Prince George's Plaza - Arrival,801,2958
872,McCormick Dr at Basil Ct,2748,2851
361,Brightseat Rd at Opp. Maple Ridge Apts #1,325,2845
740,Judge's Dr at Pratt St,428,2760
925,Old Branch Ave at Coventry Way,2989,2741
202,Allentown Rd at Temple Hill Rd,2593,2716
490,Clinton Fringe Lot,7741,2689
493,College Park Metro Station at Bus Bay B,2766,2619
464,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),3442,2558
1355,Woodyard Rd at Pine View Ln,180,2496
1255,Stuart Ln at Woodyard Rd,405,2389
1065,RUBY LOCKHART BLVD AT CAMPUS WAY NORTH,1795,2388
477,Cheverly Metrorail Station Bay D,2633,2373
549,Doctors Community Hospital,2530,2360
555,Donnell Drive at Marlboro Pike,384,2352
650,Hamilton St at 31st Ave,4433,2291
1105,Ritchie Rd at Forest Park Dr,2491,2270
358,Brightseat Rd at Maple Ridge Apts #2,5293,2248
761,Lamont Dr at Powhatan St,1907,2240
955,Old Silver Hill Rd at Library,2027,2127
922,Old Branch Ave at Allentown Way,2668,2115
937,Old Marlboro Pike at John Rogers Blvd,2562,2111
566,East-West Hwy at Prince George's Mall Ent.,258,2085
174,Addison Rd at Walker Mill Rd,2500,2077
291,Belcrest Rd at PG Plaza Entrance,251,2071
1025,PGCC Perimeter Rd at Largo Rd,2546,2063
1276,Takoma Langley Park Transit Center Bus Bay B,5813,2045
1003,Oxon Hill Rd at Oxon Hill Fringe Parking Lot,0,2036
608,Goddard Space Flight Center Main Gate (Southbound),170,2025
190,Allentown Rd at Brinkley Rd,2477,1996
1248,St Clair Dr at 28th Ave,1530,1986
215,Annapolis Rd at 85th Ave,230,1982
76,4192 Whitehall Square Apts,169,1971
837,MONUMENT AVE @ MGM CASINO,537,1942
1118,Ritchie Station Court Bus Stop #1,557,1937
1020,PG Plaza Station,2124,1895
1267,Suitland Rd at Towne Square Blvd,1839,1889
866,Mattawoman Beantown Rd at Pinefield Center,1610,1831
1235,Springhill Ln at Breezewood Dr,1360,1823
879,Mercantile Ln at Technology Way,1962,1815
387,Brinkley Rd at Rosecroft Shopping Center,325,1808
1249,St George Blvd at Waterfront St,1481,1799
78,4258 Whitehall Square Apts,2875,1784
519,County Rd at Foster St,781,1734
1210,Southern Ave at Chesapeake St SE,2918,1673
1136,Riverdale Rd at Carrollton Mall,1774,1667
277,Baltimore Ave at Queensbury Rd,1768,1617
763,Lamont Dr at Westbrook Dr,956,1614
243,Auburn Ave at Riverdale Rd,1143,1553
375,Brinkley Rd at Huntley Square Dr,771,1540
217,Annapolis Rd at Edmonston Rd,1624,1540
1196,Silver Hill Rd at Pennsylvania Ave,1613,1536
1284,Temple Hill Rd at Farmer Dr,1313,1534
1356,Woodyard Rd at Pineview Ln,1380,1529
865,Matapeake Business Dr at Target Store (Hidden Arrival),7,1498
725,Iverson St at 28th Ave,861,1491
1039,Piscataway Rd at Absher Ln,1700,1488
626,Greenbelt Rd at Greenway Center,1161,1475
397,Brooks Dr at Pennsylvania Ave,2089,1431
844,Mandan Rd at Hanover Pkwy,15,1429
1037,Peppermill Dr at Hastings Dr,80,1415
298,Beltway Plaza Shopping Center,813,1405
658,Hampton Park Boulevard at Alaking Ct,1080,1386
928,Old Branch Ave at PGCC Skilled Trade Center,1131,1371
1019,PG Plaza,1214,1361
986,Oxon Hill Fringe Parking Lot Bus Bay B,815,1359
256,Baltimore Ave at Berwyn House Rd,1454,1358
1023,PG Sports Complex Front Ent.,1400,1353
1340,Walker Mill Road at Marlboro Pike,835,1351
602,Garrett A. Morgan Blvd at Morgan Blvd Station,887,1345
651,Hamilton St at 31st Ave - in,250,1343
342,Brightseat Rd at Ardwick-Ardmore Rd,1004,1335
604,Garrett A. Morgan Blvd at Rear Morgan Blvd Station Walkway,259,1331
171,Addison Rd at Ronald Rd,1988,1325
887,Motor Vehicle Administration,4284,1320
884,Mike Shapiro Dr at Sheila Ln,1403,1313
1305,Timothy Branch Dr at Safeway Ent,790,1301
1250,Stars Entrance Gaylord Hotel at National Harbor Blvd,525,1294
558,Dunmore Pl at Edgeworth Dr,608,1293
337,Breezewood Dr at Cherrywood Ln,644,1290
72,4112 Whitehall Square Apts,455,1287
1221,Southern Ave at Wheeler Rd,884,1282
1348,Wmap Rd at Icesat Rd,1019,1278
1260,Suitland Rd at 4410 Suitland Rd,574,1277
847,Marlboro Pike at County Rd,2469,1269
1071,Raleigh Rd at St Barnabas Rd,929,1262
606,Goddard Space Flight Center Main Gate (Northbound),422,1255
75,4174 Whitehall Square Apts,1002,1238
1263,Suitland Rd at Opposite Prem. #4211,0,1235
15,15th Ave at University Blvd,607,1233
667,Hanover Pkwy at Hanover Dr,1337,1232
319,Branchwood Towers,1092,1217
401,CAB - Arrival,13,1214
1224,Southern Maryland Hospital (Hidden Arrival),38,1210
506,Columbia Park Rd at South Club Dr,662,1210
538,Denise Dr at Epworth Way,774,1204
781,Lansdowne Village Apts,1258,1199
24,23rd Ave at Lewisdale Dr,946,1196
366,Brinkley Rd at Brinkley House W Ent,212,1187
1233,Springhill Dr at Springhill Ln,998,1186
