,stop,boardings
161,Addison Rd Metrorail Station,27441
885,Morgan Blvd Metro Station,20805
900,New Carrollton Station,20468
624,Greenbelt Metro Station Bus Bay A,19659
1259,Suitland Metrorail Station Bay D,17109
898,Naylor Rd Station Bay H,16864
487,Chrysler Dr at US RT 301,15627
903,New Carrollton Station Bay F,13332
418,Campus Way South at College Station Dr (PGCC),13147
1341,West Hyattsville Station,12894
804,Largo Town Center Station,12358
578,Equestrian Center Lot 4,11436
1201,Southern Ave Station Bay E,10582
318,Branch Ave Station Bus Bay J,10499
1200,Southern Ave Metro Rail Station at Bus Bay F,8633
435,Capitol Heights Station Bay B,8317
490,Clinton Fringe Lot,7741
577,Equestrian Center Lot 3,6982
805,Largo Town Center Station at Bus Bay E,6665
434,Capitol Heights Station,6193
766,Landover Metrorail Station,5848
1276,Takoma Langley Park Transit Center Bus Bay B,5813
65,3930 Capitol Crossing Apts,5794
478,Cheverly Station Bay D,5373
358,Brightseat Rd at Maple Ridge Apts #2,5293
522,Courthouse,5225
642,Greenway Center,4761
650,Hamilton St at 31st Ave,4433
491,Clinton Fringe Parking Lot,4327
887,Motor Vehicle Administration,4284
1076,Rhode Island (US RTE 1) at Mount Rainer Terminal,4214
724,Iverson Mall,3879
1165,SOUTHERN AVENUE METRO STATION & BUS BAY K,3825
1028,Padgett's Corner,3797
516,County Courthouse,3553
904,New Carrollton Station Bay K,3547
1349,Woody Terrace at Woodyard Rd,3460
574,Equestrian Center Lot 1,3449
464,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),3442
554,Donnell Dr at Pennsylvania Ave,3413
1264,Suitland Rd at Shadyside Ave,3010
925,Old Branch Ave at Coventry Way,2989
1210,Southern Ave at Chesapeake St SE,2918
78,4258 Whitehall Square Apts,2875
493,College Park Metro Station at Bus Bay B,2766
872,McCormick Dr at Basil Ct,2748
922,Old Branch Ave at Allentown Way,2668
424,Capitol Heights - Arrival,2642
477,Cheverly Metrorail Station Bay D,2633
202,Allentown Rd at Temple Hill Rd,2593
1022,PG Plaza Station Bus Bay H,2593
937,Old Marlboro Pike at John Rogers Blvd,2562
1025,PGCC Perimeter Rd at Largo Rd,2546
549,Doctors Community Hospital,2530
174,Addison Rd at Walker Mill Rd,2500
1105,Ritchie Rd at Forest Park Dr,2491
190,Allentown Rd at Brinkley Rd,2477
847,Marlboro Pike at County Rd,2469
1314,University Blvd at Riggs Rd,2415
362,Brightseat Rd at Opp. Maple Ridge Apts #2,2230
721,Indian Head Highway at Oxon Farm Rd,2203
714,Ikea at Bus Bay 2,2153
1020,PG Plaza Station,2124
930,Old Forestville Rd at Forestville Rd,2115
397,Brooks Dr at Pennsylvania Ave,2089
623,Greenbelt Metro Station (Arrival),2070
955,Old Silver Hill Rd at Library,2027
715,Ikea at Bus Bay 3,2012
864,Matapeake Business Dr at Target Store,2000
674,Hanover Pkwy at Prem # 7800,1997
171,Addison Rd at Ronald Rd,1988
1354,Woodyard Rd at Opp. Pine View Ln,1964
879,Mercantile Ln at Technology Way,1962
289,Belcrest Rd at Freedom Way,1910
553,Donnell Dr at Marlboro Pike,1910
761,Lamont Dr at Powhatan St,1907
1127,Riverdale Rd at 57th Ave,1902
373,Brinkley Rd at Henson Creek Apts,1867
1267,Suitland Rd at Towne Square Blvd,1839
1065,RUBY LOCKHART BLVD AT CAMPUS WAY NORTH,1795
1136,Riverdale Rd at Carrollton Mall,1774
277,Baltimore Ave at Queensbury Rd,1768
515,County Administration Building,1764
1039,Piscataway Rd at Absher Ln,1700
42,3209 75th Ave,1654
420,Campus Way South at Joyceton Dr,1644
1223,Southern Maryland Hospital,1643
217,Annapolis Rd at Edmonston Rd,1624
1196,Silver Hill Rd at Pennsylvania Ave,1613
572,Elm St at Gov Oden Bowie Dr,1611
866,Mattawoman Beantown Rd at Pinefield Center,1610
620,Gov. Oden Bowie Dr at Rear C.A.B.,1545
1302,Temple Hill Rd at St Barnabas Rd,1545
756,Lamont Dr at Carrollton Pkwy,1544
1248,St Clair Dr at 28th Ave,1530
1249,St George Blvd at Waterfront St,1481
256,Baltimore Ave at Berwyn House Rd,1454
550,Dodge Park Rd at Hubbard Rd,1451
367,Brinkley Rd at Brinkley Manor W Ent,1451
192,Allentown Rd at Camp Springs Ave,1446
616,Good Luck Rd at Parkdale HS,1433
784,Largo Rd at Black Swan Dr,1405
125,9206 Springhill Lane,1403
884,Mike Shapiro Dr at Sheila Ln,1403
1023,PG Sports Complex Front Ent.,1400
632,Greenbelt Road (MD. RTE. 193) at NASA Goddard Main Gate(PM),1393
1234,Springhill Ln at Breezewood Ct,1386
526,Crescent Rd at Gardenway,1381
1356,Woodyard Rd at Pineview Ln,1380
288,Belcrest Rd at 6505 Belcrest Rd,1375
1235,Springhill Ln at Breezewood Dr,1360
488,Cipriano Rd at Brae Brooke Dr,1354
667,Hanover Pkwy at Hanover Dr,1337
1284,Temple Hill Rd at Farmer Dr,1313
384,Brinkley Rd at Opp. Rosecroft Shopping Center,1312
398,Brooks Dr at Ridley St,1283
684,Hastings Dr at Peppermill Dr,1259
781,Lansdowne Village Apts,1258
484,Chillum Rd at Longford Dr,1237
19,23rd Ave at Amherst Rd,1224
1019,PG Plaza,1214
666,Hanover Pkwy at Greenway Center Dr,1195
1119,Ritchie Station Court Bus Stop #2,1186
673,Hanover Pkwy at Prem # 7718,1181
85,42nd Ave at Oglethorpe St,1177
71,4106 Whitehall Square Apts,1175
1344,Whitehall Square Apts at Community Hall,1167
628,Greenbelt Rd at Opp. Greenbelt Center,1162
626,Greenbelt Rd at Greenway Center,1161
84,42nd Ave at Nicholson St,1159
338,Breezewood Dr at Cherrywood Ter,1144
243,Auburn Ave at Riverdale Rd,1143
1139,Riverdale Rd at Fountainbleau Dr,1136
928,Old Branch Ave at PGCC Skilled Trade Center,1131
537,Denise Dr at Dutton Way,1123
965,Opp. 4174 Whitehall Square Apts,1115
302,Bladensburg Rd at 38th St,1097
319,Branchwood Towers,1092
294,Belcrest at PG Plaza Metrorail,1088
658,Hampton Park Boulevard at Alaking Ct,1080
1069,Raleigh Rd at Culver St,1076
1319,Valley Trail Ln at Catesby Ct,1071
492,Clinton Manor,1069
1237,Springhill Ln at Springhill Dr,1061
17,16th Ave at Cypress Creek Dr - in,1058
957,Old Silver Hill Rd at Parkland Dr,1051
1007,Oxon Hill Rd at Riverside Plaza Apts,1048
31,28th Ave at Keith St,1047
1232,Springhill Dr at Cherrywood Ln,1042
1350,Woody Terrace at Woodyard Road,1040
1311,University Blvd at 23rd Ave,1038
593,Forestville Rd at Parston Dr,1037
1336,Walker Mill Rd at Rochell Ave,1037
652,Hamilton St at 35th Ave,1020
1348,Wmap Rd at Icesat Rd,1019
350,Brightseat Rd at Evarts St,1018
218,Annapolis Rd at Riverdale Rd,1013
342,Brightseat Rd at Ardwick-Ardmore Rd,1004
75,4174 Whitehall Square Apts,1002
1233,Springhill Dr at Springhill Ln,998
630,Greenbelt Road (MD. RTE. 193) at NASA Goddard Main Gate,982
444,Central Ave at Cindy Ln,979
160,Addison Rd Metrorail - Arrival,977
1205,Southern Ave at 9th St SE,974
677,Harry S Truman Dr at Birdie Ln,971
267,Baltimore Ave at Hartwick Rd,970
751,Kipling Pkwy at Marlboro Pike,956
763,Lamont Dr at Westbrook Dr,956
24,23rd Ave at Lewisdale Dr,946
259,Baltimore Ave at Cherokee St,945
860,Marlboro Pike at Walters Ln,937
1071,Raleigh Rd at St Barnabas Rd,929
1134,Riverdale Rd at 67th Ave,927
591,Fisher Rd at St. Moritz Dr,923
521,County Service Building,907
665,Hanover Pkwy at Greenbrook Dr,904
64,38th St at Windom Rd,900
768,Landover Rd at 55th Ave,896
1203,Southern Ave at 13th St SE,896
485,Chillum Rd at Queens Chapel Rd,894
1049,Possum Ct at Walker Mill Dr,893
1298,Temple Hill Rd at Rickey Ave,891
602,Garrett A. Morgan Blvd at Morgan Blvd Station,887
1221,Southern Ave at Wheeler Rd,884
331,Brandywine Road @ Northgate Parkway,872
742,Kanawha St at 15th Ave,865
262,Baltimore Ave at East-West Hwy,863
725,Iverson St at 28th Ave,861
890,Nalley Rd at Capital View Dr,853
20,23rd Ave at Banning Pl,851
399,Brooks Drive at Marlboro Pike,838
920,Old Alexandria Ferry Rd at Woodyard Rd,838
759,Lamont Dr at Lamont Pl,837
1340,Walker Mill Road at Marlboro Pike,835
96,5295 85th Ave,835
767,Landover Metrorail Station - Arrival,834
653,Hamilton St at 36th Ave,833
859,Marlboro Pike at Upland Ave,830
953,Old Pike Way at Dower House Rd,828
661,Hampton Park Boulevard at Hampton Mall Dr,823
417,Campus Way South at Central Ave,821
1142,Riverdale Rd at Opp. Heritage Square Apts,818
633,Greenbelt Station Parkway at S. Center Drive,817
986,Oxon Hill Fringe Parking Lot Bus Bay B,815
298,Beltway Plaza Shopping Center,813
162,Addison Rd at Adak St,805
1050,Prince George's Plaza - Arrival,801
423,Campus Way at PGCC Perimeter Rd,797
16,16th Ave at Cypress Creek Dr,795
1074,Ray Rd at Cypress Creek Dr - in,795
1305,Timothy Branch Dr at Safeway Ent,790
73,4138 Whitehall Square Apts - in,788
442,Central Ave at Brightseat Rd,787
411,Campus Way North at Grey Gables Ct,787
1111,Ritchie Rd at Ritchie Rd Spur,786
519,County Rd at Foster St,781
1280,Temple Hill Rd at Allentown Rd,779
839,Madison St at Ray Rd,776
1044,Piscataway Rd at Pella Place,774
538,Denise Dr at Epworth Way,774
97,5401 85th Ave,772
375,Brinkley Rd at Huntley Square Dr,771
1133,Riverdale Rd at 64th Ave,754
1070,Raleigh Rd at Olson St,753
754,Kipling Pkwy at Wintergreen Ave,752
830,MLK Jr Hwy at Glen Willow Dr,750
840,Madison St at Timber Creek Dr,749
869,Maxwell Dr at Allentown Rd,744
1116,Ritchie Rd at Vineyard Dr,738
1115,Ritchie Rd at Truck Way,737
502,Columbia Park Rd at Marshall Pl,737
829,MLK Jr Hwy at Columbia Park Rd,736
1194,Silver Hill Rd at Parkway Terrace Dr,734
501,Columbia Park Rd at Columbia Pl,733
718,Indian Head Highway (MD. RTE. 210) at Southern Ave,732
1035,Peppermill Dr at Canyon Dr,731
110,7600 Riverdale Rd,723
18,23rd Ave at  Beechwood Rd,711
520,County Rd at Valley Brook Apts,709
1008,Oxon Hill Rd at Rivertown Commons(6135),708
548,District Heights Pkwy at Rochelle Ave,707
1304,Temple Hill Rd at Weldon Dr,702
316,Bock Rd at Wolf St,700
260,Baltimore Ave at Cherry Hill Road,697
654,Hamilton St at 37th Ave,697
774,Landover Rd at Annapolis Rd,697
1265,Suitland Rd at Suitland Federal Center Gate 1,696
870,Maxwell Dr at Morris Ave,693
854,Marlboro Pike at Melwood Mall,689
846,Manor at Victoria Park,686
1198,Silver Hill Rd at Suitland Rd,685
993,Oxon Hill Rd at 6400 Clipper Way,683
293,Belcrest Rd at Queens Chapel Rd,683
585,Fisher Rd at Clow Ct,670
1236,Springhill Ln at Market Ln,666
30,28th Ave at Keating St,666
320,Brandywine Rd & Gwynn Park High School,666
506,Columbia Park Rd at South Club Dr,662
543,District Heights Pkwy at Addison Rd S,661
1014,PALMER ROAD & DEVON HILLS DRIVE,658
757,Lamont Dr at Donoghue Dr,655
363,Brightseat Rd at Social Services Bldg.,652
565,East-West Hwy at Metro Center Dr,651
978,Owens Rd at Kennebec St,650
1174,Sargent Rd at Rollingcrest Commons,649
22,23rd Ave at Drexel St,649
1331,WILSON BRIDGE DRIVE,646
1307,Toledo Rd at Adelphi Rd,645
337,Breezewood Dr at Cherrywood Ln,644
613,Good Luck Rd at Dawnwood Dr,639
1308,Toledo Rd at Belcrest Rd,638
1120,Ritchie-Marlboro Rd & Sansbury Rd,635
1297,Temple Hill Rd at Portal Ave,634
749,Kipling Pkwy at Harwood Rd,628
480,Chillum Rd at 18th Ave - in,618
1317,Valley Trail Ln at Bain Dr 1,613
924,Old Branch Ave at Arbutus Ln,612
800,Largo Rd at Water Fowl Way,609
558,Dunmore Pl at Edgeworth Dr,608
1016,PALMER ROAD & INDIAN HEAD HIGHWAY,607
15,15th Ave at University Blvd,607
551,Dodge Park Rd at Landover Rd,603
1141,Riverdale Rd at Mahoney Dr,601
1197,Silver Hill Rd at Randall Rd,600
1078,Rhode Island Ave at 34th Street,598
706,Hubbard Rd at Martin Luther King,598
53,38th St at Bunker Hill Rd,595
1296,Temple Hill Rd at Plata St,592
657,Hamilton St at 3900,590
184,Ager Rd at Oglethorpe St,588
1017,PALMER ROAD & OLD PALMER ROAD,587
1114,Ritchie Rd at Shepherd St,580
818,Lottsford Rd at Zachery St,579
720,Indian Head Highway at Audrey Ln,578
272,Baltimore Ave at Lakeland Rd,576
220,Apollo Dr at Lottsford Rd,576
881,Merrimac St at 14th Ave,575
460,Chatsfield Way at Palmerton Ter,575
1260,Suitland Rd at 4410 Suitland Rd,574
902,New Carrollton Station - Arrival,573
391,Brinkley Rd at Summerhill Rd,567
1073,Ray Rd at Cypress Creek Dr,566
972,Opposite of Rose Croft Shopping Center,565
1118,Ritchie Station Court Bus Stop #1,557
1075,Ray Rd at Madison St,552
946,Old Marlboro Pike at Roblee Dr,552
964,Opp. 4138 Whitehall Square Apts,551
861,Marlboro Pike at Whitney Pl,548
1352,Woodyard Rd at Canberra Dr,545
867,Mattowoman Beantown Rd at MTA Park and Ride Lot,544
837,MONUMENT AVE @ MGM CASINO,537
851,Marlboro Pike at Kipling Pkwy,536
1077,Rhode Island Ave at 34th St,535
451,Central Ave at Ritchie Rd,532
544,District Heights Pkwy at Breton Dr,532
690,Highview Pl at Keyworth Ct,527
1250,Stars Entrance Gaylord Hotel at National Harbor Blvd,525
258,Baltimore Ave at Campus Dr,524
1113,Ritchie Rd at Roslyn Ave,523
1099,Ritchie Rd at Ashville Rd,519
1043,Piscataway Rd at Old Branch Ave,519
55,38th St at Hamilton St,517
1173,Saint Barnabas Rd at John Hanson Ln,514
68,40plgall_nb,514
1229,Southway at Crescent Rd,513
98,54th Ave at Jefferson St,511
821,MLK Jr Hwy at 65th Ave,509
25,23rd Ave at Sheridan St,506
622,Greenbelt Metro Dr at Cherrywood Ln,505
1182,Sheriff Rd at Eaton Square Apartments,503
795,Largo Rd at Largo Landing,499
1245,St Barnabas Rd at Raleigh Rd,498
562,East Capitol St at Yost Pl,497
1126,Riverdale Rd at 54th Ave,497
41,3133 Pennsy Dr,494
392,Brinkley Rd at Temple Hill Rd,494
47,3417 Dodge Park Rd,490
193,Allentown Rd at Coolridge Rd,489
27,2400 Chillum Rd,489
1292,Temple Hill Rd at Old Temple Hill Rd,487
509,Columbia Park Rd at Virginia Ave,487
1266,Suitland Rd at Towne Park Rd,486
1079,Rhode Island Ave at 37th St,485
546,District Heights Pkwy at Marbury Ct (W),484
985,Oxon Hill Fringe Lot,482
556,Donnell Drive at Target Store,478
219,Apollo Dr at Arena Dr,478
52,38th St at Allison St,476
1321,Village Dr West at Bishopmill Dr,475
1258,Suitland Metro - Arrival,473
33,28th Pkwy at 27th Ave,473
611,Good Luck Rd at Cathedral Ave,472
1320,Valley Trail Ln at Romford Dr,472
750,Kipling Pkwy at Marbury Dr,471
636,Greenbrook Dr at Hanover Pkwy,470
843,Mandan Rd at Greenbelt Rd,470
7,1301 McCormick Dr,470
1213,Southern Ave at Gunther St,470
