,stop,boardings,alightings
161,Addison Rd Metrorail Station,27441,5149
885,Morgan Blvd Metro Station,20805,17363
900,New Carrollton Station,20468,455
624,Greenbelt Metro Station Bus Bay A,19659,2964
1259,Suitland Metrorail Station Bay D,17109,169
898,Naylor Rd Station Bay H,16864,15140
487,Chrysler Dr at US RT 301,15627,23
903,New Carrollton Station Bay F,13332,3604
418,Campus Way South at College Station Dr (PGCC),13147,12231
1341,West Hyattsville Station,12894,7856
804,Largo Town Center Station,12358,12147
578,Equestrian Center Lot 4,11436,8968
1201,Southern Ave Station Bay E,10582,319
318,Branch Ave Station Bus Bay J,10499,110
1200,Southern Ave Metro Rail Station at Bus Bay F,8633,7115
435,Capitol Heights Station Bay B,8317,5565
490,Clinton Fringe Lot,7741,2689
577,Equestrian Center Lot 3,6982,6388
805,Largo Town Center Station at Bus Bay E,6665,6388
434,Capitol Heights Station,6193,548
766,Landover Metrorail Station,5848,379
1276,Takoma Langley Park Transit Center Bus Bay B,5813,2045
65,3930 Capitol Crossing Apts,5794,3134
478,Cheverly Station Bay D,5373,4492
358,Brightseat Rd at Maple Ridge Apts #2,5293,2248
522,Courthouse,5225,4183
642,Greenway Center,4761,3683
650,Hamilton St at 31st Ave,4433,2291
491,Clinton Fringe Parking Lot,4327,3566
887,Motor Vehicle Administration,4284,1320
1076,Rhode Island (US RTE 1) at Mount Rainer Terminal,4214,63
724,Iverson Mall,3879,3170
1165,SOUTHERN AVENUE METRO STATION & BUS BAY K,3825,4479
1028,Padgett's Corner,3797,3455
516,County Courthouse,3553,3753
904,New Carrollton Station Bay K,3547,505
1349,Woody Terrace at Woodyard Rd,3460,8849
574,Equestrian Center Lot 1,3449,209
464,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),3442,2558
554,Donnell Dr at Pennsylvania Ave,3413,3021
1264,Suitland Rd at Shadyside Ave,3010,4066
925,Old Branch Ave at Coventry Way,2989,2741
1210,Southern Ave at Chesapeake St SE,2918,1673
78,4258 Whitehall Square Apts,2875,1784
493,College Park Metro Station at Bus Bay B,2766,2619
872,McCormick Dr at Basil Ct,2748,2851
922,Old Branch Ave at Allentown Way,2668,2115
424,Capitol Heights - Arrival,2642,10567
477,Cheverly Metrorail Station Bay D,2633,2373
202,Allentown Rd at Temple Hill Rd,2593,2716
1022,PG Plaza Station Bus Bay H,2593,84
937,Old Marlboro Pike at John Rogers Blvd,2562,2111
1025,PGCC Perimeter Rd at Largo Rd,2546,2063
549,Doctors Community Hospital,2530,2360
174,Addison Rd at Walker Mill Rd,2500,2077
1105,Ritchie Rd at Forest Park Dr,2491,2270
190,Allentown Rd at Brinkley Rd,2477,1996
847,Marlboro Pike at County Rd,2469,1269
1314,University Blvd at Riggs Rd,2415,1090
362,Brightseat Rd at Opp. Maple Ridge Apts #2,2230,2977
721,Indian Head Highway at Oxon Farm Rd,2203,2
714,Ikea at Bus Bay 2,2153,4188
1020,PG Plaza Station,2124,1895
930,Old Forestville Rd at Forestville Rd,2115,3076
397,Brooks Dr at Pennsylvania Ave,2089,1431
623,Greenbelt Metro Station (Arrival),2070,18642
955,Old Silver Hill Rd at Library,2027,2127
715,Ikea at Bus Bay 3,2012,197
864,Matapeake Business Dr at Target Store,2000,280
674,Hanover Pkwy at Prem # 7800,1997,23
171,Addison Rd at Ronald Rd,1988,1325
1354,Woodyard Rd at Opp. Pine View Ln,1964,207
879,Mercantile Ln at Technology Way,1962,1815
553,Donnell Dr at Marlboro Pike,1910,533
289,Belcrest Rd at Freedom Way,1910,160
761,Lamont Dr at Powhatan St,1907,2240
1127,Riverdale Rd at 57th Ave,1902,1134
373,Brinkley Rd at Henson Creek Apts,1867,237
1267,Suitland Rd at Towne Square Blvd,1839,1889
1065,RUBY LOCKHART BLVD AT CAMPUS WAY NORTH,1795,2388
1136,Riverdale Rd at Carrollton Mall,1774,1667
277,Baltimore Ave at Queensbury Rd,1768,1617
515,County Administration Building,1764,173
1039,Piscataway Rd at Absher Ln,1700,1488
42,3209 75th Ave,1654,1033
420,Campus Way South at Joyceton Dr,1644,797
1223,Southern Maryland Hospital,1643,403
217,Annapolis Rd at Edmonston Rd,1624,1540
1196,Silver Hill Rd at Pennsylvania Ave,1613,1536
572,Elm St at Gov Oden Bowie Dr,1611,621
866,Mattawoman Beantown Rd at Pinefield Center,1610,1831
620,Gov. Oden Bowie Dr at Rear C.A.B.,1545,18743
1302,Temple Hill Rd at St Barnabas Rd,1545,1128
756,Lamont Dr at Carrollton Pkwy,1544,771
1248,St Clair Dr at 28th Ave,1530,1986
1249,St George Blvd at Waterfront St,1481,1799
256,Baltimore Ave at Berwyn House Rd,1454,1358
550,Dodge Park Rd at Hubbard Rd,1451,856
367,Brinkley Rd at Brinkley Manor W Ent,1451,140
192,Allentown Rd at Camp Springs Ave,1446,745
616,Good Luck Rd at Parkdale HS,1433,168
784,Largo Rd at Black Swan Dr,1405,126
125,9206 Springhill Lane,1403,380
884,Mike Shapiro Dr at Sheila Ln,1403,1313
1023,PG Sports Complex Front Ent.,1400,1353
632,Greenbelt Road (MD. RTE. 193) at NASA Goddard Main Gate(PM),1393,22
1234,Springhill Ln at Breezewood Ct,1386,1162
526,Crescent Rd at Gardenway,1381,1132
1356,Woodyard Rd at Pineview Ln,1380,1529
288,Belcrest Rd at 6505 Belcrest Rd,1375,695
1235,Springhill Ln at Breezewood Dr,1360,1823
488,Cipriano Rd at Brae Brooke Dr,1354,945
667,Hanover Pkwy at Hanover Dr,1337,1232
1284,Temple Hill Rd at Farmer Dr,1313,1534
384,Brinkley Rd at Opp. Rosecroft Shopping Center,1312,345
398,Brooks Dr at Ridley St,1283,692
684,Hastings Dr at Peppermill Dr,1259,138
781,Lansdowne Village Apts,1258,1199
484,Chillum Rd at Longford Dr,1237,913
19,23rd Ave at Amherst Rd,1224,479
1019,PG Plaza,1214,1361
666,Hanover Pkwy at Greenway Center Dr,1195,903
1119,Ritchie Station Court Bus Stop #2,1186,152
673,Hanover Pkwy at Prem # 7718,1181,675
85,42nd Ave at Oglethorpe St,1177,905
71,4106 Whitehall Square Apts,1175,320
1344,Whitehall Square Apts at Community Hall,1167,219
628,Greenbelt Rd at Opp. Greenbelt Center,1162,1001
626,Greenbelt Rd at Greenway Center,1161,1475
84,42nd Ave at Nicholson St,1159,629
338,Breezewood Dr at Cherrywood Ter,1144,988
243,Auburn Ave at Riverdale Rd,1143,1553
1139,Riverdale Rd at Fountainbleau Dr,1136,398
928,Old Branch Ave at PGCC Skilled Trade Center,1131,1371
537,Denise Dr at Dutton Way,1123,455
965,Opp. 4174 Whitehall Square Apts,1115,72
302,Bladensburg Rd at 38th St,1097,999
319,Branchwood Towers,1092,1217
294,Belcrest at PG Plaza Metrorail,1088,880
658,Hampton Park Boulevard at Alaking Ct,1080,1386
1069,Raleigh Rd at Culver St,1076,914
1319,Valley Trail Ln at Catesby Ct,1071,760
492,Clinton Manor,1069,883
1237,Springhill Ln at Springhill Dr,1061,1045
17,16th Ave at Cypress Creek Dr - in,1058,28
957,Old Silver Hill Rd at Parkland Dr,1051,985
1007,Oxon Hill Rd at Riverside Plaza Apts,1048,334
31,28th Ave at Keith St,1047,936
1232,Springhill Dr at Cherrywood Ln,1042,799
1350,Woody Terrace at Woodyard Road,1040,132
1311,University Blvd at 23rd Ave,1038,259
593,Forestville Rd at Parston Dr,1037,672
1336,Walker Mill Rd at Rochell Ave,1037,809
652,Hamilton St at 35th Ave,1020,712
1348,Wmap Rd at Icesat Rd,1019,1278
350,Brightseat Rd at Evarts St,1018,230
218,Annapolis Rd at Riverdale Rd,1013,522
342,Brightseat Rd at Ardwick-Ardmore Rd,1004,1335
75,4174 Whitehall Square Apts,1002,1238
1233,Springhill Dr at Springhill Ln,998,1186
630,Greenbelt Road (MD. RTE. 193) at NASA Goddard Main Gate,982,47
444,Central Ave at Cindy Ln,979,494
160,Addison Rd Metrorail - Arrival,977,24119
1205,Southern Ave at 9th St SE,974,655
677,Harry S Truman Dr at Birdie Ln,971,839
267,Baltimore Ave at Hartwick Rd,970,732
751,Kipling Pkwy at Marlboro Pike,956,906
763,Lamont Dr at Westbrook Dr,956,1614
24,23rd Ave at Lewisdale Dr,946,1196
259,Baltimore Ave at Cherokee St,945,800
860,Marlboro Pike at Walters Ln,937,1024
1071,Raleigh Rd at St Barnabas Rd,929,1262
1134,Riverdale Rd at 67th Ave,927,716
591,Fisher Rd at St. Moritz Dr,923,678
521,County Service Building,907,623
665,Hanover Pkwy at Greenbrook Dr,904,675
64,38th St at Windom Rd,900,498
768,Landover Rd at 55th Ave,896,550
1203,Southern Ave at 13th St SE,896,461
485,Chillum Rd at Queens Chapel Rd,894,294
1049,Possum Ct at Walker Mill Dr,893,823
1298,Temple Hill Rd at Rickey Ave,891,678
602,Garrett A. Morgan Blvd at Morgan Blvd Station,887,1345
1221,Southern Ave at Wheeler Rd,884,1282
331,Brandywine Road @ Northgate Parkway,872,71
742,Kanawha St at 15th Ave,865,409
