,hour,route,boardings,alightings
41,7,Route 18,3947,4153
61,8,Route 18,3905,4300
81,9,Route 18,3740,3691
120,11,Route 18,3543,3539
215,16,Route 18,3442,3441
195,15,Route 18,3330,2973
101,10,Route 18,3226,3615
235,17,Route 18,3166,2967
139,12,Route 18,3089,2980
21,6,Route 18,3079,2146
158,13,Route 18,2933,3043
233,17,Route 16,2515,2460
177,14,Route 18,2513,2544
238,17,Route 24,2508,2391
222,16,Route 32,2464,2450
218,16,Route 24,2396,2438
48,7,Route 32,2378,2460
213,16,Route 16,2314,2174
43,7,Route 21,2309,2181
59,8,Route 16,2306,2275
39,7,Route 16,2304,2329
242,17,Route 32,2298,2390
198,15,Route 24,2259,2118
68,8,Route 32,2256,2467
202,15,Route 32,2252,2230
127,11,Route 32,2245,2175
88,9,Route 32,2205,2192
40,7,Route 17 (Route 1 Ride),2186,2208
255,18,Route 18,2176,2525
156,13,Route 16,2154,2164
193,15,Route 16,2131,1974
175,14,Route 16,2126,2085
44,7,Route 24,2125,2344
137,12,Route 16,2115,2100
123,11,Route 24,2083,2177
142,12,Route 24,2078,2155
104,10,Route 24,2074,2023
118,11,Route 16,2073,1996
79,9,Route 16,2063,2097
146,12,Route 32,2047,2132
64,8,Route 24,2039,2137
161,13,Route 24,2024,2018
108,10,Route 32,2006,2116
84,9,Route 24,2003,2066
217,16,Route 21,1983,1892
99,10,Route 16,1955,1985
83,9,Route 21,1933,1747
82,9,Route 20,1917,2020
63,8,Route 21,1916,2126
42,7,Route 20,1901,1980
214,16,Route 17 (Route 1 Ride),1882,1741
216,16,Route 20,1849,1741
130,11,Route 35,1833,1809
20,6,Route 17 (Route 1 Ride),1832,1744
180,14,Route 24,1810,1865
121,11,Route 20,1808,1873
236,17,Route 20,1801,1891
184,14,Route 32,1794,1878
24,6,Route 24,1782,1241
62,8,Route 20,1767,1754
237,17,Route 21,1761,1847
60,8,Route 17 (Route 1 Ride),1756,1809
140,12,Route 20,1752,1683
19,6,Route 16,1743,1577
165,13,Route 32,1721,1812
234,17,Route 17 (Route 1 Ride),1696,1503
102,10,Route 20,1695,1673
149,12,Route 35,1681,1733
45,7,Route 26,1617,1657
141,12,Route 21,1613,1500
111,10,Route 35,1602,1626
225,16,Route 35,1594,1339
179,14,Route 21,1591,1430
245,17,Route 35,1572,1301
28,6,Route 32,1565,1134
67,8,Route 30,1558,1537
103,10,Route 21,1524,1720
85,9,Route 26,1513,1490
194,15,Route 17 (Route 1 Ride),1511,1501
241,17,Route 30,1504,1420
239,17,Route 26,1494,1420
80,9,Route 17 (Route 1 Ride),1485,1316
87,9,Route 30,1478,1520
160,13,Route 21,1473,1418
65,8,Route 26,1471,1470
253,18,Route 16,1466,1530
91,9,Route 35,1463,1479
159,13,Route 20,1459,1411
22,6,Route 20,1456,1272
223,16,Route 33,1449,1510
168,13,Route 35,1433,1504
258,18,Route 24,1429,1675
147,12,Route 33,1422,1477
109,10,Route 33,1417,1444
49,7,Route 33,1409,1519
107,10,Route 30,1408,1435
71,8,Route 35,1400,1330
219,16,Route 26,1383,1272
196,15,Route 20,1364,1331
126,11,Route 30,1343,1397
205,15,Route 35,1332,1353
122,11,Route 21,1325,1328
69,8,Route 33,1324,1383
128,11,Route 33,1320,1336
221,16,Route 30,1318,1486
124,11,Route 26,1310,1362
162,13,Route 26,1304,1339
199,15,Route 26,1286,1215
47,7,Route 30,1286,1228
105,10,Route 26,1286,1331
23,6,Route 21,1281,981
197,15,Route 21,1275,1373
138,12,Route 17 (Route 1 Ride),1257,1180
164,13,Route 30,1257,1251
119,11,Route 17 (Route 1 Ride),1256,1293
89,9,Route 33,1243,1292
203,15,Route 33,1231,1194
201,15,Route 30,1193,1119
187,14,Route 35,1176,1199
143,12,Route 26,1166,1190
243,17,Route 33,1140,1117
265,18,Route 35,1138,830
145,12,Route 30,1123,1151
178,14,Route 20,1108,1136
185,14,Route 33,1096,1065
100,10,Route 17 (Route 1 Ride),1087,1084
157,13,Route 17 (Route 1 Ride),1083,1107
166,13,Route 33,1081,1141
136,12,Route 13,1063,1103
256,18,Route 20,1052,886
176,14,Route 17 (Route 1 Ride),1039,1083
262,18,Route 32,1028,1292
51,7,Route 35,1018,988
181,14,Route 26,1016,1017
212,16,Route 13,1007,1048
29,6,Route 33,1001,855
155,13,Route 13,982,986
183,14,Route 30,959,1057
27,6,Route 30,932,846
257,18,Route 21,875,1033
25,6,Route 26,871,774
192,15,Route 13,832,819
259,18,Route 26,832,642
117,11,Route 13,816,760
254,18,Route 17 (Route 1 Ride),804,824
232,17,Route 13,777,828
98,10,Route 13,754,763
53,7,Route 37,747,615
73,8,Route 37,746,699
263,18,Route 33,743,767
92,9,Route 36,740,596
78,9,Route 13,710,673
174,14,Route 13,685,695
261,18,Route 30,677,886
150,12,Route 36,670,503
38,7,Route 13,653,680
244,17,Route 34,614,644
86,9,Route 28,609,556
131,11,Route 36,604,474
72,8,Route 36,602,553
58,8,Route 13,598,585
33,6,Route 37,578,541
224,16,Route 34,577,596
112,10,Route 36,572,552
18,6,Route 13,551,472
50,7,Route 34,541,599
206,15,Route 36,537,494
30,6,Route 34,530,480
144,12,Route 28,521,448
70,8,Route 34,514,555
226,16,Route 36,497,536
246,17,Route 36,485,447
52,7,Route 36,480,504
46,7,Route 28,472,474
106,10,Route 28,471,494
66,8,Route 28,455,495
110,10,Route 34,452,451
32,6,Route 36,452,394
252,18,Route 13,452,489
129,11,Route 34,441,439
90,9,Route 34,433,429
204,15,Route 34,424,412
169,13,Route 36,422,436
188,14,Route 36,396,415
125,11,Route 28,385,456
274,19,Route 18,365,578
31,6,Route 35,360,263
163,13,Route 28,345,404
220,16,Route 28,325,330
114,10,Route 51 Loop A,312,320
227,16,Route 37,309,309
133,11,Route 51 Loop A,278,293
247,17,Route 37,273,237
267,18,Route 37,267,275
93,9,Route 37,266,293
240,17,Route 28,257,280
260,18,Route 28,249,267
55,7,Route 51 Loop A,247,247
75,8,Route 51 Loop A,239,244
