route,stops,early,on_time,late,total,early %,on_time %,late %
16,New Carrollton Station,54,799,226,1079,0.05,0.74,0.21
16,Lamont Dr at Donoghue Dr,116,863,221,1200,0.1,0.72,0.18
16,Hanover Pkwy at Ora Glen Dr,232,827,155,1214,0.19,0.68,0.13
16,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),234,790,169,1193,0.2,0.66,0.14
16,Greenbelt Metro Station Bus Bay A,272,677,129,1078,0.25,0.63,0.12
16,57th Ave at Berwyn Rd,645,1217,218,2080,0.31,0.59,0.1
16,Hanover Pkwy at Greenway Center Dr,509,687,54,1250,0.41,0.55,0.04
16,Doctors Community Hospital,932,1328,214,2474,0.38,0.54,0.09
16,Beltway Plaza Shopping Center,548,586,63,1197,0.46,0.49,0.05
16,Riverdale Rd at Carrollton Mall,991,1169,272,2432,0.41,0.48,0.11
16,Lamont Dr at Lamont Pl,745,481,35,1261,0.59,0.38,0.03
16,Greenbelt Metro Station (Arrival),528,352,339,1219,0.43,0.29,0.28
16,New Carrollton Station - Arrival,413,178,438,1029,0.4,0.17,0.43
