route,stops,early,on_time,late,total,early %,on_time %,late %
51 Loop B,Brown Station Rd at Dille Dr,22,418,110,550,0.04,0.76,0.2
51 Loop B,Water St & Main St,2,8,1,11,0.18,0.73,0.09
51 Loop B,Lords Landing Rd at Lord Fairfax Pl,113,412,47,572,0.2,0.72,0.08
51 Loop B,Lords Landing Rd at John Rogers Blvd,174,367,32,573,0.3,0.64,0.06
51 Loop B,Old Marlboro Pike at Old Mill Rd,231,330,16,577,0.4,0.57,0.03
51 Loop B,Gov. Oden Bowie Dr at Rear C.A.B.,221,244,22,487,0.45,0.5,0.05
51 Loop B,Equestrian Center Lot 3,345,670,657,1672,0.21,0.4,0.39
51 Loop B,Courthouse,640,611,432,1683,0.38,0.36,0.26
51 Loop B,Governor Oden Bowie Dr at Elm St,259,170,128,557,0.46,0.31,0.23
51 Loop B,Judge's Dr at Pratt St,279,184,391,854,0.33,0.22,0.46
51 Loop B,John Rogers Blvd at Colonel's Choice,345,86,129,560,0.62,0.15,0.23
51 Loop B,Dille Dr at Correctional Center,244,26,209,479,0.51,0.05,0.44
