,route,boardings,alightings
0,Route 16,31618.0,31414.0
1,Route 32,30004.0,29710.0
2,Route 24,27341.0,27282.0
3,Route 21,24328.0,24168.0
4,Route 18,22345.0,22347.0
5,Route 34,19416.0,19148.0
6,Route 20,17986.0,17788.0
7,Route 33,17897.0,17764.0
8,Route 30,17602.0,17574.0
9,Route 35,14214.0,14392.0
10,Route 11,13828.0,13630.0
11,Route 14,13576.0,14590.0
12,Route 23,13306.0,13393.0
13,Route 13,13124.0,12898.0
14,Route 21 Express,12179.0,12248.0
15,Route 12,11737.0,11580.0
16,Route 36,9545.0,9675.0
17,Route 17 (Route 1 Ride),8104.0,8106.0
18,Route 26,7514.0,7785.0
19,Route 27,7424.0,7422.0
20,Route 22,7192.0,7211.0
21,Route 28,7057.0,7069.0
22,Route 25,6334.0,6351.0
23,Route 15 Express,6035.0,5941.0
24,Route 51,5416.0,5400.0
25,Deadhead,4858.0,4781.0
26,Route 37,4729.0,3991.0
27,Route 53,2035.0,1986.0
28,Route 35s,531.0,551.0
29,Maintenance,262.0,267.0
30,Strategic,117.0,99.0
31,UPS,45.0,43.0
32,Training,28.0,25.0
33,Special,27.0,25.0
