,hour,route,boardings,alightings
399,17,Route 32,3297.0,2882.0
336,15,Route 32,3243.0,2916.0
385,17,Route 16,3225.0,3334.0
81,7,Route 16,3097.0,2913.0
354,16,Route 16,3085.0,2962.0
85,7,Route 21,2809.0,2615.0
322,15,Route 16,2797.0,2666.0
114,8,Route 21,2770.0,2758.0
110,8,Route 16,2757.0,2887.0
415,18,Route 16,2612.0,2695.0
358,16,Route 21,2550.0,2217.0
89,7,Route 24,2547.0,2511.0
393,17,Route 24,2484.0,2518.0
389,17,Route 21,2441.0,2593.0
362,16,Route 24,2416.0,2459.0
324,15,Route 18,2402.0,1668.0
368,16,Route 32,2284.0,2520.0
95,7,Route 32,2256.0,2027.0
274,13,Route 32,2254.0,2227.0
140,9,Route 16,2253.0,2172.0
356,16,Route 18,2233.0,1937.0
330,15,Route 24,2220.0,2130.0
118,8,Route 24,2199.0,2300.0
52,6,Route 16,2199.0,2211.0
84,7,Route 20,2147.0,2220.0
97,7,Route 34,2101.0,1886.0
304,14,Route 32,2085.0,2087.0
54,6,Route 18,2082.0,2042.0
144,9,Route 21,2072.0,2329.0
143,9,Route 20,2045.0,1921.0
387,17,Route 18,2035.0,2762.0
401,17,Route 34,2033.0,2106.0
417,18,Route 18,2004.0,1856.0
215,11,Route 32,1992.0,2001.0
124,8,Route 32,1972.0,2174.0
113,8,Route 20,1966.0,2145.0
370,16,Route 34,1949.0,1745.0
245,12,Route 32,1942.0,1877.0
154,9,Route 32,1914.0,1892.0
423,18,Route 24,1913.0,1979.0
148,9,Route 24,1912.0,1948.0
231,12,Route 16,1909.0,1899.0
371,16,Route 35,1816.0,1804.0
326,15,Route 21,1795.0,1927.0
369,16,Route 33,1771.0,1463.0
60,6,Route 24,1771.0,1623.0
88,7,Route 23,1764.0,1629.0
298,14,Route 24,1763.0,1779.0
367,16,Route 30,1747.0,1445.0
180,10,Route 24,1734.0,1776.0
142,9,Route 18,1731.0,1744.0
186,10,Route 32,1730.0,1705.0
431,18,Route 34,1725.0,1719.0
429,18,Route 32,1722.0,2239.0
289,14,Route 14,1688.0,2292.0
303,14,Route 30,1683.0,1620.0
388,17,Route 20,1682.0,1768.0
