route,stops,early,on_time,late,total,early %,on_time %,late %
 17 (Route 1 Ride),Rhode Island (US RTE 1) at Mount Rainer Terminal,10,1088,77,1175,0.01,0.93,0.07
 17 (Route 1 Ride),Ikea at Bus Bay 3,2,1078,142,1222,0.0,0.88,0.12
 17 (Route 1 Ride),Paint branch Parkway at Baltimore Ave,174,904,118,1196,0.15,0.76,0.1
 17 (Route 1 Ride),Baltimore Ave at Campus Dr,86,933,208,1227,0.07,0.76,0.17
 17 (Route 1 Ride),Rhode Island Ave at County Service Building - NB,268,864,61,1193,0.22,0.72,0.05
 17 (Route 1 Ride),Rhode Island Ave at County Service Building - SB,152,782,294,1228,0.12,0.64,0.24
 17 (Route 1 Ride),Baltimore Ave at East-West Hwy,425,1446,558,2429,0.17,0.6,0.23
 17 (Route 1 Ride),College Park Metro Station at Bus Bay B,361,1274,792,2427,0.15,0.52,0.33
 17 (Route 1 Ride),Mt Rainier Terminal - Arrival,128,448,595,1171,0.11,0.38,0.51
 17 (Route 1 Ride),Ikea - Arrival,6,18,994,1018,0.01,0.02,0.98
