,stop,alightings
887,New Carrollton Station - Arrival,14712
158,Addison Rd Metrorail - Arrival,10565
614,Greenbelt Metro Station (Arrival),9634
1239,Suitland Metro - Arrival,8235
870,Morgan Blvd Metro Station,7353
611,Gov. Oden Bowie Dr at Rear C.A.B.,6873
883,Naylor Rd Station Bay H,6225
412,Campus Way South at College Station Dr (PGCC),6121
418,Capitol Heights - Arrival,6098
794,Largo Town Center Station,5694
1183,Southern Ave Station Bay E - Arrival,5166
313,Branch Ave Station - Arrival,4350
1322,West Hyattsville Station,4067
569,Equestrian Center Lot 4,3849
1330,Woody Terrace at Woodyard Rd,3822
795,Largo Town Center Station at Bus Bay E,2984
1181,Southern Ave Metro Rail Station at Bus Bay F,2827
568,Equestrian Center Lot 3,2697
1324,West Hyattsville Station - Arrival,2519
1146,SOUTHERN AVENUE METRO STATION & BUS BAY K,2292
159,Addison Rd Metrorail Station,2279
1245,Suitland Rd at Shadyside Ave,2024
515,Courthouse,1907
472,Cheverly Station Bay D,1744
886,New Carrollton Station (Arrival),1702
633,Greenway Center,1640
874,Mt Rainier Terminal - Arrival,1638
704,Ikea at Bus Bay 2,1630
429,Capitol Heights Station Bay B,1623
64,3930 Capitol Crossing Apts,1618
485,Clinton Fringe Parking Lot,1550
509,County Courthouse,1547
1011,Padgett's Corner,1515
1258,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),1488
200,Allentown Rd at Temple Hill Rd,1454
853,Matapeake Business Dr at Target Store (Hidden Arrival),1433
915,Old Forestville Rd at Forestville Rd,1429
873,Motor Vehicle Administration - Arrival,1421
546,Donnell Dr at Pennsylvania Ave,1410
1323,West Hyattsville Station (Arrival),1409
857,McCormick Dr at Basil Ct,1370
757,Landover Metrorail Station - Arrival,1306
356,Brightseat Rd at Opp. Maple Ridge Apts #2,1286
751,Lamont Dr at Powhatan St,1283
714,Iverson Mall,1248
566,Equestrian Center Lot 1 (Arrival),1246
640,Hamilton St at 31st Ave,1242
355,Brightseat Rd at Opp. Maple Ridge Apts #1,1194
1008,PGCC Perimeter Rd at Largo Rd,1179
1033,Prince George's Plaza - Arrival,1175
910,Old Branch Ave at Coventry Way,1130
730,Judge's Dr at Pratt St,1120
1047,RUBY LOCKHART BLVD AT CAMPUS WAY NORTH,1117
547,Donnell Drive at Marlboro Pike,1111
352,Brightseat Rd at Maple Ridge Apts #2,1055
75,4192 Whitehall Square Apts,1051
1236,Stuart Ln at Woodyard Rd,1046
471,Cheverly Metrorail Station Bay D,1040
1248,Suitland Rd at Towne Square Blvd,1022
484,Clinton Fringe Lot,1010
1059,Rhode Island Ave at 34th Street,1003
1216,Springhill Ln at Breezewood Dr,1001
458,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),997
922,Old Marlboro Pike at John Rogers Blvd,944
541,Doctors Community Hospital,943
1336,Woodyard Rd at Pine View Ln,943
1004,PG Plaza Station,939
756,Landover Metrorail Station,934
907,Old Branch Ave at Allentown Way,926
424,Capitol Heights Blvd at Emmet St,915
172,Addison Rd at Walker Mill Rd,914
558,East-West Hwy at Prince George's Mall Ent.,900
1229,St Clair Dr at 28th Ave,896
77,4258 Whitehall Square Apts,894
1086,Ritchie Rd at Forest Park Dr,888
213,Annapolis Rd at 85th Ave,861
1265,Temple Hill Rd at Farmer Dr,854
487,College Park Metro Station at Bus Bay B,849
864,Mercantile Ln at Technology Way,844
1117,Riverdale Rd at Carrollton Mall,843
1099,Ritchie Station Court Bus Stop #1,841
755,Landover Metro Station Waiting Area,837
753,Lamont Dr at Westbrook Dr,835
188,Allentown Rd at Brinkley Rd,834
593,Garrett A. Morgan Blvd at Morgan Blvd Station,830
599,Goddard Space Flight Center Main Gate (Southbound),821
512,County Rd at Foster St,812
1257,Takoma Langley Park Transit Center Bus Bay B,805
940,Old Silver Hill Rd at Library,795
215,Annapolis Rd at Edmonston Rd,779
826,MONUMENT AVE @ MGM CASINO,779
369,Brinkley Rd at Huntley Square Dr,768
500,Columbia Park Rd at South Club Dr,762
987,Oxon Hill Rd at Oxon Hill Fringe Parking Lot,760
1020,Peppermill Dr at Hastings Dr,733
287,Belcrest Rd at PG Plaza,729
240,Auburn Ave at Riverdale Rd,725
274,Baltimore Ave at Queensbury Rd,724
391,Brooks Dr at Pennsylvania Ave,722
715,Iverson St at 28th Ave,716
603,Good Luck Rd at Crest Park Dr,715
381,Brinkley Rd at Rosecroft Shopping Center,706
1191,Southern Ave at Chesapeake St SE,704
1022,Piscataway Rd at Absher Ln,699
71,4112 Whitehall Square Apts,694
597,Goddard Space Flight Center Main Gate (Northbound),685
641,Hamilton St at 31st Ave - in,677
913,Old Branch Ave at PGCC Skilled Trade Center,673
1177,Silver Hill Rd at Pennsylvania Ave,671
1230,St George Blvd at Waterfront St,667
617,Greenbelt Rd at Greenway Center,661
1286,Timothy Branch Dr at Safeway Ent,660
74,4174 Whitehall Square Apts,649
1321,Walker Mill Road at Marlboro Pike,648
1053,Raleigh Rd at St Barnabas Rd,615
72,4138 Whitehall Square Apts - in,614
869,Mike Shapiro Dr at Sheila Ln,602
1241,Suitland Rd at 4410 Suitland Rd,595
214,Annapolis Rd at Bladensburg Elem. School,587
833,Mandan Rd at Hanover Pkwy,584
595,Garrett A. Morgan Blvd at Rear Morgan Blvd Station Walkway,581
16,16th Ave at Cypress Creek Dr,577
1218,Springhill Ln at Springhill Dr,576
1337,Woodyard Rd at Pineview Ln,571
648,Hampton Park Boulevard at Alaking Ct,569
836,Marlboro Pike at County Rd,568
395,CAB - Arrival,567
253,Baltimore Ave at Berwyn House Rd,566
550,Dunmore Pl at Edgeworth Dr,566
657,Hanover Pkwy at Hanover Dr,552
872,Motor Vehicle Administration,546
169,Addison Rd at Ronald Rd,545
1329,Wmap Rd at Icesat Rd,540
360,Brinkley Rd at Brinkley House W Ent,536
336,Brightseat Rd at Ardwick-Ardmore Rd,534
290,Belcrest at PG Plaza Metrorail,530
120,85th Avenue and Carrollon Manor,529
1205,Southern Maryland Hospital (Hidden Arrival),528
1007,PGCC Perimeter Rd at Annex A Building,528
288,Belcrest Rd at PG Plaza Entrance,527
1006,PG Sports Complex Front Ent.,524
160,Addison Rd at Adak St,521
1003,PG Plaza,512
1202,Southern Ave at Wheeler Rd,511
331,Breezewood Dr at Cherrywood Ln,510
42,3209 75th Ave,509
663,Hanover Pkwy at Prem # 7718,503
530,Denise Dr at Epworth Way,502
1015,Pennsylvania Ave at Old Marlboro Pl,499
1295,University Blvd at Riggs Rd,496
15,15th Ave at University Blvd,495
1214,Springhill Dr at Springhill Ln,493
519,Crescent Rd at Gardenway,487
1231,Stars Entrance Gaylord Hotel at National Harbor Blvd,485
187,Allentown Rd at Allentown Way,485
1215,Springhill Ln at Breezewood Ct,482
1108,Riverdale Rd at 57th Ave,475
942,Old Silver Hill Rd at Parkland Dr,475
315,Branchwood Towers,471
1157,Sheriff Rd at Belle Haven Dr,467
943,Olson St at Norcross St,466
971,Oxon Hill Fringe Parking Lot Bus Bay B,461
619,Greenbelt Rd at Opp. Greenbelt Center,456
849,Marlboro Pike at Walters Ln,455
1244,Suitland Rd at Opposite Prem. #4211,453
298,Bladensburg Rd at 38th St,448
741,Kipling Pkwy at Marlboro Pike,445
417,Campus Way at PGCC Perimeter Rd,445
771,Lansdowne Village Apts,443
411,Campus Way South at Central Ave,443
31,28th Ave at Keith St,436
482,Cipriano Rd at Brae Brooke Dr,435
478,Chillum Rd at Longford Dr,430
24,23rd Ave at Lewisdale Dr,428
667,Harry S Truman Dr at Birdie Ln,428
880,Nalley Rd at Michele Ct,425
332,Breezewood Dr at Cherrywood Ter,424
1055,Ray Rd at Cypress Creek Dr,420
316,Brandywine Rd & Gwynn Park High School,419
1283,Temple Hill Rd at St Barnabas Rd,412
1213,Springhill Dr at Cherrywood Ln,411
486,Clinton Manor,408
571,Fairlawn St at Colebrooke Dr,405
257,Baltimore Ave at Cherry Hill Road,404
52,38th St at Bunker Hill Rd,400
656,Hanover Pkwy at Greenway Center Dr,399
557,East-West Hwy at Metro Center Dr,397
294,Beltway Plaza Shopping Center,397
649,Hampton Park Boulevard at East Hampton Dr,396
393,Brooks Drive at Marlboro Pike,395
1121,Riverdale Rd at Heritage Square Apts,389
276,Baltimore Ave at Riverdale Rd,387
1016,Pennsylvania Ave at Penn Crossing Dr,387
1081,Ritchie Rd at Central Ave,384
1317,Walker Mill Rd at Rochell Ave,383
750,Lamont Dr at Larchwood St,383
1261,Temple Hill Rd at Allentown Rd,381
542,Dodge Park Rd at Hubbard Rd,381
662,Hanover Pkwy at Ora Glen Dr,376
773,Largo Rd  at Water Foul Way,373
239,Auburn Ave at Chestnut Ave,372
496,Columbia Park Rd at Marshall Pl,371
651,Hampton Park Boulevard at Hampton Mall Dr,370
1278,Temple Hill Rd at Portal Ave,369
604,Good Luck Rd at Dawnwood Dr,367
548,Donnell Drive at Target Store,366
296,Benning Rd at Drum Ave,365
195,Allentown Rd at Old Branch Ave,364
613,Greenbelt Metro Dr at Cherrywood Ln,363
655,Hanover Pkwy at Greenbrook Dr,359
764,Landover Rd at Annapolis Rd,356
854,Maxwell Dr at Allentown Rd,353
82,42nd Ave at Madison St,351
1097,Ritchie Rd at Vineyard Dr,350
1014,Pennsylvania Ave at Forestville Rd,348
938,Old Pike Way at Dower House Rd,346
436,Central Ave at Brightseat Rd,342
1178,Silver Hill Rd at Randall Rd,342
582,Fisher Rd at St. Moritz Dr,341
1051,Raleigh Rd at Culver St,341
744,Kipling Pkwy at Wintergreen Ave,340
710,Indian Head Highway at Audrey Ln,339
1190,Southern Ave at C St,338
791,Largo Rd at Watkins Park Dr,336
264,Baltimore Ave at Hartwick Rd,336
84,42nd Ave at Oglethorpe St,336
1101,Ritchie-Marlboro Rd & Sansbury Rd,335
650,Hampton Park Boulevard at Edgeworth Dr,335
1313,Walker Mill Dr at New Mt. Nebo Baptist Church,334
818,MLK Jr Hwy at Columbia Park Rd,334
501,Columbia Park Rd at Stanford Court,333
256,Baltimore Ave at Cherokee St,333
1079,Ritchie Rd at Alberta Dr,326
1032,Possum Ct at Walker Mill Dr,326
905,Old Alexandria Ferry Rd at Woodyard Rd,324
1087,Ritchie Rd at Mane Ln,323
47,3417 Dodge Park Rd,322
559,East-West Hwy at Toledo Ter,319
746,Lamont Dr at Carrollton Pkwy,319
780,Largo Rd at Hancock Dr,319
848,Marlboro Pike at Upland Ave,318
563,Elm St at Gov Oden Bowie Dr,317
1115,Riverdale Rd at 67th Ave,317
1179,Silver Hill Rd at Suitland Rd,315
1119,Riverdale Rd at Fernwood Terrance,315
495,Columbia Park Rd at Columbia Pl,313
807,Lottsford Rd at Zachery St,313
1094,Ritchie Rd at Roslyn Ave,309
1300,Valley Trail Ln at Catesby Ct,308
190,Allentown Rd at Camp Springs Ave,307
1057,Ray Rd at Madison St,306
1279,Temple Hill Rd at Rickey Ave,305
414,Campus Way South at Joyceton Dr,304
516,Coventry Way at Old Alexandria Ferry Rd,304
975,Oxon Hill Rd at 6192 Oxon Hill Rd,302
514,County Service Building,295
26,23rd Ave at Woodberry St,293
100,5827 Allentown Way at Old Branch Ave,293
328,Brandywine Road at Brooke Jane Drive,293
405,Campus Way North at Grey Gables Ct,289
513,County Rd at Valley Brook Apts,289
218,Apollo Dr at Lottsford Rd,286
386,Brinkley Rd at Temple Hill Rd,285
554,East Capitol St at Yost Pl,284
480,Chillum Rd at Shoppers Food,283
531,Denise Dr at Rollins Ave,282
642,Hamilton St at 35th Ave,282
399,CAMPUS WAY NORTH AT LADY GROVE ROAD,282
733,Kenilworth Ave at Nicholson St,282
835,Manor at Victoria Park,281
885,New Carrollton Station,281
108,7600 Riverdale Rd,280
540,District Heights Pkwy at Rochelle Ave,279
972,Oxon Hill Fringe Parking Lot at Bus Bay F,278
1210,Southway at Crescent Rd,278
840,Marlboro Pike at Kipling Pkwy,277
279,Baltimore Ave at Tecumseh St,276
1036,Queens Chapel Rd at Hamilton St,276
602,Good Luck Rd at Cathedral Ave,276
1289,Toledo Rd at Belcrest Rd,276
1186,Southern Ave at 9th St SE,274
1199,Southern Ave at Robert Yedell Towers,273
383,Brinkley Rd at Shopton Pl,272
1023,Piscataway Rd at Brandywine Rd,271
103,60th Ave at Greenbelt Rd,270
289,Belcrest Rd at Queens Chapel Rd,270
30,28th Ave at Keating St,269
1168,Sheriff Rd at MLK Highway,267
269,Baltimore Ave at Lakeland Rd,266
96,54th Ave at Jefferson St,265
1052,Raleigh Rd at Olson St,265
652,Hampton Park Boulevard at Steeplechase,265
83,42nd Ave at Nicholson St,265
747,Lamont Dr at Donoghue Dr,262
708,Indian Head Highway (MD. RTE. 210) at Southern Ave,261
1167,Sheriff Rd at Harvey Dr,260
217,Apollo Dr at Arena Dr,260
977,Oxon Hill Rd at 6246 Oxon Hill Rd,260
277,Baltimore Ave at Rossborough Ln,254
974,Oxon Hill Rd at 6130 Oxon Hill Rd,253
