,stop,boardings,alightings
887,New Carrollton Station - Arrival,120,14712
158,Addison Rd Metrorail - Arrival,244,10565
614,Greenbelt Metro Station (Arrival),481,9634
1239,Suitland Metro - Arrival,186,8235
870,Morgan Blvd Metro Station,8712,7353
611,Gov. Oden Bowie Dr at Rear C.A.B.,546,6873
883,Naylor Rd Station Bay H,6871,6225
412,Campus Way South at College Station Dr (PGCC),6120,6121
418,Capitol Heights - Arrival,2123,6098
794,Largo Town Center Station,5885,5694
1183,Southern Ave Station Bay E - Arrival,25,5166
313,Branch Ave Station - Arrival,2,4350
1322,West Hyattsville Station,5811,4067
569,Equestrian Center Lot 4,4014,3849
1330,Woody Terrace at Woodyard Rd,1559,3822
795,Largo Town Center Station at Bus Bay E,3119,2984
1181,Southern Ave Metro Rail Station at Bus Bay F,3275,2827
568,Equestrian Center Lot 3,2922,2697
1324,West Hyattsville Station - Arrival,13,2519
1146,SOUTHERN AVENUE METRO STATION & BUS BAY K,1722,2292
159,Addison Rd Metrorail Station,11720,2279
1245,Suitland Rd at Shadyside Ave,1388,2024
515,Courthouse,2303,1907
472,Cheverly Station Bay D,2153,1744
886,New Carrollton Station (Arrival),7,1702
633,Greenway Center,2033,1640
874,Mt Rainier Terminal - Arrival,47,1638
704,Ikea at Bus Bay 2,928,1630
429,Capitol Heights Station Bay B,2856,1623
64,3930 Capitol Crossing Apts,2627,1618
485,Clinton Fringe Parking Lot,1884,1550
509,County Courthouse,1516,1547
1011,Padgett's Corner,1759,1515
1258,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),249,1488
200,Allentown Rd at Temple Hill Rd,1199,1454
853,Matapeake Business Dr at Target Store (Hidden Arrival),6,1433
915,Old Forestville Rd at Forestville Rd,997,1429
873,Motor Vehicle Administration - Arrival,15,1421
546,Donnell Dr at Pennsylvania Ave,1803,1410
1323,West Hyattsville Station (Arrival),41,1409
857,McCormick Dr at Basil Ct,1348,1370
757,Landover Metrorail Station - Arrival,198,1306
356,Brightseat Rd at Opp. Maple Ridge Apts #2,915,1286
751,Lamont Dr at Powhatan St,1232,1283
714,Iverson Mall,1542,1248
566,Equestrian Center Lot 1 (Arrival),115,1246
640,Hamilton St at 31st Ave,2157,1242
355,Brightseat Rd at Opp. Maple Ridge Apts #1,148,1194
1008,PGCC Perimeter Rd at Largo Rd,1539,1179
1033,Prince George's Plaza - Arrival,310,1175
910,Old Branch Ave at Coventry Way,1285,1130
730,Judge's Dr at Pratt St,147,1120
1047,RUBY LOCKHART BLVD AT CAMPUS WAY NORTH,899,1117
547,Donnell Drive at Marlboro Pike,159,1111
352,Brightseat Rd at Maple Ridge Apts #2,2474,1055
75,4192 Whitehall Square Apts,80,1051
1236,Stuart Ln at Woodyard Rd,201,1046
471,Cheverly Metrorail Station Bay D,1173,1040
1248,Suitland Rd at Towne Square Blvd,1000,1022
484,Clinton Fringe Lot,3118,1010
1059,Rhode Island Ave at 34th Street,631,1003
1216,Springhill Ln at Breezewood Dr,658,1001
458,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),1319,997
922,Old Marlboro Pike at John Rogers Blvd,1186,944
1336,Woodyard Rd at Pine View Ln,62,943
541,Doctors Community Hospital,961,943
1004,PG Plaza Station,762,939
756,Landover Metrorail Station,2167,934
907,Old Branch Ave at Allentown Way,1052,926
424,Capitol Heights Blvd at Emmet St,526,915
172,Addison Rd at Walker Mill Rd,1107,914
558,East-West Hwy at Prince George's Mall Ent.,119,900
1229,St Clair Dr at 28th Ave,684,896
77,4258 Whitehall Square Apts,1396,894
1086,Ritchie Rd at Forest Park Dr,1034,888
213,Annapolis Rd at 85th Ave,90,861
1265,Temple Hill Rd at Farmer Dr,695,854
487,College Park Metro Station at Bus Bay B,534,849
864,Mercantile Ln at Technology Way,895,844
1117,Riverdale Rd at Carrollton Mall,885,843
1099,Ritchie Station Court Bus Stop #1,284,841
755,Landover Metro Station Waiting Area,527,837
753,Lamont Dr at Westbrook Dr,530,835
188,Allentown Rd at Brinkley Rd,1063,834
593,Garrett A. Morgan Blvd at Morgan Blvd Station,525,830
599,Goddard Space Flight Center Main Gate (Southbound),60,821
512,County Rd at Foster St,404,812
1257,Takoma Langley Park Transit Center Bus Bay B,2462,805
940,Old Silver Hill Rd at Library,882,795
215,Annapolis Rd at Edmonston Rd,718,779
826,MONUMENT AVE @ MGM CASINO,212,779
369,Brinkley Rd at Huntley Square Dr,465,768
500,Columbia Park Rd at South Club Dr,428,762
987,Oxon Hill Rd at Oxon Hill Fringe Parking Lot,0,760
1020,Peppermill Dr at Hastings Dr,66,733
287,Belcrest Rd at PG Plaza,337,729
240,Auburn Ave at Riverdale Rd,602,725
274,Baltimore Ave at Queensbury Rd,664,724
391,Brooks Dr at Pennsylvania Ave,1016,722
715,Iverson St at 28th Ave,430,716
603,Good Luck Rd at Crest Park Dr,63,715
381,Brinkley Rd at Rosecroft Shopping Center,148,706
1191,Southern Ave at Chesapeake St SE,1142,704
1022,Piscataway Rd at Absher Ln,937,699
71,4112 Whitehall Square Apts,205,694
597,Goddard Space Flight Center Main Gate (Northbound),164,685
641,Hamilton St at 31st Ave - in,103,677
913,Old Branch Ave at PGCC Skilled Trade Center,566,673
1177,Silver Hill Rd at Pennsylvania Ave,621,671
1230,St George Blvd at Waterfront St,539,667
617,Greenbelt Rd at Greenway Center,523,661
1286,Timothy Branch Dr at Safeway Ent,160,660
74,4174 Whitehall Square Apts,490,649
1321,Walker Mill Road at Marlboro Pike,407,648
1053,Raleigh Rd at St Barnabas Rd,447,615
72,4138 Whitehall Square Apts - in,391,614
869,Mike Shapiro Dr at Sheila Ln,617,602
1241,Suitland Rd at 4410 Suitland Rd,223,595
214,Annapolis Rd at Bladensburg Elem. School,136,587
833,Mandan Rd at Hanover Pkwy,21,584
595,Garrett A. Morgan Blvd at Rear Morgan Blvd Station Walkway,81,581
16,16th Ave at Cypress Creek Dr,428,577
1218,Springhill Ln at Springhill Dr,568,576
1337,Woodyard Rd at Pineview Ln,535,571
648,Hampton Park Boulevard at Alaking Ct,489,569
836,Marlboro Pike at County Rd,1060,568
395,CAB - Arrival,7,567
253,Baltimore Ave at Berwyn House Rd,591,566
550,Dunmore Pl at Edgeworth Dr,322,566
657,Hanover Pkwy at Hanover Dr,612,552
872,Motor Vehicle Administration,1767,546
169,Addison Rd at Ronald Rd,882,545
1329,Wmap Rd at Icesat Rd,447,540
360,Brinkley Rd at Brinkley House W Ent,117,536
336,Brightseat Rd at Ardwick-Ardmore Rd,426,534
290,Belcrest at PG Plaza Metrorail,682,530
120,85th Avenue and Carrollon Manor,336,529
1007,PGCC Perimeter Rd at Annex A Building,212,528
