,stop,boardings
159,Addison Rd Metrorail Station,11720
885,New Carrollton Station,9409
1240,Suitland Metrorail Station Bay D,8754
615,Greenbelt Metro Station Bus Bay A,8717
870,Morgan Blvd Metro Station,8712
883,Naylor Rd Station Bay H,6871
481,Chrysler Dr at US RT 301,6470
412,Campus Way South at College Station Dr (PGCC),6120
888,New Carrollton Station Bay F,6051
794,Largo Town Center Station,5885
1322,West Hyattsville Station,5811
1182,Southern Ave Station Bay E,4803
314,Branch Ave Station Bus Bay J,4343
569,Equestrian Center Lot 4,4014
1181,Southern Ave Metro Rail Station at Bus Bay F,3275
795,Largo Town Center Station at Bus Bay E,3119
484,Clinton Fringe Lot,3118
568,Equestrian Center Lot 3,2922
429,Capitol Heights Station Bay B,2856
428,Capitol Heights Station,2782
64,3930 Capitol Crossing Apts,2627
352,Brightseat Rd at Maple Ridge Apts #2,2474
1257,Takoma Langley Park Transit Center Bus Bay B,2462
515,Courthouse,2303
756,Landover Metrorail Station,2167
640,Hamilton St at 31st Ave,2157
472,Cheverly Station Bay D,2153
418,Capitol Heights - Arrival,2123
633,Greenway Center,2033
852,Matapeake Business Dr at Target Store,1912
485,Clinton Fringe Parking Lot,1884
546,Donnell Dr at Pennsylvania Ave,1803
872,Motor Vehicle Administration,1767
1011,Padgett's Corner,1759
1146,SOUTHERN AVENUE METRO STATION & BUS BAY K,1722
1058,Rhode Island (US RTE 1) at Mount Rainer Terminal,1702
889,New Carrollton Station Bay K,1649
1330,Woody Terrace at Woodyard Rd,1559
714,Iverson Mall,1542
1008,PGCC Perimeter Rd at Largo Rd,1539
509,County Courthouse,1516
77,4258 Whitehall Square Apts,1396
1245,Suitland Rd at Shadyside Ave,1388
857,McCormick Dr at Basil Ct,1348
458,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),1319
910,Old Branch Ave at Coventry Way,1285
565,Equestrian Center Lot 1,1276
751,Lamont Dr at Powhatan St,1232
200,Allentown Rd at Temple Hill Rd,1199
922,Old Marlboro Pike at John Rogers Blvd,1186
471,Cheverly Metrorail Station Bay D,1173
1005,PG Plaza Station Bus Bay H,1151
1191,Southern Ave at Chesapeake St SE,1142
172,Addison Rd at Walker Mill Rd,1107
188,Allentown Rd at Brinkley Rd,1063
836,Marlboro Pike at County Rd,1060
907,Old Branch Ave at Allentown Way,1052
1086,Ritchie Rd at Forest Park Dr,1034
1295,University Blvd at Riggs Rd,1029
391,Brooks Dr at Pennsylvania Ave,1016
1248,Suitland Rd at Towne Square Blvd,1000
915,Old Forestville Rd at Forestville Rd,997
541,Doctors Community Hospital,961
1022,Piscataway Rd at Absher Ln,937
704,Ikea at Bus Bay 2,928
356,Brightseat Rd at Opp. Maple Ridge Apts #2,915
1047,RUBY LOCKHART BLVD AT CAMPUS WAY NORTH,899
864,Mercantile Ln at Technology Way,895
1117,Riverdale Rd at Carrollton Mall,885
169,Addison Rd at Ronald Rd,882
940,Old Silver Hill Rd at Library,882
367,Brinkley Rd at Henson Creek Apts,880
