,hour,route,boardings,alightings
115,8,Route 16,3422,3415
86,7,Route 18,3280,3037
84,7,Route 16,3197,3032
395,17,Route 16,3004,2957
363,16,Route 16,3003,3109
92,7,Route 24,2900,2948
87,7,Route 20,2894,2971
55,6,Route 18,2771,2478
345,15,Route 32,2673,2465
88,7,Route 21,2662,2553
371,16,Route 24,2580,2539
331,15,Route 16,2556,2375
367,16,Route 21,2546,2429
399,17,Route 21,2469,2641
403,17,Route 24,2467,2531
426,18,Route 16,2360,2434
377,16,Route 32,2359,2427
147,9,Route 16,2328,2352
117,8,Route 18,2306,2896
119,8,Route 21,2217,2405
409,17,Route 32,2204,2229
411,17,Route 34,2188,2118
379,16,Route 34,2172,2074
149,9,Route 18,2151,2161
118,8,Route 20,2127,2313
150,9,Route 20,2123,2075
104,7,Route 51,2096,2168
129,8,Route 32,2094,2204
53,6,Route 16,2060,2069
100,7,Route 34,2044,1914
365,16,Route 18,2036,1864
68,6,Route 33,2030,1136
333,15,Route 18,2021,1570
98,7,Route 32,2018,2078
61,6,Route 24,1989,1557
335,15,Route 21,1985,2235
123,8,Route 24,1980,2324
151,9,Route 21,1962,2093
339,15,Route 24,1960,1932
434,18,Route 24,1955,2017
397,17,Route 18,1927,2501
347,15,Route 34,1905,1888
99,7,Route 33,1887,2151
229,11,Route 51,1883,1845
442,18,Route 34,1876,1936
429,18,Route 20,1867,1969
398,17,Route 20,1867,1901
56,6,Route 20,1863,1424
428,18,Route 18,1844,1798
366,16,Route 20,1832,2080
380,16,Route 35,1829,1686
155,9,Route 24,1813,1843
348,15,Route 35,1799,1902
223,11,Route 32,1774,1691
440,18,Route 32,1765,1918
67,6,Route 32,1765,1598
136,8,Route 51,1758,1722
259,12,Route 51,1750,1863
131,8,Route 34,1728,1893
378,16,Route 33,1714,1298
168,9,Route 51,1680,1669
152,9,Route 21 Express,1664,1706
80,7,Route 12,1649,1677
283,13,Route 32,1646,1693
97,7,Route 30,1643,1576
314,14,Route 32,1639,1641
187,10,Route 24,1628,1703
161,9,Route 32,1626,1682
308,14,Route 24,1625,1583
214,11,Route 21 Express,1610,1419
253,12,Route 32,1584,1628
91,7,Route 23,1576,1435
277,13,Route 24,1569,1644
193,10,Route 32,1552,1503
457,19,Route 16,1551,1638
304,14,Route 21,1550,1025
376,16,Route 30,1545,1280
120,8,Route 21 Express,1541,1150
199,10,Route 51,1523,1596
242,12,Route 20,1485,1482
179,10,Route 16,1482,1575
313,14,Route 30,1476,1282
57,6,Route 21,1418,749
247,12,Route 24,1414,1370
316,14,Route 34,1412,1336
209,11,Route 16,1411,1377
69,6,Route 34,1406,1398
217,11,Route 24,1402,1417
305,14,Route 21 Express,1389,1491
317,14,Route 35,1383,1277
211,11,Route 18,1375,1192
184,10,Route 21 Express,1369,1332
315,14,Route 33,1364,989
212,11,Route 20,1361,1322
272,13,Route 20,1335,1315
410,17,Route 33,1331,1638
49,6,Route 12,1328,1301
412,17,Route 35,1320,1449
370,16,Route 23,1314,1346
101,7,Route 35,1312,1119
111,8,Route 12,1294,1281
300,14,Route 16,1288,1340
130,8,Route 33,1284,1424
430,18,Route 21,1269,1570
441,18,Route 33,1266,1187
471,19,Route 32,1263,1259
391,17,Route 12,1244,1242
128,8,Route 30,1235,1139
103,7,Route 37,1209,1060
66,6,Route 30,1202,999
114,8,Route 15 Express,1202,1390
332,15,Route 17 (Route 1 Ride),1193,1142
465,19,Route 24,1183,1296
346,15,Route 33,1183,1582
359,16,Route 12,1179,1295
274,13,Route 21 Express,1165,942
183,10,Route 21,1146,1363
303,14,Route 20,1144,1162
334,15,Route 20,1142,877
93,7,Route 25,1131,1141
390,17,Route 11,1130,1055
132,8,Route 35,1128,1227
164,9,Route 35,1128,1151
289,13,Route 51,1126,1128
94,7,Route 26,1124,1060
163,9,Route 34,1118,1162
182,10,Route 20,1116,1257
213,11,Route 21,1109,937
320,14,Route 51,1107,1127
459,19,Route 18,1106,1222
362,16,Route 15 Express,1105,812
27,5,Route 18,1095,441
298,14,Route 14,1075,1560
249,12,Route 26,1073,1010
222,11,Route 30,1069,865
110,8,Route 11,1060,1131
285,13,Route 34,1054,1019
344,15,Route 30,1048,1298
326,15,Route 11,1046,1019
244,12,Route 21 Express,1045,1288
82,7,Route 14,1034,940
143,9,Route 12,1033,1025
405,17,Route 26,1028,1048
394,17,Route 15 Express,1025,1266
271,13,Route 18,1025,1017
302,14,Route 18,1024,1355
373,16,Route 26,1011,979
239,12,Route 16,1011,1018
160,9,Route 30,1008,1244
255,12,Route 34,990,945
402,17,Route 23,989,932
112,8,Route 13,981,934
358,16,Route 11,980,970
192,10,Route 30,979,1117
85,7,Route 17 (Route 1 Ride),975,955
422,18,Route 12,974,1023
194,10,Route 33,974,815
364,16,Route 17 (Route 1 Ride),968,1091
327,15,Route 12,967,856
341,15,Route 26,967,996
336,15,Route 21 Express,964,978
195,10,Route 34,952,992
225,11,Route 34,947,938
273,13,Route 21,930,987
368,16,Route 21 Express,917,886
157,9,Route 26,916,839
433,18,Route 23,916,841
81,7,Route 13,915,820
301,14,Route 17 (Route 1 Ride),912,889
83,7,Route 15 Express,909,817
241,12,Route 18,898,863
396,17,Route 17 (Route 1 Ride),895,924
63,6,Route 26,891,821
181,10,Route 18,885,1240
196,10,Route 35,883,871
473,19,Route 34,881,1048
269,13,Route 16,881,1038
116,8,Route 17 (Route 1 Ride),881,877
90,7,Route 22,880,944
59,6,Route 22,880,784
408,17,Route 30,879,939
243,12,Route 21,877,952
279,13,Route 26,877,811
414,17,Route 37,871,890
404,17,Route 25,871,725
252,12,Route 30,871,899
162,9,Route 33,870,1132
224,11,Route 33,869,954
361,16,Route 14,859,812
421,18,Route 11,858,955
443,18,Route 35,855,1009
267,13,Route 13,848,882
54,6,Route 17 (Route 1 Ride),837,738
122,8,Route 23,831,927
52,6,Route 15 Express,828,771
297,14,Route 13,826,801
95,7,Route 27,811,901
407,17,Route 28,810,809
60,6,Route 23,809,697
89,7,Route 21 Express,806,1161
372,16,Route 25,806,823
338,15,Route 23,803,763
270,13,Route 17 (Route 1 Ride),797,804
79,7,Route 11,780,775
189,10,Route 26,779,740
319,14,Route 36,774,529
432,18,Route 22,773,748
352,15,Route 51,769,801
210,11,Route 17 (Route 1 Ride),769,764
360,16,Route 13,768,745
400,17,Route 21 Express,768,769
237,12,Route 13,766,700
180,10,Route 17 (Route 1 Ride),765,703
240,12,Route 17 (Route 1 Ride),764,821
445,18,Route 37,763,868
176,10,Route 13,757,720
254,12,Route 33,755,712
310,14,Route 26,754,835
256,12,Route 35,753,626
148,9,Route 17 (Route 1 Ride),748,839
436,18,Route 26,745,861
439,18,Route 30,744,842
284,13,Route 33,739,802
125,8,Route 26,736,808
175,10,Route 12,730,677
121,8,Route 22,718,736
62,6,Route 25,718,687
146,9,Route 15 Express,717,643
72,6,Route 37,710,633
413,17,Route 36,710,663
435,18,Route 25,706,696
64,6,Route 27,704,528
427,18,Route 17 (Route 1 Ride),697,769
375,16,Route 28,694,625
328,15,Route 13,694,706
369,16,Route 22,684,637
350,15,Route 36,682,933
219,11,Route 26,680,696
216,11,Route 23,677,656
265,13,Route 11,670,566
307,14,Route 23,669,652
236,12,Route 12,666,687
401,17,Route 22,662,730
329,15,Route 14,658,676
126,8,Route 27,657,719
282,13,Route 30,656,737
286,13,Route 35,647,784
134,8,Route 36,646,713
438,18,Route 28,645,662
154,9,Route 23,641,743
384,16,Route 51,639,619
444,18,Route 36,639,505
382,16,Route 36,636,675
144,9,Route 13,626,718
295,14,Route 11,625,701
102,7,Route 36,619,502
343,15,Route 28,602,575
251,12,Route 28,602,525
472,19,Route 33,599,899
235,12,Route 11,594,559
296,14,Route 12,592,594
65,6,Route 28,587,544
96,7,Route 28,583,563
206,11,Route 12,581,584
458,19,Route 17 (Route 1 Ride),581,606
207,11,Route 13,579,594
48,6,Route 11,569,525
124,8,Route 25,566,515
43,5,Route 37,562,474
266,13,Route 12,562,475
392,17,Route 13,554,618
246,12,Route 23,553,508
263,13,Deadhead,551,528
383,16,Route 37,550,489
174,10,Route 11,547,573
142,9,Route 11,543,519
406,17,Route 27,532,520
186,10,Route 23,528,606
452,19,Route 11,527,569
238,12,Route 14,523,577
166,9,Route 36,522,544
113,8,Route 14,522,531
268,13,Route 14,519,448
191,10,Route 28,517,536
156,9,Route 25,511,488
198,10,Route 36,507,453
159,9,Route 28,503,398
135,8,Route 37,501,562
228,11,Route 36,489,544
437,18,Route 27,488,495
425,18,Route 15 Express,487,582
38,5,Route 32,487,74
73,6,Route 51,484,312
221,11,Route 28,479,549
32,5,Route 24,472,171
127,8,Route 28,470,507
464,19,Route 23,467,559
306,14,Route 22,467,375
205,11,Route 11,466,491
337,15,Route 22,464,486
245,12,Route 22,463,404
276,13,Route 23,463,536
208,11,Route 14,463,481
226,11,Route 35,454,524
312,14,Route 28,453,475
393,17,Route 14,450,475
185,10,Route 22,446,403
153,9,Route 22,436,470
330,15,Route 15 Express,435,339
423,18,Route 13,416,431
158,9,Route 27,414,462
288,13,Route 36,412,387
145,9,Route 14,412,501
71,6,Route 36,410,336
281,13,Route 28,403,426
431,18,Route 21 Express,396,503
455,19,Route 14,395,373
467,19,Route 26,395,475
293,14,Deadhead,392,388
