,stop,boardings,alightings
870,New Carrollton Station - Arrival,339.0,11462.0
167,Addison Rd Metrorail - Arrival,413.0,9163.0
601,Greenbelt Metro Station (Arrival),1107.0,7848.0
1207,Suitland Metro - Arrival,108.0,7550.0
867,Naylor Rd Station Bay H - Hidden Arrival,80.0,7424.0
853,Morgan Blvd Metro Station,7454.0,6296.0
1152,Southern Ave Station Bay E - Arrival,9.0,5179.0
403,Campus Way South at College Station Dr (PGCC),5714.0,5108.0
781,Largo Town Center Station,5551.0,5094.0
316,Branch Ave Station - Arrival,3.0,4726.0
871,New Carrollton Station Bay F,5234.0,4295.0
410,Capitol Heights - Arrival,172.0,4123.0
1294,Woody Terrace at Woodyard Rd,1123.0,3850.0
1286,West Hyattsville Station,6517.0,3784.0
421,Capitol Heights Station Bay B,4985.0,3631.0
602,Greenbelt Metro Station Bus Bay A,9286.0,3345.0
501,County Administration Building,1991.0,3089.0
1150,Southern Ave Metro Rail Station at Bus Bay F,3270.0,3040.0
746,Landover Metrorail Station - Arrival,3.0,3023.0
782,Largo Town Center Station at Bus Bay E,3123.0,3012.0
168,Addison Rd Metrorail Station,10536.0,2993.0
477,Clinton Fringe Lot,4349.0,2822.0
701,Iverson Mall,2280.0,2272.0
1213,Suitland Rd at Shadyside Ave,1558.0,2268.0
466,Cheverly Station Bay D,2154.0,2191.0
744,Landover Mall,2290.0,2187.0
1288,West Hyattsville Station - Arrival,52.0,2098.0
836,Mattawoman Beantown Rd at Pinefield Center,1712.0,2052.0
290,Belcrest Rd at PG Plaza Metrorail,1272.0,1994.0
478,Clinton Fringe Parking Lot,2309.0,1962.0
502,County Courthouse,1458.0,1910.0
1287,West Hyattsville Station (Arrival),2.0,1784.0
354,Brightseat Rd at Maple Ridge Apts,705.0,1609.0
894,Old Branch Ave at Coventry Way,1358.0,1587.0
409,Capitol Crossing Apts,2542.0,1560.0
451,Cherrywood Ln at Greenbelt Federal Courthouse,982.0,1558.0
891,Old Branch Ave at Allentown Way,1905.0,1558.0
1118,SOUTHERN AVENUE METRO STATION & BUS BAY K,1409.0,1534.0
508,Courthouse,4543.0,1484.0
1223,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),28.0,1478.0
75,4192 Whitehall Square Apts,203.0,1434.0
620,Greenway Center,2438.0,1431.0
480,College Park Metro Station at Bus Bay B,1281.0,1386.0
842,McCormick Dr at Basil Ct,1060.0,1349.0
1301,Woodyard Rd at Pine View Ln,1809.0,1346.0
559,Equestrian Center Lot 4,1603.0,1339.0
716,Judge's Dr at Pratt St,228.0,1324.0
971,Padgett's Corner,937.0,1310.0
1090,Riverdale Rd at Carrollton Mall,601.0,1262.0
289,Belcrest Rd at PG Plaza Entrance,102.0,1236.0
208,Allentown Rd at Temple Hill Rd,1911.0,1233.0
582,Garrett A. Morgan Blvd at Morgan Blvd Station,681.0,1225.0
532,Doctors Community Hospital,1300.0,1207.0
558,Equestrian Center Lot 3,981.0,1196.0
628,Hamilton St at 31st Ave,1898.0,1172.0
693,Ikea at Bus Bay 2,540.0,1132.0
245,Auburn Ave at Riverdale Rd,492.0,1128.0
481,College Park Station,1098.0,1102.0
1016,RUBY LOCKHART BLVD AT CAMPUS WAY NORTH,700.0,1088.0
896,Old Forestville Rd at Forestville Rd,436.0,1088.0
869,New Carrollton Station (Arrival),13.0,1084.0
857,Mt Rainier Terminal - Arrival,17.0,1076.0
539,Donnell Drive at Target Store,326.0,1073.0
367,Brinkley Rd at Huntcrest,738.0,1054.0
849,Mercantile Ln at Technology Way,1139.0,1001.0
197,Allentown Rd at Brinkley Rd,1169.0,994.0
1199,St Clair Dr at 28th Ave,729.0,969.0
548,East-West Hwy at Metro Center Dr,235.0,952.0
408,Campus Way at PGCC Perimeter Rd,405.0,949.0
220,Annapolis Rd at 85th Ave,115.0,948.0
1059,Ritchie Rd at Forest Park Dr,829.0,937.0
537,Donnell Dr at Pennsylvania Ave,1294.0,936.0
964,PG Plaza Station,1433.0,909.0
919,Old Silver Hill Rd at Library,879.0,903.0
983,Peppermill Dr at Hastings Dr,52.0,883.0
1088,Riverdale Rd at 67th Ave,548.0,874.0
86,42nd Ave at Oglethorpe St,1366.0,872.0
856,Motor Vehicle Administration - Arrival,4.0,871.0
1230,Temple Hill Rd at Farmer Dr,845.0,866.0
1188,Springhill Ln at Springhill Dr,811.0,861.0
196,Allentown Rd at Allentown Way,294.0,859.0
816,Mandan Rd at Hanover Pkwy,82.0,856.0
465,Cheverly Metrorail Station Bay D,1147.0,851.0
743,Lamont Dr at Westbrook Dr,478.0,850.0
318,Branchwood Towers,641.0,850.0
966,PG Sports Complex,734.0,848.0
997,Prince George's Plaza Entrance,0.0,827.0
1081,Riverdale Rd at 57th Ave,1194.0,827.0
452,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),1235.0,799.0
1146,Silver Hill Rd at Pennsylvania Ave,963.0,797.0
948,Oxon Hill Rd at Oxon Hill Fringe Parking Lot,0.0,796.0
606,Greenbelt Rd at Opp. Greenbelt Center,749.0,794.0
970,PGCC Perimeter Rd at Largo Rd,1258.0,791.0
996,Prince George's Plaza - Arrival,140.0,789.0
1211,Suitland Rd at Huron Ave,850.0,773.0
522,Denise Dr at Dutton Way,864.0,766.0
809,MONUMENT AVE @ MGM CASINO,228.0,742.0
1246,Temple Hill Rd at St Barnabas Rd,506.0,740.0
903,Old Marlboro Pike at John Rogers Blvd,918.0,739.0
591,Good Luck Rd at Crest Park Dr,72.0,734.0
1172,Southern Ave at Wheeler Rd,760.0,723.0
1285,Walker Mill Road at Marlboro Pike,393.0,711.0
604,Greenbelt Rd at Greenway Center,643.0,690.0
963,PG Plaza,890.0,681.0
504,County Rd at Elmhurst St,260.0,679.0
1184,Springhill Dr at Springhill Ln,484.0,679.0
511,Crescent Rd at Gardenway,745.0,673.0
386,Brooks Dr at Pennsylvania Ave,890.0,659.0
368,Brinkley Rd at Huntley Square Dr,147.0,658.0
1185,Springhill Ln at Breezewood Ct,673.0,656.0
98,5401 85th Ave,539.0,645.0
181,Addison Rd at Walker Mill Rd,797.0,638.0
650,Hanover Pkwy at Ora Glen Dr,208.0,630.0
985,Piscataway Rd at Absher Ln,892.0,628.0
1300,Woodyard Rd at Pine View Lane,17.0,627.0
979,Pennsylvania Ave at Penn Crossing Dr,283.0,623.0
741,Lamont Dr at Powhatan St,628.0,623.0
1175,Southern Maryland Hospital (Hidden Arrival),20.0,621.0
40,3209 75th Ave,801.0,619.0
1250,Timothy Branch Drive @ Safeway,561.0,617.0
84,42nd Ave at Madison St,279.0,611.0
244,Auburn Ave at Chestnut Ave,288.0,611.0
1186,Springhill Ln at Breezewood Dr,542.0,610.0
646,Hanover Pkwy at Hanover Dr,733.0,610.0
629,Hamilton St at 31st Ave - in,144.0,607.0
561,Fairlawn St at Colebrooke Dr,421.0,605.0
1253,Toledo Rd at Belcrest Rd,527.0,602.0
340,Brightseat Rd at Ardwick-Ardmore Rd,406.0,600.0
1212,Suitland Rd at Opposite Prem. #4211,0.0,599.0
360,Brinkley Rd at Brinkley House W Ent,209.0,594.0
1200,St George Blvd at Waterfront St,538.0,588.0
573,Forestville Rd at Parston Dr,1082.0,582.0
600,Greenbelt Metro Dr at Cherrywood Ln,252.0,569.0
1072,Ritchie Station Court Bus Stop #1,136.0,569.0
1201,Stars Entrance Gaylord Hotel at National Harbor Blvd,157.0,557.0
819,Marlboro Pike at County Rd,1056.0,557.0
71,4112 Whitehall Square Apts,184.0,538.0
533,Dodge Park Rd at Hubbard Rd,991.0,534.0
1226,Temple Hill Rd at Allentown Rd,425.0,534.0
22,23rd Ave at Lewisdale Dr,606.0,528.0
1210,Suitland Rd at Homer Ave,736.0,527.0
1289,Whitehall Square Apts at Community Hall,904.0,525.0
178,Addison Rd at Ronald Rd,832.0,522.0
1160,Southern Ave at Chesapeake St SE,1087.0,514.0
745,Landover Metrorail Station,3321.0,513.0
736,Lamont Dr at Carrollton Pkwy,840.0,511.0
1222,Takoma Langley Park Transit Center Bus Bay B,2604.0,507.0
389,CAB - Arrival,15.0,506.0
72,4138 Whitehall Square Apts - in,401.0,498.0
169,Addison Rd at Adak St,196.0,493.0
703,Jefferson St at Kenilworth Ave,172.0,486.0
855,Motor Vehicle Administration,1199.0,481.0
938,Oxon Hill Fringe Parking Lot Bus Bay B,350.0,481.0
1242,Temple Hill Rd at Portal Ave,314.0,475.0
1147,Silver Hill Rd at Randall Rd,368.0,470.0
683,Hubbard Rd at Martin Luther King,486.0,470.0
314,Bock Rd at Technology Recreation Complex,465.0,468.0
990,Piscataway Rd at Pella Place,448.0,466.0
1209,Suitland Rd at 4412 Suitland Rd,246.0,466.0
1001,Queens Chapel Rd at Hamilton St,214.0,460.0
838,Mattowoman Beantown Rd at MTA Park and Ride Lot (Arrival),50.0,458.0
79,4258 Whitehall Square Apts,1677.0,455.0
840,Maxwell Dr at Morris Ave,543.0,455.0
1180,Southway at Crescent Rd,362.0,443.0
1091,Riverdale Rd at Eastpine Dr,114.0,442.0
759,Lansdowne Village Apts,562.0,432.0
920,Old Silver Hill Rd at Parkland Ct (E),185.0,427.0
257,Baltimore Ave at Berwyn House Rd,377.0,426.0
202,Allentown Rd at Kingston Dr,345.0,426.0
1243,Temple Hill Rd at Rickey Ave,576.0,424.0
238,Ashwood Dr at Dunmore Pl,155.0,423.0
203,Allentown Rd at Old Branch Ave,339.0,422.0
28,28th Ave at Keating St,646.0,418.0
626,Gwynn Park High School,438.0,417.0
1293,Wmap Rd at Icesat Rd,433.0,405.0
439,Central Ave at Soper Ln,61.0,403.0
479,Clinton Manor,399.0,401.0
592,Good Luck Rd at Dawnwood Dr,331.0,400.0
978,Pennsylvania Ave at Old Marlboro Pl,12.0,399.0
541,Dunmore Pl at Edgeworth Dr,185.0,398.0
336,Breezewood Dr at Cherrywood Ter,390.0,398.0
698,Indian Head Highway at Audrey Ln,229.0,395.0
737,Lamont Dr at Donoghue Dr,226.0,393.0
