,stop,boardings,alightings
159,Addison Rd Metrorail Station,11720,2279
885,New Carrollton Station,9409,281
1240,Suitland Metrorail Station Bay D,8754,75
615,Greenbelt Metro Station Bus Bay A,8717,118
870,Morgan Blvd Metro Station,8712,7353
883,Naylor Rd Station Bay H,6871,6225
481,Chrysler Dr at US RT 301,6470,8
412,Campus Way South at College Station Dr (PGCC),6120,6121
888,New Carrollton Station Bay F,6051,184
794,Largo Town Center Station,5885,5694
1322,West Hyattsville Station,5811,4067
1182,Southern Ave Station Bay E,4803,105
314,Branch Ave Station Bus Bay J,4343,68
569,Equestrian Center Lot 4,4014,3849
1181,Southern Ave Metro Rail Station at Bus Bay F,3275,2827
795,Largo Town Center Station at Bus Bay E,3119,2984
484,Clinton Fringe Lot,3118,1010
568,Equestrian Center Lot 3,2922,2697
429,Capitol Heights Station Bay B,2856,1623
428,Capitol Heights Station,2782,196
64,3930 Capitol Crossing Apts,2627,1618
352,Brightseat Rd at Maple Ridge Apts #2,2474,1055
1257,Takoma Langley Park Transit Center Bus Bay B,2462,805
515,Courthouse,2303,1907
756,Landover Metrorail Station,2167,934
640,Hamilton St at 31st Ave,2157,1242
472,Cheverly Station Bay D,2153,1744
418,Capitol Heights - Arrival,2123,6098
633,Greenway Center,2033,1640
852,Matapeake Business Dr at Target Store,1912,101
485,Clinton Fringe Parking Lot,1884,1550
546,Donnell Dr at Pennsylvania Ave,1803,1410
872,Motor Vehicle Administration,1767,546
1011,Padgett's Corner,1759,1515
1146,SOUTHERN AVENUE METRO STATION & BUS BAY K,1722,2292
1058,Rhode Island (US RTE 1) at Mount Rainer Terminal,1702,19
889,New Carrollton Station Bay K,1649,79
1330,Woody Terrace at Woodyard Rd,1559,3822
714,Iverson Mall,1542,1248
1008,PGCC Perimeter Rd at Largo Rd,1539,1179
509,County Courthouse,1516,1547
77,4258 Whitehall Square Apts,1396,894
1245,Suitland Rd at Shadyside Ave,1388,2024
857,McCormick Dr at Basil Ct,1348,1370
458,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),1319,997
910,Old Branch Ave at Coventry Way,1285,1130
565,Equestrian Center Lot 1,1276,59
751,Lamont Dr at Powhatan St,1232,1283
200,Allentown Rd at Temple Hill Rd,1199,1454
922,Old Marlboro Pike at John Rogers Blvd,1186,944
471,Cheverly Metrorail Station Bay D,1173,1040
1005,PG Plaza Station Bus Bay H,1151,106
1191,Southern Ave at Chesapeake St SE,1142,704
172,Addison Rd at Walker Mill Rd,1107,914
188,Allentown Rd at Brinkley Rd,1063,834
836,Marlboro Pike at County Rd,1060,568
907,Old Branch Ave at Allentown Way,1052,926
1086,Ritchie Rd at Forest Park Dr,1034,888
1295,University Blvd at Riggs Rd,1029,496
391,Brooks Dr at Pennsylvania Ave,1016,722
1248,Suitland Rd at Towne Square Blvd,1000,1022
915,Old Forestville Rd at Forestville Rd,997,1429
541,Doctors Community Hospital,961,943
1022,Piscataway Rd at Absher Ln,937,699
704,Ikea at Bus Bay 2,928,1630
356,Brightseat Rd at Opp. Maple Ridge Apts #2,915,1286
1047,RUBY LOCKHART BLVD AT CAMPUS WAY NORTH,899,1117
864,Mercantile Ln at Technology Way,895,844
1117,Riverdale Rd at Carrollton Mall,885,843
169,Addison Rd at Ronald Rd,882,545
940,Old Silver Hill Rd at Library,882,795
367,Brinkley Rd at Henson Creek Apts,880,118
607,Good Luck Rd at Parkdale HS,861,102
664,Hanover Pkwy at Prem # 7800,823,30
705,Ikea at Bus Bay 3,788,85
746,Lamont Dr at Carrollton Pkwy,784,319
711,Indian Head Highway at Oxon Farm Rd,778,0
1004,PG Plaza Station,762,939
42,3209 75th Ave,747,509
545,Donnell Dr at Marlboro Pike,743,246
1204,Southern Maryland Hospital,728,210
1108,Riverdale Rd at 57th Ave,722,475
663,Hanover Pkwy at Prem # 7718,719,503
215,Annapolis Rd at Edmonston Rd,718,779
563,Elm St at Gov Oden Bowie Dr,712,317
1335,Woodyard Rd at Opp. Pine View Ln,710,56
508,County Administration Building,708,47
1265,Temple Hill Rd at Farmer Dr,695,854
1283,Temple Hill Rd at St Barnabas Rd,690,412
70,4106 Whitehall Square Apts,688,186
1292,University Blvd at 23rd Ave,685,122
1229,St Clair Dr at 28th Ave,684,896
290,Belcrest at PG Plaza Metrorail,682,530
361,Brinkley Rd at Brinkley Manor W Ent,680,95
274,Baltimore Ave at Queensbury Rd,664,724
414,Campus Way South at Joyceton Dr,662,304
1216,Springhill Ln at Breezewood Dr,658,1001
17,16th Ave at Cypress Creek Dr - in,657,23
316,Brandywine Rd & Gwynn Park High School,645,419
482,Cipriano Rd at Brae Brooke Dr,636,435
1059,Rhode Island Ave at 34th Street,631,1003
1177,Silver Hill Rd at Pennsylvania Ave,621,671
190,Allentown Rd at Camp Springs Ave,617,307
869,Mike Shapiro Dr at Sheila Ln,617,602
519,Crescent Rd at Gardenway,616,487
438,Central Ave at Cindy Ln,613,228
657,Hanover Pkwy at Hanover Dr,612,552
1325,Whitehall Square Apts at Community Hall,606,98
240,Auburn Ave at Riverdale Rd,602,725
950,Opp. 4174 Whitehall Square Apts,593,38
253,Baltimore Ave at Berwyn House Rd,591,566
1120,Riverdale Rd at Fountainbleau Dr,587,189
1006,PG Sports Complex Front Ent.,585,524
732,Kanawha St at 15th Ave,575,192
1218,Springhill Ln at Springhill Dr,568,576
913,Old Branch Ave at PGCC Skilled Trade Center,566,673
623,Greenbelt Road (MD. RTE. 193) at NASA Goddard Main Gate(PM),564,2
123,9206 Springhill Lane,561,109
1215,Springhill Ln at Breezewood Ct,558,482
1100,Ritchie Station Court Bus Stop #2,557,102
542,Dodge Park Rd at Hubbard Rd,549,381
611,Gov. Oden Bowie Dr at Rear C.A.B.,546,6873
774,Largo Rd at Black Swan Dr,545,53
378,Brinkley Rd at Opp. Rosecroft Shopping Center,544,141
619,Greenbelt Rd at Opp. Greenbelt Center,543,456
1230,St George Blvd at Waterfront St,539,667
529,Denise Dr at Dutton Way,539,218
1337,Woodyard Rd at Pineview Ln,535,571
487,College Park Metro Station at Bus Bay B,534,849
753,Lamont Dr at Westbrook Dr,530,835
478,Chillum Rd at Longford Dr,530,430
942,Old Silver Hill Rd at Parkland Dr,527,475
755,Landover Metro Station Waiting Area,527,837
424,Capitol Heights Blvd at Emmet St,526,915
593,Garrett A. Morgan Blvd at Morgan Blvd Station,525,830
617,Greenbelt Rd at Greenway Center,523,661
286,Belcrest Rd at Freedom Way,515,52
486,Clinton Manor,513,408
19,23rd Ave at Amherst Rd,512,164
656,Hanover Pkwy at Greenway Center Dr,510,399
1317,Walker Mill Rd at Rochell Ave,509,383
479,Chillum Rd at Queens Chapel Rd,507,7
1213,Springhill Dr at Cherrywood Ln,501,411
83,42nd Ave at Nicholson St,497,265
285,Belcrest Rd at 6505 Belcrest Rd,495,242
74,4174 Whitehall Square Apts,490,649
648,Hampton Park Boulevard at Alaking Ct,489,569
614,Greenbelt Metro Station (Arrival),481,9634
216,Annapolis Rd at Riverdale Rd,478,237
1051,Raleigh Rd at Culver St,478,341
1331,Woody Terrace at Woodyard Road,472,86
1300,Valley Trail Ln at Catesby Ct,470,308
829,Madison St at Timber Creek Dr,466,241
369,Brinkley Rd at Huntley Square Dr,465,768
621,Greenbelt Road (MD. RTE. 193) at NASA Goddard Main Gate,459,29
31,28th Ave at Keith St,459,436
392,Brooks Dr at Ridley St,453,242
264,Baltimore Ave at Hartwick Rd,451,336
1053,Raleigh Rd at St Barnabas Rd,447,615
1329,Wmap Rd at Icesat Rd,447,540
674,Hastings Dr at Peppermill Dr,445,40
771,Lansdowne Village Apts,444,443
94,5295 85th Ave,441,220
1214,Springhill Dr at Springhill Ln,440,493
84,42nd Ave at Oglethorpe St,437,336
20,23rd Ave at Banning Pl,434,214
315,Branchwood Towers,433,471
744,Kipling Pkwy at Wintergreen Ave,432,340
1123,Riverdale Rd at Opp. Heritage Square Apts,432,57
849,Marlboro Pike at Walters Ln,431,455
715,Iverson St at 28th Ave,430,716
531,Denise Dr at Rollins Ave,429,282
642,Hamilton St at 35th Ave,429,282
16,16th Ave at Cypress Creek Dr,428,577
500,Columbia Park Rd at South Club Dr,428,762
332,Breezewood Dr at Cherrywood Ter,427,424
336,Brightseat Rd at Ardwick-Ardmore Rd,426,534
1279,Temple Hill Rd at Rickey Ave,426,305
298,Bladensburg Rd at 38th St,426,448
1115,Riverdale Rd at 67th Ave,426,317
758,Landover Rd at 55th Ave,424,221
667,Harry S Truman Dr at Birdie Ln,420,428
1184,Southern Ave at 13th St SE,414,212
1097,Ritchie Rd at Vineyard Dr,414,350
256,Baltimore Ave at Cherokee St,411,333
1261,Temple Hill Rd at Allentown Rd,409,381
1321,Walker Mill Road at Marlboro Pike,407,648
344,Brightseat Rd at Evarts St,406,110
512,County Rd at Foster St,404,812
741,Kipling Pkwy at Marlboro Pike,402,445
991,Oxon Hill Rd at Riverside Plaza Apts,400,115
828,Madison St at Ray Rd,400,24
72,4138 Whitehall Square Apts - in,391,614
95,5401 85th Ave,386,137
655,Hanover Pkwy at Greenbrook Dr,373,359
1027,Piscataway Rd at Pella Place,373,239
749,Lamont Dr at Lamont Pl,371,229
875,Nalley Rd at Capital View Dr,370,227
582,Fisher Rd at St. Moritz Dr,369,341
160,Addison Rd at Adak St,368,521
18,23rd Ave at  Beechwood Rd,367,86
1202,Southern Ave at Wheeler Rd,365,511
1312,WILSON BRIDGE DRIVE,364,242
604,Good Luck Rd at Dawnwood Dr,362,367
326,Brandywine Road @ Northgate Parkway,362,32
1056,Ray Rd at Cypress Creek Dr - in,360,22
436,Central Ave at Brightseat Rd,358,342
513,County Rd at Valley Brook Apts,357,289
63,38th St at Windom Rd,355,212
496,Columbia Park Rd at Marshall Pl,353,371
540,District Heights Pkwy at Rochelle Ave,351,279
1186,Southern Ave at 9th St SE,349,274
1052,Raleigh Rd at Olson St,348,265
1092,Ritchie Rd at Ritchie Rd Spur,347,174
405,Campus Way North at Grey Gables Ct,343,289
411,Campus Way South at Central Ave,343,443
1000,PALMER ROAD & INDIAN HEAD HIGHWAY,341,156
1003,PG Plaza,340,512
287,Belcrest Rd at PG Plaza,337,729
1032,Possum Ct at Walker Mill Dr,336,326
120,85th Avenue and Carrollon Manor,336,529
624,Greenbelt Station Parkway at S. Center Drive,334,87
651,Hampton Park Boulevard at Hampton Mall Dr,333,370
514,County Service Building,331,295
417,Campus Way at PGCC Perimeter Rd,330,445
938,Old Pike Way at Dower House Rd,325,346
866,Merrimac St at 14th Ave,325,57
47,3417 Dodge Park Rd,324,322
949,Opp. 4138 Whitehall Square Apts,323,55
835,Manor at Victoria Park,323,281
550,Dunmore Pl at Edgeworth Dr,322,566
1001,PALMER ROAD & OLD PALMER ROAD,322,231
1246,Suitland Rd at Suitland Federal Center Gate 1,322,245
1055,Ray Rd at Cypress Creek Dr,321,420
393,Brooks Drive at Marlboro Pike,320,395
680,Highview Pl at Keyworth Ct,317,193
576,Fisher Rd at Clow Ct,315,242
218,Apollo Dr at Lottsford Rd,315,286
643,Hamilton St at 36th Ave,315,178
848,Marlboro Pike at Upland Ave,314,318
