,hour,route,boardings,alightings
85,7,Route 24,6309,5906
110,8,Route 21,5100,5475
385,17,Route 16,5365,5445
114,8,Route 24,4431,5076
81,7,Route 21,5668,5045
353,16,Route 16,5122,5014
416,18,Route 16,4869,4914
335,15,Route 32,5314,4788
367,16,Route 32,4618,4771
393,17,Route 24,4761,4748
106,8,Route 16,4423,4717
399,17,Route 32,5017,4702
77,7,Route 16,4992,4626
361,16,Route 24,4559,4580
389,17,Route 21,4491,4538
387,17,Route 18,3372,4427
50,6,Route 18,4873,4328
321,15,Route 16,4727,4326
430,18,Route 32,3957,4317
120,8,Route 32,3497,4235
142,9,Route 21,3757,4168
48,6,Route 16,4082,4063
146,9,Route 24,4078,4039
79,7,Route 18,4173,4007
108,8,Route 18,3130,3952
91,7,Route 32,4633,3942
357,16,Route 21,4394,3863
424,18,Route 24,3686,3849
287,14,Route 14,3077,3757
140,9,Route 18,3958,3716
80,7,Route 20,3936,3657
109,8,Route 20,3266,3646
401,17,Route 34,3648,3593
177,10,Route 24,3328,3530
303,14,Route 32,3578,3525
418,18,Route 18,3797,3523
271,13,Route 32,3729,3516
183,10,Route 32,3397,3500
141,9,Route 20,3487,3451
325,15,Route 21,3239,3429
56,6,Route 24,3911,3399
334,15,Route 30,2801,3339
329,15,Route 24,3549,3329
302,14,Route 30,3554,3323
297,14,Route 24,3257,3319
138,9,Route 16,3355,3308
212,11,Route 32,3422,3262
93,7,Route 34,3653,3253
355,16,Route 18,3888,3232
366,16,Route 30,3985,3232
152,9,Route 32,3418,3222
420,18,Route 21,2504,3206
206,11,Route 24,2995,3158
242,12,Route 32,3065,3103
369,16,Route 34,3473,3094
432,18,Route 34,3075,3092
228,12,Route 16,3205,3088
446,19,Route 16,3201,3088
454,19,Route 24,2910,3088
388,17,Route 20,2951,3044
460,19,Route 32,3125,3037
62,6,Route 32,3306,2990
84,7,Route 23,3426,2989
338,15,Route 35,2951,2974
370,16,Route 35,3055,2875
198,11,Route 16,2970,2851
90,7,Route 30,3139,2848
173,10,Route 21,2465,2840
291,14,Route 18,2020,2824
400,17,Route 33,2599,2804
398,17,Route 30,2641,2754
289,14,Route 16,2681,2740
360,16,Route 23,2847,2730
323,15,Route 18,3665,2730
411,18,Route 11,2209,2722
64,6,Route 34,2667,2720
448,19,Route 18,2521,2713
336,15,Route 33,2114,2691
122,8,Route 34,2431,2663
380,17,Route 11,3094,2652
402,17,Route 35,2567,2640
265,13,Route 24,2835,2639
356,16,Route 20,2690,2575
182,10,Route 30,2185,2573
121,8,Route 33,2302,2550
419,18,Route 20,2305,2547
97,7,Route 51,2383,2546
236,12,Route 24,2691,2539
169,10,Route 16,2621,2535
337,15,Route 34,2779,2526
257,13,Route 16,2582,2486
119,8,Route 30,2372,2475
429,18,Route 30,2381,2475
348,16,Route 11,2580,2434
241,12,Route 30,2556,2369
368,16,Route 33,2709,2366
270,13,Route 30,2265,2363
211,11,Route 30,2870,2309
384,17,Route 15 Express,2067,2308
151,9,Route 30,2208,2291
350,16,Route 13,2443,2289
101,8,Route 11,1918,2271
51,6,Route 20,3128,2254
143,9,Route 21 Express,2203,2240
127,8,Route 51,2423,2233
431,18,Route 33,2730,2231
255,13,Route 13,2165,2211
113,8,Route 23,1875,2188
433,18,Route 35,2055,2188
261,13,Route 21,2071,2138
158,9,Route 51,2086,2136
155,9,Route 35,1813,2118
61,6,Route 30,2463,2118
305,14,Route 34,2302,2089
319,15,Route 14,1780,2088
286,14,Route 13,2201,2060
232,12,Route 21,2176,2045
326,15,Route 21 Express,1824,2040
462,19,Route 34,1798,2036
123,8,Route 35,2218,2022
74,7,Route 13,2168,2003
461,19,Route 33,1284,1999
296,14,Route 23,2329,1996
292,14,Route 20,2019,1994
392,17,Route 23,1981,1987
304,14,Route 33,2766,1978
218,11,Route 51,1929,1962
174,10,Route 21 Express,1995,1955
294,14,Route 21 Express,1971,1952
73,7,Route 12,2254,1941
351,16,Route 14,2234,1939
423,18,Route 23,2252,1934
92,7,Route 33,2675,1933
328,15,Route 23,1675,1932
316,15,Route 11,2182,1925
136,9,Route 14,1455,1905
352,16,Route 15 Express,2230,1891
226,12,Route 13,2052,1885
145,9,Route 23,1868,1860
189,10,Route 51,1830,1859
290,14,Route 17 (Route 1 Ride),1909,1852
103,8,Route 13,1935,1848
63,6,Route 33,2282,1847
273,13,Route 34,1903,1844
231,12,Route 20,1905,1836
154,9,Route 34,1823,1829
172,10,Route 20,1662,1821
318,15,Route 13,1733,1799
383,17,Route 14,1537,1792
202,11,Route 21,2125,1791
102,8,Route 12,1707,1789
166,10,Route 13,1985,1779
322,15,Route 17 (Route 1 Ride),1597,1772
227,12,Route 14,1530,1770
55,6,Route 23,2110,1765
293,14,Route 21,1910,1763
125,8,Route 36,1348,1759
203,11,Route 21 Express,1926,1748
153,9,Route 33,1533,1746
200,11,Route 18,1919,1732
46,6,Route 14,1251,1711
171,10,Route 18,1093,1709
135,9,Route 13,1622,1704
272,13,Route 33,1504,1689
44,6,Route 12,1661,1689
381,17,Route 12,1636,1674
88,7,Route 27,1447,1653
134,9,Route 12,1646,1647
248,12,Route 51,1711,1640
111,8,Route 21 Express,1849,1630
196,11,Route 13,1625,1617
324,15,Route 20,1780,1611
412,18,Route 12,1566,1608
403,17,Route 36,1170,1603
306,14,Route 35,1815,1602
72,7,Route 11,1827,1592
434,18,Route 36,1798,1588
349,16,Route 12,1437,1580
358,16,Route 21 Express,1342,1569
214,11,Route 34,1558,1568
244,12,Route 34,1668,1567
284,14,Route 11,1609,1561
414,18,Route 14,1411,1557
86,7,Route 25,1569,1555
217,11,Route 36,1075,1534
186,10,Route 35,1659,1532
104,8,Route 14,1753,1527
354,16,Route 17 (Route 1 Ride),1711,1525
185,10,Route 34,1541,1520
