,hour,route,boardings,alightings
85,7,Route 24,6309,5906
81,7,Route 21,5668,5045
385,17,Route 16,5365,5445
335,15,Route 32,5314,4788
353,16,Route 16,5122,5014
110,8,Route 21,5100,5475
399,17,Route 32,5017,4702
77,7,Route 16,4992,4626
50,6,Route 18,4873,4328
416,18,Route 16,4869,4914
393,17,Route 24,4761,4748
321,15,Route 16,4727,4326
91,7,Route 32,4633,3942
367,16,Route 32,4618,4771
361,16,Route 24,4559,4580
389,17,Route 21,4491,4538
114,8,Route 24,4431,5076
106,8,Route 16,4423,4717
357,16,Route 21,4394,3863
79,7,Route 18,4173,4007
48,6,Route 16,4082,4063
146,9,Route 24,4078,4039
366,16,Route 30,3985,3232
140,9,Route 18,3958,3716
430,18,Route 32,3957,4317
80,7,Route 20,3936,3657
56,6,Route 24,3911,3399
355,16,Route 18,3888,3232
418,18,Route 18,3797,3523
142,9,Route 21,3757,4168
271,13,Route 32,3729,3516
424,18,Route 24,3686,3849
323,15,Route 18,3665,2730
93,7,Route 34,3653,3253
401,17,Route 34,3648,3593
303,14,Route 32,3578,3525
302,14,Route 30,3554,3323
329,15,Route 24,3549,3329
120,8,Route 32,3497,4235
141,9,Route 20,3487,3451
369,16,Route 34,3473,3094
84,7,Route 23,3426,2989
212,11,Route 32,3422,3262
152,9,Route 32,3418,3222
183,10,Route 32,3397,3500
387,17,Route 18,3372,4427
138,9,Route 16,3355,3308
177,10,Route 24,3328,3530
62,6,Route 32,3306,2990
109,8,Route 20,3266,3646
297,14,Route 24,3257,3319
325,15,Route 21,3239,3429
228,12,Route 16,3205,3088
446,19,Route 16,3201,3088
90,7,Route 30,3139,2848
108,8,Route 18,3130,3952
51,6,Route 20,3128,2254
460,19,Route 32,3125,3037
380,17,Route 11,3094,2652
287,14,Route 14,3077,3757
432,18,Route 34,3075,3092
242,12,Route 32,3065,3103
370,16,Route 35,3055,2875
206,11,Route 24,2995,3158
198,11,Route 16,2970,2851
388,17,Route 20,2951,3044
338,15,Route 35,2951,2974
454,19,Route 24,2910,3088
211,11,Route 30,2870,2309
360,16,Route 23,2847,2730
265,13,Route 24,2835,2639
334,15,Route 30,2801,3339
337,15,Route 34,2779,2526
304,14,Route 33,2766,1978
52,6,Route 21,2763,1448
431,18,Route 33,2730,2231
368,16,Route 33,2709,2366
236,12,Route 24,2691,2539
356,16,Route 20,2690,2575
289,14,Route 16,2681,2740
92,7,Route 33,2675,1933
64,6,Route 34,2667,2720
398,17,Route 30,2641,2754
169,10,Route 16,2621,2535
400,17,Route 33,2599,2804
257,13,Route 16,2582,2486
348,16,Route 11,2580,2434
402,17,Route 35,2567,2640
241,12,Route 30,2556,2369
448,19,Route 18,2521,2713
420,18,Route 21,2504,3206
173,10,Route 21,2465,2840
61,6,Route 30,2463,2118
350,16,Route 13,2443,2289
122,8,Route 34,2431,2663
127,8,Route 51,2423,2233
97,7,Route 51,2383,2546
429,18,Route 30,2381,2475
119,8,Route 30,2372,2475
296,14,Route 23,2329,1996
419,18,Route 20,2305,2547
305,14,Route 34,2302,2089
121,8,Route 33,2302,2550
63,6,Route 33,2282,1847
270,13,Route 30,2265,2363
73,7,Route 12,2254,1941
423,18,Route 23,2252,1934
351,16,Route 14,2234,1939
352,16,Route 15 Express,2230,1891
123,8,Route 35,2218,2022
411,18,Route 11,2209,2722
151,9,Route 30,2208,2291
143,9,Route 21 Express,2203,2240
286,14,Route 13,2201,2060
182,10,Route 30,2185,2573
316,15,Route 11,2182,1925
232,12,Route 21,2176,2045
74,7,Route 13,2168,2003
255,13,Route 13,2165,2211
202,11,Route 21,2125,1791
336,15,Route 33,2114,2691
55,6,Route 23,2110,1765
158,9,Route 51,2086,2136
261,13,Route 21,2071,2138
384,17,Route 15 Express,2067,2308
433,18,Route 35,2055,2188
226,12,Route 13,2052,1885
291,14,Route 18,2020,2824
292,14,Route 20,2019,1994
174,10,Route 21 Express,1995,1955
166,10,Route 13,1985,1779
392,17,Route 23,1981,1987
294,14,Route 21 Express,1971,1952
103,8,Route 13,1935,1848
218,11,Route 51,1929,1962
203,11,Route 21 Express,1926,1748
200,11,Route 18,1919,1732
101,8,Route 11,1918,2271
293,14,Route 21,1910,1763
290,14,Route 17 (Route 1 Ride),1909,1852
231,12,Route 20,1905,1836
273,13,Route 34,1903,1844
113,8,Route 23,1875,2188
145,9,Route 23,1868,1860
111,8,Route 21 Express,1849,1630
189,10,Route 51,1830,1859
72,7,Route 11,1827,1592
326,15,Route 21 Express,1824,2040
154,9,Route 34,1823,1829
306,14,Route 35,1815,1602
155,9,Route 35,1813,2118
434,18,Route 36,1798,1588
462,19,Route 34,1798,2036
75,7,Route 14,1798,1458
59,6,Route 27,1786,1370
324,15,Route 20,1780,1611
319,15,Route 14,1780,2088
104,8,Route 14,1753,1527
318,15,Route 13,1733,1799
248,12,Route 51,1711,1640
354,16,Route 17 (Route 1 Ride),1711,1525
102,8,Route 12,1707,1789
328,15,Route 23,1675,1932
244,12,Route 34,1668,1567
259,13,Route 18,1667,1469
172,10,Route 20,1662,1821
44,6,Route 12,1661,1689
186,10,Route 35,1659,1532
262,13,Route 21 Express,1658,1255
23,5,Route 18,1654,751
134,9,Route 12,1646,1647
381,17,Route 12,1636,1674
340,15,Route 36,1627,1328
94,7,Route 35,1626,1447
196,11,Route 13,1625,1617
135,9,Route 13,1622,1704
284,14,Route 11,1609,1561
322,15,Route 17 (Route 1 Ride),1597,1772
76,7,Route 15 Express,1593,1065
184,10,Route 33,1583,1255
86,7,Route 25,1569,1555
412,18,Route 12,1566,1608
214,11,Route 34,1558,1568
253,13,Route 11,1547,1446
185,10,Route 34,1541,1520
383,17,Route 14,1537,1792
153,9,Route 33,1533,1746
227,12,Route 14,1530,1770
317,15,Route 12,1514,1314
197,11,Route 14,1507,1473
272,13,Route 33,1504,1689
167,10,Route 14,1493,1265
235,12,Route 23,1468,1347
413,18,Route 13,1460,1367
136,9,Route 14,1455,1905
258,13,Route 17 (Route 1 Ride),1452,1268
88,7,Route 27,1447,1653
205,11,Route 23,1445,1506
96,7,Route 37,1438,1300
349,16,Route 12,1437,1580
382,17,Route 13,1435,1518
66,6,Route 36,1425,789
372,16,Route 36,1425,1110
414,18,Route 14,1411,1557
260,13,Route 20,1393,1424
201,11,Route 20,1392,1448
256,13,Route 14,1392,1245
331,15,Route 26,1390,1248
247,12,Route 36,1377,1135
264,13,Route 23,1373,1428
251,13,Deadhead,1371,1131
176,10,Route 23,1371,1342
43,6,Route 11,1369,1169
78,7,Route 17 (Route 1 Ride),1365,1211
213,11,Route 33,1363,1439
229,12,Route 17 (Route 1 Ride),1356,1357
277,13,Route 51,1355,1347
125,8,Route 36,1348,1759
435,18,Route 37,1347,1372
139,9,Route 17 (Route 1 Ride),1347,1366
358,16,Route 21 Express,1342,1569
240,12,Route 28,1318,1165
157,9,Route 36,1317,1198
428,18,Route 28,1312,1265
394,17,Route 25,1303,1123
49,6,Route 17 (Route 1 Ride),1301,1153
95,7,Route 36,1291,1312
224,12,Route 11,1287,1236
461,19,Route 33,1284,1999
441,19,Route 11,1277,1500
417,18,Route 17 (Route 1 Ride),1275,1409
386,17,Route 17 (Route 1 Ride),1260,1312
46,6,Route 14,1251,1711
188,10,Route 36,1244,983
60,6,Route 28,1241,1093
309,14,Route 51,1229,1239
333,15,Route 28,1224,1170
359,16,Route 22,1216,1035
390,17,Route 21 Express,1210,1211
126,8,Route 37,1209,310
82,7,Route 21 Express,1205,1478
133,9,Route 11,1202,1277
362,16,Route 25,1192,1137
170,10,Route 17 (Route 1 Ride),1192,931
194,11,Route 11,1190,1122
444,19,Route 14,1184,1109
453,19,Route 23,1178,1500
403,17,Route 36,1170,1603
137,9,Route 15 Express,1169,1188
165,10,Route 12,1168,1154
243,12,Route 33,1168,1068
238,12,Route 26,1159,1012
415,18,Route 15 Express,1143,1281
308,14,Route 36,1140,1446
425,18,Route 25,1128,1125
54,6,Route 22,1127,854
363,16,Route 26,1125,1173
57,6,Route 25,1117,1032
45,6,Route 13,1108,950
254,13,Route 12,1098,972
397,17,Route 28,1095,1198
171,10,Route 18,1093,1709
150,9,Route 28,1090,902
107,8,Route 17 (Route 1 Ride),1083,1310
426,18,Route 26,1076,1162
217,11,Route 36,1075,1534
396,17,Route 27,1073,1041
395,17,Route 26,1071,1240
365,16,Route 28,1065,1021
47,6,Route 15 Express,1065,866
276,13,Route 36,1063,1070
285,14,Route 12,1049,1120
181,10,Route 28,1041,1073
164,10,Route 11,1035,1055
225,12,Route 12,1029,1061
269,13,Route 28,1025,1081
230,12,Route 18,1024,859
422,18,Route 22,1014,1070
299,14,Route 26,1005,1209
464,19,Route 36,998,1186
28,5,Route 24,990,316
300,14,Route 27,984,947
233,12,Route 21 Express,981,1279
117,8,Route 27,975,1048
195,11,Route 12,973,931
116,8,Route 26,972,1134
148,9,Route 26,967,818
58,6,Route 26,966,974
112,8,Route 22,959,862
115,8,Route 25,957,942
267,13,Route 26,954,896
282,14,Deadhead,951,1124
89,7,Route 28,941,949
245,12,Route 35,934,836
427,18,Route 27,927,914
301,14,Route 28,914,970
274,13,Route 35,908,1053
199,11,Route 17 (Route 1 Ride),901,1085
373,16,Route 37,882,702
19,5,Route 14,871,376
314,15,Deadhead,868,696
39,5,Route 37,859,743
210,11,Route 28,851,959
179,10,Route 26,831,844
450,19,Route 21,818,1342
222,12,Deadhead,813,853
215,11,Route 35,813,949
118,8,Route 28,807,934
83,7,Route 22,800,999
449,19,Route 20,795,983
391,17,Route 22,789,785
105,8,Route 15 Express,786,1353
342,15,Route 51,773,780
87,7,Route 26,771,711
404,17,Route 37,770,920
421,18,Route 21 Express,763,816
463,19,Route 35,761,981
67,6,Route 37,758,550
208,11,Route 26,755,975
327,15,Route 22,708,855
474,20,Route 18,691,1444
295,14,Route 22,688,644
149,9,Route 27,687,701
34,5,Route 32,676,123
364,16,Route 27,675,671
320,15,Route 15 Express,671,451
68,6,Route 51,659,452
147,9,Route 25,654,680
298,14,Route 25,641,590
330,15,Route 25,636,714
180,10,Route 27,636,628
234,12,Route 22,620,542
268,13,Route 27,619,630
36,5,Route 34,612,21
239,12,Route 27,610,614
445,19,Route 15 Express,609,669
346,16,Deadhead,600,499
332,15,Route 27,582,573
456,19,Route 26,581,631
204,11,Route 22,570,658
468,20,Deadhead,561,634
175,10,Route 22,556,686
65,6,Route 35,545,417
144,9,Route 22,542,422
447,19,Route 17 (Route 1 Ride),541,521
17,5,Route 12,537,428
209,11,Route 27,532,528
266,13,Route 25,528,493
16,5,Route 11,516,160
451,19,Route 21 Express,513,528
482,20,Route 33,503,644
374,16,Route 51,491,469
459,19,Route 30,489,1257
178,10,Route 25,480,487
192,11,Deadhead,458,419
219,11,Route 53,449,476
53,6,Route 21 Express,428,31
263,13,Route 22,405,379
207,11,Route 25,394,411
237,12,Route 25,388,421
478,20,Route 23,386,535
490,22,Deadhead,377,382
487,21,Deadhead,363,368
168,10,Route 15 Express,360,366
479,20,Route 24,342,612
159,9,Route 53,340,283
190,10,Route 53,340,336
375,16,Route 53,337,323
21,5,Route 16,334,74
249,12,Route 53,304,266
22,5,Route 17 (Route 1 Ride),299,267
378,17,Deadhead,298,263
343,15,Route 53,294,269
14,5,Deadhead,292,184
406,17,Route 53,290,277
69,6,Route 53,287,216
307,14,Route 35s,278,240
492,23,Deadhead,278,301
437,18,Route 53,251,277
275,13,Route 35s,250,257
466,19,Route 53,250,197
471,20,Route 14,235,487
315,15,Maintenance,227,231
98,7,Route 53,224,321
310,14,Route 53,220,235
246,12,Route 35s,219,226
443,19,Route 13,214,349
442,19,Route 12,214,297
278,13,Route 53,209,266
4,2,Deadhead,197,207
18,5,Route 13,195,129
216,11,Route 35s,191,181
440,19,Maintenance,189,208
472,20,Route 16,181,395
439,19,Deadhead,180,213
162,10,Deadhead,169,246
470,20,Route 11,157,303
25,5,Route 21,153,23
128,8,Route 53,151,165
491,22,Maintenance,148,151
41,6,Deadhead,145,139
458,19,Route 28,142,253
339,15,Route 35s,142,194
477,20,Route 21 Express,130,131
409,18,Deadhead,128,164
481,20,Route 32,112,476
99,8,Deadhead,110,51
371,16,Route 35s,107,109
156,9,Route 35s,104,66
223,12,Maintenance,98,93
187,10,Route 35s,92,111
100,8,Maintenance,85,61
37,5,Route 35,85,14
347,16,Maintenance,79,73
252,13,Maintenance,76,93
452,19,Route 22,66,148
193,11,Maintenance,65,74
283,14,Maintenance,64,70
0,0,Deadhead,62,78
131,9,Deadhead,60,56
379,17,Maintenance,56,67
493,23,Maintenance,53,57
2,1,Deadhead,52,69
341,15,Route 37,52,6
488,21,Maintenance,50,47
163,10,Maintenance,49,51
405,17,Route 51,47,55
455,19,Route 25,46,259
33,5,Route 30,45,30
279,13,Special,40,37
8,4,Deadhead,40,36
6,3,Deadhead,39,43
132,9,Maintenance,38,41
410,18,Maintenance,36,34
465,19,Route 37,28,252
30,5,Route 26,28,27
3,1,Maintenance,27,31
70,7,Deadhead,27,42
71,7,Maintenance,27,28
281,13,Training,26,26
5,2,Maintenance,25,23
42,6,Maintenance,23,5
38,5,Route 36,22,25
484,20,Route 35,22,125
436,18,Route 51,21,20
344,15,Special,21,15
12,4,Route 17 (Route 1 Ride),20,18
485,20,Route 36,20,217
32,5,Route 28,19,20
408,17,Training,18,12
476,20,Route 21,17,46
11,4,Route 14,17,18
35,5,Route 33,16,15
15,5,Maintenance,15,14
376,16,Special,15,13
280,13,Strategic,15,8
1,0,Maintenance,15,18
24,5,Route 20,14,13
288,14,Route 15 Express,14,10
20,5,Route 15 Express,14,22
311,14,Special,14,17
473,20,Route 17 (Route 1 Ride),13,40
469,20,Maintenance,11,10
26,5,Route 22,11,9
313,14,Training,11,13
486,20,Training,9,8
457,19,Route 27,7,16
27,5,Route 23,7,6
160,9,Strategic,6,7
438,18,Training,6,10
124,8,Route 35s,6,5
9,4,Maintenance,5,3
480,20,Route 26,5,36
312,14,Strategic,5,5
467,19,Training,4,6
407,17,Special,4,6
130,8,Training,4,4
377,16,Training,4,5
10,4,Route 11,4,4
221,11,Training,3,4
483,20,Route 34,3,2
129,8,Strategic,3,2
250,12,Strategic,2,2
345,15,Strategic,2,2
191,10,Strategic,2,1
29,5,Route 25,2,2
220,11,Strategic,1,1
7,3,Maintenance,1,0
40,5,Route 51,1,1
489,21,Route 23,1,1
161,9,Training,1,5
13,4,Route 37,1,1
475,20,Route 20,1,2
31,5,Route 27,0,1
