,stop,boardings,alightings
168,Addison Rd Metrorail Station,20211,5264
869,New Carrollton Station,17652,276
602,Greenbelt Metro Station Bus Bay A,17254,7548
867,Naylor Rd Station Bay H,15365,191
1209,Suitland Metrorail Station Bay D,14046,249
854,Morgan Blvd Metro Station,12969,10643
1287,West Hyattsville Station,11550,6987
317,Branch Ave Station Bus Bay J,11071,120
508,Courthouse,10564,2867
421,Capitol Heights Station Bay B,9741,8716
781,Largo Town Center Station,9704,8631
403,Campus Way South at College Station Dr (PGCC),8742,8311
872,New Carrollton Station Bay F,8640,6179
1152,Southern Ave Station Bay E,8419,177
477,Clinton Fringe Lot,8354,4905
782,Largo Town Center Station at Bus Bay E,5992,5986
1151,Southern Ave Metro Rail Station at Bus Bay F,5708,4569
559,Equestrian Center Lot 4,5141,3581
745,Landover Metrorail Station,5074,1022
1223,Takoma Langley Park Transit Center Bus Bay B,4854,967
466,Cheverly Station Bay D,4749,4610
409,Capitol Crossing Apts,4710,2677
420,Capitol Heights Station,4582,618
478,Clinton Fringe Parking Lot,4571,3932
744,Landover Mall,4249,3886
620,Greenway Center,4045,2403
701,Iverson Mall,4008,3925
501,County Administration Building,3993,9587
892,Old Branch Ave at Allentown Way,3934,3039
1302,Woodyard Rd at Pine View Ln,3862,2665
558,Equestrian Center Lot 3,3296,3205
208,Allentown Rd at Temple Hill Rd,3213,2302
480,College Park Metro Station at Bus Bay B,3156,3116
837,Mattawoman Beantown Rd at Pinefield Center,3126,3616
628,Hamilton St at 31st Ave,3126,1987
79,4258 Whitehall Square Apts,3012,853
1029,Rhode Island (US RTE 1) at Mount Rainer Terminal,2909,14
502,County Courthouse,2883,3469
1214,Suitland Rd at Shadyside Ave,2754,3818
86,42nd Ave at Oglethorpe St,2509,1459
1295,Woody Terrace at Woodyard Rd,2454,7689
895,Old Branch Ave at Coventry Way,2388,2782
965,PG Plaza Station,2363,1663
288,Belcrest Rd at Opp. PG Plaza Station,2298,439
1119,SOUTHERN AVENUE METRO STATION & BUS BAY K,2285,2423
652,Hanover Pkwy at Prem # 7800,2265,0
601,Greenbelt Metro Station (Arrival),2251,12347
856,Motor Vehicle Administration,2191,775
1082,Riverdale Rd at 57th Ave,2169,1418
972,PGCC Perimeter Rd at Largo Rd,2159,1560
843,McCormick Dr at Basil Ct,2142,2550
537,Donnell Dr at Pennsylvania Ave,2139,1746
452,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),2093,1166
573,Forestville Rd at Parston Dr,2089,1269
290,Belcrest Rd at PG Plaza Metrorail,2051,3743
197,Allentown Rd at Brinkley Rd,2042,1810
465,Cheverly Metrorail Station Bay D,2025,1779
873,New Carrollton Station Bay K,2023,559
850,Mercantile Ln at Technology Way,2011,1877
1060,Ritchie Rd at Forest Park Dr,1998,1829
973,Padgett's Corner,1991,2402
532,Doctors Community Hospital,1966,1775
987,Piscataway Rd at Absher Ln,1964,1363
819,Marlboro Pike at County Rd,1933,929
386,Brooks Dr at Pennsylvania Ave,1917,1202
595,Good Luck Rd at Parkdale HS,1899,167
481,College Park Station,1830,1936
964,PG Plaza,1826,1517
1161,Southern Ave at Chesapeake St SE,1768,842
