,hour,route,boardings,alightings
80,7,Route 18,2189,2417
110,8,Route 18,1742,1939
86,7,Route 24,1839,1913
78,7,Route 16,1867,1799
390,17,Route 24,1752,1772
140,9,Route 18,1690,1762
332,15,Route 32,1696,1735
358,16,Route 24,1731,1719
384,17,Route 18,1381,1667
82,7,Route 21,1445,1606
364,16,Route 32,1627,1582
350,16,Route 16,1476,1573
235,12,Route 24,1568,1564
141,9,Route 20,1494,1563
81,7,Route 20,1407,1550
415,18,Route 18,1589,1540
326,15,Route 24,1513,1539
382,17,Route 16,1583,1522
92,7,Route 32,1515,1517
396,17,Route 32,1473,1504
108,8,Route 16,1534,1498
50,6,Route 18,1822,1496
116,8,Route 24,1285,1463
421,18,Route 24,1313,1400
413,18,Route 16,1264,1397
122,8,Route 32,1349,1388
352,16,Route 18,1476,1386
385,17,Route 20,1355,1386
206,11,Route 24,1315,1382
48,6,Route 16,1327,1373
112,8,Route 21,1369,1373
111,8,Route 20,1391,1372
212,11,Route 32,1336,1343
146,9,Route 24,1350,1342
295,14,Route 24,1306,1325
264,13,Route 24,1266,1321
177,10,Route 24,1280,1289
353,16,Route 20,1210,1279
320,15,Route 18,1436,1274
142,9,Route 21,1189,1267
152,9,Route 32,1224,1261
301,14,Route 32,1233,1259
427,18,Route 32,1201,1241
56,6,Route 24,1452,1237
183,10,Route 32,1250,1234
318,15,Route 16,1385,1216
289,14,Route 18,1014,1211
138,9,Route 16,1168,1209
270,13,Route 32,1175,1189
416,18,Route 20,1121,1186
363,16,Route 30,1307,1169
241,12,Route 32,1169,1167
62,6,Route 32,1251,1167
354,16,Route 21,1163,1165
386,17,Route 21,1157,1162
395,17,Route 30,1088,1139
335,15,Route 35,1142,1131
399,17,Route 35,1105,1120
397,17,Route 33,1050,1112
367,16,Route 35,1070,1110
333,15,Route 33,899,1108
172,10,Route 20,1076,1087
322,15,Route 21,963,1065
121,8,Route 30,1033,1062
123,8,Route 33,988,1061
258,13,Route 18,1030,1049
198,11,Route 16,1055,1044
201,11,Route 20,977,1037
331,15,Route 30,973,1030
365,16,Route 33,1197,1019
93,7,Route 33,933,1013
51,6,Route 20,1117,990
211,11,Route 30,1007,986
169,10,Route 16,926,983
182,10,Route 30,847,963
79,7,Route 17 (Route 1 Ride),949,954
300,14,Route 30,1035,952
230,12,Route 20,927,951
200,11,Route 18,1054,949
109,8,Route 17 (Route 1 Ride),900,928
269,13,Route 30,845,928
171,10,Route 18,743,915
227,12,Route 16,898,880
173,10,Route 21,838,874
319,15,Route 17 (Route 1 Ride),900,871
321,15,Route 20,954,871
304,14,Route 35,849,870
91,7,Route 30,928,869
290,14,Route 20,876,869
428,18,Route 33,893,865
125,8,Route 35,831,860
151,9,Route 30,859,850
417,18,Route 21,647,845
426,18,Route 30,862,841
61,6,Route 30,876,828
240,12,Route 30,781,807
186,10,Route 35,793,794
229,12,Route 18,893,792
213,11,Route 33,725,791
155,9,Route 35,797,789
430,18,Route 35,716,787
170,10,Route 17 (Route 1 Ride),817,780
383,17,Route 17 (Route 1 Ride),807,771
351,16,Route 17 (Route 1 Ride),731,769
287,14,Route 16,708,760
153,9,Route 33,675,752
259,13,Route 20,759,748
199,11,Route 17 (Route 1 Ride),704,746
302,14,Route 33,925,738
271,13,Route 33,658,733
184,10,Route 33,818,730
49,6,Route 17 (Route 1 Ride),769,710
139,9,Route 17 (Route 1 Ride),686,710
202,11,Route 21,671,709
256,13,Route 16,645,700
98,7,Route 51,702,684
288,14,Route 17 (Route 1 Ride),657,683
398,17,Route 34,696,681
414,18,Route 17 (Route 1 Ride),572,680
95,7,Route 35,745,679
63,6,Route 33,919,670
273,13,Route 35,562,663
97,7,Route 37,720,659
366,16,Route 34,681,654
334,15,Route 34,695,647
228,12,Route 17 (Route 1 Ride),615,645
446,19,Route 18,513,644
244,12,Route 35,647,635
260,13,Route 21,605,634
257,13,Route 17 (Route 1 Ride),625,621
242,12,Route 33,643,613
231,12,Route 21,630,613
225,12,Route 13,614,612
452,19,Route 24,533,611
285,14,Route 14,453,607
360,16,Route 26,626,606
401,17,Route 37,561,605
166,10,Route 13,625,604
429,18,Route 34,571,599
189,10,Route 51,623,599
392,17,Route 26,608,598
88,7,Route 26,606,595
118,8,Route 26,538,587
254,13,Route 13,547,584
196,11,Route 13,552,577
247,12,Route 51,562,573
124,8,Route 34,512,565
237,12,Route 26,595,565
217,11,Route 36,488,562
157,9,Route 36,535,560
370,16,Route 37,665,558
94,7,Route 34,626,556
400,17,Route 36,552,555
215,11,Route 35,569,550
67,6,Route 37,547,547
127,8,Route 37,552,545
291,14,Route 21,660,544
328,15,Route 26,562,532
85,7,Route 23,549,527
432,18,Route 37,512,527
143,9,Route 21 Express,593,524
75,7,Route 13,560,523
52,6,Route 21,868,521
159,9,Route 51,484,520
126,8,Route 36,509,517
218,11,Route 51,538,512
74,7,Route 12,547,507
128,8,Route 51,576,503
303,14,Route 34,503,501
135,9,Route 13,491,500
208,11,Route 26,445,491
188,10,Route 36,524,484
148,9,Route 26,529,483
423,18,Route 26,416,482
64,6,Route 34,427,480
266,13,Route 26,551,476
457,19,Route 32,455,472
179,10,Route 26,463,468
444,19,Route 16,459,466
104,8,Route 12,433,457
174,10,Route 21 Express,461,451
105,8,Route 13,472,448
357,16,Route 23,413,436
347,16,Route 13,423,435
337,15,Route 36,351,433
44,6,Route 12,434,431
181,10,Route 28,431,430
203,11,Route 21 Express,465,424
369,16,Route 36,446,411
232,12,Route 21 Express,360,409
90,7,Route 28,416,407
378,17,Route 12,402,406
58,6,Route 26,401,401
284,14,Route 13,418,400
83,7,Route 21 Express,329,397
272,13,Route 34,402,396
113,8,Route 21 Express,450,395
120,8,Route 28,374,390
458,19,Route 33,253,388
292,14,Route 21 Express,379,383
315,15,Route 13,381,383
96,7,Route 36,465,378
214,11,Route 34,367,374
246,12,Route 36,346,371
210,11,Route 28,338,368
185,10,Route 34,365,367
154,9,Route 34,357,365
346,16,Route 12,330,364
339,15,Route 51,385,357
243,12,Route 34,385,350
379,17,Route 13,317,345
306,14,Route 36,398,343
330,15,Route 28,358,342
362,16,Route 28,318,338
409,18,Route 12,322,337
297,14,Route 26,305,336
299,14,Route 28,333,335
425,18,Route 28,276,334
150,9,Route 28,357,332
459,19,Route 34,317,324
115,8,Route 23,333,324
381,17,Route 15 Express,293,323
276,13,Route 51,318,322
431,18,Route 36,361,318
134,9,Route 12,326,317
389,17,Route 23,329,315
387,17,Route 21 Express,318,315
87,7,Route 25,303,312
314,15,Route 12,350,309
456,19,Route 30,84,307
394,17,Route 28,341,305
348,16,Route 14,340,299
89,7,Route 27,299,293
307,14,Route 51,295,285
355,16,Route 21 Express,268,283
107,8,Route 15 Express,270,282
261,13,Route 21 Express,362,277
377,17,Route 11,321,275
323,15,Route 21 Express,302,272
103,8,Route 11,235,269
145,9,Route 23,206,266
224,12,Route 12,254,266
460,19,Route 35,223,262
55,6,Route 23,298,262
410,18,Route 13,254,261
420,18,Route 23,310,260
239,12,Route 28,256,260
263,13,Route 23,230,259
345,16,Route 11,250,259
205,11,Route 23,248,258
76,7,Route 14,275,257
316,15,Route 14,245,253
165,10,Route 12,252,247
60,6,Route 28,261,247
84,7,Route 22,229,244
45,6,Route 13,267,237
253,13,Route 12,247,237
114,8,Route 22,227,235
275,13,Route 36,275,232
77,7,Route 15 Express,244,231
349,16,Route 15 Express,280,231
294,14,Route 23,244,231
445,19,Route 17 (Route 1 Ride),237,228
226,12,Route 14,200,228
325,15,Route 23,208,226
119,8,Route 27,200,225
451,19,Route 23,164,225
313,15,Route 11,261,223
54,6,Route 22,261,219
408,18,Route 11,196,219
234,12,Route 23,249,217
380,17,Route 14,166,215
447,19,Route 20,206,215
472,20,Route 18,114,214
343,16,Deadhead,228,213
47,6,Route 15 Express,249,212
195,11,Route 12,224,208
419,18,Route 22,228,208
388,17,Route 22,193,208
176,10,Route 23,218,206
371,16,Route 51,173,202
393,17,Route 27,207,200
422,18,Route 25,186,198
283,14,Route 12,192,196
38,5,Route 37,206,193
282,14,Route 11,156,192
136,9,Route 14,144,191
106,8,Route 14,193,191
73,7,Route 11,194,186
268,13,Route 28,191,186
223,12,Route 11,194,185
359,16,Route 25,178,184
391,17,Route 25,221,183
411,18,Route 14,177,182
454,19,Route 26,139,181
255,13,Route 14,240,181
484,21,Deadhead,157,178
293,14,Route 22,200,174
412,18,Route 15 Express,134,173
65,6,Route 35,196,173
448,19,Route 21,120,172
57,6,Route 25,203,172
221,12,Deadhead,143,170
59,6,Route 27,213,169
252,13,Route 11,197,169
250,13,Deadhead,176,168
324,15,Route 22,154,167
418,18,Route 21 Express,123,163
13,5,Deadhead,219,163
280,14,Deadhead,168,163
43,6,Route 11,171,163
66,6,Route 36,208,161
133,9,Route 11,168,161
197,11,Route 14,153,156
461,19,Route 36,54,151
465,19,Strategic,134,146
317,15,Route 15 Express,189,146
356,16,Route 22,153,145
311,15,Deadhead,178,145
137,9,Route 15 Express,162,145
424,18,Route 27,125,143
439,19,Route 11,138,143
46,6,Route 14,118,142
375,17,Deadhead,147,142
164,10,Route 11,128,141
298,14,Route 27,133,141
438,19,Maintenance,140,140
466,20,Deadhead,123,137
175,10,Route 22,164,136
149,9,Route 27,130,134
487,22,Deadhead,124,134
249,12,Strategic,131,133
329,15,Route 27,139,133
361,16,Route 27,134,131
144,9,Route 22,132,130
117,8,Route 25,130,128
479,20,Route 33,108,125
437,19,Deadhead,115,124
238,12,Route 27,101,123
27,5,Route 24,223,122
233,12,Route 22,140,120
180,10,Route 27,98,116
204,11,Route 22,91,116
267,13,Route 27,122,114
262,13,Route 22,112,114
22,5,Route 18,303,113
68,6,Route 51,129,111
476,20,Route 24,86,110
147,9,Route 25,128,109
327,15,Route 25,108,107
442,19,Route 14,106,103
296,14,Route 25,107,102
406,18,Deadhead,91,100
192,11,Deadhead,98,100
194,11,Route 11,122,98
209,11,Route 27,114,96
265,13,Route 25,90,96
168,10,Route 15 Express,62,93
486,21,Strategic,88,92
443,19,Route 15 Express,68,90
449,19,Route 21 Express,86,89
207,11,Route 25,85,87
178,10,Route 25,83,87
167,10,Route 14,124,87
16,5,Route 12,100,86
41,6,Deadhead,118,85
