,stop,alightings
887,New Carrollton Station - Arrival,6999
156,Addison Rd Metrorail - Arrival,5164
614,Greenbelt Metro Station (Arrival),4250
883,Naylor Rd Station Bay H,4004
870,Morgan Blvd Metro Station,3986
417,Capitol Heights - Arrival,3812
793,Largo Town Center Station,3555
1181,Southern Ave Station Bay E - Arrival,3448
311,Branch Ave Station - Arrival,3445
157,Addison Rd Metrorail Station,3208
1327,Woody Terrace at Woodyard Rd,2958
1237,Suitland Metro - Arrival,2782
1179,Southern Ave Metro Rail Station at Bus Bay F,2401
611,Gov. Oden Bowie Dr at Rear C.A.B.,2067
794,Largo Town Center Station at Bus Bay E,1824
1321,West Hyattsville Station - Arrival,1792
874,Mt Rainier Terminal - Arrival,1780
411,Campus Way South at College Station Dr (PGCC),1742
1320,West Hyattsville Station,1735
1144,SOUTHERN AVENUE METRO STATION & BUS BAY K,1719
704,Ikea at Bus Bay 2,1712
1009,Padgett's Corner,1460
428,Capitol Heights Station Bay B,1257
853,Matapeake Business Dr at Target Store (Hidden Arrival),1242
484,Clinton Fringe Parking Lot,1177
569,Equestrian Center Lot 4,1156
915,Old Forestville Rd at Forestville Rd,1079
1256,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),1067
483,Clinton Fringe Lot,1037
1255,Takoma Langley Park Transit Center Bus Bay B,1008
568,Equestrian Center Lot 3,964
1333,Woodyard Rd at Pine View Ln,902
910,Old Branch Ave at Coventry Way,856
1234,Stuart Ln at Woodyard Rd,853
198,Allentown Rd at Temple Hill Rd,832
714,Iverson Mall,816
286,Belcrest Rd at PG Plaza,808
547,Donnell Drive at Marlboro Pike,791
633,Greenway Center,790
509,County Courthouse,787
907,Old Branch Ave at Allentown Way,760
515,Courthouse,697
940,Old Silver Hill Rd at Library,686
546,Donnell Dr at Pennsylvania Ave,684
1227,St Clair Dr at 28th Ave,671
640,Hamilton St at 31st Ave,653
913,Old Branch Ave at PGCC Skilled Trade Center,639
730,Judge's Dr at Pratt St,612
1084,Ritchie Rd at Forest Park Dr,608
273,Baltimore Ave at Queensbury Rd,597
170,Addison Rd at Walker Mill Rd,591
1243,Suitland Rd at Shadyside Ave,591
1002,PG Plaza Station,586
186,Allentown Rd at Brinkley Rd,583
393,CAB - Arrival,580
471,Cheverly Station Bay D,576
857,McCormick Dr at Basil Ct,571
541,Doctors Community Hospital,570
211,Annapolis Rd at 85th Ave,568
64,3930 Capitol Crossing Apts,527
1045,RUBY LOCKHART BLVD AT CAMPUS WAY NORTH,518
1175,Silver Hill Rd at Pennsylvania Ave,514
1200,Southern Ave at Wheeler Rd,513
457,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),510
470,Cheverly Metrorail Station Bay D,509
756,Landover Metrorail Station,508
558,East-West Hwy at Prince George's Mall Ent.,507
379,Brinkley Rd at Rosecroft Shopping Center,506
836,Marlboro Pike at County Rd,502
1006,PGCC Perimeter Rd at Largo Rd,502
715,Iverson St at 28th Ave,496
566,Equestrian Center Lot 1 (Arrival),491
755,Landover Metro Station Waiting Area,489
886,New Carrollton Station (Arrival),487
512,County Rd at Foster St,481
1115,Riverdale Rd at Carrollton Mall,479
350,Brightseat Rd at Maple Ridge Apts #2,479
185,Allentown Rd at Allentown Way,478
389,Brooks Dr at Pennsylvania Ave,477
1189,Southern Ave at Chesapeake St SE,470
1334,Woodyard Rd at Pineview Ln,468
1203,Southern Maryland Hospital (Hidden Arrival),466
354,Brightseat Rd at Opp. Maple Ridge Apts #2,460
1214,Springhill Ln at Breezewood Dr,457
1319,Walker Mill Road at Marlboro Pike,454
1051,Raleigh Rd at St Barnabas Rd,452
818,MLK Jr Hwy at Columbia Park Rd,452
922,Old Marlboro Pike at John Rogers Blvd,450
885,New Carrollton Station,449
367,Brinkley Rd at Huntley Square Dr,428
1079,Ritchie Rd at Central Ave,427
1031,Prince George's Plaza - Arrival,426
296,Bladensburg Rd at 38th St,423
1293,University Blvd at Riggs Rd,407
942,Old Silver Hill Rd at Parkland Dr,402
986,Oxon Hill Rd at Oxon Hill Fringe Parking Lot,396
353,Brightseat Rd at Opp. Maple Ridge Apts #1,392
869,Mike Shapiro Dr at Sheila Ln,392
873,Motor Vehicle Administration - Arrival,392
24,23rd Ave at Lewisdale Dr,388
1284,Timothy Branch Dr at Safeway Ent,387
864,Mercantile Ln at Technology Way,387
288,Belcrest at PG Plaza Metrorail,385
256,Baltimore Ave at Cherry Hill Road,383
158,Addison Rd at Adak St,379
1001,PG Plaza,378
1097,Ritchie Station Court Bus Stop #1,373
213,Annapolis Rd at Edmonston Rd,370
1259,Temple Hill Rd at Allentown Rd,367
751,Lamont Dr at Powhatan St,365
487,College Park Metro Station at Bus Bay B,363
1281,Temple Hill Rd at St Barnabas Rd,362
741,Kipling Pkwy at Marlboro Pike,354
571,Fairlawn St at Colebrooke Dr,350
550,Dunmore Pl at Edgeworth Dr,344
854,Maxwell Dr at Allentown Rd,342
1212,Springhill Dr at Springhill Ln,340
167,Addison Rd at Ronald Rd,339
496,Columbia Park Rd at Marshall Pl,338
485,Clinton Manor,337
648,Hampton Park Boulevard at Alaking Ct,337
252,Baltimore Ave at Berwyn House Rd,335
410,Campus Way South at Central Ave,333
1263,Temple Hill Rd at Farmer Dr,332
52,38th St at Bunker Hill Rd,328
1246,Suitland Rd at Towne Square Blvd,323
1315,Walker Mill Rd at Rochell Ave,317
83,42nd Ave at Nicholson St,316
1057,Rhode Island Ave at 34th Street,311
1005,PGCC Perimeter Rd at Annex A Building,306
1034,Queens Chapel Rd at Hamilton St,306
312,Branch Ave Station Bus Bay J,305
313,Branchwood Towers,304
763,Landover Rd at Annapolis Rd,304
275,Baltimore Ave at Riverdale Rd,304
548,Donnell Drive at Target Store,302
710,Indian Head Highway at Audrey Ln,299
239,Auburn Ave at Riverdale Rd,297
1216,Springhill Ln at Springhill Dr,295
657,Hanover Pkwy at Hanover Dr,290
563,Elm St at Gov Oden Bowie Dr,288
75,4192 Whitehall Square Apts,286
1012,Pennsylvania Ave at Forestville Rd,282
358,Brinkley Rd at Brinkley House W Ent,281
1180,Southern Ave Station Bay E,279
1049,Raleigh Rd at Culver St,277
970,Oxon Hill Fringe Parking Lot Bus Bay B,274
58,38th St at Shepherd St,273
193,Allentown Rd at Old Branch Ave,272
559,East-West Hwy at Toledo Ter,269
667,Harry S Truman Dr at Birdie Ln,266
1228,St George Blvd at Waterfront St,265
329,Breezewood Dr at Cherrywood Ln,262
1020,Piscataway Rd at Absher Ln,261
1080,Ritchie Rd at D'arcy Rd,260
1013,Pennsylvania Ave at Old Marlboro Pl,260
391,Brooks Drive at Marlboro Pike,257
708,Indian Head Highway (MD. RTE. 210) at Southern Ave,256
554,East Capitol St at Yost Pl,256
1018,Peppermill Dr at Hastings Dr,253
849,Marlboro Pike at Walters Ln,253
1276,Temple Hill Rd at Portal Ave,253
1211,Springhill Dr at Cherrywood Ln,251
753,Lamont Dr at Westbrook Dr,250
641,Hamilton St at 31st Ave - in,247
188,Allentown Rd at Camp Springs Ave,246
413,Campus Way South at Joyceton Dr,245
1056,Rhode Island (US RTE 1) at Mount Rainer Terminal,245
334,Brightseat Rd at Ardwick-Ardmore Rd,243
469,Cheverly Ave at Montrose Rd,241
15,15th Ave at University Blvd,236
642,Hamilton St at 35th Ave,231
1213,Springhill Ln at Breezewood Ct,231
938,Old Pike Way at Dower House Rd,230
278,Baltimore Ave at Tecumseh St,229
530,Denise Dr at Epworth Way,228
153,ALLENTOWN WAY & 5846 ALLENTOWN WAY,226
848,Marlboro Pike at Upland Ave,226
1014,Pennsylvania Ave at Penn Crossing Dr,225
77,4258 Whitehall Square Apts,225
807,Lottsford Rd at Zachery St,225
826,MONUMENT AVE @ MGM CASINO,222
390,Brooks Dr at Ridley St,221
31,28th Ave at Keith St,220
662,Hanover Pkwy at Ora Glen Dr,216
562,Edgeworth Dr at Ritchie Rd,216
508,County Administration Building,215
263,Baltimore Ave at Hartwick Rd,214
584,Forestville Rd at Parston Dr,213
1277,Temple Hill Rd at Rickey Ave,213
656,Hanover Pkwy at Greenway Center Dr,213
25,23rd Ave at Sheridan St,212
884,Naylor Rd Station Ent Drop Off Only,212
1239,Suitland Rd at 4410 Suitland Rd,212
593,Garrett A. Morgan Blvd at Morgan Blvd Station,211
206,Annapolis Rd at 48th St,210
212,Annapolis Rd at Bladensburg Elem. School,209
330,Breezewood Dr at Cherrywood Ter,208
71,4112 Whitehall Square Apts,208
500,Columbia Park Rd at South Club Dr,208
423,Capitol Heights Blvd at Emmet St,208
119,85th Avenue and Carrollon Manor,207
905,Old Alexandria Ferry Rd at Woodyard Rd,206
603,Good Luck Rd at Crest Park Dr,205
835,Manor at Victoria Park,204
292,Beltway Plaza Shopping Center,204
1274,Temple Hill Rd at Piscataway Rd,204
1092,Ritchie Rd at Roslyn Ave,203
617,Greenbelt Rd at Greenway Center,202
872,Motor Vehicle Administration,202
974,Oxon Hill Rd at 6192 Oxon Hill Rd,202
962,Owens Rd at Kennebec St,202
516,Coventry Way at Old Alexandria Ferry Rd,201
513,County Rd at Valley Brook Apts,201
246,Auth Rd at Gloria Dr,201
169,Addison Rd at St Margaret's School,200
911,Old Branch Ave at Kirby Ln,200
1025,Piscataway Rd at Pella Place,198
651,Hampton Park Boulevard at Hampton Mall Dr,197
30,28th Ave at Keating St,196
215,Apollo Dr at Arena Dr,195
1021,Piscataway Rd at Brandywine Rd,195
258,Baltimore Ave at East-West Hwy,194
824,MLK Jr Hwy at Sheriff Rd,194
843,Marlboro Pike at Melwood Mall,194
561,East-West Hwy at Toledo Terrace,193
99,5827 Allentown Way at Old Branch Ave,189
803,Lottsford Rd at Harry S. Truman Dr,186
1202,Southern Maryland Hospital,186
545,Donnell Dr at Marlboro Pike,185
1089,Ritchie Rd at Ritchie Dr,184
540,District Heights Pkwy at Rochelle Ave,183
582,Fisher Rd at St. Moritz Dr,183
840,Marlboro Pike at Kipling Pkwy,182
1197,Southern Ave at Robert Yedell Towers,182
74,4174 Whitehall Square Apts,181
255,Baltimore Ave at Cherokee St,181
19,23rd Ave at Amherst Rd,179
1050,Raleigh Rd at Olson St,179
397,CAMPUS WAY NORTH AT LADY GROVE ROAD,178
1332,Woodyard Rd at Opp. Pine View Ln,177
