,stop,boardings,alightings
887,New Carrollton Station - Arrival,156,6999
156,Addison Rd Metrorail - Arrival,677,5164
614,Greenbelt Metro Station (Arrival),637,4250
883,Naylor Rd Station Bay H,4578,4004
870,Morgan Blvd Metro Station,4355,3986
417,Capitol Heights - Arrival,1230,3812
793,Largo Town Center Station,3701,3555
1181,Southern Ave Station Bay E - Arrival,13,3448
311,Branch Ave Station - Arrival,57,3445
157,Addison Rd Metrorail Station,6880,3208
1327,Woody Terrace at Woodyard Rd,1322,2958
1237,Suitland Metro - Arrival,120,2782
1179,Southern Ave Metro Rail Station at Bus Bay F,2146,2401
611,Gov. Oden Bowie Dr at Rear C.A.B.,250,2067
794,Largo Town Center Station at Bus Bay E,1993,1824
1321,West Hyattsville Station - Arrival,107,1792
874,Mt Rainier Terminal - Arrival,266,1780
411,Campus Way South at College Station Dr (PGCC),1813,1742
1320,West Hyattsville Station,3009,1735
1144,SOUTHERN AVENUE METRO STATION & BUS BAY K,1310,1719
704,Ikea at Bus Bay 2,1267,1712
1009,Padgett's Corner,1499,1460
428,Capitol Heights Station Bay B,2643,1257
853,Matapeake Business Dr at Target Store (Hidden Arrival),27,1242
484,Clinton Fringe Parking Lot,1344,1177
569,Equestrian Center Lot 4,1342,1156
915,Old Forestville Rd at Forestville Rd,821,1079
1256,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),378,1067
483,Clinton Fringe Lot,2606,1037
1255,Takoma Langley Park Transit Center Bus Bay B,2080,1008
568,Equestrian Center Lot 3,876,964
1333,Woodyard Rd at Pine View Ln,54,902
910,Old Branch Ave at Coventry Way,904,856
1234,Stuart Ln at Woodyard Rd,185,853
198,Allentown Rd at Temple Hill Rd,781,832
714,Iverson Mall,966,816
286,Belcrest Rd at PG Plaza,315,808
547,Donnell Drive at Marlboro Pike,212,791
633,Greenway Center,949,790
509,County Courthouse,726,787
907,Old Branch Ave at Allentown Way,878,760
515,Courthouse,895,697
940,Old Silver Hill Rd at Library,613,686
546,Donnell Dr at Pennsylvania Ave,694,684
1227,St Clair Dr at 28th Ave,442,671
640,Hamilton St at 31st Ave,770,653
913,Old Branch Ave at PGCC Skilled Trade Center,543,639
730,Judge's Dr at Pratt St,130,612
1084,Ritchie Rd at Forest Park Dr,512,608
273,Baltimore Ave at Queensbury Rd,477,597
1243,Suitland Rd at Shadyside Ave,479,591
170,Addison Rd at Walker Mill Rd,778,591
1002,PG Plaza Station,455,586
186,Allentown Rd at Brinkley Rd,773,583
393,CAB - Arrival,56,580
471,Cheverly Station Bay D,641,576
857,McCormick Dr at Basil Ct,439,571
541,Doctors Community Hospital,488,570
211,Annapolis Rd at 85th Ave,117,568
64,3930 Capitol Crossing Apts,858,527
1045,RUBY LOCKHART BLVD AT CAMPUS WAY NORTH,473,518
1175,Silver Hill Rd at Pennsylvania Ave,536,514
1200,Southern Ave at Wheeler Rd,411,513
457,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),660,510
470,Cheverly Metrorail Station Bay D,795,509
756,Landover Metrorail Station,715,508
558,East-West Hwy at Prince George's Mall Ent.,72,507
379,Brinkley Rd at Rosecroft Shopping Center,132,506
1006,PGCC Perimeter Rd at Largo Rd,569,502
836,Marlboro Pike at County Rd,772,502
715,Iverson St at 28th Ave,273,496
566,Equestrian Center Lot 1 (Arrival),84,491
755,Landover Metro Station Waiting Area,302,489
886,New Carrollton Station (Arrival),8,487
512,County Rd at Foster St,243,481
350,Brightseat Rd at Maple Ridge Apts #2,891,479
1115,Riverdale Rd at Carrollton Mall,503,479
185,Allentown Rd at Allentown Way,202,478
389,Brooks Dr at Pennsylvania Ave,777,477
1189,Southern Ave at Chesapeake St SE,846,470
1334,Woodyard Rd at Pineview Ln,433,468
1203,Southern Maryland Hospital (Hidden Arrival),38,466
354,Brightseat Rd at Opp. Maple Ridge Apts #2,352,460
1214,Springhill Ln at Breezewood Dr,412,457
1319,Walker Mill Road at Marlboro Pike,409,454
1051,Raleigh Rd at St Barnabas Rd,282,452
818,MLK Jr Hwy at Columbia Park Rd,322,452
922,Old Marlboro Pike at John Rogers Blvd,496,450
885,New Carrollton Station,5352,449
367,Brinkley Rd at Huntley Square Dr,312,428
1079,Ritchie Rd at Central Ave,105,427
1031,Prince George's Plaza - Arrival,83,426
296,Bladensburg Rd at 38th St,367,423
1293,University Blvd at Riggs Rd,649,407
942,Old Silver Hill Rd at Parkland Dr,425,402
986,Oxon Hill Rd at Oxon Hill Fringe Parking Lot,0,396
873,Motor Vehicle Administration - Arrival,2,392
869,Mike Shapiro Dr at Sheila Ln,505,392
353,Brightseat Rd at Opp. Maple Ridge Apts #1,50,392
24,23rd Ave at Lewisdale Dr,395,388
1284,Timothy Branch Dr at Safeway Ent,164,387
864,Mercantile Ln at Technology Way,428,387
288,Belcrest at PG Plaza Metrorail,270,385
256,Baltimore Ave at Cherry Hill Road,192,383
158,Addison Rd at Adak St,395,379
1001,PG Plaza,305,378
1097,Ritchie Station Court Bus Stop #1,121,373
213,Annapolis Rd at Edmonston Rd,513,370
1259,Temple Hill Rd at Allentown Rd,303,367
751,Lamont Dr at Powhatan St,320,365
487,College Park Metro Station at Bus Bay B,250,363
1281,Temple Hill Rd at St Barnabas Rd,586,362
741,Kipling Pkwy at Marlboro Pike,378,354
571,Fairlawn St at Colebrooke Dr,135,350
550,Dunmore Pl at Edgeworth Dr,194,344
854,Maxwell Dr at Allentown Rd,346,342
1212,Springhill Dr at Springhill Ln,314,340
167,Addison Rd at Ronald Rd,468,339
496,Columbia Park Rd at Marshall Pl,225,338
648,Hampton Park Boulevard at Alaking Ct,268,337
485,Clinton Manor,479,337
252,Baltimore Ave at Berwyn House Rd,444,335
410,Campus Way South at Central Ave,166,333
1263,Temple Hill Rd at Farmer Dr,266,332
52,38th St at Bunker Hill Rd,232,328
1246,Suitland Rd at Towne Square Blvd,334,323
1315,Walker Mill Rd at Rochell Ave,398,317
83,42nd Ave at Nicholson St,496,316
1057,Rhode Island Ave at 34th Street,191,311
1005,PGCC Perimeter Rd at Annex A Building,84,306
1034,Queens Chapel Rd at Hamilton St,159,306
312,Branch Ave Station Bus Bay J,3846,305
313,Branchwood Towers,322,304
275,Baltimore Ave at Riverdale Rd,60,304
763,Landover Rd at Annapolis Rd,268,304
548,Donnell Drive at Target Store,149,302
710,Indian Head Highway at Audrey Ln,141,299
239,Auburn Ave at Riverdale Rd,156,297
1216,Springhill Ln at Springhill Dr,253,295
657,Hanover Pkwy at Hanover Dr,323,290
563,Elm St at Gov Oden Bowie Dr,455,288
75,4192 Whitehall Square Apts,44,286
1012,Pennsylvania Ave at Forestville Rd,135,282
358,Brinkley Rd at Brinkley House W Ent,119,281
1180,Southern Ave Station Bay E,3324,279
1049,Raleigh Rd at Culver St,314,277
970,Oxon Hill Fringe Parking Lot Bus Bay B,211,274
58,38th St at Shepherd St,153,273
193,Allentown Rd at Old Branch Ave,108,272
559,East-West Hwy at Toledo Ter,117,269
667,Harry S Truman Dr at Birdie Ln,271,266
1228,St George Blvd at Waterfront St,242,265
329,Breezewood Dr at Cherrywood Ln,206,262
1020,Piscataway Rd at Absher Ln,486,261
1013,Pennsylvania Ave at Old Marlboro Pl,14,260
1080,Ritchie Rd at D'arcy Rd,120,260
391,Brooks Drive at Marlboro Pike,409,257
708,Indian Head Highway (MD. RTE. 210) at Southern Ave,168,256
554,East Capitol St at Yost Pl,152,256
1018,Peppermill Dr at Hastings Dr,27,253
1276,Temple Hill Rd at Portal Ave,180,253
849,Marlboro Pike at Walters Ln,279,253
1211,Springhill Dr at Cherrywood Ln,284,251
753,Lamont Dr at Westbrook Dr,228,250
641,Hamilton St at 31st Ave - in,37,247
188,Allentown Rd at Camp Springs Ave,516,246
1056,Rhode Island (US RTE 1) at Mount Rainer Terminal,1677,245
413,Campus Way South at Joyceton Dr,380,245
334,Brightseat Rd at Ardwick-Ardmore Rd,177,243
469,Cheverly Ave at Montrose Rd,183,241
15,15th Ave at University Blvd,190,236
1213,Springhill Ln at Breezewood Ct,289,231
642,Hamilton St at 35th Ave,277,231
938,Old Pike Way at Dower House Rd,208,230
278,Baltimore Ave at Tecumseh St,156,229
530,Denise Dr at Epworth Way,177,228
153,ALLENTOWN WAY & 5846 ALLENTOWN WAY,3,226
848,Marlboro Pike at Upland Ave,223,226
1014,Pennsylvania Ave at Penn Crossing Dr,98,225
807,Lottsford Rd at Zachery St,147,225
77,4258 Whitehall Square Apts,411,225
826,MONUMENT AVE @ MGM CASINO,104,222
390,Brooks Dr at Ridley St,299,221
31,28th Ave at Keith St,256,220
662,Hanover Pkwy at Ora Glen Dr,127,216
562,Edgeworth Dr at Ritchie Rd,179,216
508,County Administration Building,762,215
263,Baltimore Ave at Hartwick Rd,389,214
584,Forestville Rd at Parston Dr,293,213
656,Hanover Pkwy at Greenway Center Dr,232,213
1277,Temple Hill Rd at Rickey Ave,214,213
1239,Suitland Rd at 4410 Suitland Rd,92,212
884,Naylor Rd Station Ent Drop Off Only,117,212
25,23rd Ave at Sheridan St,187,212
593,Garrett A. Morgan Blvd at Morgan Blvd Station,132,211
206,Annapolis Rd at 48th St,147,210
212,Annapolis Rd at Bladensburg Elem. School,58,209
330,Breezewood Dr at Cherrywood Ter,248,208
500,Columbia Park Rd at South Club Dr,141,208
71,4112 Whitehall Square Apts,61,208
423,Capitol Heights Blvd at Emmet St,67,208
119,85th Avenue and Carrollon Manor,298,207
905,Old Alexandria Ferry Rd at Woodyard Rd,180,206
603,Good Luck Rd at Crest Park Dr,9,205
1274,Temple Hill Rd at Piscataway Rd,140,204
292,Beltway Plaza Shopping Center,182,204
835,Manor at Victoria Park,237,204
1092,Ritchie Rd at Roslyn Ave,207,203
617,Greenbelt Rd at Greenway Center,122,202
962,Owens Rd at Kennebec St,157,202
974,Oxon Hill Rd at 6192 Oxon Hill Rd,115,202
872,Motor Vehicle Administration,491,202
246,Auth Rd at Gloria Dr,36,201
516,Coventry Way at Old Alexandria Ferry Rd,150,201
513,County Rd at Valley Brook Apts,261,201
169,Addison Rd at St Margaret's School,99,200
