,stop,boardings
157,Addison Rd Metrorail Station,6880
885,New Carrollton Station,5352
883,Naylor Rd Station Bay H,4578
870,Morgan Blvd Metro Station,4355
312,Branch Ave Station Bus Bay J,3846
793,Largo Town Center Station,3701
615,Greenbelt Metro Station Bus Bay A,3414
1180,Southern Ave Station Bay E,3324
1320,West Hyattsville Station,3009
1238,Suitland Metrorail Station Bay D,2766
428,Capitol Heights Station Bay B,2643
483,Clinton Fringe Lot,2606
1179,Southern Ave Metro Rail Station at Bus Bay F,2146
1255,Takoma Langley Park Transit Center Bus Bay B,2080
480,Chrysler Dr at US RT 301,2075
794,Largo Town Center Station at Bus Bay E,1993
888,New Carrollton Station Bay F,1948
411,Campus Way South at College Station Dr (PGCC),1813
1056,Rhode Island (US RTE 1) at Mount Rainer Terminal,1677
852,Matapeake Business Dr at Target Store,1565
1009,Padgett's Corner,1499
484,Clinton Fringe Parking Lot,1344
569,Equestrian Center Lot 4,1342
1327,Woody Terrace at Woodyard Rd,1322
1144,SOUTHERN AVENUE METRO STATION & BUS BAY K,1310
704,Ikea at Bus Bay 2,1267
417,Capitol Heights - Arrival,1230
714,Iverson Mall,966
633,Greenway Center,949
910,Old Branch Ave at Coventry Way,904
515,Courthouse,895
350,Brightseat Rd at Maple Ridge Apts #2,891
907,Old Branch Ave at Allentown Way,878
568,Equestrian Center Lot 3,876
64,3930 Capitol Crossing Apts,858
1189,Southern Ave at Chesapeake St SE,846
915,Old Forestville Rd at Forestville Rd,821
1332,Woodyard Rd at Opp. Pine View Ln,805
470,Cheverly Metrorail Station Bay D,795
198,Allentown Rd at Temple Hill Rd,781
170,Addison Rd at Walker Mill Rd,778
389,Brooks Dr at Pennsylvania Ave,777
427,Capitol Heights Station,776
186,Allentown Rd at Brinkley Rd,773
836,Marlboro Pike at County Rd,772
640,Hamilton St at 31st Ave,770
508,County Administration Building,762
509,County Courthouse,726
756,Landover Metrorail Station,715
546,Donnell Dr at Pennsylvania Ave,694
156,Addison Rd Metrorail - Arrival,677
457,Cherrywood Ln at Greenbelt Rd (MD. RTE. 193),660
1293,University Blvd at Riggs Rd,649
471,Cheverly Station Bay D,641
614,Greenbelt Metro Station (Arrival),637
1202,Southern Maryland Hospital,620
940,Old Silver Hill Rd at Library,613
1281,Temple Hill Rd at St Barnabas Rd,586
1006,PGCC Perimeter Rd at Largo Rd,569
913,Old Branch Ave at PGCC Skilled Trade Center,543
1175,Silver Hill Rd at Pennsylvania Ave,536
188,Allentown Rd at Camp Springs Ave,516
213,Annapolis Rd at Edmonston Rd,513
1084,Ritchie Rd at Forest Park Dr,512
869,Mike Shapiro Dr at Sheila Ln,505
1115,Riverdale Rd at Carrollton Mall,503
922,Old Marlboro Pike at John Rogers Blvd,496
83,42nd Ave at Nicholson St,496
872,Motor Vehicle Administration,491
541,Doctors Community Hospital,488
1020,Piscataway Rd at Absher Ln,486
485,Clinton Manor,479
1243,Suitland Rd at Shadyside Ave,479
273,Baltimore Ave at Queensbury Rd,477
