route,stops,early,on_time,late,total,early %,on_time %,late %
18,Takoma Langley Park Transit Center Bus Bay B,7,24,4,35,0.2,0.69,0.11
18,Addison Rd Metrorail Station,12,26,10,48,0.25,0.54,0.21
18,23rd Ave at Lewisdale Dr,49,34,45,128,0.38,0.27,0.35
18,East-West Hwy at Prince George's Mall Ent.,24,20,32,76,0.32,0.26,0.42
18,PG Plaza,27,16,25,68,0.4,0.24,0.37
18,Columbia Park Rd at Marshall Pl,42,29,54,125,0.34,0.23,0.43
18,Hamilton St at 38th St,64,29,53,146,0.44,0.2,0.36
18,Bladensburg Rd at 38th St,50,28,60,138,0.36,0.2,0.43
18,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),37,13,39,89,0.42,0.15,0.44
18,Cheverly Metrorail Station Bay D,60,42,298,400,0.15,0.1,0.74
18,Addison Rd Metrorail - Arrival,53,9,41,103,0.51,0.09,0.4
