route,stops,early,on_time,late,total,early %,on_time %,late %
20,County Administration Building,31,805,107,943,0.03,0.85,0.11
20,Courthouse,166,1321,438,1925,0.09,0.69,0.23
20,Old Marlboro Pike at John Rogers Blvd,305,1350,407,2062,0.15,0.65,0.2
20,Donnell Dr at Marlboro Pike,156,672,215,1043,0.15,0.64,0.21
20,Addison Rd Metrorail Station,287,621,78,986,0.29,0.63,0.08
20,Marlboro Pike at Melwood Mall,418,1306,396,2120,0.2,0.62,0.19
20,Melwood Training Center,313,943,278,1534,0.2,0.61,0.18
20,Old Marlboro Pike at Roblee Dr,402,1265,432,2099,0.19,0.6,0.21
20,Donnell Drive at Target Store,399,584,92,1075,0.37,0.54,0.09
20,CAB - Arrival,218,412,258,888,0.25,0.46,0.29
20,Addison Rd Metrorail - Arrival,655,395,123,1173,0.56,0.34,0.1
